"ragione_sociale_impresa","prov","descrizione_intervento","anno_finanziamento_o_pagamento","contributo_totale_concesso","contributo_quota_fesr","contributo_quota_mezzi_stato","contributo_quota_regione_cap","quota_liquidata","fund_type","currency","uri"
"ALMA PETROLI S.P.A.","RA","Impianto di cogenerazione ad alto rendimento a gas metano",2009,300000,"-","-",300000,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"AMBROSALUMI S.R.L.","BS","Interventi per il risparmio energetico nello stabilimento di produzione (coibentazione delle processi produttivi (Installazione di un impiantocombinato di recupero del calore al fine di strutture opache verticali e le superfici vetrate esterne). Interventi di risparmio energetico nei ottenere la condensazione del fluido frogorigeno dei gruppi frigoriferi esistenti e il riscaldamento del fluido vettore necessario al riscaldamento dei locali)",2009,"280323,26","103515,65","176807,61","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BURGARELLA S.R.L. ARREDAMENTI","RE","RE Interventi per il risparmio energetico nello stabilimento di produzione (Modifica dell'impianto di illuminazione). Interventi di risparmio energetico nei processi produttivi (Sostituzione del compressore d'aria). Impianto fotovoltaico da 19,68 KWp",2009,39818,"-","-",39818,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"ARTIGIANA LEGNO SRL","RA","Impianto fotovoltaico da 94,38 KWp",2009,"95776,8","35367,73","60409,07","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"B.I.M.P. SRL","FC","Impianto fotovoltaico da 19,8 KWp",2009,"21243,84","7844,76","13399,08","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BAM DI BENAZZI E UTTINI SNC","RA","RA Interventi per l'efficienza energetica dello stabilimento di produzione (Isolamento termico dell'edificio). Impianto fotovoltaico da 19,8 KWp",2009,"33299,2","-","-","33299,2","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BENELLI GRU S.R.L.","RE","Impianto fotovoltaico da 48,40 KWp",2009,"28945,61","10688,82","18256,79","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BERNARDINI IMPIANTI DI BERNARDINI ALDO E C.","RA","SNC RA Impianto fotovoltaico da 19,8 KWp",2009,25382,"9372,87","16009,13","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BEST HOSES SRL","FE","Impianto fotovoltaico da 180 KWp",2009,201600,"-","-",201600,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BF S.R.L.","RE","Impianto fotovoltaico da 160,82 KWp",2009,"148269,19","54751,73","93517,46","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BRIANTI MOBILI S.R.L.","PR","Impianto generatore di calore (caldaia) alimentato a combustibile solido (residui della lavorazione del legno) di potenza pari a 1.000.000 Kcal/h",2009,68400,"-","-",68400,"-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"BUCCHI S.R.L.","RA","Impianto fotovoltaico da 145,2 KWp",2009,157804,"58272,67","99531,33","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"C. SGUBBI ITALIANA","RN","RN Impianto fotovoltaico da 27 KWp",2009,"29695,4","-","-","29695,4","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
"C.E.A.G. CALCESTRUZZI E AFFINI SRL","RE","RE Impianto fotovoltaico da 240,624 KWp",2009,"237185,9","87586,22","149599,68","-","-","ERDF","EUR","http://fesr.regione.emilia-romagna.it/allegati/elenco-beneficiari/elenco-beneficiari-asse-3"
