RAGIONE SOCIALE,DENOMINAZIONE,"ANNO FINANZIAMENTO 
PAGAMENTO",PROV,€,amount
3D INFORMATICA S.R.L.,Sviluppo di un nuovo sistema mobile per la rilevazione di inquinanti nell’aria.,2009,BO,€,"183.200,00"
Active Technologies s.r.l.,"Studio dei sistemi di caratterizzazione e collaudo di celle solari a  
concentrazione per applicazioni fotovoltaiche",2009,FE,€,"79.265,00"
ADDICTION SRL,"Progettazione e sviluppo di un innovativo prototipo di piattaforma multimediale  
finalizzata alla organizzazione e centralizzazione della comunicazione: 
MediaPresenter",2009,RE,€,"106.600,00"
ADVANCED TELECOM SYSTEMS S.P.A.,"Analisi, sviluppo e test di un prototipo di appliance (cluster di appliances 
combinate), destinate a supportare la comunicazione unificata su Internet 
Protocol, a basso impatto implementativo infrastrutturale e ad alta facilità ed 
adattabilità di utilizzo",2009,MO,€,"158.500,00"
AIR-TEC SYSTEM S.R.L.,"ANTEOS, Studio e realizzazione di materiale innovativo nel trasporto 
pneumatico",2009,BO,€,"137.550,00"
ALCHEMY SRL,"Inibitori irreversibili di EGFR (Epidermal Growth Factor Receptor) marcati con 
radioisotopi, quali biomarkers per studi PET sul tumore umano",2009,BO,€,"93.100,00"
allMeA Partners Srl,"Sviluppo di un Sistema Integrato di Controllo, Monitoraggio e Gestione delle 
Funzioni di Comando (“Plancia Integrata”) per Imbarcazioni da Diporto e del 
relativo Sistema Automatizzato di Ormeggio.",2009,FC,€,"172.250,00"
Ambrosialab Srl,"Nuove metodologie estrattive applicate all'ottenimento di materie prime di 
derivazione naturale: estratti di Baobab",2009,FE,€,"83.550,00"
ANTONELLI S.P.A.,"Ricerca, studio, progettazione e sviluppo di un innovativo sistema per la 
stabilizzazione e smorzamento delle oscillazioni, proprie ed indotte, in bracci 
meccanici ad azionamento oleodinamico utilizzati per pompe calcestruzzo ed 
altre applicazioni.",2009,RN,€,"137.200,00"
API COM SRL,"BANCHI DI NUOVA CONCEZIONE PER IL CONTROLLO QUALITA’ DI 
MOTORI ENDOTERMICI IN PROVE CARATTERIZZATE DA TEMPI E COSTI 
RIDOTTI",2009,FE,€,"161.500,00"
ARC SRL,"Sistema FlexNet - Centraline elettroniche embedded riconfigurabili per 
applicazioni mobili",2009,MO,€,"140.400,00"
Archimede R&D S.r.l.,"Progetto Bubbleboat - studio e messa a punto di un sistema innovativo per 
pitture antivegetative (anti-fouling) a basso impatto ambientale.",2009,BO,€,"97.994,00"
ARGO-HYTOS S.R.L.,Manifold oleodinamico in materiale plastico fibrorinforzato,2009,MO,€,"103.150,00"
ARIA S.R.L.,SISTEMA OTSS - Oil Tank Sonar System,2009,FE,€,"165.000,00"
AROMA SYSTEM S.r.l.,"Studio, progettazione e sperimentazione di una valvola unidirezionale in 
materiale atossico e biodegradabile per confezioni sottovuoto, col relativo 
processo produttivo.",2009,BO,€,"155.600,00"
ATLANTIC MAN. s.r.l.,"Innovazione di processo per la realizzazione di collari stringitubo a bullone in 
acciaio inox",2009,RE,€,"163.000,00"
AXEL TECHNOLOGY SRL,"Ricerca e sviluppo di algoritmi avanzati per l’elaborazione audio su piattaforma 
general purpose di tipo PC e loro applicazione nella realizzazione di un 
prototipo di console audio digitale per il settore del broadcast radiotelevisivo.",2009,BO,€,"148.900,00"
AZIMUT SOLUTIONS,Sistema ITALQUALITY,2009,RA,€,"122.495,00"
B.R.D. di Bocchi Ing.Giuseppe & C. Srl,"Progetto strutturale ed affidabilistico di un motore a combustione interna con 
cinematismo innovativo ad alta efficienza energetica",2009,PR,€,"115.000,00"
BEMA s.r.l.,"Studio e realizzazione di un dispositivo di simulazione di stabilità di carichi 
palettizzati e di un sistema di fasciatura per l’imballaggio di due semi-pallet uniti",2009,RE,€,"148.050,00"
Berarma srl,Pompe a palette a cilindrata variabile di nuova generazione,2009,BO,€,"129.800,00"
Bettati antincendio,"Simulazione e realizzazione di sistemi innovativi “nano-mist” per la sicurezza 
antincendio, e contestuale ottimizzazione dei sistemi water-mist e nano-mist 
mediante l’introduzione di additivi.",2009,RE,€,"156.200,00"
BIOFER S.P.A.,"Sintesi Industriali di composti organici tramite l’utilizzo di microonde:_
 in particolare lo sviluppo della preparazione  del  micofenolato e citotossici",2009,MO,€,"227.000,00"
Bioikos Ambiente S.r.l.,"Progetto Biomede - studio e realizzazione di tecnologia innovativa volta a 
limitare o annullare l'impatto ambientale di farmaci ad uso veterinario",2009,BO,€,"76.180,00"
BLULINK srl,"Sistemi integrati per l’ottimizzazione delle attività di controllo e di manutenzione 
preventiva in meccatronica",2009,RE,€,"118.250,00"
BRIDGE 129 SPA SAFETY AND SECURITY,"""OUTDOOR VIDEO PROTECTION"":visione artificiale e tecnologie informatiche 
innovative per la sicurezza di ambienti di lavoro all'aperto.",2009,RE,€,"145.700,00"
C.B.FERRARI SRL,"TLM-(Textures Laser Manufacturing)- Lavorazioni Laser per le realizzazioni di 
tessiture sulle superfici attive di stampi",2009,MO,€,"115.100,00"
C.E.I. Compagnia Elettronica Italiana S.r.l.,"Studio, progettazione e sperimentazione di un nuovo tubo radiogeno per uso 
tomografico senza effetti collaterali per il paziente, col relativo processo 
produttivo innovativo.",2009,BO,€,"160.500,00"
C.G.M. S.P.A.,"Ricerca, progettazione e sviluppo per la realizzazione di un processo, 
denominato PRESSMELT, per la creazione su scala industriale di prodotti 
attraverso il riutilizzo di materiale plastico ed il riciclaggio di poliaccoppiati da 
brick e da contenitori in",2009,RE,€,"108.550,00"
C.S. S.R.L.,Nuovo gruppo di continuità con efficienza superiore al 95%,2009,MO,€,"147.900,00"
CAE S.P.A.,FRANE PRRIITT 2008,2009,BO,€,"74.161,40"
CALF S.P.A.,"Progettazione e realizzazione di innovativo impianto ad elevata capacità 
produttiva per la fabbricazione di capsule metalliche",2009,RE,€,"130.600,00"
Capellini srl,Mill4D,2009,PC,€,"145.300,00"
CASALINI S.R.L.,INNOVATIVO QUADRICICLO LEGGERO ECO SOSTENIBILE,2009,FI,€,"164.500,00"
CAT PROGETTI S.R.L.,Sistema Flessibile per il controllo dimensionale senza contatto,2009,BO,€,"178.500,00"
CE.DA.S. CENTRO DATI SERVIZI AMMINISTRATIVI S.R.L.,"Studio e Sperimentazione di Tecniche di Programmazione a Vincoli per la 
Personalizzazione di Servizi per il Cittadino",2009,PR,€,"64.300,00"
CEA ESTINTORI SPA,"Sviluppo di un sistema innovativo per il telemonitoraggio attivo degli estintori 
antincendio e degli impianti di prevenzione di un edificio",2009,BO,€,"180.900,00"
CENTRO MACCHINE LEGNO s.r.l.,"Progetto per condensare le funzionalità contenute negli impianti CML di grandi 
dimensioni (70 m di lunghezza) in una macchina di dimensioni notevolmente 
ridotte (7/10 m) a favore delle PMI della lavorazione del legno",2009,PC,€,"186.200,00"
Certimac,"QUAL. pro. TER._
Studio e sviluppo di metodologie innovative per la qualificazione delle proprietà 
termiche dei componenti l’involucro edilizio.",2009,RA,€,"85.900,00"
CF3000 srl a socio unico,Green Energy Electronic Network (GEEN),2009,RE,€,"79.500,00"
CGS Consolidamenti spa CONSORZIO STABILE,"STABIT – Sviluppo di una nuova procedura del processo di STAbilizzazione 
stradale e di un nuovo legante BITuminoso secondo gli standard LAC",2009,FC,€,"103.800,00"
CIEMME GROUP SRL,"Studio, progettazione e realizzazione di un innovativo gruppo per il taglio a 
strappo e l’alimentazione di fogli di film plastico svolto da bobina",2009,BO,€,"107.000,00"
CIMA S.P.A. DI RAZZABONI E C.,"STUDIO, RICERCA E PROGETTAZIONE DI UN INNOVATIVO SENSORE 
PER IL CASH HANDLING.",2009,MO,€,"162.600,00"
CNA INFORMATICA SPA,FATELA – Fatturazione Elettronica Automatizzata,2009,MO,€,"196.050,00"
CNI INFORMATICA S.r.l.,"Interfaccia operatore-macchina (HMI) di nuova generazione per il controllo 
decentralizzato a tempo reale di sistemi di automazione elettronici mediante 
comandi vocali e video controllo.",2009,RA,€,"176.100,00"
Comcube srl,CAPACITY PLANNING for systems and applications,2009,BO,€,"72.000,00"
COMPUTES,Scheduling della produzione con specifiche di qualità,2009,PC,€,"151.500,00"
CONSORZIO DELLE BUONE IDEE soc.cons.a r.l.,"BIOSEL Nuovi processi di valorizzazione dei sottoprodotti dell’agroindustria per 
applicazioni ad alto valore aggiunto",2009,BO,€,"79.500,00"
CONSTRUCTA SISTEMI SRL,"Studio preliminare, progettazione e prototipazione di un sistema automatico 
finalizzato alla estrazione/distruzione del film di protezione (pellicola) posta sui 
lamierati in acciaio inox necessaria alla protezione degli stessi durante lo 
stampaggio meccan",2009,FC,€,"146.530,00"
CREA S.R.L.,"TECNOLOGIE E PROCESSI INNOVATIVI PER LA FUNZIONALIZZAZIONE 
SUPERFICIALE E MASSIVA DI MATERIALI CERAMICI PER RIVESTIMENTI 
DI PREGIO",2009,MO,€,"117.000,00"
CT Pack Srl,"PIATTAFORMA ELETTRONICA EMBEDDED DI NUOVA GENERAZIONE IN 
AMBIENTE OPEN SOURCE PER APPLICAZIONI NEL SETTORE 
ALIMENTARE",2009,BO,€,"141.500,00"
CTE INTERNATIONAL SRL,"SISTEMA PORTATILE PER ACQUISIZIONE IN FORMATO CERTIFICATO E 
IL RILANCIO DI DATI AUDIO, VIDEO E GPS",2009,RE,€,"239.000,00"
CUCCOLINI SRL,"Pompa centrifuga ad alta pressione per alimentazione di barbottine ceramiche 
e sospensioni acquose altamente abrasive",2009,RE,€,"108.600,00"
Curti costruzioni meccaniche S.p.A.,Ecosistema per lo smaltimento degli pneumatici consumati,2009,RA,€,"206.125,00"
Cyanagen S.r.l.,Reagenti Luminescenti per l'Analisi del DNA,2009,BO,€,"139.000,00"
Data Processing S.p.A.,"LAB-RER2: sistema self improving di rilevazione, analisi e valutazione di errori 
(incident, non conformità e insufficienze) nel processo di laboratorio elaborati e 
pubblicati con un panel di indicatori e un cruscotto flessibile",2009,BO,€,"103.808,00"
DELTA INFORMATICA SRL,"“NEURO5: Banca Dati Patologie Neurologiche / Sistema di raccolta, analisi 
statistica e analisi osservazionale dei dati relativi ai pazienti affetti da almeno 
una delle 5 principali patologie neurologiche”",2009,FE,€,"75.000,00"
DI.CO SERVICE SRL GESTIONI MECCANICHE,FAST-COST,2009,BO,€,"171.500,00"
DIEMME SPA,"Sviluppo di una nuova macchina filtro pressa ad elevata efficienza ed elevato 
controllo delle performance di processo",2009,RA,€,"221.900,00"
Digitalmech s.r.l.,"MAGAZZINO MODULARE DEDICATO ALLO STOCCAGGIO ED ALLA 
GESTIONE ADATTATIVA DI UTENSILI PER CENTRI DI LAVORAZIONE",2009,PC,€,"126.500,00"
DINI ARGEO SRL,Nuova macchina per la taratura automatizzata delle bilance,2009,MO,€,"140.650,00"
Diwem Srl,SISTEMI PREFABBRICATI A SECCO PER L’EDILIZIA,2009,BO,€,"161.124,60"
DTM s.r.l.,MASAR - Meccanica di Avanguardia per la Sicurezza di velivoli ad Ala Rotante,2009,MO,€,"84.100,00"
EBILLING S.P.A.,"Ricerca e sviluppo delle conoscenze semantiche, ontologiche ed architetturali 
per la definizione di un'innovativa piattaforma che supporti la ENTERPRISE 
DIGITAL INTEGRATION per servizi inbound di Supply Chain riferiti al ciclo 
logistico integrato aziendal",2009,MO,€,"164.000,00"
ECOGLOBAL S.R.L.,"INNOVATIVO PROCESSO-SERVIZIO DI CONTROLLO ULTRASONORO 
PHASED ARRAY DI SALDATURE IN ACCIAIO INOSSIDABILE, MATERIALI 
COMPOSITI PER IMBARCAZIONI E DIMENSIONAMENTO MICROMETRICO.",2009,RE,€,"140.000,00"
ELCOS AUTOMAZIONE S.R.L.,"SAUGASME – Sistema di AUtomazione per stazioni di rifornimento a GAS 
Metano",2009,FC,€,"189.800,00"
Elektrica S.R.L.,SAMONCEB - Sistema di Automazione e MONitoraggio CEntrali a Biomasse,2009,FC,€,"183.400,00"
ELENOS S.R.L.,"Studio, progettazione e prototipazione di trasmettitore da 10 KW compatto per 
radiodiffusione in FM ad elevata efficienza elettrica, con possibilità di 
raffreddamento ad aria ed a liquido, predisposto per le trasmissioni in tecnica 
digitale",2009,BO,€,"170.000,00"
ELETTRICA 77 AUTOMATION SRL,"Gestione della Filiera CERAMICA dalla fase Progettuale del Campione fino al 
controllo della produzione Industriale del campione",2009,RE,€,"188.000,00"
Elettromeccanica Muccioli Marco S.r.l.,"Gestione dei fondali marini con tecnologia ad alta efficienza e ad impatto 
ambientale nullo",2009,RN,€,"212.500,00"
EMMEPI S.R.L.,"“FLAWLESS ITALIAN MAJAP”_
Fiber laser welding of stainless steel sheets in Italian major appliances",2009,PC,€,"126.000,00"
EMMETI SpA,"RICERCA E SVILUPPO DI UN INNOVATIVO SISTEMA INTEGRATO 
FINALIZZATO ALLA TRACCIABILITA’,  BASATO SU TECNOLOGIA DI 
IDENTIFICAZIONE E LOCALIZZAZIONE RADIOFREQUENZA (RFID)",2009,RE,€,"105.705,00"
ERATECH S.R.L.,"NUOVE FORMULAZIONI DI MELATONINA INIETTABILE PER LA 
PREVENZIONE ED IL TRATTAMENTO DELLA PARALISI CEREBRALE NEL 
NEONATO DURANTE IL PERIODO PERINATALE",2009,MI,€,"163.500,00"
ERRETIESSE POWER S.R.L.,LaBiRinSi – Lane Bio Riciclate in Situ,2009,TA,€,"93.160,00"
ESSENTIA S.P.A,"Sviluppo di una Rete Outdoor Wireless MIMO per l’Erogazione di Servizi IP 
Evoluti a Larga Banda",2009,RE,€,"226.750,00"
ETHERIA S.R.L.,"Nuova piattaforma di gestione e comunicazione per veicoli di sicurezza, con 
integrazione di vettori informativi differenziati",2009,MO,€,"64.500,00"
eurhema srl,"Sviluppo di nuovi nano-composti polimerici e ibridi per applicazioni nel settore 
zootecnico",2009,RE,€,"119.500,00"
