"ragione_sociale","azione","titolo_operazione","importo_approvato","fund_type","currency","uri"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE AMMINISTRATIVO SEGRETARIALE","152.878,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Percorso di obbligo formativo per operatore della ristorazione - Biennio","775.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Obbligo formativo - Operatore della ristorazione I e II anno - IAL CISL Emilia Romagna - sede di Riccione","440.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Operatore della ristorazione 2007-2009","194.400,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE ALLE CURE ESTETICHE - EDIZIONE 1 (seconda annualità)","97.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE ALLE CURE ESTETICHE - EDIZIONE 2 (seconda annualità)","97.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Operatore alle cure estetiche - secondo ciclo","75.550,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE ALLE CURE ESTETICHE 2007 - 2009 - EDIZIONE 1 (integrato con rif. pa. n. 186)","202.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","OPERATORE ALLE CURE ESTETICHE 2007 - 2009 - EDIZIONE 2 (integrato con rif. pa. n. 187)","202.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
"IAL CISL Emilia Romagna","Persone, Formazione all'interno del diritto-dovere all'istruzione e alla formazione/ Percorsi nella formazione","Operatore alle cure estetiche 2007-2009","304.000,00","ESF","EUR","http://www.emiliaromagnasapere.it/fse/fondo-sociale-europeo/documentibeneficiari/beneficiari_2008por"
