Asse,Attivita,Beneficiario,Titolo Intervento,Provincia,Anno Finanziamento,"Contributo
Ammesso
(Totale)","Contributo
Ammesso (FESR)","Contributo
Liquidato (Totale)","Contributo
Liquidato (FESR)"
1,1.1.a.2,AMB SRL,"Studio per la valutazione della
possibilità di impiego del PET da
raccolta differenziata",UD,2009,"135.655,21","33.235,53",,
1,1.1.a.2,"ANSALDO SISTEMI
INDUSTRIALI S.P.A.","SVILUPPO DI UN NUOVO
SISTEMA DI ISOLAMENTO PER
MACCHINE ELETTRICHE ROTANTI
AD ELEVATE PRESTAZIONI",GO,2009,"432.440,34","105.947,88","432.440,34","105.947,88"
1,1.1.a.2,"APPLIANCES COMPONENTS
COMPANIES S.P.A.","unità azionamento basate su
motori a magneti permanenti per
applicazioni settore
lavabiancherie",PN,2009,"166.218,85","40.723,62",,
1,1.1.a.2,BERTON CALORTECNICA SRL,"agevolare ciclo produttivo
serbatoi antincendio",UD,2009,"22.435,40","5.496,67","11.615,26","2.845,73"
1,1.1.a.2,BERTON CALORTECNICA SRL,,UD,2009,"23.182,49","5.679,71","18.021,78","4.415,33"
1,1.1.a.2,"BORTOLIN KEMO S.P.A.
PORCIA","Progetto BK 2007  Macchina
decappucciatrice",PN,2009,"147.121,69","36.044,81",,
1,1.1.a.2,BPT S.P.A.,"Villaggio digitale: sviluppo di
tecnologie e modelli",PN,2009,"638.157,65","156.348,62",,
1,1.1.a.2,"CALCORPRESS INDUSTRIES
SRL","Ricerca di una diversa alternativa
per il lavaggio industriale e civile
attraverso turbine da instal",PN,2009,"46.334,30","11.351,90",,
1,1.1.a.2,"CENTRO RICERCHE
PLAST-OPTICA S.P.A.","Tecnologie di stampaggio
innovative per ottiche di elevata
precisione",UD,2009,"100.959,85","24.735,16","77.996,53","19.109,14"
1,1.1.a.2,CIMOLAI S.P.A.,"Innovazioni ed integrazioni di
processo per la progettazione con
software di calcolo strutturale",PN,2009,"434.203,95","106.379,97","362.940,38","88.920,39"
1,1.1.a.2,CLABER SPA,"nuovi sistemi water saving per
gestione irrigazione,basso
consumo elettrico-tecnologie
wireless- web",PN,2009,"252.155,78","61.778,17","250.198,38","61.298,60"
1,1.1.a.2,DANIELI AUTOMATION SPA,"metodi innovativi per il
rilevamento delle caratteristiche
dimensionali e per la valutazione e
la cl",UD,2009,"207.141,71","50.749,72",,
1,1.1.a.2,DENA LINE SPA,"innovazione processo galvanico
aziendale con eliminazione cianuro
dai bagni di elettrodeposizione",PN,2009,"137.928,25","33.792,42","118.388,52","29.005,18"
1,1.1.a.2,DIAL INFORMATICA S.R.L.,"tourex-experience and exploration
enviroment for e-tourism",UD,2009,"139.536,39","34.186,42","123.675,89","30.300,59"
1,1.1.a.2,DOMINO SRL,"Lo sviluppo di nuove soluzioni nel
campo delle mini-piscine SPA",PN,2009,"264.789,36","64.873,39",,
1,1.1.a.2,EASYSTAFF S.R.L.,"Sviluppo di algoritmi e prototipi
per la soluzione di problemi di
turnazione e pianificazione in amb",UD,2009,"75.386,16","18.469,61",,
1,1.1.a.2,EFFEZETA SPA,"Studio e sviluppo di nuovi
materiali e tecnologie per sedie,
tavoli e complementi d’arredo",UD,2009,"112.748,62","27.623,41","85.053,63","20.838,13"
1,1.1.a.2,EITOS S.R.L.,"CV SPACE: sviluppo di una
piattaforma in modalità multi-iter",PN,2009,"62.792,74","15.384,22",,
1,1.1.a.2,EKOS SRL,"Studio e sviluppo di nuove
soluzioni progettuali per impianti
solari Heat-Pipe",PN,2009,"27.055,42","6.628,58","22.522,16","5.517,93"
1,1.1.a.2,ELECTROLUX ITALIA SPA,"Nuova piattaforma per lavasciuga
e lavabiancheria a grande capacità",PN,2009,"756.042,26","185.230,35",,
