beneficiario,asse,ob_spec,azione,codice_operazione,titolo_operazione,anno,importo_impegnato,importo_pagato
A.R.S.A.P.,1,B,17,2.00915E+11,LA SALUTE E LA SICUREZZA NELLA SCUOLA,2009,"3.000,00",-
A.R.S.A.P.,1,C,111,2.00937E+11,ORIENTAMENTO,2009,"480,00",-
A.R.S.A.P.,2,E,42,2.00805E+11,ALFABETIZZAZIONE ITALIANA - 1,2008,"25.499,48","25.499,48"
A.R.S.A.P.,2,E,42,2.00805E+11,ALFABETIZZAZIONE ITALIANA - 2,2008,"25.499,87","25.499,87"
A.R.S.A.P.,2,E,42,2.00805E+11,ALFABETIZZAZIONE ITALIANA - 3,2008,"25.499,74","25.499,74"
A.R.S.A.P.,2,E,42,2.00805E+11,ALFABETIZZAZIONE ITALIANA - 4,2008,"25.499,92","25.499,92"
A.R.S.A.P.,2,E,42,2.00805E+11,ALFABETIZZAZIONE ITALIANA - 5,2008,"25.483,44","25.483,44"
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE ALLE RELAZIONI COMMERCIALI,2008,"6.779,79","6.779,79"
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE ALLA PROGRAMMAZIONE TURISTICA,2008,"2.324,03","2.324,03"
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE ALLA PROGETTAZIONE IN STUDIO GRAFICO,2008,"6.780,00",-
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A ALLA QUALITA',2008,"6.780,00",-
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE DESIGNER,2008,"6.512,24","6.512,24"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A AL DISEGNO IN CAD,2008,"6.780,00",-
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE TECNICO DELLA FOTOGRAFIA,2008,"6.741,73","6.741,73"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A ALL'INSERIMENTO E SVILUPPO DATI DI RILIEVI,2008,"6.779,98","6.779,98"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A ALL'UFFICIO COMMERCIALE,2008,"6.721,49","6.721,49"
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE DI AGENZIA DI VIAGGI,2008,"6.779,99","6.779,99"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A ALLA SEGRETERIA E ALLA CONTABILITA' IN STUDIO COMMERCIALE,2008,"6.780,00",-
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE ALLE ATTIVITA' CONTABILI IN STUDIO COMMERCIALE,2008,"6.624,74","6.624,74"
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE ALLA PROGETTAZIONE IN STUDIO DI ARCHITETTURA,2008,"6.767,36","6.767,36"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A AI SERVIZI DI SEGRETERIA,2008,"6.323,03","6.323,03"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A ALL'UFFICIO AMMINISTRATIVO,2008,"6.780,00","5.763,00"
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE AL MARKETING E ALLE RELAZIONI COMMERCIALI,2008,"2.630,83","2.630,83"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A AMMINISTRATIVO/A,2008,"6.438,85","6.438,85"
A.R.S.A.P.,2,E,31,2.00806E+11,ASSISTENTE DI SEGRETERIA E ALLE ATTIVITÀ AMMINISTRATIVE IN STUDIO COMMERCIALE,2008,"6.780,00","5.763,00"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A AGLI ACQUISTI,2008,"6.780,00",-
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A AGLI ACQUISTI,2008,"6.617,93","6.617,93"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A ALLE VENDITE E ALL'ALLESTIMENTO IN NEGOZIO DI TENDAGGI,2008,"6.325,49","6.325,49"
A.R.S.A.P.,2,E,31,2.00806E+11,ADDETTO/A ALLE ATTIVITÀ DI SEGRETERIA AMMINISTRATIVA IN AGENZIA ASSICURATIVA,2008,"6.606,72","6.606,72"
A.R.S.A.P.,2,E,33,2.00806E+11,TECNICHE CAD,2008,"58.418,66","58.418,66"
A.R.S.A.P.,2,E,33,2.00806E+11,TECNICHE DI CONTABILITA' E DI CONTROLLO DI GESTIONE,2008,"58.216,23","58.216,23"
A.R.S.A.P.,2,E,33,2.00806E+11,ELETTRICISTA CIVILE-INDUSTRIALE,2008,"136.000,00","115.600,00"
A.R.S.A.P.,2,E,31,2.00816E+11,ASSISTENTE ALLA GESTIONE DEL PERSONALE,2008,"6.780,00","5.763,00"
A.R.S.A.P.,2,E,31,2.00816E+11,ASSISTENTE TECNICO DI PROCESSO,2008,"6.780,00","5.763,00"
A.R.S.A.P.,2,E,33,2.00907E+11,TECNICHE CAD,2009,"58.728,00","49.918,80"
A.R.S.A.P.,2,E,33,2.00907E+11,TECNICHE DI CONTABILITA' E DI CONTROLLO DI GESTIONE,2009,"58.728,00","49.918,80"
A.R.S.A.P.,2,E,42,2.0091E+11,ALFABETIZZAZIONE ITALIANA 1,2009,"25.500,00","21.675,00"
A.R.S.A.P.,2,E,42,2.0091E+11,ALFABETIZZAZIONE ITALIANA 2,2009,"25.500,00","21.675,00"
A.R.S.A.P.,2,E,42,2.0091E+11,ALFABETIZZAZIONE ITALIANA 3,2009,"25.500,00","21.675,00"
A.R.S.A.P.,2,E,42,2.0091E+11,ALFABETIZZAZIONE ITALIANA 4,2009,"25.500,00","21.675,00"
A.R.S.A.P.,2,E,42,2.0091E+11,ALFABETIZZAZIONE ITALIANA 5,2009,"25.500,00","21.675,00"
A.R.S.A.P.,2,E,42,2.0091E+11,ALFABETIZZAZIONE ITALIANA 6,2009,"25.500,00","21.675,00"
A.R.S.A.P.,2,E,42,2.0091E+11,ALFABETIZZAZIONE ITALIANA 7,2009,"25.500,00","21.675,00"
A.R.S.A.P.,2,E,42,2.0091E+11,ALFABETIZZAZIONE ITALIANA 8,2009,"25.500,00","21.675,00"
A.R.S.A.P.,2,E,33,2.00911E+11,TECNICHE DI FOTOGRAFIA DIGITALE E PROFESSIONALE,2009,"58.728,00","49.918,80"
A.R.S.A.P.,2,E,33,2.00911E+11,TECNICHE DI MANUTENZIONE NELLA NAUTICA DA DIPORTO,2009,"58.728,00","49.918,80"
A.R.S.A.P.,3,G,55,2.00806E+11,ALFABETIZZAZIONE E ORIENTAMENTO PER MINORI IMMIGRATI,2008,"33.999,85","33.999,85"
A.R.S.A.P.,3,G,55,2.00806E+11,TECNICHE DI GRAFICA MULTIMEDIALE,2008,"50.990,28","50.990,28"
A.R.S.A.P.,3,G,55,2.00806E+11,TECNICHE DI PROGETTAZIONE E REALIZZAZIONE DI OPERE MUSIVE,2008,"35.699,95","35.699,95"
A.R.S.A.P.,3,G,55,2.00806E+11,TECNICHE MUSIVE,2008,"50.996,80","50.996,80"
A.R.S.A.P.,3,G,55,2.00806E+11,TECNICHE DI GRAFICA MULTIMEDIALE,2008,"50.995,51","50.995,51"
A.R.S.A.P.,3,G,60,2.00923E+11,TECNICHE DI MOSAICO,2009,"68.000,00","57.800,00"
A.R.S.A.P.,3,G,60,2.00923E+11,TECNICHE DI GRAFICA MULTIMEDIALE,2009,"68.000,00","57.800,00"
A.R.S.A.P.,3,G,60,2.00923E+11,INSTALLATORE E MANUTENTORE IMPIANTI ELETTRICI-INSTALLATORE IMPIANTI ELETTRICI CIVILI ED INDUSTRIALI,2009,"102.000,00",-
A.R.S.A.P.,3,G,60,2.00923E+11,OPERATORE DELL'ABBIGLIAMENTO - ADDETTO DI SARTORIA,2009,"102.000,00","86.700,00"
A.R.S.A.P.,4,I,71,2.00804E+11,INFORMATICA DI BASE,2008,"9.669,60","8.219,16"
A.R.S.A.P.,4,I,71,2.00804E+11,LINGUA INGLESE - LIVELLO BASE A1,2008,"9.792,00","8.323,20"
A.R.S.A.P.,4,I,71,2.00804E+11,LINGUA INGLESE - LIVELLO BASE A2,2008,"11.016,00","9.363,60"
A.R.S.A.P.,4,I,71,2.00805E+11,PREPARAZIONE ALL'ECDL,2008,"16.646,40","14.149,44"
