"denominazione_beneficiario","titolo_del_progetto","asse","attivita","anno_assegnaz","contributo_pubblico_assegnato","contributo_pubblico_pagato","fund_type","currency","uri"
"ACQUAPENDENTE COMUNE","Consolidamento rupe sottostante la casa di riposo S. Giuseppe (codice A0005P0001 - CUP F43B09000010008)","II",3,2008,"500.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"ALLUMIERE COMUNE","Sistemazione idrogeologica Le Terre. (codice A0005P0002 - CUP B22J09000040008)","II",3,2008,"2.300.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"BELLEGRA COMUNE","Ripristino percorribilità strada comunale Vaccarecce (codice A0005P0003 - CUP H19H08000370002)","II",3,2008,"400.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"BLERA COMUNE","Prevenzione di fenomeni di crollo in località Pontoni (codice A0005P0004 - CUP C12J09000000006)","II",3,2008,"400.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"BLERA COMUNE","Consolidamento della rupe del centro abitato di Civitella Cesi (codice A0005P0005 - CUP C93B06000010002)","II",3,2008,"800.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"BOLSENA COMUNE","Bonifica dissesto gravitativo lungo la via Cassia km 109,300 (codice A0005P0006 - CUP I22J09000010006)","II",3,2008,"500.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"CANINO COMUNE","Consolidamento e riqualificazione centro abitato versante prospiciente valle San Moro (codice A0005P0007 - CUP D62J08000360002)","II",3,2008,"1.400.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"CASTEL SANT'ELIA COMUNE","Completamento interventi di consolidamento per pericolo di crollo lungo la Valle dei Santi (codice A0005P0008 - CUP H22J08000090002)","II",3,2008,"1.600.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"CERVETERI COMUNE","Completamento del consolidamento della rupe a nord-ovest del centro abitato (codice A0005P0009 - CUP C95D08000060002)","II",3,2008,"700.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"CITTADUCALE COMUNE","Rimozione della pericolosità per frana in località Grotti - Centro abitato (codice A0005P0010 - CUP H32D08000090005)","II",3,2008,"800.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"FIAMIGNANO COMUNE","Rimozione della pericolosità per frana lungo la strada comunale per Marmosedio e località Poggio Poponesco (codice A0005P0011 - CUP B63B07000090002)","II",3,2008,"500.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"FIAMIGNANO COMUNE","Rimozione della pericolosità per frana in località Colle Sambuco (codice A0005P0012 - CUP B63B07000080002)","II",3,2008,"1.000.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"ITRI COMUNE","Completamento dei lavori di consolidamento dell'abitato di Sant'Angelo (codice A0005P0013 - CUP C18C08000090002)","II",3,2008,"820.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"LATERA COMUNE","Consolidamento in alcune zone del centro storico (via del Montinaccio, località S.Sebastiano, Fontana di Canale, fosso del Ponticello, scuola Media, Grotta via Ripetta, località il (codice A0005P0014 - CUP J82J09000000002)","II",3,2008,"800.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"PONTINA CONSORZIO DI BONIFICA","Completamento intervento di bonifica dei crolli in corrispondenza della SS 637 ai Km. 36-38 (codice A0005P0015 - CUP E38G08000000002)","II",3,2008,"500.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"A.R.D.I.S. - AG. REGIONALE PER LA DIFESA DEL SUOLO","Lavori di completamento della sistemazione idraulica del Fiume Fiora tra la S.S.1 Aurelia ed il mare e del Fosso Timone tra l’abitato di Musignano e la foce. Secondo stralcio (codice A0005P0016 - CUP F28G09000020006)","II",3,2008,"8.000.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"PONTINA CONSORZIO DI BONIFICA","Completamento della stabilizzazione della pendice e protezione dalla caduta massi in località Pizzuco (codice A0005P0017 - CUP E68G08000120002)","II",3,2008,"1.000.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
"MONTENERO SABINO COMUNE","Completamento dei lavori di risanamento delle colate in prossimità del centro storico - fossi Mandricelli e Orneto (II) (codice A0005P0018 - CUP G22J04000040002)","II",3,2008,"940.000,00","-","ERDF","EUR","http://porfesr.lazio.it/PORFESR/galleria_allegati/elenco_beneficiari.pdf"
