Denominazione beneficiario,Titolo progetto,Provincia,Comune,Anno assegnaz.,Asse,Attivita,Contribute pubblico asseanato,Contribute pubblico Daaato
A.R.D.I.S. - AG. REGIONALE PER LA DIFESA DEL SUOLO,Lavori di completamento della sistemazione idraulica del Fiume Fiora tra la S.S.I Aurelia ed il mare e del Fosso Timone tra I'abitato di Musignano e la foce. Secondo stralcio (codice A0005P0016 - CUP F28G09000020006),VITERBO,Montalto Di Castro,2009,II,3,"8.000.000,00",
ACI - AUTOMOBILE CLUB DTTALIA,Realizzazione di servizi per il Centro regionale dell'Infomobilita (codice A0023P0001 - CUP F89C090004900021,,,2009,III,1,"3.491.600,00",-
ACQUAFONDATA COMUNE,Messa in sicurezza e caratterizzazione -Spina (codice A0007P0001),FROSINONE,Acquafondata,2009,II,2,"18.685,98",-
ACQUAPENDENTE COMUNE,Consolidamento rupe sottostante la casa di riposo S. Giuseppe (codice A0005P0001 - CUP F43B090000100081,VITERBO,Acquapendente,2009,II,3,"500.000,00","25.000,00"
ACQUAPENDENTE COMUNE,Un ponte sul fiume Paglia (codice A0001P0021 - CUP F43G08000070002),VITERBO,Acquapendente,2008,II,4,"495.000,00","24.750,00"
ACQUAPENDENTE COMUNE,In cammino dal Centro Visite al fiume Paglia (codice A0002P0017 - CUP F43G080000800091,VITERBO,Acquapendente,2008,II,4,"501.000,00",-
ACUTO COMUNE,Messa in sicurezza e caratterizzazione -Monte Calvario 1 (S.Carmine) (codice A0006P0001 - CUP F45B07000020002),FROSINONE,Acuto,2009,II,2,"71.500,00",-
ADVANCED COMPUTER SYSTEM SPA,Validazione Istopatologica (codice A0032P0005),ROMA,Roma,2008,I,1,"335.980,00","167.990,00"
ALATRI COMUNE,Messa in sicurezza e caratterizzazione -Aiello (codice A0007P0002 - CUP G52D090000800071,FROSINONE,Alatri,2009,II,2,"170.200,00",-
ALLUMIERE COMUNE,Sistemazione idrogeologica  Le Terre. (codice A0005P0002 - CUP B22J090000400081,ROMA,Allumiere,2009,II,3,"2.300.000,00",-
AQUINO COMUNE,Messa in sicurezza e caratterizzazione -Pilozze (aeroporto di Aquino) (codice A0006P00021,FROSINONE,Aquino,2009,II,2,"629.500,00",-
ARCE COMUNE,Messa in sicurezza e caratterizzazione -Colle Alto/Colleone (codice A0006P00031,FROSINONE,Arce,2009,II,2,"108.000,00",-
ARCHIMEDES LOGICA SRL,Nuovi ausili visivi in chirurgia laparoscopica (codice A0032P0017),ROMA,Roma,2008,I,1,"448.140,00","224.070,00"
ARNARA COMUNE,Messa in sicurezza e caratterizzazione  ‰ÐÊ Mandrelle (codice A0007P0003),FROSINONE,Arnara,2009,II,2,"207.200,00",-
ARPINO COMUNE,Messa in sicurezza e caratterizzazione -Valle Fredda (codice A0006P0004 - CUP I32H090000000021,FROSINONE,Arpino,2009,II,2,"138.000,00",-
ATAC AZIENDA TRAMVIE E AUTOBUS DEL COMUNE S.P.A.,Realizzazione e fornitura in opera del sistema di bigliettazione elettronica (S.B.E.) relativa al trasporto pubblico regionale (codice A0026P0001 - CUP T80H060ooooooo?i,,,2009,III,1,"20.000.000,00",-
AUSONIA COMUNE,Messa in sicurezza e caratterizzazione -Torrerisi (codice A0007P0004 - CUP B52D070000500081,FROSINONE,Ausonia,2009,II,2,"579.253,00",-
AZIENDA SPEC.CONS.R.NATURALE ANT.CITTA'FREGELLAE,"Interventi di recupero e valorizzazione strutturale finalizzati all'accoglienza e fruizione nella Riserva Naturale delle Antiche Citta di Fragellae, Fabrateria Nova e Lago di San (codice A0001P0025 - CUP D15G08000090002)",BERGAMO,Arcene,2008,II,4,"441.000,00",-
BANCA IMPRESA LAZIO SPA,"""""Forme di credito innovative"""" ai sensi della DGR n. 632/2009 - Costituzione Fondo (codice A0022P0001 - CUP F87C100000000061",-,-,2009,I,5,"10.000.000,00","10.000.000,00"
BARBARANO ROMANO COMUNE,Rete sentieristica per I'accessibilita (codice A0001P0028 - CUP G72D080002400061,VITERBO,Barbarano Romano,2008,II,4,"342.000,00","17.100,00"
BARBARANO ROMANO COMUNE,Civilta etrusca nel territorio di Barbarano (codice A0002P0024 - CUP G77I080000300021,VITERBO,Barbarano Romano,2008,II,4,"380.000,00",-
BELLEGRA COMUNE,Ripristino percorribilita strada comunale Vaccarecce (codice A0005P0003 - CUP H19H08000370002),ROMA,Bellegra,2009,II,3,"400.000,00","20.000,00"
BELMONTE CASTELLO COMUNE,Messa in sicurezza e caratterizzazione -Strada Terelle (codice A0007P0005),FROSINONE,Belmonte Castello,2009,II,2,"137.837,00",-
BIOS spa,Ricerca di nuovi biomarker precoci per I'individuazione di soggetti a rischio per lo sviluppo di patologia cardiovascolare e diabete mellito di tipo 2 sviluppo di nuovi kit per la misurazione della GP91PHOX E HMGB1 (sviluppo tecnologico e validazione tramite sua applicazione su modelli ad alto rischio di patologia cardiovascolare) (codice,ROMA,Roma,2008,I,1,"291.400,00",-
BIOSENSOR SRL,Sistema BlOsensoristico per la determinazione di contaminanti pericolosi per la salute umana in prodotti agro-ALimentari (codice Anrcwpnmn,ROMA,Palombara Sabina,2008,I,1,"274.930,00","137.465,00"
BLERA COMUNE,Prevenzione di fenomeni di crollo in localita Pontoni (codice A0005P0004 -CUP C12J090000000061,VITERBO,Blera,2009,II,3,"400.000,00","20.000,00"
BLERA COMUNE,Consolidamento della rupe del centro abitato di Civitella Cesi (codice A0005P0005 - CUP C93B060000100021,VITERBO,Blera,2009,II,3,"800.000,00",-
BOLSENA COMUNE,"Bonifica dissesto gravitativo lungo la via Cassia km 109,300 (codice A0005P0006 - CUP I22J090000100061",VITERBO,Bolsena,2009,II,3,"500.000,00","25.000,00"
BOMARZO COMUNE,Percorso pedonale di accesso a Monte Casoli e area ricreativa (codice A0001P0024 - CUP J33E09000000002!,VITERBO,Bomarzo,2008,II,4,"270.900,00",-
BOMARZO COMUNE,"Punto vendita e informazioni turistiche, percorso e area di sosta (codice A0002P0019 - CUP J33E090000100021",VITERBO,Bomarzo,2008,II,4,"450.000,00",-
BOMARZO COMUNE,"Area pic-nic, gioco bambini e area sosta (codice A0002P0020 - CUP J33E090000200021",VITERBO,Bomarzo,2008,II,4,"305.000,00",-
BORGOROSE COMUNE,"Progetto di riqualificazione e valorizzazione delle strutture di fruizione:orto botanico ed itinerario ambientale, storico architettonico, religioso e culturale (codice A0001P0016 - CUP H32D08000070006)",RIETI,Borgorose,2008,II,4,"466.650,00","23.332,50"
BORGOROSE COMUNE,Recupero di fabbricato rurale da adibire a foresteria ed ecomuseo tra le rovine del borgo storico colpito dal sisma nel 1915 (codice A0002P0014 - CUP H35raiR00007000fil,RIETI,Borgorose,2008,II,4,"480.000,00",-
C.R.F. COOP. RICERCA FINALIZZATA S. COOP.,sviluppo di prodotti innovativi derivati del latte destinati alHnfanzia e a consumatori con specifiche esigenze tramite valorizzazione di specie e processi atti a certificare qualita e filiera   lYnrlire Ann?2PnniRl,VITERBO,Tuscania,2008,I,1,"243.660,00","121.830,00"
Campus Biomedico,"Azioni orizzontali e verticali relative allr ftontiere tecnologiche: Bioscienze, Biotecnoloaie (codice A0030P00021",ROMA,Roma,2008,I,1,"3.054.500,00","244.360,00"
CANALE MONTERANO COMUNE,Interventi sulla mura urbane di Monterano (tra Porta Cretella e Porta Romana) sul Convento di San Bonaventura e la Chiesa di San Rocco (codice A0001P0029 - CUP mmRnnnninnnfii,ROMA,Canale Monterano,2008,II,4,"470.592,00",-
CANALE MONTERANO COMUNE,Ecomuseo diffuso della Valle del Mignone (codice A0002P0025 - CUP C56H080001900061,ROMA,Canale Monterano,2008,II,4,"327.120,00",-
CANINO COMUNE,Consolidamento e riqualificazione centro abitato versante prospiciente valle San Mora (codice A0005P0007 -CUP Dfi210R0003fi00021,VITERBO,Canino,2009,II,3,"1.400.000,00","70.000,00"
CAPRAROLA COMUNE,"Valorizzazione e completamento via d'acqua """"Le Prove"""" (codice A0001P0017 - CUP F93E0R0001000061",VITERBO,Caprarola,2008,II,4,"278.976,60",-
CAPRAROLA COMUNE,Recupero e valorizzazione Dogana vecchia (codice A0001P001R - CUP F95G0R0000500061,VITERBO,Caprarola,2008,II,4,"359.100,00",-
CAPRAROLA COMUNE,Recupero antico percorso via Francigena (codice A0002P0015 - CUP F95G0R0000400061,VITERBO,Caprarola,2008,II,4,"304.747,00",-
CASALVIERI COMUNE,Messa in sicurezza e caratterizzazione -Pozzuoli (codice A0006P0005 - CUP H25D090000100061,FROSINONE,Casalvieri,2009,II,2,"449.094,98",-
CASPUR - Consorzio Interuniversitario per le Applicazioni del supercalcolo Per llnivpriita p Rirprra -,Studio razionale di farmaci anti tumorali della famiglia della campotecina mediante computational drug design (codice A0031P0004),ROMA,Roma,2007,I,1,"58.000,00","29.000,00"
