BENEFICIARIO,DENOMINAZIONE INTERVENTO,DATA CONCESSIONE CONTRIBUTO,PROV. DI REALIZZAZIONE INTERVENTO,CONTRIBUTO CONCESSO,QUOTA FESR DEL CONTRIBUTO,QUOTA NAZIONALE DEL CONTRIBUTO,QUOTA DI CONTRIBUTO LIQUIDATA
Immogesta Srl,produzione di energia da fonti rinnovabili/efficienza energetica,8/4/10,IM,"200.000,00","63.433,40","136.566,60",0
Ignazio Messina & C. Spa,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,GE,"161.302,52","51.159,84","110.142,68",0
Verduci Autoricambi di Verduci Fortunato & C. Snc,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"24.000,00","7.612,01","16.387,99",0
Plastital dell' Ing. Revelli Giobattista & C. S.a.s.,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,IM,"112.000,00","35.522,70","76.477,30",0
BOREA DUE SPA,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SV,"22.350,00","7.088,68","15.261,32",0
POMAFER SPA,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SP,"44.000,00","13.955,35","30.044,65",0
Olf di Galdi Marco,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,SV,"70.760,00","22.442,74","48.317,26",0
Stella Polare SPA,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"37.830,80","11.998,68","25.832,12",0
Centro Agroalimentare Levante Ligure e Lunigiana Srl,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,SP,"200.000,00","63.433,40","136.566,60",0
TEKNITRON di Baghino Renato,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"57.458,75","18.224,02","39.234,73",0
CIESSE FLOWER EXPORT SRL,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,IM,"140.000,00","44.403,38","95.596,62",0
SINECO SPA,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,SP,"107.000,00","33.936,87","73.063,13",0
OREGON GROUP SRL,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"34.000,00","10.783,68","23.216,32",0
Multicomplesso La spezia srl,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SP,"135.884,59","43.098,11","92.786,48",0
Drycarbo Srl,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SV,"109.317,00","34.671,74","74.645,26",0
TORTEROLO E RE Spa,produzione di energia da fonti rinnovabili/efficienza energetica,28/12/2009,SV,"126.594,51","40.151,60","86.442,91",0
GRIMM SRL,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,GE,"39.400,00","12.496,38","26.903,62",0
GARDELLA GINO Srl,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"25.235,00","8.003,71","17.231,29",0
A.S. Ter. S.p.A.,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"56.700,00","17.983,37","38.716,63",0
3F di Ferrecchi Silvano Spa,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SV,"15.637,44","4.959,68","10.677,76",0
SERVIZI SANITARI S.R.L.,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,GE,"144.800,00","45.925,78","98.874,22",0
S.M.A.E.S. SRL,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SV,"21.000,00","6.660,51","14.339,49",0
AUTOCENTRO CERRETTI di Guzzoni Cristiano,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,SP,"49.200,00","15.604,62","33.595,38",0
Marina degli Aregai S.p.A.,produzione di energia da fonti rinnovabili/efficienza energetica,12/4/10,IM,"200.000,00","63.433,40","136.566,60",0
SOLUX SPA,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,GE,"200.000,00","63.433,40","136.566,60",0
3C Pubblicita_ di Vigneto Silvano e C. Snc,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,SV,"21.768,32","6.904,19","14.864,13",0
Raffineria Genovese Metalli Srl,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,GE,"21.734,00","6.893,31","14.840,69",0
STABILIMENTI ITALIANI GAVARRY SPA,produzione di energia da fonti rinnovabili/efficienza energetica,14/12/2009,SV,"185.328,00","58.779,93","126.548,07",0
La Rondine S.r.l.,produzione di energia da fonti rinnovabili/efficienza energetica,25/03/2010,SP,"60.225,61","19.101,58","41.124,03",0
