BENEFICIARIO,PROV. DI REALIZZAZIONE INTERVENTI,ANNO ASSEGNAZIONE CONTRIBUTO,DENOMINAZIONE INTERVENTO,CONTRIBUTO TOTALE ASSEGNATO,QUOTA FESR,QUOTA NAZIONALE DI CONTRIBUTO,QUOTA DI CONTRIBUTO LIQUIDATA
COMUNE DI GENOVA,GE,2009,PRA' MARINA,"11.500.000,00","4.370.000,00","7.130.000,00","485.934,40"
COMUNE DELLA SPEZIA,SP,2009,QUARTIERI COSTIERI DEL LEVANTE,"10.499.600,00","3.989.848,00","6.509.752,00",0
COMUNE DI GENOVA,GE,2009,MADDALENA,"9.905.277,00","3.764.005,26","6.141.271,74","678.378,81"
COMUNE DI IMPERIA,IM,2009,DAL PARASIO AL MARE,"10.000.000,00","3.800.000,00","6.200.000,00","565.631,76"
COMUNE DI SAVONA,SV,2009,PIU' SAVONA,"10.000.000,00","3.800.000,00","6.200.000,00","1.476.244,45"
COMUNE DI GENOVA,GE,2009,SAMPIERDARENA,"9.000.000,00","3.420.000,00","5.580.000,00","360.000,00"
COMUNE DI GENOVA,GE,2010,MOLASSANA,"9.000.000,00","3.420.000,00","5.580.000,00",0
COMUNE DELLA SPEZIA,SP,2009,CENTRO CITTA',"8.999.800,00","3.419.924,00","5.579.876,00","231.537,80"
COMUNE DI SANREMO,IM,2009,PIGNA MARE,"8.999.000,00","3.419.620,00","5.579.380,00",0
COMUNE DI VADO LIGURE CON SAVONA,SV,2009,RIQUALIFICAZIONE DA PORTO VADO A ZINOLA,"8.696.939,00","3.304.836,82","5.392.102,18",0
