SOGGETTO ATTUATORE BENEFICIARIO DEL CONTRIBUTO,ANNO ASSEGNAZIONE CONTRIBUTO,DENOMINAZIONE  INTERVENTO,CONTRIBUTO TOTALE ASSEGNATO,QUOTA FESR,QUOTA NAZIONALE,QUOTA DI CONTRIBUTO LIQUIDATA
PROVINCIA DI IMPERIA,2009,Museo Terruzzi a Villa Regina Margherita (Bordighera),"512.800,00","205.120,00","307.680,00","36.000,00"
PROVINCIA DI IMPERIA,2009,Museo del clown a Villa Grock (Imperia),"876.000,00","350.400,00","525.600,00","146.496,00"
COMUNE DI DIANO MARINA,2009,Palazzo Muzio: realizzazione Museo archeologico,"1.120.000,00","448.000,00","672.000,00",-
COMUNE DI IMPERIA,2009,Museo Navale di Imperia,"1.477.600,00","591.040,00","886.560,00","185.600,00"
SOCIETA' AREA 24 S.p.A.,2009,"Allestimento museale del relitto di Santo Stefano al
mare","528.000,00","211.200,00","316.800,00",-
PROVINCIA DI IMPERIA,2009,Monitoraggio,"83.200,00","33.280,00","49.920,00","83.200,00"
COMUNE DI DOLCE ACQUA,2009,"Restauro, valorizzazione e piena fruizione del Castello
dei Doria (Dolceacqua)","880.000,00","352.000,00","528.000,00","111.204,00"
COMUNE DI VENTIMIGLIA,2009,"Forte dell'Annunziata: restauro e rifunzionalizzazione
(Ventimiglia)","1.040.000,00","416.000,00","624.000,00","64.000,00"
SOPRAINTENDENZA BB.AA.PP. DELLA LIGURIA,2009,Centro culturale a Forte s. Tecla (Sanremo),"1.520.000,00","608.000,00","912.000,00",-
COMUNE DI TAGGIA,2009,"Creazione di struttura polivalente per manifestazioni
ludiche e percorso tematico storico delle fortificazioni
antibarbaresche all'interno dell'abitato storico di Taggia","640.000,00","256.000,00","384.000,00","64.000,00"
COMUNE DI CERVO,2009,Recupero del Bastione (Cervo),"440.000,00","176.000,00","264.000,00","48.800,00"
PROVINCIA DI IMPERIA,2009,Monitoraggio,"83.200,00","33.280,00","49.920,00","83.200,00"
PROVINCIA DI IMPERIA,2009,Sistema delle Ville e dei giardini del Ponente Ligure,"841.271,00","336.508,40","504.762,60",-
COMUNE DI BARDINETO,2009,"Valorizzazione del Castello di Bardineto, messa in rete e realizzazione di auditorium all'aperto","291.200,00","116.480,00","174.720,00","39.200,00"
COMUNE DI CAIRO MONTENOTTE,2009,"Sistemazione accessibilita_, parcheggio. Blocco servizi del Castello di Cairo Montenotte","294.216,16","117.686,46","176.529,70","38.216,00"
COMUNE DI CALIZZANO,2009,"Opere di restauro e recupero delle vecchie mura del castello, sistemazione esterna ed interna aree,
viabilita_ di accesso","520.000,00","208.000,00","312.000,00","152.608,00"
COMUNE DI CISANO SUL NEVA,2009,Recupero torre civica e valorizzazione spazi circostanti le mura urbane,"474.000,00","189.600,00","284.400,00","66.157,00"
COMUNE DI COSSERIA,2009,Sistemazione Castello di Cosseria,"160.000,00","64.000,00","96.000,00","20.000,00"
COMUNE DI DEGO,2009,Sistema accesso Castello di Dego,"147.730,00","59.092,00","88.638,00","12.484,00"
COMUNE DI GARLENDA,2009,"Restauro del piano sottotetto, dei piani nobili e sistemazione aree di pertinenza del Castello dei
Marchesi di Garlenda","677.760,00","271.104,00","406.656,00","93.760,00"
COMUNE DI NOLI,2009,"Recupero, riqualificazione ed adeguamento funzionale
del complesso monumentale del Castello di Monte Ursino in Comune di Noli. Ambiti di intervento 1, 2 e 3, volti alla rifunzionalizzazione della Piazza del Maschio
e delle zone circostanti","750.000,00","300.000,00","450.000,00","92.000,00"
COMUNE DI ORCO FEGLINO,2009,"Realizzazione di interventi per la valorizzazione e l’accessibilita_ del Parco Archeologico di San Lorenzino
nel Comune di Orco Feglino","235.200,00","94.080,00","141.120,00","28.128,00"
COMUEN DI ORTOVERO,2009,Progetto “Borgo murato”: recupero delle antiche mura medievali del Borgo di Pogli,"104.040,00","41.616,00","62.424,00","14.000,00"
COMUEN DI VILLANOVA ALBENGA,2009,Recupero e valorizzazione delle mura del centro storico di Villanova d’Albenga,"539.520,00","215.808,00","323.712,00","46.000,00"
COMUNE DI ZUCCARELLO,2009,Miglioramento dell’accessibilita_ al castello di Ilaria del Carretto e sistemazione ambientale,"270.960,00","108.384,00","162.576,00","38.960,00"
PROVINCIA DI SAVONA,2009,Monitoraggio,"88.800,00","35.520,00","53.280,00","88.800,00"
COMUNE DI ALBENGA,2009,Ristrutturazione e recupero funzionale del Palazzo Peloso Cepolla,"434.500,00","173.800,00","260.700,00","17.693,00"
COMUNE DI ALBISSOLA MARINA,2009,"Restauro opere d’arte e connessi interventi di miglioramento funzionale di parti del complesso
denominato “Villa Jorn”","300.000,00","120.000,00","180.000,00","52.000,00"
COMUNE DI ALTARE,2009,MAV.NET: piu_ rete per il museo dell’arte vetraria di Altare,"27.102,08","10.840,83","16.261,25",-
COMUNE DI CALICE LIGURE,2009,Restauro e riqualificazione del Museo d’Arte Contemporanea Casa del Console,"301.460,00","120.584,00","180.876,00","32.772,00"
ENTE PARCO DEL BEIGUA,2009,Valorizzazione dell’arte rupestre nel Geoparco del Beigua,"42.400,00","16.960,00","25.440,00","27.200,00"
COMUNE DI FINALE LIGURE,2009,Recupero fortezza di Castelfranco e sua trasformazione in centro culturale e struttura museale,"1.100.000,00","440.000,00","660.000,00","156.950,00"
COMUNE DI SASSELLO,2009,"Ampliamento del Polo Museale Perrando attraverso il recupero dell’ex Convento dei Frati nel Comune di
Sassello","320.000,00","128.000,00","192.000,00","29.280,00"
COMUNE DI SAVONA,2009,Restauro e valorizzazione del complesso monumentale del Brandale,"640.000,00","256.000,00","384.000,00","50.400,00"
COMUNE DI VADO LIGURE,2009,Progetto di interventi di adeguamento funzionale e allestimento di Villa Groppallo ai fini della creazione del Museo “Arturo Martini” e della scultura ligure e risistemazione delle opere del “Premio Vado” e “Lascito Queirolo”,"272.194,00","108.877,60","163.316,40","37.440,00"
COMUNE DI VENDONE,2009,Parco Museale Rainer Kriester - recupero e messa in sicurezza della torre medioevale e delle aree pubbliche circostanti in frazione Castellaro e contestuale potenziamento infrastrutture di servizio,"376.000,00","150.400,00","225.600,00","50.400,00"
