"RAGIONE SOCIALE  ","TITOLO AZIONE ","Quota pubblica assegnata (euro) "
"A&I - SOCIETA' COOPERATIVA SOCIALE ONLUS ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","246.530 "
"A.C.O.F. (ASSOCIAZIONE CULTURALE OLGA FIORINI) ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","150.268 "
"A.C.O.F. (ASSOCIAZIONE CULTURALE OLGA FIORINI) ","Dote Specializzazione - ambito Edilizia ","23.400 "
"A.C.O.F. (ASSOCIAZIONE CULTURALE OLGA FIORINI) ","Percorso di accompagnamento al successo formativo ","9.024 "
"A.C.O.F. (ASSOCIAZIONE CULTURALE OLGA FIORINI) ","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","58.050 "
"A.F.G.P. ASSOCIAZIONE FORMAZIONE GIOVANNI PIAMARTA ","Percorso di accompagnamento al successo formativo ","2.944 "
"A.F.G.P. ASSOCIAZIONE FORMAZIONE GIOVANNI PIAMARTA ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","324.000 "
"A.T.S.S. ASSOCIAZIONE TOP STYLE SCHOOL ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","90.000 "
"ACADEMY CENTER ","Percorso di accompagnamento al successo formativo ","56.417 "
"ACCADEMIA PROFESSIONALE P.B.S. ","Percorso di accompagnamento al successo formativo ","70.481 "
"ACCADEMIA PROFESSIONALE P.B.S. ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","90.000 "
"AGENFOR LOMBARDIA ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","39.740 "
"AGENZIA FORMATIVA DELLA PROVINCIA DI VARESE ","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","49.508 "
"AGENZIA FORMATIVA DELLA PROVINCIA DI VARESE ","Percorso di accompagnamento al successo formativo ","10.815 "
"AGENZIA FORMATIVA DELLA PROVINCIA DI VARESE ","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","141.000 "
"AGENZIA PER LA FORMAZIONE L'ORIENTAMENTO E IL LAVORO SUD MILANO","Dote Specializzazione - ambito Edilizia ","46.800 "
"AGENZIA PER LA FORMAZIONE L'ORIENTAMENTO E IL LAVORO SUD MILANO","Percorso di accompagnamento al successo formativo ","320.385 "
"AGENZIA PER LA FORMAZIONE L'ORIENTAMENTO E IL LAVORO SUD MILANO","Prenotazione dote percorsi sperimentali di IV annualitﾈ di IFP 
- a.f. 2008/2009 ","144.000 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO","Dote Carceri - Servizi Integrazione Detenuti Lombardia ","189.866 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO","Dote Specializzazione - ambito Edilizia ","70.200 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO","Percorso di accompagnamento al successo formativo ","88.863 "
"AGENZIA PER LA FORMAZIONE, L'ORIENTAMENTE E IL LAVORO NORD OVEST MILANO","Percorso di specializzazione finalizzato all'inserimento 
lavorativo ","7.500 "
