"beneficiaries","ALLOCATION YEAR / YEAR OF FINAL PAYMENT","Region","state","EU","total co-financing","priority axes"
"Savelli ascensori Srl","2008/2009",12071.23,41781.05,34567.72,88420,"priority axe 1"
"F.G.R. Srl","2008/2009",24355.45,84299.24,69745.31,178400,"priority axe 1"
"Group Euro Open Srl","2008/2009",21200.12,73378.02,60709.6,155287.74,"priority axe 1"
"Laboratorio Pesaro Srl","2008/2009",22614.8,78274.49,64760.71,165650,"priority axe 1"
"S.TRA.TE.G.I.E.","2008/2009",12775,44216.94,36583.06,93575,"priority axe 1"
"Tim Racing SpA","2008/2009",29413.51,101806.27,84229.82,215449.6,"priority axe 1"
"Gatto SpA","2008/2009",19230.43,66560.49,55069.08,140860,"priority axe 1"
"Viscount International","2008/2009",25180.04,87153.32,72106.64,184440,"priority axe 1"
"Sag-Italia","2008/2009",6624.71,22929.49,18970.8,48525,"priority axe 1"
"Energy Resources Srl","2008/2009",10139.45,35094.76,29035.79,74270,"priority axe 1"
"Box Marche","2008/2009",12387.96,42877.32,35474.72,90740,"priority axe 1"
"Sige SpA","2008/2009",35288.09,122139.4,101052.51,258480,"priority axe 1"
"OMCE di Rocchetti Amleto","2008/2009",19678.21,68110.39,56351.4,144140,"priority axe 1"
"SO.MI. PRESS Società metalli in iniettati SpA","2008/2009",32560.09,112697.19,93240.47,238497.75,"priority axe 1"
"Semar","2008/2009",34691.49,120074.44,99344.07,254110,"priority axe 1"
"Faggiolati Pumps SpA","2008/2009",28986.26,100327.44,83006.3,212320,"priority axe 1"
"King Plast SpA","2008/2009",18272.05,63243.33,52324.62,133840,"priority axe 1"
"Emmedue SpA","2008/2009",39064.28,135209.56,111866.16,286140,"priority axe 1"
"F.E.M.A.","2008/2009",13811.88,47805.8,39552.32,101170,"priority axe 1"
"Wirutez Srl","2008/2009",17993.54,62279.37,51527.09,131800,"priority axe 1"
"BUP Utensili Srl","2008/2009",16821.79,58223.72,48171.63,123217.14,"priority axe 1"
"Meccanica H7","2008/2009",19369.68,67042.47,55467.85,141880,"priority axe 1"
"Namirial","2008/2009",21444.8,74224.92,61410.28,157080,"priority axe 1"
"STS Tecnopolimeri Srl","2008/2009",11469.83,39699.47,32845.52,84014.82,"priority axe 1"
"FAST Verdini SpA","2008/2009",21838.67,75588.16,62538.17,159965,"priority axe 1"
"Meloni Tecno-Handling Srl","2008/2009",41502.56,143648.93,118848.51,304000,"priority axe 1"
"BBC Elettropompe","2008/2009",8133.95,28153.3,23292.75,59580,"priority axe 1"
"Rimeco Italia Srl","2008/2009",6847.93,23702.07,19610,50160,"priority axe 1"
"Angeloni","2008/2009",26418.29,91439.16,75652.55,193510,"priority axe 1"
"Gaposa Srl","2008/2009",17637.22,61046.07,50506.71,129190,"priority axe 1"
"Plast Meccanica","2008/2009",13235.32,45810.17,37901.23,96946.72,"priority axe 1"
"Technika Srl","2008/2009",15527.96,53745.49,44466.55,113740,"priority axe 1"
"Nuova Sjat","2008/2009",18681.94,64662.05,53498.41,136842.4,"priority axe 1"
"B.C.B Electric Srl","2008/2009",46646.68,161453.84,133579.48,341680,"priority axe 1"
"Logix Srl","2008/2009",18996.29,65750.1,54398.61,139145,"priority axe 1"
"SICA Altoparlanti","2008/2009",18639.28,64514.44,53376.28,136530,"priority axe 1"
"Esig Lass","2008/2009",21070.73,72930.19,60339.08,154340,"priority axe 1"
"Meccanica generale Srl","2008/2009",47108.13,163050.99,134900.88,345060,"priority axe 1"
"Apraprogetti","2008/2009",28340.6,98092.7,81157.39,207590.69,"priority axe 1"
