nome_beneficiari,denominazione_operazione,codice_operazione,tipo_operazione,anno,importo_impegnato,importo_pagato,fund_type,currency,uri
9000 UNO,Sicurezza (R.L.S.),102944,Progetto formativo,2008,"6.089,85","2.882,08",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,Imprenditrici in formazione,103496,Progetto formativo,2008,"12.382,51","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,MICROIMPRESE in formazione,104146,Progetto formativo,2008,"13.262,72","579,60",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,CONCETTI E UTILIZZO DI RDBMS per gli operatori di 9000UNO,111682,Progetto formativo,2008,"3.166,64","3.166,64",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,LA QUALITÀ AMBIENTALE NELLE STRUTTURE TURISTICO-RICETTIVE,111746,Progetto formativo,2008,"9.042,37","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,EFFICIENZA ENERGETICA IN EDILIZIA,111769,Progetto formativo,2008,"7.396,80","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,Tecnico dei servizi alle imprese: amministrazione e controllo di gestione,114718,Progetto formativo,2009,"64.132,80","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,MARKETING TURISTICO,116257,Progetto formativo,2009,"40.500,00","1.306,20",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,OPERATORE di AMMINISTRAZIONE,116260,Progetto formativo,2009,"50.629,20","1.180,80",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,Operatore portatori handicap (Assistente alla COMUNICAZIONE),118428,Progetto formativo,2009,"50.629,20","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,PARRUCCHIERI/ESTETISTE - I° Annulaità - secondo Livello,121500,Progetto formativo,2008,"13.762,00","1.809,54",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
9000 UNO,LEGNO E ARREDAMENTO,122688,Progetto formativo,2008,"12.762,00","677,64",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.C.S.I.M.,Lingua italiana per cittadini stranieri,102881,Progetto formativo,2008,"22.680,00","11.675,87",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.L.P.HA. Associazione Libera Portatori Handicap,CORSO DI AGGIORNAMENTO PER EDUCATORI PSICHIATRICI,102918,Progetto formativo,2008,"6.518,00","113,75",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.P.I. Associazione Piccole e Medie Industrie della Provincia di Pesaro- Urbino,TECNICO SUPERIORE PER IL DISEGNO E LA PROGETTAZIONE INDUSTRIALE,101920,Progetto formativo,2008,"96.000,85","20.310,47",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.P.I. Associazione Piccole e Medie Industrie della Provincia di Pesaro- Urbino,PROGETTO QUADRO: PROGETTAZIONE CAD 3D PER I SISTEMI E L’EFFICIENZA ENERGETICA,102985,Progetto formativo,2008,"35.640,00","12.073,84",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
A.P.I. Associazione Piccole e Medie Industrie della Provincia di Pesaro- Urbino,PROGETTO QUADRO PER IL COMMERCIO ESTERO,102992,Progetto formativo,2008,"34.109,00","5.129,53",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Accademia Belle Arti,Web Designer,114575,Progetto formativo,2009,"64.128,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
ACEM SRL,INNOVAZIONE DI PROCESSO E DI PRODOTTO,111640,Progetto formativo,2008,"7.570,00","130,72",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agenzia per l'innovazione nell'amministrazione e nei servizi pubblici locali,Addetto alla lavorazione e restauro (Oggettistica e lavorazione artistica del legno),102831,Progetto formativo,2008,"32.061,93","30.305,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Management nell'artigianato in rosa,104778,Progetto formativo,2008,"14.136,70","3.143,77",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Le energie alternative: Formazione per esperti in progettazione e istallazione di impianti fotovoltaici,109179,Progetto formativo,2008,"6.650,29","2.078,32",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,English for European project assistants,109757,Progetto formativo,2008,"7.479,48","5.979,15",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Esperto in bioturismo e sistemi turistici locali,113547,Progetto formativo,2009,"72.540,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Apprendistato settore tessile - calzature,113875,Progetto formativo,2008,"15.307,20","8.191,70",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Agorà s.c.a.r.l.,Apprendistato settore Tessile/Abbigliamento - Cazaturiero II° Livello,121077,Progetto formativo,2008,"15.307,80","2.729,59",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
AGROALIMENTARE F.LLI MONALDI S.P.A.,"TECNICHE DI ORGANIZZAZIONE, GESTIONE, DIREZIONE AZIENDALE, COMMERCIALE (SVILUPPO PROFESSIONALE/MANAGERIALE DELLE RISORSE UMANE INTERNE)",114914,Progetto formativo,2009,"8.222,00","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Anek Lines Italia s.r.l.,RELAZIONI CON L'ESTERNO (L’IMMAGINE AZIENDALE E LA RELAZIONE CON IL CLIENTE ),114871,Progetto formativo,2009,"13.490,00","3.167,45",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Lingua estera (Business English),108328,Progetto formativo,2008,"9.447,52","2.152,25",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Marketing e Distribuzione Commerciale (anche per l'Export),110751,Progetto formativo,2008,"5.399,39","1.454,75",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Lingua estera (Business English),110987,Progetto formativo,2008,"9.449,56","1.928,78",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,LINGUA ESTERA (INGLESE COMMERCIALE),111605,Progetto formativo,2008,"2.696,36","629,40",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Lingua estera (inglese),114574,Progetto formativo,2009,"9.449,69","1.535,25",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,Lingua estera (spagnolo),114582,Progetto formativo,2009,"9.449,69","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
Apindustria Ancona- Macerata,TECNICHE DI ORGANIZZAZIONE/GESTIONE/DIRE ZIONE AZIENDALE/COMMERCIALE,114583,Progetto formativo,2009,"5.669,23","0,00",ESF,EUR,http://www.istruzioneformazionelavoro.marche.it/fse/Lista_beneficiari_31_12_2009.pdf
