"BENEFICIARIO","SEDE INTERVENTO","ASSE ATTIVITA","OGGETTO AGEVOLAZIONE","ANNO ASSEGNAZIONE"," AGEVOLAZIONE CONCESSA "," IMPORTO EFFET. PAGATO "
"A. & C. SERVIZI","CUNEO","I-3-1"," ICT",2010,"471,408.00 €","  "
"A. BENEVENUTA E C.","TORINO","I-Ri1-a","MANUNET 2008",2008,"180,000.00 €","  "
"A. E T.","NONE","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"16,402.91 €","8,201.45 €"
"A 4 SERVIZI GRAFICI DI SERRA SERGIO & C. SNC","CHIVASSO","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2010,"84,813.75 €","  "
"ABAZIA DI ROGGERO E C.","MASIO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"36,918.66 €","19,016.77 €"
"ABBO FRANTOIO DEL PODERE BEVERA","VENTIMIGLIA","I-3-2","ADOZIONE TIC",2010,"99,087.00 €","  "
"ABOUT JOB S.A.S. DI SABINA ROSSO & C.","TORINO","I-3-2"," ADOZIONE TIC",2010,"31,510.00 €","  "
"ACCATINO-LUX VOTIVA LITURGICA","ALESSANDRIA","II-1-1-3"," ENERGIA - PRODUZIONE DI ENERGIE RINNOVABILI",2009,"75,278.97 €","72,450.00 €"
"ACCOUNTINGPOINT","TORINO","I-Ri3-c","LR34-04 TECNOLOGIE",2008,"15,986.10 €","  "
"ACQUEDOTTO VALTIGLIONE","ASTI","I-Ri3-c","LR34-04  - TECNOLOGIE",2008,"21,920.00 €","  "
"ACSR S.P.A.","BORGO SAN DALMAZZO","II-1-1","ENERGIA - DISCARICHE",2009,"988,367.78 €","  "
"ACTUA SRL","TORINO","I-Ri7-a","LR34-04 - - AEREOSPAZIO",2008,"69,800.00 €","  "
"ACUS","TORINO","I-3-1"," ICT",2009,"200,000.00 €","  "
"AD COMPOUND","MILANO","I-Ri3-a","LR34-04 - INNOVAZIONI",2008,"52,348.47 €","26,174.23 €"
"ADVANCED ACCELERATOR APPLICATIONS","POZZILLI","I-1-1","BIOTECNOLOGIE",2009,"519,999.90 €","  "
"ADVANCED LOGISTICS TECHNOLOGY ENGINEERING","TORINO","I-Ri7-a","LR34-04 - AEREOSPAZIO",2008,"326,000.00 €","57,734.60 €"
"ADVANCED LOGISTICS TECHNOLOGY ENGINEERING","TORINO","I-Ri7-a","LR34-04 -  AEREOSPAZIO",2008,"220,000.00 €","27,852.00 €"
"AETHIA","COLLERETTO GIACOSA","I-1-1","BIOTECNOLOGIE",2009,"34,600.00 €","  "
