NOME DEL BENEFICIARIO / NAME DES BEGÜNSTIGTEN,Asse e linea di intervento / Achse und Interventions- linie,DESCRIZIONE DEL PROGETTO / BESCHREIBUNG DES VORHABENS,"Anno di 
approvazione / 
Jahr der 
Genehmigung","contributo pubblico concesso 
/ gewährter öffentlicher 
Beitrag",importo effettivamente pagato a chiusura del progetto / bei Abschluss des Vorhabens tatsa_chlich gezahlter Gesamtbetrag
"Ripartizione Sperimentazione agraria e forestale della 
Provincia autonoma di Bolzano / Abteilung Land- und 
forstwirtschaftliches Versuchswesen der Autonomen Provinz Bozen",1 a,"Health and Nutrion - Alte und neue Apfelsorten im Dienste der 
Gesundheit (APFEL FIT)",2008,"998.500,00",
"Istituto per la promozione dello sviluppo economico della 
Camera di commercio, industria, artigianato e agricoltura di 
Bolzano / Institut für Wirtschaftsförderung der Handels-, 
Industrie-, Handwerks- und Landwirtschaftskammer Bozen",1 b,"PATENT SWOT - Studie zu den wirtschaftlichen und 
regionalwirtschaftlichen Auswirkungen von gewerblichen 
Schutzrecht-Strategien in Südtirol in Form einer Stärken-
Schwächen/Chancen-Risiko Analyse",2008,"69.600,00",
"APA Associazione provinciale artigiani / LVH Landesverband 
Handwerker - Bildung und Service",1 b,"Zukünftige Ausrichtung und strategische Frühaufklärung für 
KMU - ZAK",2008,"234.360,00",
"USEB Unione settori economici di Bolzano / Dachverband 
Unternehmer Südtirols",1 b,"Innovation Cube - Le tre dimensioni dell'innovazione di 
successo per le imprese dell'Alto Adige",2008,"97.735,40","progetto ritirato / 
zurückgezogenes Projekt"
"KAB - Consorzio del Centro di competenza per le tecnologie 
delle costruzioni alpine / Konsortium Kompetenzzentrum Alpine 
Bautechnologie",1 b,"Aufbau und Erweiterung innovativer Dienste für die Südtiroler 
Bauwirtschaft durch das Kompetenzzentrum Alpine 
Bautechnologie (KAB)",2008,"45.000,00",
TIS innovation park,1 b,"Studie zur Positionierung des Stärkefeldes ""wellness & vital"" 
aus natürlichen, typischen alpinen Ressourcen",2008,"66.500,00",
Ide4 S.r.l.,1 b,"Service-store, piattaforma interattiva per lo sviluppo 
imprenditoriale",2008,"78.721,60",
Bio Express GmbH,1 d,Bio-express: neue Technologien in der ABO-Kiste,2008,"32.445,00",
Comune di Meltina / Gemeinde Mölten,2 b,"Entwicklung einer nachhaltigen Energieerzeugung und -
versorgung über verknüpfte dezentrale Photovoltaikanlagen mit 
Einbindung der Almbetriebe in der Gemeinde Mölten",2008,"268.927,04","progetto ritirato / 
zurückgezogenes Projekt"
E-AG Malles /  Mals,2 b,"Forcierung der Photovoltaiknutzung durch öffentliche 
Einrichtungen",2008,"212.420,00",
