"beneficiario","operazione","anno","totale_importo_pubblico_approvato","Trasferimenti"
"Scuola professionale provinciale per il commercio, turismo e i servizi ""Luigi Einaudi"" di Bolzano - Landesberufsschule fur Handel, Tourismus und Dienstleistungen ""L. Einaudi"" Bozen","AGENTE DI VIAGGI AZIONE DI FORMAZIONE CONTINUA SUL LAVORO PER INTERMEDIARI TURISTICI",2007,"53507,32","34961,94"
"Scuola professionale provinciale per il commercio, turismo e i servizi ""Luigi Einaudi"" di Bolzano - Landesberufsschule fur Handel, Tourismus und Dienstleistungen ""L. Einaudi"" Bozen","JAVA MOBILE APPLICATION DEVELOPER",2007,"144153,24","78135,31"
"Università Popolare delle Alpi","Associazioni e responsabilità sociale: il bilancio di missione.",2007,"101925,85","75922,91"
"Università Popolare delle Alpi Dolomitiche (UPAD)","IL TRAINER DEL BENESSERE: FORMAZIONE E SVILUPPO PROFESSIONALE",2007,"87249,3","85665,91"
"Comitato Paritetico Edile per la Formazione e la Sicurezza per la Provincia Autonoma di Bolzano","CANTIERE SICURO",2007,"197859,98",39572
"Comitato Paritetico Edile per la Formazione e la Sicurezza per la Provincia Autonoma di Bolzano","INNOVAZIONE",2007,450000,90000
"Digiform S.a.S. di lob Alessandro &C.","Migrazione a software ""Open Source"" per la gestione delle informazioni e per la grafica.",2007,"12867,01","10991,79"
"KVW Bildungsreferat","Corso base di formazione per Assistente Domestico - Vipiteno",2007,"70298,4","14059,68"
"KVW Bildungsreferat","Formazione per operatore sociosanitario - Brunico -1. ANNO",2007,"100352,28","20070,46"
"KVW Bildungsreferat","Fare carriera tramite mentoring femminile - Brunico",2007,"63304,42","12660,88"
"KVW Bildungsreferat","Formazione per operatore sociosanitario - Bressanone - 2. ANNO",2007,90407,"85421,74"
"LVH-Bildung und Service","Handcraft 2007 - sviluppo d'impresa tramite un'offensiva di formazione rivolta ai collaboratori",2007,"435201,34","232056,41"
"Landesberufsschule fur Handwerk und Industrie Bozen","JUNIOR ASSISTANT MANAGER",2007,"163160,96","128081,57"
"Landesberufsschule fur Handel, Handwerk und Industrie ""Chr. J. Tschuggmall"" Brixen - Scuola professionale provinciale per il commercio, l'artigianato e l'industria ""Chr. J. Tschuggmall"" di Bressanone","Consulente per arredamenti",2007,"75438,09","63884,11"
"INDUSTRIETECHNIK S.R.L","INDUSTRIETECHNIK MANAGEMENT 2007",2007,"54770,8","10954,16"
"Monier","LAFARGESALES2007",2007,110368,"22073,6"
"Sapa Profili","GENESIS 2007",2007,184939,
"Iveco","IVECO CUSTOMER SERVICE 2007/8",2007,331050,
"Meme","MEMC POLY SYLICON 2007",2007,169868,169868
"Acciaierie Valbruna","VALBRUNA SAFETY 2007",2007,100364,
"SE.I. SERVIZI INDUSTRIALI s.r.l.","MAINTENANCE COMPETENCE",2007,99281,"79424,8"
"Markas Service","MARKAS BUSINESS DEVELOPMENT2007",2007,115436,
"ESTFELLER SRL","ESTFELLER INNOVATION",2007,68852,"13770,4"
"GKN Sinter Metals","FIT FOR JOB 2008",2007,130820,
"ALPIS.P.A","ALPI PULL SYSTEM",2007,70878,
"STI di Balzzama A. & Co.","STI INFORMATION TECNOLOGY 2007",2007,53060,10612
"Isolcell","Isolcell Integrated Process 2007-2008",2007,"119800,8",
"Apparatebau srl","APPARATEBAU ROBUST P ROCESS",2007,157080,31416
"Loacker","EDV 2008",2007,60024,
"Landesberufsschule Schlanders - Scuola professionale provinciale di Silandro","Corso di formazione per la progettazione e la realizzazione",2007,"183690,68","113429,17"
"KVW Bildungsreferat","Formazione per assistenti amministrative - 1ﾡANNO-Merano",2007,"95078,24","19015,65"
"Sportler AG","Programma per la qualificazione nella professione per dipendenti",2007,170732,
"Verlagsanstalt Athesia","Formazione professionale continua per un futuro con protezione del mercato",2007,"83028,83",
"EcoEducation","ESPERTO IN SISTEMI DI ENERGIA RINNOVABILE E RISPARMIO ENERGETICO",2007,"62010,2",
"Computer3000","GRUPPO 3000 GREEN CLIMBER 2007",2007,"68513,2",
"Rﾘchling Automotive Leifers","ROECHLING PRODUCTION 2007",2007,125518,
"C.L.S. Consorzio Lavoratori Studenti","OPEN - Tecnici informatici per migrazione verso free software",2007,"109464,87","85261,43"
"eurac","Corsi di mediazione linguistica avanzata professionale",2007,50000,
"C.T.M. - Centro di tecnologia e management","PMI @ KMU Le Piccole e Medie imprese in Educational Training Educational Training",2007,"574879,2","188475,66"
"CTM ALTROMERCATO SCARL","Piano formativo interaziendale per Ctm altromercato 2007/2008",2007,"37978,71","15760,35"
"Confcooperative Bolzano Società cooperativa","Trainer di imprese cooperative",2007,101547,
"FERCAM","FERCAM: progetto di formazione a banda larga ""Excellence in Service 360""'- Rafforzare l'economia del terziario in Sudtirolo aumentando le competenze del servizio",2007,"201248,08",
"Wurth Phoenix","Formazione Microsoft Dynamics AX",2007,"113143,04","90514,43"
"Autoindustriale","Sviluppo di competenze innovative per un management moderno",2007,"89590,06",
"SBB-Weiterbildungsgenossenschaft","Formazione continua per il futuro",2007,"400534,74","285797,07"
"Bildungshaus SchloB Goldrain","Office Management. Corso di formazione per donne in cerca di un lavoro a part-time.",2007,"133542,49","62171,42"
"Casa di Cura Privata Villa Melitta srl","Sviluppo delle competenze dei collaboratori della Casa di Cura Privata Villa Melitta",2007,115416,"23083,2"
"Abteilung 24 - Ripartizione 24 (Sozialwesen-Servizio Sociale)","Sviluppo di competenze di controlling per collaboratrici e collaboratori nelle aziende sociali",2007,"86081,44",
"CSS","SISTEMA DI FORMAZIONE CONTINUA CHE SVILUPPI UN SISTEMA INTEGRATO DI SICUREZZA E QUALIT� DEL LAVORO, CON INTERVENTI FORMATIVI MIRATI A STIMOLARE ATTITUDINI MOTIVAZIONALI E ACCRESCERE COMPETENZE PROFESSIONALI",2007,"42328,92",
"Autonomer Sudtiroler Gewerkschaftsbund - ASGB","Innovazione formazione dei collaboratori per ASGB",2007,"46147,01","13841,28"
"Leitner","Piano formativo 2007-2008 per il gruppo Leitner",2007,"124885,01","124885,01"
"Satzzentrum GMBH","Controllo e Qualificazione II",2007,"77117,96","61694,36"
"Landesrettungsverein Weisses Kreuz ONLUS","Mano in Mano I",2007,"143119,34","68067,22"
"Caritas Dioezese Bozen - Brixen / Caritas Diocesi Bolzano-Bressanone","Formazione per l'accompagnamento di persone malate terminali e/o gravi e persone in lutto",2007,"31858,1",
