"Asse","Operazione","Beneficiario","Denominazione intervento","Anno","Importo impegnato ","Importo pagato"
1," Attivitﾈ n. 7 e 8 (bando 1/2007)","Comune di Mezzocorona","Realizzazione centro giovanile",2007,960574.4,
1," Attivitﾈ n. 7 e 8 (bando 1/2007)","Comune di Dro","Sistemazione ed ampliamento della scuola materna        ",2007,1075712,
1," Attivitﾈ n. 7 e 8 (bando 1/2007)","Comune di Sant'Orsola Terme","Centro polifunzionale in localitﾈ Mala                                    ",2007,1233753.83,
1," Attivitﾈ n. 7 e 8 (bando 1/2007)","Comune di Dambel","Realizzazione edificio polifunzionale",2007,2038354.28,
1," Attivitﾈ n. 7 e 8 (bando 1/2007)","Comune di Vigo Rendena","Ristrutturazione sede Municipio ",2007,2334306.25,
1," Attivitﾈ n. 7 e 8 (bando 1/2007)","Comune di Zambana","Ristrutturazione dell'ex colonia in localitﾈ Santel                       ",2007,1357299.24,
5,"Attivitﾈ  n.1","PAT - Autoritﾈ di Gestione del Programma Operativo","Affidamento incarico di collaborazione coordinata e continuativa per lo svolgimento di attivitﾈ di assistenza alla gestione del P.O. - dott.ssa Maria Alessia Loche - anno 2008",2008,28500,27335.7
5,"Attivitﾈ n. 1 e 3","PAT - Autoritﾈ di Gestione del Programma Operativo","Approvazione di un programma di spesa in economia",2008,200000,
5,"Attivitﾈ n. 3","PAT - Autoritﾈ di Gestione del Programma Operativo","Affidamento incarico per progettazione grafica e stampa Programma Operativo",2008,8724.8,8724.8
5,"Attivitﾈ n. 4","PAT - Autoritﾈ di Gestione del Programma Operativo","Affidamento incarico di consulenza dott. Ferruccio Biolcati",2009,11600,
5,"Attivitﾈ n. 4","PAT - Autoritﾈ di Gestione del Programma Operativo","Affidamento incarico di consulenza prof. Antonio Schizzerotto",2009,3400,
5,"Attivitﾈ n. 2","PAT - Autoritﾈ di Gestione del Programma Operativo","Affidamento incarico di predisposizione, manutenzione e assistenza di un sistema  informativo di monitoraggio delle attivitﾈ a cofinanziamento del FESR a Performer SpA",2009,202920,
5,"Attivitﾈ n. 1","PAT - Autoritﾈ di Gestione del Programma Operativo","Affidamento incarico di collaborazione coordinata e continuativa per lo svolgimento di attivitﾈ di assistenza alla gestione del P.O. - dott.ssa Maria Alessia Loche - anno 2009",2009,30500,
