"Asse","Obiettivo specifico","Beneficiario","Operazione","Anno","Importo impegnato","Importo pagato"
"II","D","AGENZIA DEL LAVORO","ACQUISTO DI MATERIALE HARDWARE MEDIANTE IL SISTEMA ACQUISTI IN RETE DELLA P.A.",2007,71636,71629
"III","G","AGENZIA DEL LAVORO","Attività di colloqui L68 x anno 2008",2007,19278,0
"II","E","AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA ""CIVICA DI TRENTO""","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,104387,0
"II","E","AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA ""CIVICA DI TRENTO""","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,69740,59103
"III","G","PRIMAVERA COOPERATIVA SOCIALE","Contributo per supporto esterno all’attività sociale COOP.VA PRIMAVERA AZ. 9 ANNO 2007",2007,1500,0
"III","G","PRIMAVERA COOPERATIVA SOCIALE","Copertura costo lavoro soggetti svantaggiati in cooperativa e relativi tutor: delib.7 dd.01.02.07 ap...",2007,71723,0
"III","G","PRIMAVERA COOPERATIVA SOCIALE","Delib. 4 dd 23/01/08 approvazione piano di impresa Coop. Sociale Primavera: copertura costo lavoro s...",2008,86566,0
"II","E","COMUNE DI LAVIS","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,72799,62087
"II","E","COMUNE DI LAVIS","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,78564,0
"II","E","COMUNE DI ISERA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,65363,62976
"II","E","COMUNE DI ISERA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,76461,0
"III","G","COOPERATIVA 90 SCARL","Contributo per supporto esterno all’attività sociale COOP.VA COOPERATIVA 90 AZ. 9 ANNO 2007",2007,1500,1500
"III","G","AGENZIA DEL LAVORO","Attività di colloqui L68 x anno 2008",2007,37440,0
"III","G","COOPERATIVA 90 SCARL","Copertura costo lavoro soggetti svantaggiati in cooperativa e relativi tutor: delib.7 dd.01.02.07 ap...",2007,54464,0
"III","G","COOPERATIVA 90 SCARL","Delib. 4 dd 23.01.08 approvazione piano di impresa Cooperativa 90: copertura costo lavoro soggetti s...",2008,37568,0
"III","G","COOPERATIVA 90 SCARL","Det. 1268 dd 30/12/08 approvazione piano di impresa Coop. Soc. 90: copertura costo lavoro soggetti s...",2008,45000,0
"II","E","COMUNE DI RABBI","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,64705,64096
"II","E","COMUNE DI RABBI","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,67143,0
"II","E","COMUNE DI RABBI","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,3491,0
"II","E","COMUNE DI PELLIZZANO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,64846,60152
"II","E","COMUNE DI PELLIZZANO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,65883,0
"II","E","COMUNE DI CIVEZZANO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,44708,39506
"II","E","COMUNE DI CIVEZZANO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,79327,0
"III","G","AGENZIA DEL LAVORO","Attività di colloqui L68 x anno 2008",2007,32130,0
"II","E","COMUNE DI RONCONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,60044,58156
"II","E","COMUNE DI RONCONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,57369,0
"III","G","L'OASI SOS COOPERATIVA SOCIALE","Contributo per supporto esterno all’attività sociale COOP.VA OASI AZ. 9 ANNO 2007",2007,1500,0
"III","G","L'OASI SOS COOPERATIVA SOCIALE","Copertura costo lavoro soggetti svantaggiati in cooperativa e relativi tutor: delib.7 dd.01.02.07 ap...",2007,49082,0
"III","G","L'OASI SOS COOPERATIVA SOCIALE","Delib. 4 dd 23/01/08 approvazione piano di impresa della Coop. L'Oasi: copertura costo lavoro sogget...",2008,62437,0
"II","E","COMUNE DI BASELGA DI PINE´","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,55889,50278
"II","E","COMUNE DI BASELGA DI PINE´","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,56395,0
"II","E","COMUNE DI SCURELLE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,55905,54163
"II","E","COMUNE DI SCURELLE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,56334,0
"II","E","COMUNE DI PEIO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,54952,51859
"II","D","AGENZIA DEL LAVORO","ACQUISTO DI MATERIALE HARDWARE E SOFTWARE MEDIANTE SISTEMA CONSIP",2008,10812,10703
"II","E","COMUNE DI PEIO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,45419,0
"II","E","COMUNE DI PEIO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,10432,0
"II","E","COMUNE DI CLES","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,53568,51287
"II","E","COMUNE DI CLES","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,52528,0
"II","E","COMUNE DI SPIAZZO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,50018,49309
"II","E","COMUNE DI SPIAZZO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,54910,0
"II","E","COMUNE DI RONCEGNO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,42859,0
"II","E","COMUNE DI RONCEGNO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,60318,0
"II","E","COMUNE DI MALE´","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,50097,48440
"II","E","COMUNE DI MALE´","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,52075,0
"II","D","AGENZIA DEL LAVORO","ACQUISTO DI PC PORTATILE",2008,1296,1296
"II","E","COMPRENSORIO C.11 - LADINO DI FASSA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,48125,43702
"II","E","COMPRENSORIO C.11 - LADINO DI FASSA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,47792,0
"III","G","KINE' COOPERATIVA SOCIALE","Contributo per supporto esterno all’attività sociale COOP.VA KINE AZ. 9 ANNO 2007",2007,1200,0
"III","G","KINE' COOPERATIVA SOCIALE","Copertura costo lavoro soggetti svantaggiati in cooperativa e relativi tutor: delib.7 dd.01.02.07 ap...",2007,25186,0
"III","G","KINE' COOPERATIVA SOCIALE","Deli. 4 dd 23/01/08 approvazione piano di impresa Coop. Kin?ﾨ: copertura costo lavoro soggetti svant...",2008,33945,0
"III","G","KINE' COOPERATIVA SOCIALE","Det. 1270 dd 30/12/08 approvazione piano di impresa Coop. Soc. Kin?ﾩ: copertura costo lavoro soggett...",2008,35000,0
"II","E","COMUNE DI CAVALESE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,37291,34538
"II","E","COMUNE DI CAVALESE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,55647,0
"II","E","COMUNE DI OSSANA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,45469,41671
"II","E","COMUNE DI OSSANA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,39961,0
"II","D","AGENZIA DEL LAVORO","ACQUISTO HARD DISKS",2008,5535,5535
"II","E","COMUNE DI OSSANA","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,6649,0
"II","E","COMUNE DI POMAROLO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,46925,38355
"II","E","COMUNE DI POMAROLO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,44626,0
"II","E","COMUNE DI NAGO-TORBOLE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,41018,37081
"II","E","COMUNE DI NAGO-TORBOLE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,47714,0
"II","E","COMUNE DI TUENNO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,42071,39452
"II","E","COMUNE DI TUENNO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,45742,0
"II","E","COMUNE DI BRENTONICO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,41583,40685
"II","E","COMUNE DI BRENTONICO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,45542,0
"II","E","COMUNE DI TENNO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,37549,35383
"II","D","AGENZIA DEL LAVORO","Incarico di consulenza per direzione lavori ristrutturazione CPI di Trento",2008,50857,0
"II","E","COMUNE DI TENNO","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,49229,0
"II","E","COMUNE DI LAVARONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2007,42853,40831
"II","E","COMUNE DI LAVARONE","Assunzione in cooperative sociali di soggetti in condizione di debolezza occupazionale in lavori di ...",2008,41998,0
"III","G","PROMO PROJECT VANOI PRIMIERO E MIS COOPERATIVA SOCIALE","Delib. 34 dd 01/07/08 approvazione piano di impresa Coop. Promo Project Vanoi Primiero: copertura co...",2008,43736,0
"III","G","PROMO PROJECT VANOI PRIMIERO E MIS COOPERATIVA SOCIALE","Det. 1265 dd 30/12/08 approvazione piano di impresa Coop. Soc. Promo Project: copertura costo lavoro...",2008,40000,0
"III","G","LAVORO SOCIETA' COOPERATIVA SOCIALE","Contributo per supporto esterno all’attività sociale COOP.VA LAVORO AZ. 9 ANNO 2007",2007,1500,0
"III","G","LAVORO SOCIETA' COOPERATIVA SOCIALE","Copertura costo lavoro soggetti svantaggiati in cooperativa e relativi tutor: delib.7 dd.01.02.07 ap...",2007,28104,0
"III","G","LAVORO SOCIETA' COOPERATIVA SOCIALE","Delib. 4 dd 23/01/08 approvazione piano di impresa Coop. Lavoro: copertura costo lavoro soggetti sva...",2008,22867,0
