"asse","nominativo_del_beneficiario","denominazione_dell_operazione","importo_finanziamento_pubblico_dell_operazione","fund_type","currency","uri"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Acquedotto Pugliese S.p.A.","Acquedotto Pugliese S.p.A. - Real. raddoppio del serbatoio di Marzagaglia in agro di Gioia del Colle","1.532.450,46","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Acquedotto Pugliese S.p.A.","AQP-Interventi di risanamento delle reti di distribuzione idrica Lotto n°14","1.347.321,47","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Acquedotto Pugliese S.p.A.","AQP-Interventi di risanamento delle reti di distribuzione idrica Lotto n° 5","2.801.725,88","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Acquedotto Pugliese S.p.A.","AQP-Interventi di risanamento delle reti di distribuzione idrica Lotto n° 6","1.411.398,01","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Comune di Rocchetta Sant'Antonio","Comune di Rocchetta Sant'Antonio - Intervento in località Circonvallazione- Cantine Piccolo","367.372,60","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Comune di Troia","Comune di Troia - Intervento in località Cisternone - Via matteotti -Via S. Antonio","1.339.768,17","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Comune di Carlantino","Comune di Carlantino - Consolidamento idrogeologico centro urbano","1.742.406,60","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Comune di Anzano di Puglia","Comune di Anzano di Puglia - Consolidamento frana zona Scuola Media -Via Volta","341.000,00","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Comune di San Marco","Comune di S. Marco la Catola - Consolidamento cavità sotterranee in centro abitato","785.000,00","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
"ASSE II – Uso sostenibile ed efficiente delle risorse ambientali ed energetiche per lo sviluppo","Comune di Celenza Valfortore","Comune di Celenza Valfortore - Consolidamento centro abitato","683.000,00","ERDF","EUR","http://www.regione.puglia.it/web/packages/progetti/POFESR/documenti/ElencoBeneficiariFESR_Regione_Puglia.pdf"
