BENEFICIARIO,PROGETTO,REGIONE,ANNO DI INIZIO ,ANNO DI CONCLUSIONE,TOTALE IMPEGNATO,TOTALE EROGATO
RFI spa,Adeguamento linea ferroviaria tirrenica Battipaglia-Reggio Calabria (adeguamento Scalea-Reggio Calabria): Progettazione e ricostruzione della galleria Coreca (comprese opere propedeutiche e tecnologiche),Calabria,2008,-,"65.000.000,00",-
RFI spa,Adeguamento linea ferroviaria tirrenica Battipaglia-Reggio Calabria (adeguamento Scalea-Reggio Calabria): costruzione della nuova SSE (SottoStazione Elettrica) a Vibo Pizzo e potenziamento delle SSE di Sambiasso e Gallico,Calabria,2008,-,"20.000.000,00",-
RFI spa,"Adeguamento linea ferroviaria tirrenica Battipaglia-Reggio Calabria (adeguamento Scalea-Reggio Calabria): velocizzazione e miglioramento sagoma per trasporto intermodale, potenziamento e messa a modulo delle stazioni",Calabria,2008,-,"43.000.000,00",-
RFI spa,Adeguamento linea ferroviaria tirrenica Battipaglia-Reggio Calabria (adeguamento Scalea-Reggio Calabria): ACS e PRG Stazione di Lamezia Terme,Calabria,2008,-,"18.000.000,00",-
RFI spa,Adeguamento linea ferroviaria tirrenica Battipaglia-Reggio Calabria (adeguamento Scalea-Reggio Calabria): realizzazione a Reggio Calabria del DCO intero compartimento con fabbricato DCO-DOTE,Calabria,2008,-,"20.000.000,00",-
RFI spa,"Adeguamento linea ferroviaria tirrenica Battipaglia-Reggio Calabria (adeguamento Scalea-Reggio Calabria): ricostruzione del ponte Petrace, modifica PRG della stazione di Gioia Tauro e inserimento nel CTC",Calabria,2008,-,"34.000.000,00",-
RFI spa,Variante linea Cancello - Napoli nel comune di Acerra per integrazione con linea AV/AC,Campania,2007,-,"202.000.000,00",-
RFI spa,Stazione di interscambio AV/AC Vesuvio Est,Campania,2007,-,"48.000.000,00",-
RFI spa,Nodo ferroviario di Palermo; passante Palermo C.le/Brancaccio-Carini,Sicilia,2008,-,"135.000.000,00",-
RFI spa,Raddoppio Palermo-Messina-Tratta Fiumetorto-Ogliastrillo,Sicilia,2008,-,"333.000.000,00",-
RFI spa,Miglioramenti infrastrutturali e tecnologici su rete TEN: tratte Praia Ajeta - Reggio Calabria C.le; Sibari - Reggio Calabria C.le; Nodi di Reggio Calabria e Villa San Giovanni,Calabria,ante 2009,-,"28.000.000,00",-
RFI spa,"Nodi di Napoli, Caserta e Salerno e traytte afferenti: miglioramenti infrastrutturali e tecnologici su rete TEN",Campania,ante 2009,-,"37.000.000,00",-
RFI spa,Nodo di Bari: Bari nord (interramento tratta S. Spirito - Palese) e Bari sud (Bari C.le - Bari S. Giorgio),Puglia,2008,-,"395.000.000,00",-
RFI spa,Miglioramenti infrastrutturali e tecnologici su rete TEN: nodo di Bari tratte Chieuti - Foggia - Barletta - Bari C.le - Lecce e Bari C.le - Taranto,Puglia,ante 2009,-,"46.000.000,00",-
RFI spa,"Miglioramenti infrastrutturali e tecnologici su rete TEN: nodi di Palermo, Messina e Catania, Linee Palermo - Messina e Messina - Siracusa, Tratta Trapani - Palermo",Sicilia,ante 2009,-,"42.000.000,00",-
RFI spa,Velocizzazione Catania - Siracusa - Tratta Bicocca - Targia,Sicilia,2009,-,"76.000.000,00",-
RFI spa,Caserta - Foggia: raddoppio Orsara - Cervaro ed ulteriori potenziamenti (progetto di completamento),Puglia,2007,-,"36.000.000,00",-
RFI spa,Raddoppio Bari - Taranto: realizzazione di tre tratte e della bretella di collegamento (progetto di completamento),Puglia,2007,-,"29.000.000,00",-
RFI spa,Linea Palermo - Messina e tratta Palermo - Trapani: SCMT Sottosistema Terra Sicilia,Sicilia,ante 2009,-,"42.000.000,00",-
ANAS spa,"S.S.N. 106 Jonica - Megalotto 4, Raccordo tra la A3 SA-RC e la SS 106 Firmo - Sibari. Lavori di adeguamento alla cat. B della SS 534",Calabria,2007,-,"180.103.230,07",-
ANAS spa,"S.S.N. 100 di Gioia del Colle, Tronco: Bari-Taranto-Completamento funazionale e messa in sicurezza tra il km. 7+200 ed il km. 44+500",Puglia,2009,-,"39.000.000,00",-
ANAS spa,"S.S. 96. Progetto dei lavori di ammodernamento con adeguamento alla sez. III CNR del tronco fine Variante di Toritto-Modugno, compreso la Variante di Palo del Colle",Puglia,2009,-,"81.200.000,00",-
ANAS spa,S.S.V. Licodia Eubea-Libertinia-A19 PA-CT. Tronco svincolo Regalsemi-innesto SS117 bis. II Stralcio finzionale. Svincolo Regalsemi-svincolo San Bartolomeo (escluso),Sicilia,2007,-,"110.000.000,00",-
Autorita' portuale di Brindisi,Porto di Brindisi. Completamento banchina di Costa Morena est,Puglia,2009,-,"20.000.000,00",-
Autorita' portuale di Gioia Tauro,Prto di Gioia Tauro,Calabria,2008,-,"80.950.000,00",-
Autorita' portuale di Napoli,Porto di Napoli. Nuovo scalo e collegamenti ferroviari del terminal di Levante del porto di Napoli e adeguamenti dei collegamenti stradali,Campania,2008,-,"17.500.000,00",-
Autorita' portuale di Salerno,Porto di Salerno. Collegamenti ferroviari e stradali. Sistema dei trasporti Salerno Porta ovest,Campania,2008,-,"146.600.000,00",-
Autorita' portuale di Taranto,Porto di Taranto. Collegamento ferroviario del complesso del porto di Taranto con la rete nazionale,Puglia,2009,-,"35.000.000,00",-
Autorita' portuale di Augusta,HUB Portuale di Augusta,Sicilia,2008,-,"85.000.000,00",-
Autorita' portuale di Messina,"Porto di Messina. Lavori di allargamento e rettifica delle banchine Vespri e Colapesce (progetto ""a cavallo"")",Sicilia,2007,-,"11.400.000,00",-
Regione Puglia,Fascio di binari di presa e consegna Interporto di Bari,Puglia,2009,-,"16.000.000,00",-
