Beneficiario Finale,Denominazione Progetto,Asse,Codice Obiettivo Operativo,Codice Progetto,Regione,Totale impegnato,Totale erogato (pagamenti monitorati al 31/12/2009)
Aconet SpA,CICLOPE,I,I.1,13445/1,Sicilia,"1,286,474.90","568,488.24"
Alenia Aeronautica,Architetture strutturali innovative di superfici di stabilità e controllo (..),I,I.1,7601,Campania,"12,578,400.00","1,734,294.84"
ALTA SpA,"Ricerca, sperimentazione e dimostrazione tecnologica per propulsori spaziali a perossido di idrogeno",I,I.1,893,Campania,"1,467,200.00","239,517.72"
ALTERGON ITALIA S.R.L.,Produzione biotecnologica di condrotina solfato,I,I.1,7025/1,Campania,"1,467,420.00","143,031.39"
ANICAV SERVIZI S.r.l.,"Piattaforma e-business innovativa per una soluzione tecnologica sistemica quale integratore dei servizi nei settori: turismo, beni culturali, agro-alimentare",I,I.3,DM23424/2,Campania,"340,149.60","43,083.63"
ARTERRA BIOSCIENCE S.r.l.,Laboratorio di genomica per l'innovazione e la valorizzazione della filiera pomodoro,I,I.3,DM17732/1,Campania,"1,724,256.00","394,637.17"
AVAGO TECHNOLOGIES ITALY S.R.L.,Nanotecnologie e Materiali Optoelettronici per applicazioni Telecom/Datacom,I,I.1,13587/1,Puglia,"2,633,726.50","841,772.22"
BASILE,Tecnologie innovative per la trasformazione delle nocciole,I,I.1,4042,Campania,"1,381,600.00","442,164.79"
BELLOPEDE E GOLINO Srl,Innovazione tecnologica della filiera bufalina,I,I.1,9231,Campania,"3,069,352.00","757,515.46"
BIOREM Srl,Attuatore multifunzionale a lame intercambiabili,I,I.1,6345,Campania,"442,000.00","90,471.26"
C.N.R. - CONSIGLIO NAZIONALE DELLE  RICERCHE,QUALI TECH PASTA,I,I.1,7134/2,Puglia,"159,980.00","99,497.10"
C.N.R. - CONSIGLIO NAZIONALE DELLE  RICERCHE,Siriprofo,I,I.1,8127/2,Sicilia,"382,500.00","114,750.00"
C.N.R. - Consiglio Nazionale delle Ricerche Istituto di Scienze delle Produzioni Alimentari,Ortobiotici pugliesi: alimenti vegetali probiotici. Applicazioni biotecnologiche per la realizzazione di nuovi alimenti probiotici di alta qualità e l’innovazione nei processi di conservazione e trasformazione dei prodotti vegetali.,I,I.3,DM28830/3,Puglia,"335,684.55","217,478.53"
C.N.R. - Consiglio Nazionale delle Ricerche Istituto di Scienze delle Produzioni Alimentari,Ortobiotici pugliesi: alimenti vegetali probiotici. Applicazioni biotecnologiche per la realizzazione di nuovi alimenti probiotici di alta qualità e l’innovazione nei processi di conservazione e trasformazione dei prodotti vegetali.,I,I.3,DM28830/F3,Puglia,"166,200.00","149,580.00"
C.N.R. - Consiglio Nazionale delle Ricerche Istituto di Scienze delle Produzioni Alimentari,AgroBioPack:Tecnologie Ecocompatibili per il Packaging Bioattivo di Prodotti Lattiero Caseari Freschi Pugliesi,I,I.3,DM29040/5,Puglia,"79,500.00", -   
C.N.R. - Consiglio Nazionale delle Ricerche Istituto di Scienze delle Produzioni Alimentari,AgroBioPack:Tecnologie Ecocompatibili per il Packaging Bioattivo di Prodotti Lattiero Caseari Freschi Pugliesi,I,I.3,DM29040/F5,Puglia,"16,000.00", -   
"C.N.R. - Istituto di metodolgie inorganiche e dei plasmi, bari-potenza",AgroBioPack:Tecnologie Ecocompatibili per il Packaging Bioattivo di Prodotti Lattiero Caseari Freschi Pugliesi,I,I.3,DM29040/4  ,Puglia,"219,000.00", -   
"C.N.R. - Istituto di metodolgie inorganiche e dei plasmi, bari-potenza",AgroBioPack:Tecnologie Ecocompatibili per il Packaging Bioattivo di Prodotti Lattiero Caseari Freschi Pugliesi,I,I.3,DM29040/F4,Puglia,"11,000.00", -   
C.R.A. Consiglio per la Ricerca ela Sperimentazione in Agricoltura Centro di Ricerca per la Cerealicoltura,"Laboratorio di GENomica per caratteri di importanza AGROnomica in frumento duro: identificazione di geni utili, analisi funzionale e selezione assistita con marcatori molecolari per lo sviluppo della filiera sementiera nazionale (AGRO-GEN)",I,I.3,DM18092/5,Puglia,"2,794,965.75","964,489.73"
