"codice_programma","codice_identificativo_operazione","codice_locale_intervento","titolo","cup","fonte_inclusione_rendicontazione","asse","ob_spec","ob_op","denominazione","cf_p_iva","provincia_sede_legale","comune_sede_legale","indirizzo_sede_legale","totale_impegni_beneficiario","totale_pagamenti","fund_type","currency","uri"
"2007IT051PO003.4.i1.1","SI_2_1","3.06/9.2.5/1328","SCUOLA LAVORO ALBERGHIERO MOLINARI","G83D06000 300009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","IPSSAR MOLINARI",92003990841,"Agrigento","Sciacca","C.DA MARCHESA","58.689,82","58.689,82","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
"2007IT051PO003.4.i1.1","SI_2_2","3.06/9.2.5/1329","PERCORSI DI ORIENTAMENTO E INSERIMENTO PROFESSIONALE","G83D06000 290009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","IPSSAR MOLINARI",92003990841,"Agrigento","Sciacca","C.DA MARCHESA","56.167,30","56.167,30","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
"2007IT051PO003.4.i1.1","SI_2_3","3.06/9.2.5/1330","TECNICO ESP. NELLA PROGETT INSTALLAZ MANUT. IMPIANTI ENERGIA FOTOVOLTAICA","C73D06000 200009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","IISS L. PANEPINTO",93001340848,"Agrigento","Bivona","VIA PORTA PALERMO,276/BIS","23.712,28","23.712,28","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
"2007IT051PO003.4.i1.1","SI_2_4","3.06/9.2.5/1331","VELATURISMO","G53D06000 570009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","IST. OMNICOMPR. ST. L. PIRANDELLO",80006700815,"Agrigento","Lampedusa e Linosa","VIA ENNA, 7","26.848,70","26.848,70","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
"2007IT051PO003.4.i1.1","SI_2_5","3.06/9.2.5/1332","ESPERTO NELLA PROGETTAZIONE E GESTIONE DI LAN AZIENDALE","F43D06000 120009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","IPSCT N.GALLO",80004150845,"Agrigento","Agrigento","VIA REGIONE SICILIANA","13.805,19","13.805,19","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
"2007IT051PO003.4.i1.1","SI_2_6","3.06/9.2.5/1333","FUTURO AVVOCATO","H63D06000 250009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","IISS MADRE TERESA DI CALCUTTA",80005750841,"Agrigento","Casteltermini","VIA KENNEDY","15.572,30","15.572,30","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
"2007IT051PO003.4.i1.1","SI_2_7","3.06/9.2.5/1334","ESPERTO NELLA GESTIONE DI AZIENDE AGRITURISTICHE BIOECOLOGICHE","E43D06000 360009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","IIS G. ZAPPA",90001860841,"Agrigento","Campobello di Licata","VIA ARCADIPANE","22.301,58","22.301,58","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
"2007IT051PO003.4.i1.1","SI_2_8","3.06/9.2.5/1335","ESPERTO NELLA PROGETTAZ., SISTEMAZ., E CURA DEL VERDE PUBBLICO E PRIVATO","E43D06000 370009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","IIS G. ZAPPA",90001860841,"Agrigento","Campobello di Licata","VIA ARCADIPANE","21.745,89","21.745,89","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
"2007IT051PO003.4.i1.1","SI_2_9","3.06/9.2.5/1336","CONSULENTE AMMINISTRATIVO- GESTIONALE IMPRESA TURISTICA","H43D06000 090009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","I.T.C. L. SCIASCIA",93006910843,"Agrigento","Agrigento","C.DA CALDARELLE","41.444,86","41.444,86","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
"2007IT051PO003.4.i1.1","SI_2_10","3.06/9.2.5/1337","TECNICO PROGRAMMATOR E DI PIATTAFORME GESTIONALI SU WEB","H43D06000 100009","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop- put ai percorsi di istruzione e formazione professionale","Asse IV_Capitale umano","I1) Aumentare la partecipazione all'apprendimento permanente anche attraverso provvedimenti intesi a ridurre l'abbandono scolastico e la segregazione di genere rispetto alle materie","I1)1 Attuare strategie preventive contro la dispersione scolastica e per il recupero dei drop-put ai percorsi di istruzione e formazione professionale","I.T.C. L. SCIASCIA",93006910843,"Agrigento","Agrigento","C.DA CALDARELLE","20.637,02","20.637,02","ESF","EUR","http://www.sicilia-fse.it/BeneficiariFSE_agg20091231.pdf"
