Nome Beneficiario,Asse,Denominazione dell'operazione,Anno del Finanziam ento,Costo Totale,Costo del Progetto (Quota a valere sul P.O.),Totale,Quota FESR
Regione Siciliana,1,"CASTELLAMMARE DEL GOLFO- Lavori di prolungamento della diga foranea dalla progr.490,00ml. alla 
890,00ml. e realizzazione del molo di sottoflutto soffolte e delle opere interne d'accosto e di arredo 
portuale.",2009,"24.839.991,46","24.839.991,46","10.406.692,12","5.203.346,06"
Regione Siciliana,1,"PANTELLERIA- Lavori di messa in sicurezza e consolidamento del molo di sopraflutto dalla progr.270,30ml. 
alla progr.613,10ml.",2009,"6.176.000,00","6.176.000,00","4.930.213,41","2.465.106,71"
Regione Siciliana,1,"RIPOSTO- Prolungamento del molo foraneo dalla progr.652,00ml. alla progr.907,00ml.- 3¡ stralcio di 
completamento fra le progr.831,50ml. e 907,00ml.",2009,"12.394.965,58","12.094.965,58","1.891.313,90","945.656,95"
"Comune di S. Agata 
Militello",1,S.AGATA DI MILITELLO- Lavori di prolungamento della diga foranea e di realizzazione banchina,2009,"7.746.853,00","7.746.853,00","3.594.204,68","1.797.102,34"
comune di Siracusa,1,SIRACUSA- Lavori di riqualificazione e messa in sicurezza della imboccatura del porto.,2009,"28.650.083,79","28.650.083,79","1.428.963,32","714.481,66"
"Ges.A.P. s.p.a. Sogetˆ di 
Gestione dell'Aeroporto 
di Palermo.",1,"Nuova viabilitˆ di acceso e distribuzione aeroportuale - adeguamento dei tracciati della viabilitˆ - Aeroporto 
di Palermo Falcone e Borsellino.",2009,"6.548.821,41","4.159.734,44","3.920.657,29","1.960.328,65"
"Ges.A.P. s.p.a. Sogetˆ di 
Gestione dell'Aeroporto 
di Palermo",1,"Adeguamento infrastrutture Air-Side II lotto - Bonifica, risagomatura ed adeguamento delle fasce di sicurezza 
Aeroporto di Palermo Falcone e Borsellino",2009,"7.220.741,20","3.734.232,99","3.734.232,99","1.746.284,87"
Comune di Comiso,1,"Opere ed infrastrutture civili ed impiantistiche per la realizzazione di un aeroporto civile di II livello nel 
Comune di Comiso",2009,"47.407.976,73","12.841.758,47","10.378.596,58","5.189.298,29"
comune di Messina,1,"Potenziamento delle infrastrutture viarie e servizi annessi relativi alla mobilitˆ urbana del sistema 
Metroferrovia Messina-Giampilieri",2009,"9.296.224,54","9.296.224,54","1.609.911,73","804.955,87"
"Gestione Governatica 
Ferrovia Circumetnea",1,Prolungamento della linea metropolitana FCE dalla stazione Borgo (esclusa) alla stazione Nesima (compresa),2009,"87.797.672,85","81.868.020,23","24.094.369,76","12.047.184,88"
"Gestione Governatica 
Ferrovia Circumetnea",1,Prolungamento linea metropolitana FCE da Giovanni XXIII a Stesicoro,2009,"36.151.983,00","28.357.837,30","11.294.954,52","5.647.477,26"
"Gestione Governatica 
Ferrovia Circumetnea",1,Prolungamento linea metropolitana FCE da piazza Galatea a Piazza Giovanni XXIII (opere civili),2009,"25.219.374,81","23.660.259,80","1.144.869,23","572.434,62"
Comune di Palermo,1,Sistema Tram Cittˆ di Palermo,2009,"234.772.104,87","137.335.327,00","16.692.844,84","8.346.422,42"
Regione Siciliana,1,Conferimento fondo Jessica,2009,"9.600.000,00","9.600.000,00","9.600.000,00","4.800.000,00"
comune di Messina,1,Zaera Sud,2009,"6.900.000,00","6.900.000,00","3.131.174,12","1.565.587,06"
Regione Siciliana,2,Conferimento al fondo Jessica,2009,"14.506.954,40","14.506.954,40","14.506.954,40","7.253.477,20"
