COD MECC,ISTITUTO ,Nome,INDIRIZZO ,CAP,CITTA',PV,EMAIL,TEL,FAX,N¡ seminari, Costo Richiesto per modulo , Seminario conclusivo , Costo complessivo , Totale per Regione , Esperti/Consulenti/Tutor , Direzione e Coordinamento , PersonaleDocente/Ata coinvolto nella Organizzazione , Noleggio attrezzature , Materiale didattico e di consumo , Spese vitto/Viaggio/alloggio , Assicurazioni e trasporti , Produzione di materiali , Pubblicitˆ/sensibilizzazione , Spese generali , TOTALE ,Direttore Generale,USR,Indirizzo_1,Cap_1,Cittˆ_1,PV_1,Codice progetto
AGRC01000L,Istituto Prof.le Servizi Comm.li,N. Gallo,Via Regione Siciliana,92100,AGRIGENTO,AG,agrc01000l@istruzione.it,0922 604313,0922 604319,4," 21,532.00 ",," 86,128.00 ",," 6,120.00 ", 600.00 ," 2,549.00 ", -   ," 1,073.00 "," 10,240.00 ", 300.00 , 150.00 , 200.00 , 300.00 ," 21,532.00 ",Al Direttore Generale,Uffico Scolastico Regionale,"Via G. Fattori, 60",90146,PALERMO,PA,B-3-FSE-2008-9
CLPS01000C,Liceo Scientifico,A. Volta,Via N. Martoglio 1,93100,CALTANISSETTA,CL,clps01000c@istruzione.it,0934 591533,0934 592908,3," 40,500.00 ",," 121,500.00 ",," 5,700.00 "," 1,000.00 "," 3,800.00 ", 800.00 ," 1,600.00 "," 24,000.00 "," 1,000.00 "," 2,400.00 ", -   , 350.00 ," 40,650.00 ",Al Direttore Generale,Uffico Scolastico Regionale,"Via G. Fattori, 60",90146,PALERMO,PA,B-3-FSE-2008-7
CTPS040009,Liceo Scientifico,G. Galilei,Via Vescovo Maurizio 73 - 75,95100,CATANIA,CT,ctps040009@istruzione.it,095 497105,095 7124362,10," 30,000.00 ",," 300,000.00 ",," 6,500.00 ", 800.00 ," 2,000.00 ", -   ," 2,500.00 "," 15,000.00 "," 2,000.00 ", 500.00 , 500.00 , 200.00 ," 30,000.00 ",Al Direttore Generale,Uffico Scolastico Regionale,"Via G. Fattori, 60",90146,PALERMO,PA,B-3-FSE-2008-4
ENIS00700G,Istituto Istruzione Secondaria Superiore,E. Majorana,"Piazza Senatore Marescalchi, 2",94015,PIAZZA ARMERINA,EN,entf01000v@istruzione.it,0935 682015,0935 682016,2," 29,863.50 ",," 59,727.00 ",," 7,812.00 "," 1,500.00 "," 2,201.50 ", -   ," 1,500.00 "," 13,050.00 ", 800.00 ," 1,000.00 "," 1,000.00 "," 1,000.00 "," 29,863.50 ",Al Direttore Generale,Uffico Scolastico Regionale,"Via G. Fattori, 60",90146,PALERMO,PA,B-3-FSE-2008-5
METF05000R,Istituto Tecnico Industriale,G. Marconi,Rione Santa Chiara,98121,MESSINA,ME,metf05000r@istruzione.it,090 360116,090 5728381,4," 17,805.34 ",," 71,221.36 ",," 5,533.50 ", 269.04 ," 1,822.80 ", 100.00 , 875.00 ," 8,585.00 ", -   , 320.00 , 50.00 , -   ," 17,555.34 ",Al Direttore Generale,Uffico Scolastico Regionale,"Via G. Fattori, 60",90146,PALERMO,PA,B-3-FSE-2008-3
PATF010004,Istituto Tecnico Industriale,A. Volta,Passaggio dei Picciotti 1,90123,PALERMO,PA,patf010004@istruzione.it,091 6494211,091 474126,7," 29,765.03 ",," 208,355.21 ",," 5,533.50 "," 4,009.76 "," 1,651.65 ", -   ," 2,000.00 "," 11,250.00 ", 200.00 , 800.00 ," 1,000.00 "," 2,500.00 "," 28,944.91 ",Al Direttore Generale,Uffico Scolastico Regionale,"Via G. Fattori, 60",90146,PALERMO,PA,B-3-FSE-2008-8
RGTF01000V,Istituto Tecnico Industriale,E. Majorana,Via Pietro Nenni,97100,RAGUSA,RG,rgtf01000v@istruzione.it,0932 624026,091 227676,2," 20,087.74 ",," 40,175.48 ",," 5,100.00 ", 600.00 ," 2,506.00 ", -   ," 1,020.88 "," 9,377.56 ", -   , 260.00 , 270.00 , 506.30 ," 19,640.74 ",Al Direttore Generale,Uffico Scolastico Regionale,"Via G. Fattori, 60",90146,PALERMO,PA,B-3-FSE-2008-6
SRPS04000D,Liceo Scientifico,L. Einaudi,Via Pitia 13,96100,SIRACUSA,SR,srps04000d@istruzione.it,0931 38043,0931 39446,4," 30,307.50 ",," 121,230.00 ",," 7,845.00 ", 850.00 ," 2,795.00 ", 220.00 ," 2,400.00 "," 11,810.00 ", 900.00 ," 1,800.00 "," 1,500.00 ", 750.00 ," 30,870.00 ",Al Direttore Generale,Uffico Scolastico Regionale,"Via G. Fattori, 60",90146,PALERMO,PA,B-3-FSE-2008-1
TPIS01800P,Istituto Istruzione Secondaria Superiore,L.da Vinci,Piazza XXI Aprile,91100,TRAPANI,TP,tptf020006@istruzione.it,0923 29498,0923 23982,4," 27,617.90 ",," 110,371.60 "," 1,118,708.65 "," 5,374.35 "," 3,586.08 "," 1,647.47 ", 600.00 ," 1,950.00 "," 9,510.00 "," 1,800.00 ", 650.00 ," 1,000.00 "," 1,500.00 "," 27,617.90 ",Al Direttore Generale,Uffico Scolastico Regionale,"Via G. Fattori, 60",90146,PALERMO,PA,B-3-FSE-2008-2
,,,,,,,,,,,,," 1,118,708.65 ",,,,,,,,,,,,,,,,,,,
