Denominazione del Beneficiario,Titolo del Progetto,Comune,Anno di assegnazione del contributo pubbico,Contributo Pubblico Assegnato (Fesr+Stato+Regione)
"MEDIA-FARM SOCIETA' 
COOPERATIVA","SERVIZI ECOLOGICAMENTE COMPATIBILI 
BY LUCCA CARD",LUCCA,2009,45000.0
PMI SERVICE S.R.L.,Copia di SmartFactory,AREZZO,2009,30000.0
"GEOSERVIZI DI COSCO ALFONSO 
MAURIZIO E SPADARO FRANCESCO ",Project Geoservizi - mappatura dei processi,SAN GIULIANO TERME,2009,4500.0
PULCRA S.R.L.,"Miglioramento efficienza operativa ed 
implementazione del sistema informatico di ",MOMTEMURLO,2009,27100.0
VERSILIA CALZATURE SRL,INNOVAZIONE PROCEDURE GESTIONALI,MASSAROSA,2009,37350.0
DAZZINI S.R.L.,DAZZINI IN - TECH,CARRARA,2009,15000.0
"COSTRUZIONI VINCENZO 
SCHIAVONE E C. S.A.S.","Project Schiavone - supporto al cambiamento 
organizzativo",CALCI,2009,4500.0
FASEM INTERNATIONAL SRL,"Copia di TARGET: strategie per un nuovo progetto 
produttivo",VICOPISANO,2009,34900.0
VICTRIX GROUP SRL,Innovazione Tecnica di Prodotto,VINCI,2009,17500.0
I+ SRL A SOCIO UNICO,AAL-TOUCH,FIRENZE,2009,15000.0
RUSTICI SRL,"Riorganizzazione aziendale con implementazione di 
un sistema ERP a supporto delle decisioni.",MONTALE,2009,62500.0
"I.ME.F. - INDUSTRIA MECCANICA 
FIORENTINA SRL",La qualità totale nell'industria meccanica,CAMPI BISENZIO,2009,6250.0
NOMINATION SRL,Copia di BRAND,SESTO FIORENTINO,2009,14850.0
EDILSCUOLA SOC. COOPERATIVA,"RIORGANIZZAZIONE PROCESSI DI 
GESTIONE EDILSCUOLA",FIRENZE,2009,10800.0
GECOM S.P.A.,"OHSAS 18001, SA 8000 e ottimizzazione della 
Supply Chain",AREZZO,2009,37550.0
ANTOLINI SRL,Antolini innovation,MASSAROSA,2009,12700.0
ARREDOLEGNODESIGN S.R.L.,"Nuovi prodotti per l'arredo in legno e 
implementazione del sistema di gestione aziendale",CHIUSI DELLA VERNA,2009,48180.0
"GAVAZZI MAURO E C. SNC DI 
GAVAZZI ALESSANDRO",MINORCONSUMO,QUARRATA,2009,40000.0
PRONTOPHARMA- EUROPE SRL,Uriwell,LUCCA,2009,7500.0
DROGHERIA E ALIMENTARI S.R.L.,"Modalità di ottimizzazione dei Processi secondo 
Basilea 2",SAN PIERO A SIEVE,2009,8000.0
"TRAVERTINO SANT'ANDREA 
GIGANTI RENATO SRL",SUPERFICI INNOVATE PER IL TRAVERTINO,RAPOLANO TERME,2009,17035.0
GULOTTA SARO,Copia di Future Engineering,SAN GIMIGNANO ,2009,4800.0
FLORENCE COLLECTIONS SRL,"COLLEZIONE ATLANTIQUE - 
PROGETTAZIONE E ",QUARRATA,2009,37400.0
KORTIMED SRL,Copia di LOGISTICA AVANZATA,LASTRA A SIGNA,2009,20000.0
LANIFICIO IL PANDA SPA,PANDA - SVIL.OR,FIRENZE,2009,25000.0
"SISTEMI DI ELABORAZIONE E 
AUTOMAZIONE DEI FRATELLI ",Interactive Digital Signage,MASSA,2009,15000.0
POLARIS ITALIA SRL,"La gestione flessibile delle informazioni per 
POLARIS ITALIA Srl",LIVORNO,2009,25000.0
CASA TOSCANA S.R.L.,"Copia di MUTAMENTO ORGANIZZATIVO E 
RISTRUTTURAZIONE PROCESSI AZIENDALI ",SINALUNGA,2009,37250.0
BERNARDINI FRANCESCO,"Copia di Innalzamento efficienza produttiva 
aziendale e Sistema Qualità ISO 9001:2008",MASSA,2009,6120.0
"ACCOPPIATURE PISANE DI 
MENICHETTI IVANO E C. SAS","IMPLEMENTAZIONE DI UN SISTEMA DI 
GESTIONE PER LA QUALITA'",SANTA CROCE SULL'ARNO,2009,15600.0
STUCCHI AMANDA,Copia di Diagnostica per sanificatori ambientali,FIRENZE,2009,6751.0
TO.RO. ITALIA SRL,ATTREZZATURE PER POLIETILENE,CARRARA,2009,44250.0
S.R.L. CERAMICHE VIRGINIA,"Applicazione web per l'innovazione 
nell'acquisizione di ordini da cliente.",MONTESPERTOLI,2009,19300.0
TACCETTI SRL,Copia di Innovazione tecnologica del prodotto,MONTELUPO FIORENTINO,2009,24600.0
"VASELLI MARMI DI VASELLI 
DANILO E C. SNC","Copia di STRUTTURAZIONE E 
REALIZZAZIONE DEL PIANO MARKETING  ",RAPOLANO TERME,2009,30000.0
QUINTI UMBERTO E C. - S.N.C.,"SUPPORTO ALLA CERTIFICAZIONE ISO 
14001",MARCIANO DELLA CHIANA,2009,12500.0
CONSORZIO SMART,System Integrator,SAN GIULIANO TERME,2009,101100.0
"CIALDE DI MONTECATINI DI 
BARGILLI E C. S.R.L.","Realizzazione disegni, marchi registrati e depositati  
+ Reingegnerizzazione del processo produttivo per ",MASSA E COZZILE,2009,5400.0
MMMAR S.R.L.,Supporto all'introduzione di nuovi prodotti,BAGNO A RIPOLI,2009,17500.0
GAB S.R.L.,"Elettroformatura in oro ad elevate carature: nuovi 
prcessi e nuovi prodotti",AREZZO,2009,93750.0
"ANDREA STAINER S.A.S. DI FANTI 
PIERANGELO","Gestione clienti, individuazione e penetrazione di 
nuovi mercati, standardizzazione delle procedure in ",PONTREMOLI,2009,40000.0
AMMTECH S.R.L.,Miglioramento in AMMtech,PORCARI,2009,6600.0
NOVIMPIANTI SRL,Novimpianti - Temporary Management,CAPANNORI,2009,40000.0
"PASTIFICIO MONTI FRANCESCO 
SRL",INNOVARE L'ORGANIZZAZIONE,EMPOLI,2009,15000.0
BARCOVANLINE SRL,Barcovanline per il futuro,CARRARA,2009,44880.0
ANDREA COSTRUZIONI S.R.L.,"Sistema Qualità ISO 9001:2008 integrato con la 
Gestione Commesse (introduzione sw 3-WARE)",CARRARA,2009,7275.0
COLLEVILCA CRISTALLERIA SRL,"Gestione del cambiamento organizzativo della fase 
gestionale dell' azienda Collevilca Cristalleria ",COLLE DI VAL D'ELSA,2009,5000.0
E.T. SRL,Innovazione gestionale ed industriale,AREZZO,2009,5000.0
ZERONOVE SRL,"Nuovi prodotti di gioielleria destinati al retail e 
sviluppo reti distributive B2C",AREZZO,2009,86250.0
MAGAZZINI DI VIA MAGAZZINI SRL,Concetto Liberty,QUARRATA,2009,15000.0
ST IMPIANTI SRL,"""La mappatura dei processi organizzativi in ST 
SCALE SRL""",CECINA,2009,12000.0
"SAT EXPORT SOCIETA' ARTIGIANA 
TAPPEZZATI DI GORI PAOLO E C. ",SAT in Ucraina e Russia,QUARRATA,2009,29880.0
B.E V. SRL,B&V per il futuro,CARRARA,2009,44880.0
GESTIONE SILO SRL,"Consolidamento della struttura organizzativa 
aziendale",SCANDICCI,2009,15000.0
CIEMMECI FASHION SRL,CIEMMECI F. - Business Organization,EMPOLI,2009,25000.0
"CALZATURIFICIO F.LLI CAPPELLINI 
DI CAPPELLINI L. E C.SNC","PROGETTAZIONE  E REALIZZAZIONE 
NUOVA LINEA DI CALZATURE, BORSE, ",SERRAVALLE PISTOIESE,2009,37500.0
I.T.L.A. S.P.A.,Diagnosi per un nuovo sviluppo organizzativo,CASOLE D'ELSA,2009,3815.0
FAM S.R.L.,"Copia di Analisi del profilo economico finanziario 
di Fam S.r.l.",SAN QUIRICO D'ORCIA,2009,7000.0
P. E C. SNC,Obiettivo Crescita,QUARRATA,2009,5000.0
CCM TECH SRL A SOCIO UNICO,Copia di CCM_SVILUPPO,CALENZANO,2009,25000.0
EXTRASOLUTION S.R.L.,"Copia di Metodo per la misurazione della 
permeabilità ai gas dei contenitori in genere",PISA,2009,16500.0
"MECOIL DIAGNOSI MECCANICHE 
SRL","Analisi e ottimizzazione procedure di Mecoil 
Diagnosi Meccaniche",FIRENZE,2009,12000.0
SORGENTE SANT'ELENA SPA,"Copia di Sviluppo e ricerca di nuovi canali 
commerciali nazionali ed esteri di Sorgente S.Elena ",CHIANCIANO TERME,2009,12450.0
A.R. ARREDAMENTI S.R.L.,"AR, novità nell'arredamento",PONTEDERA,2009,29700.0
CIEMMECI SRL,NEW MARKET FOR CIEMMECI,CASTELFIORENTINO,2009,17400.0
"BERTONERI COSTRUZIONI 
GENERALI S.R.L.","Sistema Qualità ISO 9001:2008 integrato con Sw di 
Gestione Commesse 3WARE",MASSA,2009,6120.0
"EUROSTUDIO DI VOLPI WALTER E 
C. SAS","Copia di Eurostudio-SERVIZIO DI SUPPORTO 
ALLA IMPLEMENTAZIONE DI NUOVE ",PONTEDERA,2009,12240.0
BIODOMUS ARCHI.TEK S.R.L.,"Sistema Gestione Ambientale ISO 14001 integrato 
con di Gestione Commesse 3WARE",AREZZO,2009,8800.0
NUOVA EDART SPA,"Riorganizzazione produttiva e delle procedure 
interne dell'ambito di un programma di ",MASSA E COZZILE,2009,20000.0
"MONDO VERDE CASA E GIARDINO 
S.R.L.","Copia di Miglioramento Efficienza operativa 
Tramite l'introduzione si un sistema ERP",SCARPERIA,2009,17820.0
AK INNOVATION SRL,MOBILE-rilev,AREZZO,2009,45000.0
"ALMAR DI GHERARDI MARCO E C. 
SAS",QUALITA' E SICUREZZA,"CASTELNUOVO DI 
GARFAGNANA",2009,10000.0
"FMS- FACTORY MARBLE E STONE 
S.R.L.",Nuova FMS 2009,PIETRASANTA,2009,45000.0
BLUCONS SRL A SOCIO UNICO,MODIFICARE,VIAREGGIO,2009,15000.0
"F.A. ELETTRIC DI BRANCA MARCO 
E FABIANO G. E S. SNC",PROGETTO FA ELETTRIC,FIRENZE,2009,12000.0
"COSTRUZIONI PANZA DI PANZA 
IRENE C S A S",PROGETTO PANZA,ALTOPASCIO,2009,12000.0
POWERSOFT SRL,Inter Power 2009,SCANDICCI,2009,20000.0
