Denominazione del Beneficiario,Titolo del Progetto,Comune,Anno di assegnazione del contributo pubbico,Contributo Pubblico Assegnato (Fesr+Stato+Regione),Totale Contributo pubblico pagato alla fine del progetto
Comune di Poggibonsi,Rotatoria via Borgaccio,Poggibonsi,2008,80000.0,
Comune di Pontedera,"Realizzazione rotatoria Via Vittorio Veneto e via 
Tosco Romagnola",Pontedera,2008,120000.0,
Comune di Massa ,Rotatoria Viale Roma Viale Lungomare,Massa ,2008,80000.0,
Comune di Calenzano,Parcheggio scambiatore in via del Pratignone (a lotti),Calenzano,2008,334800.0,
Comune di  Arezzo,Realizzaz.percorso ciclopedonale via dell'Acropoli ,Arezzo,2008,188000.0,
Comune di Lucca,"Miglioramento viabilità in Viale Carducci tra Via 
Nieri e Via Angeloni",Lucca,2008,170064.0,
Comune di Lucca,"Realizzazione rotatoria intersezione Via Ingrillini,Via 
Squaglia e Via Mattei",Lucca,2008,66400.0,
Comune di Scandicci,"Riqualificazione asilo Bianconiglio (impianto termico-
solare termico-fotovoltaico)",Scandicci,2008,50742.0,50742.0
Comune di Lucca,"Realizzazione rotatoria all'intersezione Viale 
Europa,Viale Carducci e Via Nieri",Lucca,2008,144000.0,144000.0
Comune di Carrara,"Realizzazione parcheggi e rotatorie:rotatoria via 
Campo d'Appio con Via Villafranca",Carrara,2008,24088.0,
Comune di Campi Bisenzio,"Realizzazione collegamento stradale tra SSRR 66 
Pistoiese in Località Ponte alla Bacellina e la S.P. 
Lucchese n° 5-1° lotto",Campi Bisenzio,2008,1.518.541,
Comune di Calenzano,"Restauro scuola materna Via del Risorgimento con 
sistemi di bioarchitettura ",Calenzano,2008,358230.0,358230.0
Comune di Viareggio,Realizzazione rotatoria in Piazza San Maria,Viareggio,2008,225000.0,
Comune di Prato,Realizzazione pista ciclabile locaità Gonfienti,Prato,2008,148442.0,
Comune di Porcari,"Nuova viabilità di svincolo zona 
industriale/artigianale (intervento n°3)",Porcari,2008,316000.0,
Comune di Massa ,Rotatoria Piazza Misericordia,Massa ,2008,80000.0
Comune di Prato,Realizzazione sottopasso V.le L. Da Vinci Via Nenni,Prato,2008,1.370.492
