"Denominazione del Beneficiario","Titolo del Progetto","Comune","Anno di assegnazione del contributo pubbico","Contributo Pubblico Assegnato (Fesr+Stato+Regione)"
"Provincia di Arezzo","Sistema Informativo Stradale della Provincia di 
ARezzo (S.I.S.AR)","Diversi comuni del territorio provinciale",2009,300000
"Comune di Grosseto","PROGETTO DI INFOMOBILITÀ INTEGRATA PER
IL COMUNE DI GROSSETO (GROSSETO 
SISTEMA INFOMOBILITÀ)","Grosseto",2009,300000
"Comune di Pisa","iMobility in Pisa (IMP)","Pisa",2009,300000
"Provincia di Livorno","PROVINCIA LIVORNO INFOMOBILITÀ 
(INFOLIV)","Diversi comuni del territorio provinciale",2009,300000
"Comune di Firenze","Gestione Integrata Ordinanze e Comunicazione 
multicanale (G.I.O.CO)","Firenze",2009,300000
"Comune di Empoli","EMPOL-I-Mobility (EIM)","Empoli",2009,240000
"Comune di Pistoia","Pistoia i Mobility (P I M)","Pistoia",2009,240000
"Comune di Arezzo","Progetto Comunale Infomobilità Arezzo (PCIA)","Arezzo",2009,240000
"Comune di Massa","Onda Verde Infomobilità Massa (I-Mobility Massa)","Massa",2009,240000
"Provincia di Massa Carrara","Osservatorio Integrato della Mobilità Massa-Carrara 
(OIMO)","Massa Carrara",2009,240000
"Comune di Livorno","Fornitura dei dati di traffico e gestione integrata dei 
servizi di infomobilità nell’area urbana e portuale di 
Livorno (INFOLI)","Livorno",2009,238720
"Provincia di Grosseto","Sistema Integrato di Monitoraggio del TRAffico 
Provinciale (S.I.M.TRA.P)","Diversi comuni del territorio provinciale",2009,180000
"Provincia di Pisa","Sistema Integrato di Monitoraggio del TRAffico 
Provinciale (S.I.M.TRA.P)","Diversi comuni del territorio provinciale",2009,180000
"Comune di Lucca","Sistema integrato di gestione e fornitura dati di 
infoMOBIlità per la cittàdi LUcca (MOBILÙ)","Lucca",2009,130814
