Denominazione del Beneficiario ,Titolo del Progetto,Provincia,Comune,"Anno di 
assegnazione del 
contributo pubbico","Contributo Pubblico 
Assegnato 
(Fesr+Stato+Regione)","Totale Contributo 
pubblico pagato alla fine 
del progetto"
Regione Toscana,"Campagna pubblicitaria per la presentazione del POR 
Creo Fesr 2007-2013 - A. Manzoni & C. S.p.A.",Tutte le province ,Tutti i comuni,2008,6430.0,6430.0
Regione Toscana,"Campagna pubblicitaria per la presentazione del POR 
Creo Fesr 2007-2013 - SPE Società Pubblicità 
Editoriale Spa",Tutte le province ,Tutti i comuni,2008,5444.0,5444.0
Regione Toscana,"Campagna pubblicitaria ""Banda Larga"" - 
Publikompass Spa",Tutte le province ,Tutti i comuni,2008,3228.0,
Regione Toscana,"Campagna pubblicitaria ""Banda Larga"" - Radio 
Monte Serra Srl",Tutte le province ,Tutti i comuni,2008,19584.0,19584.0
Regione Toscana,"Campagna pubblicitaria ""Banda Larga"" - Controradio 
Srl",Tutte le province ,Tutti i comuni,2008,19872.0,19872.0
Regione Toscana,"Campagna pubblicitaria ""Banda Larga"" - Publistudio 
Srl",Tutte le province ,Tutti i comuni,2008,1200.0,
Regione Toscana,"Campagna pubblicitaria ""Banda Larga"" - A. Manzoni 
& C. Spa",Tutte le province ,Tutti i comuni,2008,2040.0,2040.0
Regione Toscana,"Campagna pubblicitaria ""Banda Larga"" - 
Questapubblicità Spa",Tutte le province ,Tutti i comuni,2008,3000.0,3000.0
Regione Toscana,"Campagna pubblicitaria ""Banda Larga"" - SPE Società 
Pubblicità Editoriale Spa",Tutte le province ,Tutti i comuni,2008,6900.0,
Regione Toscana,"Campagna pubblicitaria ""Banda Larga"" - 
Questapubblicità Spa",Tutte le province ,Tutti i comuni,2008,12000.0,12000.0
Regione Toscana,"Campagna pubblicitaria ""Banda Larga"" - 
Questapubblicità Spa",Tutte le province ,Tutti i comuni,2008,12000.0,12000.0
Regione Toscana,"Ideazione del logo POR CREO e sviluppo 
dell'immagine per la comunicazione - LCD Srl",Tutte le province ,Tutti i comuni,2009,23760.0,23760.0
Regione Toscana,"Coordinamento tecnico-scientifico delle attività di 
comunicazione sui PIUSS - INU Istituto Nazionale di 
Urbanistica",Tutte le province ,Tutti i comuni,2009,14400.0,
Regione Toscana,"Partecipzaione alla manifestazione Urbanpromo 2009 
per iniziative di comunicazione sui PIUSS - 
Urbanistica Italiana Srl",Tutte le province ,Tutti i comuni,2009,21600.0,
Regione Toscana,"Servizio di traduzione italiano-inglese e viceversa per 
tematiche inerenti il POR e il progetto J4C di Urbact - 
WWES Snc",Tutte le province ,Tutti i comuni,2009,3600.0,
Regione Toscana,"Pubblicazione, stampa, distribuzione e vendita di due 
volumi - Donzelli Editore Srl",Tutte le province ,Tutti i comuni,2009,24000.0,
Regione Toscana,"Produzione e distribuzione di un fascicolo della 
collana ""Urbanistica Dossier"" dedicato ai PIUSS - 
INU Edizioni Srl",Tutte le province ,Tutti i comuni,2009,5512.0,5512.0
ANCI Toscana,"Diffusione delle informazioni a favore dei beneficiari 
dell’Asse 5 “Valorizzazione delle
risorse endogene per lo sviluppo territoriale 
sostenibile”",Tutte le province ,Tutti i comuni,2009,70000.0,
"CNA Toscana con DMTI 
dell'Università degli Studi di 
Firenze",Grow Up,Tutte le province ,Tutti i comuni,2009,70000.0,
"Confcooperative Toscana, AGCI 
Toscana e Legacoop Toscana",Informazione e Pubblicità,Tutte le province ,Tutti i comuni,2009,70000.0,
Confartigianato Imprese Toscana,I&A Informazione&Aziende,Tutte le province ,Tutti i comuni,2009,70000.0,
Confcommercio e Confesercenti,Progetto di diffusione,Tutte le province ,Tutti i comuni,2009,70000.0,
Confindustria,In-web 2.0 In-novazione In-formazione via web,Tutte le province ,Tutti i comuni,2009,70000.0,
UNCEM Toscana,"Diffusione delle informazioni a favore dei beneficiari 
dell’Asse 5 “Valorizzazione delle
risorse endogene per lo sviluppo territoriale 
sostenibile”",Tutte le province ,Tutti i comuni,2009,70000.0,
UPI Toscana,PI.S.a E. Piano di supporto agli enti locali,Tutte le province ,Tutti i comuni,2009,70000.0,
