Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
ENERMA SRL,POR FESR 2007-2013 - Bando PIA 2007," 294.305,00",
FIMA SRL**,POR FESR 2007-2013 - Bando PIA 2007," 234.878,00",
ITAL PROGET COLD REFRIGERATION SAS,POR FESR 2007-2013 - Bando PIA 2007," 295.957,00",
KEMON SPA,POR FESR 2007-2013 - Bando PIA 2007," 419.345,00",
CO.ME.AR SR**,POR FESR 2007-2013 - Bando PIA 2007," 248.493,00",
PASQUI SRL,POR FESR 2007-2013 - Bando PIA 2007," 315.570,00",
URBANI TARTUFI SRL,POR FESR 2007-2013 - Bando PIA 2007," 442.813,00",
TIONE SRL,POR FESR 2007-2013 - Bando PIA 2007," 374.990,00",
NPLUST Semiconductor Application Center SRL**,POR FESR 2007-2013 - Bando PIA 2007," 66.530,00",
PERUSIA GLASS SRL,POR FESR 2007-2013 - Bando PIA 2007," 130.397,00",
NARDI SPA**,POR FESR 2007-2013 - Bando PIA 2007," 315.815,00",
LA VETERINARIA SRL,POR FESR 2007-2013 - Bando PIA 2007," 260.349,00",
TECNOCENTRO ENG. SRL**,POR FESR 2007-2013 - Bando PIA 2007," 606.895,00",
S.A.C.I. SPA,POR FESR 2007-2013 - Bando PIA 2007," 264.847,00",
ECOBLOC SRL**,POR FESR 2007-2013 - Bando PIA 2007," 237.195,00",
INTERPARK SERVIZI PER L'ECOLOGIA SRL,POR FESR 2007-2013 - Bando PIA 2007," 350.000,00"
B & G SRL,POR FESR 2007-2013 - Bando PIA 2007," 233.200,00"
OFFICINE MECCANICHE GALLETTI - O.M.G. SRL**,POR FESR 2007-2013 - Bando PIA 2007," 317.490,00"
METALMECCANICA PULSONI SRL,POR FESR 2007-2013 - Bando PIA 2007," 301.145,00"
SAES SRL,POR FESR 2007-2013 - Bando PIA 2007," 141.205,00"
CEPLAST SRL**,POR FESR 2007-2013 - Bando PIA 2007," 237.415,00"
CIAM SERVIZI SPA**,POR FESR 2007-2013 - Bando PIA 2007," 300.075,00"
PAV.I.RL,POR FESR 2007-2013 - Bando PIA 2007," 333.657,00"
PROGRESSUS S.R.L.,POR FESR 2007-2013 - Bando PIA 2007," 222.645,00"
AFA TOMASSINI SPA,POR FESR 2007-2013 - Bando PIA 2007," 128.286,00"
COMATEC HI - TEC SRL,POR FESR 2007-2013 - Bando PIA 2007," 115.317,00"
FRATELLI VALIGI SRL,POR FESR 2007-2013 - Bando PIA 2007," 154.438,00"
LEGNAMI PAOLINI 2 SRL,POR FESR 2007-2013 - Bando PIA 2007," 268.224,00"
CLAS SRL,POR FESR 2007-2013 - Bando PIA 2007," 174.376,00"
SOLE NOSTRO SRL,POR FESR 2007-2013 - Bando PIA 2007," 236.000,00"
GAROFOLI SPA**,POR FESR 2007-2013 - Bando PIA 2007," 266.185,00"
INTERMAGNETICS SRL,POR FESR 2007-2013 - Bando PIA 2007," 182.750,00"
ALLIMEP SRL,POR FESR 2007-2013 - Bando PIA 2007," 224.200,00"
FIDIA SRL**,POR FESR 2007-2013 - Bando PIA 2007," 171.229,00"
SAPI SRL,POR FESR 2007-2013 - Bando PIA 2007," 93.826,00"
FRATONI SERRAMENTI SRL,POR FESR 2007-2013 - Bando PIA 2007," 99.349,00"
CARLO GAVAZZI SPACE SPA**,POR FESR 2007-2013 - Bando PIA 2007," 193.339,00"
