Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
Regione Umbria,"N. 6737 DEL 29/07/2008 Aggiudicazione servizi per la realiz- zazione della Campagna di comuni- cazione inerente le politiche comuni- tarie dei POR (FESR, FSE e FEASR) 2007/2013. Approvazione schema di contratto ed impegno € 46.800,00 Capp. 6722, 2916 e 8200 E. F. 2008.","15.600,00","15.600,00"
Regione Umbria,"N. 8258 DEL 19/09/2008 Campagna di comunicazione ""Inve- stiamo nel vostro futuro"" sull'attuazio- ne delle politiche comunitarie dei POR (FESR, FSE e FEASR) 2007- 2013. Affissione di manifesti e posters nei principali comuni umbri. Impegno € 17.211,73 Capp. 6722 e 2916 E. F. 2008.","8.605,87","8.605,87"
Regione Umbria,"N. 8305 DEL 22/09/2008 Campagna di comunicazione sull'at- tuazione delle politiche comunitarie dei POR (FESR, FSE e FEASR) 2007-2013. Inserzioni sui quotidiani con cronaca locale e sui settimanali regionali. Impegno € 50.061,20 Capp. 6722 e 2916 E. F. 2008.","25.030,60","25.024,40"
Regione Umbria,"N. 8832 DEL 06/10/2008 Campagna di lancio POR FESR 2007-2013. Realizzazione Brochure. Affidamento incarico Graphicmaster srl di Perugia. Impegno di spesa € 5.892,00 (IVA compresa)","5.892,00","5.892,00"
Regione Umbria,"N. 8833 DEL 06/10/2008 Campagna di comunicazione POR- FESR 2007-2013. Pubblicazione su ""Il Sole 24 Ore"" del 24/10/2008. Im- pegno di spesa di Euro 24.000,00 Iva inclusa.","24.000,00","24.000,00"
Regione Umbria,"N. 8834 DEL 06/10/2008 POR-FESR 2007-2013 - Asse V As- sistenza tecnica - Stampa di 1600 Blocchi e Cartelle. Impegno di Euro 2.340,00 Iva inclusa a favore di Arte- graf srl.","2.340,00","2.340,00"
Regione Umbria,"N. 9327 DEL 21/10/2008 POR FESR 2007/2013: Rivista ""Re- gional Review”. Impegno di spesa sul cap. 6722 del bilancio regionale pari a € 3.900,00 (IVA compresa).","3.900,00","3.900,00"
Regione Umbria,"N. 12095 DEL 29/12/2008 Campagna di comunicazione dei POR (FESR, FSE e FEASR) 2007- 2013. Liquidazione fatture per inser- zioni sui quotidiani locali e settimanali regionali mese di settembre. € 32.220,40 Capp. 6722 e 2916 E. F. 2008.","1.951,05","1.951,05"
Regione Umbria,"N. 744 DEL 02/02/2009 ""Second Inform Meeting network"" - Incontro sui Piani di comunicazione dei programmi comunitari. Bruxelles 26-27 novembre 2008. Impegno e li- quidazione a valere sul Cap. 6722 del Por-Fesr 2007-2013 pari a € 283,24 Iva inclusa.","283,24","283,24"
Regione Umbria,"N. 805 DEL 03/02/2009 Campagna di comunicazione POR- FESR 2007-2013. Realizzazione e- secutivi di stampa per pubblicazione su quotidiano nazionale. Impegno e liquidazione Euro 360,00 iva inclusa a favore di Reclameprogetti srl.","360,00","360,00"
Regione Umbria,"N. 5137 DEL 28/05/2009 POR FESR 2007-2013 - Assistenza tecnica. Aggiornamento canale tema- tico Por-Fesr all’interno del sito internet. Affidamento incarico a Sesi- net s.a.s. di Perugia. Impegno di spe- sa € 4.800,00 Iva inclusa.","4.800,00",0
