Nome del Beneficiario,Nome dell’operazione,Importo impegnato,Importi totali pagati alla fine del progetto
F.LLI ROSSI N.e D. SNC,Attività a4 - Sostegno alle imprese in materia di eco-innovazione.," 4.400,00"," 4.400,00"
AUTOCARROZZERIA LOCCHI LUCIANO,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 38.500,00"," 38.500,00"
CIFACENTRO S.P.A.,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 24.600,00"," 24.600,00"
OMAS S.R.L.,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 63.367,10"," 63.367,10"
C.M.A. S.R.L.,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 22.919,40"," 22.919,40"
COLUSSI SPA,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 27.895,53"," 27.895,53"
TRE ESSE SNC DI FILONI RICCARDO E MARCO,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 6.412,00"," 6.412,00"
OFFICINA MECCANICA DI GIACCAGLIA GIULIA- NO & C. SNC,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 23.906,39"," 23.906,39"
CONFEZIONI REKORD DI PESCI VASCO,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 13.384,00"," 13.384,00"
Titgemeyer Itaiana srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 5.905,20"," 5.905,20"
Dani Sem Autotrasporti,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 21.615,00"," 21.615,00"
Stile Pavimenti Legno SpA,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 77.116,00"," 77.116,00"
C&S srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 11.216,00"," 11.216,00"
SGL Carbon SpA,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 10.962,86"," 10.962,86"
PAN-DOL srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 19.063,56"," 19.063,56"
Bicchieri Dario & C. snc,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 11.370,47"," 11.370,47"
Nuova Carrozzeria Mode- nese di Pannacci Michele snc,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 16.882,00"," 16.882,00"
Autocarrozzeria di Biti Franco,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 6.753,60"," 6.753,60"
Tagina Ceramiche d'Arte Spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 107.278,20"," 107.278,20"
Tagina Ceramiche d'Arte Spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 34.359,00"," 34.359,00"
Termotiberina di Milli Giu- sepe,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 13.428,30"," 13.428,30"
Euro Blister snc di P.D. Pacini,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 24.301,81"," 24.301,81"
Tecnosistemi srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 18.280,00"," 18.280,00"
Falegnameria Tafani srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 17.405,20"," 17.405,20"
In maglia snc di Nocetti & P.,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 11.360,11"," 11.360,11"
Agrotyre pneumatici srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 26.120,00"," 26.120,00"
G.M. Tendaggi snc di Mo- mi Lara e Roberto,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 8.532,00"," 8.532,00"
Vetreria Cooperativa Pie- garese Soc. Coop,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 69.783,72"," 69.783,72"
Novamont spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 81.466,43"," 81.466,43"
Sidernestor srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 52.971,60"," 52.971,60"
Metalcom srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 11.250,00"," 11.250,00"
Fisa Kartotecnica,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 67.620,00"," 67.620,00"
F.lli Rossini di Rossini Cor- rado,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 4.224,36"," 4.224,36"
SE.VEN. Distribuzione srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 23.344,00"," 23.344,00"
SIDERPUCCI,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 60.480,00"," 60.480,00"
Koenig MetalGT srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 14.242,63"," 14.242,63"
T.C.T. taglio e commercia- lizzazione tubi srl,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 32.066,85"," 32.066,85"
ALCANTARA spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 40.075,55"," 40.075,55"
EMU Group Spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 494.848,40"," 494.848,40"
Autocarrozzeria Spapperi snc,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 7.275,44"," 7.275,44"
Arrow Special Parts spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 50.417,80"," 50.417,80"
In.Pro di Inghirami Produ- zione Distribuzione Spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 50.699,22"," 50.699,22"
Duca Visconti di Modrone spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 59.098,83"," 59.098,83"
Faist Componenti Spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 103.762,50"," 103.762,50"
AMA Spa (ex SARA srl),Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 43.650,00"," 43.650,00"
Luppatelli Impianti,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 7.733,82"," 7.733,82"
CCM Spa,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 74.448,80"," 74.448,80"
Arredi Casacci snc,Attività a4 - Sostegno alle imprese in materia di eco-innovazione," 14.700,00"," 14.700,00"
