"Posizione in graduatoria","N. progetto","SOGGETTO PROPONENTE / CAPOFILA ATI-ATS","PARTNER IN ATI/ATS","TITOLO DEL PROGETTO","Contributo pubblico","Cofinanziamento privato","TOTALE","ASSE OCCUPABILITA Cat. Spesa 66","ASSE CAPITALE UMANO Cat. Spesa 74","TOTALE CONTRIBUTO PUBBLICO","COSTO TOTALE DEL PROGETTO","REGIME DI AIUTO"
1,10,"Centro di Formazione imprenditoriale  sco.cons. a r.l. via Catanelli, 72 - 06135 P.S.Giovanni PG
tel 0755997234"," Sustenia srl
Enfap Umbria","LA STRADA DEL CACHEMIRE - consulente per lo sviluppo e la promozione delle produzioni di alta qualità ",78215.36,18617.72,96833.08,144670.96,,222886.32,241504.04,"De minimis"
2,48,"SUPERFICIE 8 srl
via Diaz 5/7 06128 Perugia
tel 075 5056985","Consorzio Tucep
Camevat","Dai semi alle biomasse: lo sviluppod elel risorse umane per le imprese operanti nel settore agro-alimentare",25650.03,6060.54,31710.57,96489.02,30888.22,153027.27,159087.81,"De minimis"
3,25,"ECIPA Umbria
Centro Direzionale Quattrotorri
Via Corcianese, 234C
06132 Ellera Scalo
Tel. 075/5173143",,"RETE DELLE RETI",65890.22,15808,81698.22,106477.2,61989.22,234356.64,250164.64,"De minimis"
4,33,"Innovazione Terziario S.c. a r.l.
Centro Direzionale Quattrotorri
06074 Ellera
Tel. 075/518491",,"PIU' ENERGIA - TECNOLOGIE E SISTEMI PER L'ENERGIA SOLARE E IL RISPARMIO ENERGETICO",45228,10200,55428,187886,51326,284440,294640,"De minimis"
5,8,"Associazione FORMA.Azione S.r.l.
Via Luigi Catanelli, 19
Ponte San Giovanni
06135 Perugia
Tel. 075/5997340","ITER - Innovazione Terzirio","IL CENTRO AL CENTRO …… IL CENTRO STORICO DI PERUGIA AL CENTRO DI POLITICHE DI RILANCIO E DI CRESCITA DELLE COMPETENZE IN UN'OTTICA DI RETE",188220,53680,241900,93000,,281220,334900,"De minimis"
6,29,"I.R.I.P.A.A.T.
Via Settevalli, 131/F
06129 Perugia
Tel. 075/5007196",,"RURALITIES",165777.2,65004.8,230782,94018.64,25777.91,285573.75,350578.55,"De minimis e Aiuti alla formazione"
7,37,"Istituto di Istruzione Superiore ""M. Gattapone""
Via Paruccini, s.n.c.
06024 Gubbio
Tel. 075/9273491","ITER - Innovazione Terzirio","IMPRESE TURISTICHE EUGUBINE IN RETE PER LO SVILUPPO DELLA COMPETITIVITA' E DELLE RISORSE UMANE",31109.15,8960,40069.15,171669.15,30612.65,233390.95,242350.95,"De minimis e Aiuti alla formazione"
8,6,"ASSOCIAZIONE CENTRO STUDI CITTA' DI FOLIGNO
via Oberdan 123, 06034 Foligno 
Tel 0742 342922",,"PROGETTO INTEGRATO PER LA RETE DI IMPRESE DEL POLO AEREONAUTICO UMBRO",116105,48645,164750,103500,75160,294765,343410,"De minimis e Aiuti alla formazione"
9,7,"Associazione FORMA.Azione S.r.l.
Via Luigi Catanelli, 19
Ponte San Giovanni
06135 Perugia
Tel. 075/5997340","3A Parco Tecnologico Agroalimentare dell'Umbria","VERSO LA TRACCIABILITA' DEL SUINO UMBRO",45560,10140,55700,93000,,138560,148700,"De minimis"
10,27,"En.A.I.P. Perugia
Via Sicilia, 57
06128 Perugia
Tel. 075/5000949",,"FORMAZIONE E INNOVAZIONE PER UN NETWORK SOCIALE",135257.85,33276,168533.85,97230.77,45111.38,277600,310876,"De minimis"
