"ASSE","AVVISO","TITOLO PROGETTO","SOGGETTO ATTUATORE","FINANZIAMENTO PUBBLICO CONCESSO","ANNUALITA"
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","STAR","Innovazione Terziario ITER Scarl","€ 95,600.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","AliMarket-ing","Innovazione Terziario ITER Scarl","€ 19,200.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","Riorganizzazione e competenze: settore meccatronica","Ponti Engineering S.r.l.","€ 100,000.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","IL MELOGRANO
Progetto integrato per lo sviluppo di una banca locale alla luce degli accordi di Basilea 2","ATS Consorzio Tucep - Superficie 8 S.r.l. ","€ 95,120.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","Piano di M.O.D.A. Piano di Miglioramento Organizzativo dell'Azienda","Sustenia S.r.l.","€ 77,740.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","M.I.T.O. Miglioramento, Innovazione Tecnologica e Organizzativa - Piano integrato per lo sviluppo competitivo delle PMI","ATI Artigianservizi S.r.l. - Confartigianato Formazione CNIPA Umbria ","€ 95,961.60",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","P.A.S.S. Piano Aziendale di Sviluppo Strategico
Corso di aggiornamento Professionale Inegrato","ATI ENFAP - Umbria Sustenia S.r.l.","€ 79,200.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","PASSPARTOUT- Un PASS per l'Intenazionalizzazione","ECIPA Umbria","€ 99,840.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","LE BOIS - Legno: Buone Opportunità di innovazione e Sviluppo","Assoziazione Forma.Azione S.r.l.","€ 94,960.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","MAGNOLIA 4. Progetto integrato per una cooperativa al servizio del territorio","ATS ASAST Società Cooperativa - Superficie 8 S.r.l. - Consorzio Tucep ","€ 90,200.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","HAIR","ATI Superficie 8 S.r.l. - The Comae Ornatus S.a.s.","€ 95,120.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","MONTITRASIMENTO: Progetto integrato per lo sciluppo delle competenze delle risorse umane in campo ambientale","ATS Camevat S.r.l. - Comunità Montana Ass. dei Comuni ""Trasimeno - Medio Tevere""","€ 72,000.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","Sviluppo e cambiamento organizzativo nelle cooperative sociali","ARIS Formazione e Ricerca Società Cooperativa","€ 96,850.00",2009
1,"Avviso pubblico per progetti integrati di formazione aziendale POR Umbria FSE 2007/2013","Innovazione materiali, sviluppo sistema logitica e sicurezza in norma OHSAS","IRON S.p.a. ","€ 60,000.00",2009
