"Asse 
 
Axe","Attività 
 
Activité","Operazione 
 
Opération","Nome del beneficiario 
 
Nom du bénéficiare","Anno di 
assegnazione 
 
Année 
d'allocation","Importo pubblico 
totale assegnato (in €) 
 
Montant total des 
financements publics 
alloués (en €)"
I ,c ,"Bando per progetti di innovazione – Progetto “Gestione 
automatizzata ed ottimizzata di impianti centralizzati di 
climatizzazione” ",VNTech S.c. a r.l. ,2009,"142.745,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Qualificazione 
energetico -  ambientale avanzata dell’architettura valdostana” ",Givone S.r.l.  ,2009,"4.200,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Qualificazione 
energetico -  ambientale avanzata dell’architettura valdostana” ",Brique S.r.l. ,2009,"3.600,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Qualificazione 
energetica ambientale avanzata dell’architettura valdostana” ",Tecnoval S.r.l. ,2009,"3.600,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Qualificazione 
energetica ambientale avanzata dell’architettura valdostana” ",Le vieux village S.r.l. ,2009,"3.600,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Qualificazione 
energetica ambientale avanzata dell’architettura valdostana” ",Pastoret Engineering & Consulting S.r.l. ,2009,"60.000,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Ottimizzazione 
economica, ambientale ed energetica di sistemi energetici 
innovativi a servizio di reti distribuite dell’energia termica ed 
elettrica ed a sistemi edificio/impianto a scala territoriale” ",ICSSEA S.r.l. ,2009,"140.000,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Controllo funi 
flyngbelt” ",Agudio S.p.A ,2009,"90.000,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Controllo funi 
flyngbelt” ",Memside S.r.l. ,2009,"25.000,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Sistema di 
misura, autoalimentato, per il monitoraggio di strutture e 
impianti; wireless – monitoring & diagnosis: w – mondi”  ",AMC Instruments S.r.l. ,2009,"70.000,00 "
I ,c ,"Bando per progetti di innovazione – Progetto “Sistema di 
misura, autoalimentato, per il monitoraggio di strutture e 
impianti; wireless – monitoring & diagnosis: w – mondi” ",Tecno-Services Vallée d’Aoste S.r.l. ,2009,"14.000,00 "
I ,c ,Bando per progetti di innovazione - MICRO – ARRAY DAQ1,Mavitec,2009,"67.500,00 "
I ,c ,Bando per progetti di innovazione – Spese di istruttoria ,"Regione Autonoma Valle d'Aosta - Direzione assistenza alle 
imprese, ricerca, qualità e formazione professionale  ",2009,"50.000,00 "
I ,c ,Animazione territoriale di carattere economico ,Chambre Valdôtaine des entreprises et des activités libérales ,2010,"166.842,15 "
I ,c ,Animazione territoriale di carattere economico ,Vallée d’Aoste Structure s.r.l. ,2010,"200.840,00 "
I ,d ,"Sostegno allo start-up, servizi di incubazione e servizi innovativi",Arsenale S.n.c,2009,"82.286,57 "
I ,e ,Marketing territoriale ,"Regione Autonoma Valle d'Aosta - Servizio sviluppo 
economico e concertazione ",2007," 393.000,00  "
II ,b ,"Prosecuzione recupero aree industriali Espace Aosta ed ex Ilssa 
Viola di Pont-Saint-Martin ",Vallée d'Aoste structure S.r.l ,2007," 4.470.000,00  "
II ,b ,"Prosecuzione recupero aree industriali Espace Aosta ed ex Ilssa 
Viola di Pont-Saint-Martin ","Regione Autonoma Valle d'Aosta - Direzione assistenza alle 
imprese, ricerca, qualità e formazione professionale ",2007,"30.000,00  "
II ,c ,"Realizzazione di una centrale termica cogenerativa a servizio 
della città di Aosta ",TELCHA S.r.l. di Châtillon ,2009,"5.677.949,00 "
II ,c ,"Realizzazione di un progetto pilota presso l’area autoportuale di 
Pollein Brissogne ",Autoporto Valle d’Aosta S.p.A. ,2009,"796.460,00 "
II ,c ,"Realizzazione di un progetto pilota presso l’edificio Villa 
Cameron sito nel comune di Courmayeur ",Regione Autonoma Valle d’Aosta - Direzione opere edili ,2009,"198.000,00 "
II ,d ,"Interventi di ristrutturazione e valorizzazione di un edificio, sito 
nel comune di Champorcher, finalizzato alla realizzazione di un 
centro visitatori del Parco naturale Mont Avic ",Ente Parco naturale Mont-Avic ,2008,"1.075.000,00 "
II ,e ,"Valorizzazione Forte di Bard e Copertura del cortile dell’Opera 
Carlo Alberto (Studio di fattibilità) ",Finbard S.p.A. ,2007,"5.200.000,00  "
II ,e ,Parco minerario regionale ,Comune di Brusson ,2009,"1.144.000,00 "
II ,e ,Parco minerario regionale ,Comune di Saint-Marcel ,2009,"1.990.000,00 "
III ,a ,"Acquisizione di tratte in fibra ottica lungo alcune vie d’acqua 
della CVA S.p.A. ","Regione Autonoma Valle d’Aosta – Direzione sistemi 
tecnologici ",2009,"2.520.000,00 "
III ,b ,"Studio di fattibilità architettonico-tecnologico per la 
valorizzazione dell’area megalitica di Saint-Martin-de-Corléans ","Regione Autonoma Valle d’Aosta – Direzione sistemi 
informativi ",2009,"172.032,00 "
