BENEFICIARIO,DENOMINAZIONE OPERAZIONE,IMPORTO FINANZIATO
NEAFIDI - SOCIETÀ COOPERATIVA DI GARANZIA COLLETTIVA FIDI                       ,NEAFIDI,"10.367.000,00"
CONFIDI VENETO SOCIETA' COOPERATIVA DI GARANZIA                                 ,CONFIDI VENETO SOC.COOP.GAR.,"537.000,00"
TERFIDI VENETO SOCIETA' COOPERATIVA                                             ,TERFIDI VENETO SOC. COOP.,"834.000,00"
APIVENETOFIDI SOCIETA' COOPERATIVA                                              ,APIVENETO FIDI,"568.000,00"
FIDIMPRESA VENEZIA SOCIETA' COOPERATIVA                                         ,FIDIMPRESA VENEZIA,"2.413.000,00"
SVILUPPO ARTIGIANO CONSORZIO REG.LE COOP.VE ARTIGIANE DI GARANZIA SOCIETA' COOP ,SVILUPPO ARTIGIANO,"2.716.000,00"
COFIDI VENEZIANO S.C.R.L.                                                       ,COFIDI VENEZIANO,"2.031.000,00"
CONSORZIO DI GARANZIA COLLETTIVA FIDI - FIDITURISMO -                           ,CONSORZIO FIDI TURISMO,"1.618.000,00"
CONFIRCOOP SOC. COOP. CONSORZIO DI GARANZIA COLLETTIVA DEI FIDI                 ,CONFIRCOOP SOC. COOP. CONSORZIO DI GARANZIA,"135.000,00"
FIDART VENEZIA SOCIETA' COOPERATIVA                                             ,FIDART,"168.000,00"
SOCIETÀ COOPERATIVA ARTIGIANA DI GARANZIA AGNO CHIAMPO                          ,COOPERATIVA ARTIGIANA DI GARANZIA AGNO CHIAMPO,"774.000,00"
CANOVA COOPERATIVA ARTIGIANA DI GARANZIASCARL                                   ,CANOVA COOP. ARTIGIANA DI GARANZIA,"437.000,00"
BRENTAFIDI BASSANO PADOVA SOCIETA' COOPERATIVA                                  ,BRENTAFIDI,"961.000,00"
ARTIGIANFIDI VICENZA CONSORZIO DI GARAN-ZIA COLL. FIDI S.C.A R.L.               ,ARTIGIANFIDI VICENZA,"5.112.000,00"
UNIONFIDI - VERONA S.C.A.R.L.                                                   ,UNIONFIDI VERONA,"843.000,00"
CENTRO COOPERATIVO COOP. ARTIGIANA DI GARANZIA SCARL                            ,CENTRO CCOPERATIVO SOCIETA' COOPERATIVA,"1.802.000,00"
CONFIDITER SOC.COOP. A R.L.                                                     ,CONFIDITER,"404.000,00"
CO.FID.I. POLESINE - SOC. COOPERATIVA FIDI ED INVESTIMENTI DEL POLESINE A R.L.  ,CO.FIDI. POLESINE,"599.000,00"
