Beneficiary,Operation,Duration,Budget
ATP asbl,Jobcoaching,2009-2010,"440.025,15"
Caritas,FORMAFlex,2009-2010,"259.884,72"
Centre Emmanuel asbl,PROCESS,2009-2010,"294.296,00"
Centre Jean-Baptiste Rock asbl," 
INDIVIDUALS 45PLUS - Gemeinsam Zukunft gestalten",2009-2010,"340.000,00"
Institut de Formation Sectoriel du Bâtiment,YOUTH&CO,2009-2010,"582.590,00"
InterActions,Augmenter l'employabilité des jeunes chômeurs,2009-2010,"440.000,00"
Initiative Rëm Schaffen,Formation de secrétaire au cabinet d'avocat,2009-2010,"340.000,00 "
"
Perspective 45",Académie 4 you -Wege der Wissensvermittlung,2009-2010,"60.000,00"
Chambre des salariés,"Lifelong Learning, les déclarations de Lisbonne, de Barcelone, de Copenhague et de Helsinki.",2009-2010,"4.480.000,00"
CFPC Dr. R. Widong,Programme de formation pour le secteur de la santé 2009,2009-2010,"75.990,00"
CNDS,Aufbau sozio-ökologischer Trittsteine im Norden Luxemburgs,2009-2010,"399.790,00 "
Institut de Formation Sectoriel du Bâtiment,REDDEC 2,2009-2010,"225.000,00"
Institut de Formation Sectoriel du Bâtiment,TS-BTB - Création d'une formation qualifiante de technicien supérieur en bâtiment et travaux publics,2009-2010,"295.000,00"
INFPC,Observatoire de la Formation,2009-2010,"476.395,20"
"
InterActions",BIP-LUX,2009-2010,"324.000,0"
Institut Universitaire International Luxembourg,Formation managériale pour le secteur hospitalier s'adressant aux cadres de proximité des établissement,2009-2010,"121.098,00"
Mierscher Kulturhaus,Caravan of Life,2009-2010,"40.000,00"
Centre de Création Choréographique Luxembbourgeois,Programme de formation continue professionnelle pour choréographes et danseurs,2009-2010,"27.934,20"
Centre Jean-Baptiste Rock asbl,Outils pour une gestion des âges en entreprise,2009-2010,"290.000,00"
Institut de Formation Sectoriel du Bâtiment,SCIPRISC,2009-2010,"1.360.000,00 €"
INEES,"Lux '09: une autre économie existe, les innovations de l'économie sociale et solidaire",2009-2010,"200.000,00"
Institut Universitaire International Luxembourg,Valorisation et implication des travailleurs seniors au sein des entreprises,2009-2010,"190.315,60"
LCGB/OGB-L/UEL,Etude concernant les stéréotypes qui jouent sur le choix professionnelles des femmes et des hommes,2009-2010,"50.000,00"
Institut Universitaire International Luxembourg,Formation managériale pour cadres et dirigeants du secteur social,2009-2010,"130.087,00"
Institut Universitaire International Luxembourg,Etude qualitatives sur les besoins en formation continue du secteur social et élaboration d'un portfolio de formations continues pour les salariés du secteur social,2009-2010,"109.752,00"
Institut Universitaire International Luxembourg,Projet de recherche pour mesurer l'impact de la formation continue dans les entreprises luxembourgeoises,2009-2010,"187.054,24"
Institut de Formation Sectoriel du Bâtimen,NTRACOS,2009-2010,"1.739.116,00 "
Institut de Formation Sectoriel du Bâtimen,SISCO,2009-2010,"485.879,00"
Institut de Formation Sectoriel du Bâtimen,FUMECO,2009-2010,"316.309,00 "
