"Beneficiary","Project Title","Total","Feder Contribution"
"CRP Gabriel Lippmann","ATLAS - Assistance to Transportational Logistic by Automated Systems","€ 286,000.00","€ 100,100.00"
"CRP-Gabriel Lippmann","COVIN - Cooperative Visualization of Intagibles","€ 402,000.00","€ 140,700.00"
"CRP-Gabriel Lippmann","UAM - Plate-forme de caracte_risation des mate_riaux","€ 2,160,000.00","€ 756,000.00"
"CRP Gabriel Lippmann","AIRSPEC - Airborne hyperspectral imaging system","€ 622,000.00","€ 217,000.00"
"CRP Gabriel Lippmann","BIOGAZ-PILOTES (biome_thanisation)","€ 172,000.00","€ 60,200.00"
"CRP Gabriel Lippmann","SECAL-GC - Analyse de re_sidus en trace en chai_ne alimentaire","€ 212,000.00","€ 74,200.00"
"Luxinnovation","PREDI-INFO - Promotion de la R&D et de l'innovation","€ 745,000.00","€ 260,750.00"
"Luxinnovation","PREDI-EVE - Promotion de la R&D et de l'innovation","€ 984,000.00","€ 344,000.00"
"Luxinnovation","PREDI-PRO - Promotion de la R&D et de l'innovation","€ 364,200.00","€ 127,470.00"
"Luxinnovation","PREDI-FIN - Promotion de la R&D et de l'innovation","€ 999,000.00","€ 349,650.00"
"Luxinnovation","PREDI-TECH - Promotion de la R&D et de l'innovation","€ 810,000.00","€ 283,500.00"
"Universite_ du Luxembourg","CIPU - Centre national d’information pour la politique urbaine","€ 360,000.00","€ 54,000.00"
"CRP Henri Tudor","Cassis -Se_curite_2","€ 492,000.00","€ 172,000.00"
"CRP-Henri Tudor","STOCOMA T","€ 980,000.00","€ 343,000.00"
"CRP Henri Tudor","MA TINTELLO","€ 996,800.00","€ 348,880.00"
"CRP-Henri Tudor","PEGASE - Prototyping ans Evaluation of Geolocalized Advance Services","€ 300,100.00","€ 105,035.00"
"CRP-Henri Tudor","Normalinnove","€ 262,000.00","€ 91,700.00"
"CRP Gabriel Lippmann","IPROME - Initiative for promotion of manufacturing execution systems","€ 230,468.00","€ 80,664.00"
