Promoteur,Opération,Date début,Code ,budget
CFPC Dr Robert Widong,Programme de formation pour le secteur de la santé,01.01.2008,CRE.3.002,"71.630,00 €"
CO-LABOR s.c.,BIO-SOL,01.01.2008,CRE.1.001,"284.910,52 €"
IFSB,COFUMECO - Conférences sur les Futures Méthodes de Construction,01.01.2008,CRE.2.003,"282.700,00 €"
IFSB,INTRACOS : Integrated Training for Constructing Sector,01.01.2008,CRE.2.006,"1.628.411,00 €"
IFSB,SISCO : Système d’Information du Secteur de la Construction,01.01.2008,CRE.3.003,"465.866,00 €"
Institut Universitaire International Luxembourg,Formation continue en droit appliqué pour les salariés des services juridiques,01.01.2008,CRE.2.008,"143.040,00 €"
Institut Universitaire International Luxembourg,Etude qualitative sur les besoins en formation continue du secteur social et élaboration d’un portfolio de formations continues pour les salariés du secteur social,01.01.2008,CRE.2.001,"113.570,00 €"
Institut Universitaire International Luxembourg,Formation managériale pour cadres et dirigeants du secteur social,01.01.2008,CRE.2.002,"139.775,00 €"
Institut Universitaire International Luxembourg,"Projet de développement d’outils d’apprentissage en ligne pour les techniques de comptabilité, d’analyse financière et de gestion d’entreprise",01.01.2008,CRE.2.007,"223.231,60 €"
Institut Universitaire International Luxembourg,Projet de recherche pour mesurer l’impact de la formation continue dans les entreprises luxembourgeoises,01.01.2008,CRE.3.004,"167.650,00 €"
ATP asbl,Jobcoaching,2009-2010,CRE 1.009,"440.025,15"
Caritas,FORMAFlex,2009-2010,CRE 1.005,"259.884,72"
Centre Emmanuel asbl,PROCESS,2009-2010,CRE 1.006,"294.296,00"
Centre Jean-Baptiste Rock asbl,INDIVIDUALS 45PLUS - Gemeinsam Zukunft gestalten,2009-2010,CRE 1.004,"340.000,00"
Institut de Formation Sectoriel du Bâtiment,YOUTH&CO,2009-2010,CRE 1.007,"582.590,00"
InterActions,Augmenter l'employabilité des jeunes chômeurs,2009-2010,CRE 1.002,"440.000,00 €"
Initiative Rëm Schaffen,Formation de secrétaire au cabinet d'avocat,2009-2010,CRE 1.008,"340.000,00 €"
Perspective 45,Académie 4 you -Wege der Wissensvermittlung,2009-2010,CRE 1.010,"60.000,00 €"
Chambre des salariés,"Lifelong Learning, les déclarations de Lisbonne, de Barcelone, de Copenhague et de Helsinki.",2009-2010,CRE 2.016,"4.480.000,00 €"
CFPC Dr. R. Widong,Programme de formation pour le secteur de la santé 2009,2009,CRE 2.017,"75.990,00 €"
CNDS,Aufbau sozio-ökologischer Trittsteine im Norden Luxemburgs,2009-2010,CRE 1.003,"399.790,00 €"
Institut de Formation Sectoriel du Bâtiment,REDDEC 2,2009-2010,CRE 2.010,"225.000,00 €"
Institut de Formation Sectoriel du Bâtiment,TS-BTB - Création d'une formation qualifiante de technicien supérieur en bâtiment et travaux publics,2009-2010,CRE 2.011,"295.000,00 €"
INFPC,Observatoire de la Formation,2009-2010,CRE 2.013,"476.395,20 €"
InterActions,BIP-LUX,2009-2010,CRE 2.009,324.00 €
Institut Universitaire International Luxembourg,Formation managériale pour le secteur hospitalier s'adressant aux cadres de proximité des établissement,2009-2010,CRE 2.012,"121.098,00 €"
Mierscher Kulturhaus,Caravan of Life,2009-2010,CRE 2.018,"40.000,00 €"
