Beneficiaries,Operation,Date start,budget
CFPC Dr Robert Widong,Programme de formation pour le secteur de la santé,01.01.2008,"71.630,00 €"
CO-LABOR s.c,BIO-SOL,01.01.2008,"284.910,52 €"
IFSB,COFUMECO - Conférences sur les Futures Méthodes de Construction,01.01.2008,"282.700,00 €"
IFSB,NTRACOS : Integrated Training for Constructing Sector,01.01.2008,"1.628.411,00 €"
IFSB,SISCO : Système d’Information du Secteur de la Construction,01.01.2008,"465.866,00 €"
Institut Universitaire International Luxembourg,Formation continue en droit appliqué pour les salariés des services juridiques,01.01.2008,"143.040,00 €"
Institut Universitaire International Luxembourg,Etude qualitative sur les besoins en formation continue du secteur social et élaboration d’un portfolio de formations continues pour les salariés du secteur social,01.01.2008,"113.570,00 €"
Institut Universitaire International Luxembourg,Formation managériale pour cadres et dirigeants du secteur social,01.01.2008,"139.775,00 €"
Institut Universitaire International Luxembourg,"Projet de développement d’outils d’apprentissage en ligne pour les techniques de comptabilité, d’analyse financière et de gestion d’entreprise",01.01.2008,"223.231,60 €"
Institut Universitaire International Luxembourg,Projet de recherche pour mesurer l’impact de la formation continue dans les entreprises luxembourgeoises,01.01.2008,"167.650,00 €"
