Beneficiary,Operation,Date,budget
Centre de Formation Professionnelle Continue Dr Robert Widong,Programme de formation pour le secteur de la santé/Newborn Life Support,2010,"65.445,00 "
Centre de Recherche Public Henri Tudor,ACOMETA,2010,"150.150,00"
Centre de Recherche Public Henri Tudor,Adapt,2010,"137.671,50 "
Centre de Recherche Public Henri Tudor,GePIC,2010,"67.135,00"
Centre de Recherche Public Henri Tudor,PlaCIO,2010,"110.001,00 "
CO-LABOR s.c.,Mise en place d'une strucuture d'initiation et d'orientation aux emplois verts,2010,"318.632,59"
Fonds de Formation setoriel pour l'Intérim asbl,Formation sécurité pour le secteur de l’intérim,2010,"357.000,00"
Institut Européen d’Economie Solidaire (INEES),Pour une cartographie des acteurs de l’économie solidaire luxembourgeois,2010,"184.300,00"
Institut Universitaire International Luxembourg,Promotion et échange de bonnes pratiques en matière de Responsabilité Sociétale des Entreprises (RSE) au sein des entreprises luxembourgeoises,2010,"78.207,68"
Institut Universitaire International Luxembourg,Formation certifiante en management des ressources humaines à vocation internationale,2010,"17.985,00"
Institut Universitaire International Luxembourg,Formation certifiante en « public performance auditing » pour les collaborateurs des secteurs publique et privé dans le domaine de l’audit,2010,"13.386,00"
Institut Universitaire International Luxembourg,La pérennisation de l’Observatoire des compétences,2010,"402.437,00"
Institut Universitaire International Luxembourg,Projet-pilote pour mesurer l’employabilité des diplômés issus de trois formations de l’Université du Luxembourg,2010,"125.077,00"
Ministère de l'Egalité des chances,Etude concernant les femmes et les hommes sur le marché de l’emploi,2010,"36.805,75"
Ministère de l'Egalité des chances,"Etude concernant les freins potentiels à l’esprit d’entreprendre : quels obstacles rencontrent les femmes et les hommes dans la création, la reprise et la gestion d’entreprises",2010,"86.457,00"
ProActif,"Lëtzebuerg, e Genoss",2010,"199.532,00"
Institut National pour le Développement de la Formation Professionnelle Continue (INFPC),Observatoire de la formation,2010,"505.320,17"
"Nouvelle Association Enfants, Jeunes, Familles asbl (anc. Centre Emmanuel)",Process,2010,"310.000,00 "
