,"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
,1,"Latvijas Informācijas un tehnoloģijas klasteris","Skolas iela 11, Rīga, LV-1010","Starptautiskā konference par IT produktu testēšanas un eksporta jautājumiem ""Efektīva testēšana- kvalitātes garants IT eksportam","Rīga",03/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros Latvijas Informācijas un tehnoloģiju klasteris plāno organizēt starptautisku konferenci par testēšanas pakalpojumu nozīmi informācijas tehnoloģiju produktu eksporta veicināšanas nolūkos, kā arī par praktiskiem eksporta jautājumiem, izvirzot testēšanu kā obligātu prasību pirms IT produktu ieviešanas darbībā. Starptautiskā konference ''Efektīva testēšana - kvalitātes garants IT eksportam'' notiks 2009.gada 5.jūnijā Rīgas Latvijas Universitātē. Tās mērķis ir veicināt kopēju izpratni par testēšanas nozīmi eksporta orientētu produktu radīšanā, galvenajām ar testēšanu saistītajām problēmām un tendencēm pasaulē, kā arī par starptautiskajiem standartiem programmēšanas testētāju izglītībā un sertificēšanā. Konferencē bez Latvijas uzņēmumu un akadēmiskās vides pārstāvjiem piedalīsies arī viesi no Igaunijas, Lietuvas, Vācijas, kā arī no Skandināvijas valstīm, līdz ar to veicinot konferences starptautisko nozīmi reģionā. Konference jau ir plaši atpazīta Baltijas valstīs, jo tiks rīkota 10 gadus. Turpmāk katru gadu plānots paplašināt uzaicināto valstu sarakstu, sniedzot iespēju mūsu IT nozares un klientu pārstāvjiem dalīties pieredzē un nodibināt arvien jaunus sadarbības kontaktus ārvalstīs.",13200,9900,0,2,"www.is.lv"
,2,"RUBATE","Krustpils iela 121, Rīga, LV-1057","Dalība starptautiskā izstādē ""SUBCON 2009""","Rīga",05/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros, SIA ""RUBATE"" kopā ar partneri plāno sekojošu ārējā mārketinga aktivitāti: dalība starptautiskā inženiernozaru piegāžu un kooperācijas izstādē ""SUBCON 2009"", kas norisināsies Birmingemā, Lielbritānijā no 9.-11.jūnijam 2009.gadā. Tiek plānots, ka izstādi apmeklēs mašīnbūves, metālapstrādes, elektrotehnikas, plastmasas un gumijas izstrādājumu ražošanas uzņēmumi gan no ES, gan citām pasaules valstīm. Uzņēmumi izstādē plāno prezentēt esošo produkciju un savas ražošanas iespējas dažāda veida konstrukciju izgatavošanā pēc klientu pasūtījuma.",8688.42,4344.21,0,2,"www.rubate.lv"
,3,"KVADRA PAK","Vienības gatve 11, Rīga, LV-1004","A/S ""KVADRA PAK"" tiešā vizīte Norvēģijā ","Rīga",11/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","A/s „Kvadra Pak” ir viens no lielākajiem kartona iepakojuma ražotājiem Baltijas valstīs, kas aktīvi darbojas iepakojuma ražošanas un dizaina izveides jomā jau 15 gadus. Uzņēmums ar katru gadu ir pilnveidojies, iegādājies mūsdienīgas iekārtas, apmācījis darbiniekus un ieguvis plašu pasūtītāju loku.
 2009.gadā uzņēmums plāno šādu ārējā mārketinga aktivitāti: tiešā vizīte uz Norvēģiju, 15.-17.jūnijs, 2009.gadā.
 A/s „Kvadra Pak” tiešajās vizītēs prezentēs savas jaunās ar inovatīvām tehnoloģijām ražotās augstas kvalitātes sarežģītības kartona kārbas pārtikas un nepārtikas precēm.
 ",2297.44,1148.72,0,1,"www.kvadrapak.lv"
,4,"ARS TELA","Brīvības iela 92/94-30, Rīga, LV-1001","SIA ""ARS TELA"" ārējo tirgu apgūšana - ārējā mārketinga aktivitātes","Rīga",11/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā uzņēmums plāno ārējā mārketinga aktivitātes:
 1)Tiešā vizīte pie potenciālajiem un esošajiem klientiem Vācijā, Bavārijas reģionā, Minhenē, ""Boehmler"",  ""Juliani"", ""Irma Mahnel"", un citiem LIAA piesaistītajiem klientiem no 2009.gada 25.maija-1.jūnijam. Vizītes ietvaros ir paredzēts izveidot un saskaņot jaunu kolekciju veikaliem, saskaņot un pieņemt pasūtījumus, noslēgt&pagarināt jaunus sadarbības līgumus kā mājas tekstilu piegādes, tā arī aksesuāru un sieviešu apģērbu nozarē.
 2)Dalība vienā no pasaules vadošajām starptautiskā interjera dizaina un aksesuāru tirdzniecības izstādēm MAISON&OBJET 2009, kas notiek no 2009.gada 4.-8.septembrim Parīzē, Paris Nord villepinte (ARS TELA plāno ierasties 2009.gada 2.septembrī un doties prom 2009.gada 10.septembrī, lai uzstādītu un demontētu stendu). Plānots piedāvāt dizainētas rokaustas lina mājas tekstīlijas. Maison&Objet izstādē būs pārstāvēti vairāk kā 1250 zīmoli un ~40 000 apmeklētāji, kuru starpā ir firmas, izplatītāji, veikalu ķēdes, aģenti, ražotāji, lielo zīmoju iepircēji, arhitekti&interjeristi un privātpersonas.",16649.14,8324.57,0,7,"www.arstela.lv"
,5,"IBBA","Stabu iela 35-4a, Rīga, LV-1011","SIA ""IBBA"" ārējā mārketinga aktivitāte - tiešās vizītes Vācijā, Francijā un Anglija","Rīga",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""IBBA"" ir dibināta 2008.gadā un darbojas dizaina pakalpojumu un sieviešu apģērba modelēšanas un izgatavošanas jomā. Ar savu jaunāko sieviešu apģērba kolekciju rudens/ziema 2010/2011 uzņēmums 2009.gadā plāno piedalīties tiešjās vizītēs Berlīnē, Hamburgā, Diseldorfā, Minhenē Vācija 30.jūnija - 9.jūlijam, 2009.g., Parīzē, Francijā 15.jūlija - 22.jūlijam, 2009.g. un Londonā, Anglijā 06.septembris - 13.septembrim, 2009.g. Vizīšu ietvaros plānots tikties ar potenciālajiem klientiem - veikaliem, veikalu ķēdēm un modes aģentūrām.",16535.84,8267.92,0,6,"www.baiba.ripa.lv"
,6,"V.O.V.A.","Koku iela 10, Liepāja, LV-3417","SIA V.O.V.A. ārējo tirgu apgūšana","Liepāja ",12/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""V.O.V.A"" ir dibināta 1991.gadā, un tā darbojas apakšveļas izstrādājumu ražošanas nozarē. Darbības laikā no piecu cilvēku kolektīva firma izaugusi par lielu uzņēmumu, kurā strādā vairāk nekā 250 cilvēku. Uzņēmums ražo sieviešu veļu.
 2009.gadā uzņēmums plāno vairākas ārējā mārketinga aktivitātes:
 1)dalība izstādē ""Mode City""International Salon of Lingerie"" 2009.gada 5.-7.septembrī Parīzē, Francijā. Plānots, ka izstādē būs pārstāvēti vairāk kā 620 zīmoju no 108 valstīm 42 tūkst. m2 platībās un apmeklēs vairāk kā 30 tūkst. apmeklētāju;
 2)dalība 18.starptautiskā izstādē ""BALTIC TEXTILE+LEATHER"" 2009.gada 23.-25.septembrī Viļņā, Lietuvā. Plānots, ka izstādē būs pārstāvēti vairāk nekā 200 uzņēmumi no 25 valstīm un apmeklēs vairāk nekā 8 tūkst. apmeklētāju;
 3)dalība izstādē 33.federālā vairumtirdzniecības izstādē ""Tekstillegroprom"" 2009.gada 22.-25.septembrī Maskavā, Krievijā. Plānots, ka vairāk kā 2300 dalībnieku 70 tūkst. m2 platībās pārstāvēs 3000 uzņēmumi no dažādām valstīm;
 4)dalība izstādē 13.starptautiskā Kosmētikas, Frizieru, Fitnesa, Modes un Bižutērijas izstādē ""Beauty World"" 2009.gada 2.-4.oktobrī Tallinā, Igaunijā. Plānots, ka 8500 m2 izstādes platībās būs pārstāvēti vairāk kā 150 zīmoli no 6 valstīm un izstādi apmeklēs 16 tūkst. apmeklētāju.
 Izstādes SIA ""V.O.V.A"" prezentēs savu jauno Pavasara/Vasaras 2010 sieviešu apakšveļas kolekciju.",31957.03,15339.37,0,9,"www.vova.lv"
,7,"Latvijas skaņu ierakstu producentu, izdevēju un izplatītāju apvienība (LaMPA)","Elijas iela 17, Rīga, LV-1050","Latvijas skaņu ierakstu producentu, izdevēju un izplatītāju apvienības (LaMPA) ārējā mārketinga aktivitātes","Rīga",15/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Latvijas skaņu ierakstu producentu, izdevēju un izplatītāju apvienība (LaMPA) ir dibināta 1994.gadā un apvieno uzņēmumus, kuri Latvijā nodarbojas ar mūzikas izdošanu un izplatīšanu. LaMPA ir 13 biedru, kā arī ap 40 neatkarīgo mūzikas izdevēju, kurus vieno interese par kopīgām ārējā mārketinga aktivitātēm. 2009.gadā apvienība LaMPA plāno piedalīties starptautiskajā mūzikas industrijas gadatirgū Popkomm 2009, kas no 16. līdz 18.septembrim notiks Vācijā, Berlīnē. Starptautisks industrijas gadatirgus ir optimāla vieta, kur visefektīvākajā veidā sasniegt starptautisko mērķauditoriju, popularizēt savus produktus un pakalpojumus, sekmēt uzņēmuma atpazīstamību, pievērst mediju uzmanību, iepazīties ar aktuālākajām nozares tendencēm, lai tā rezultātā kāpinātu pārdošanas apjomus. Izstādes stends sekmīgi pārstāv arī valsti un vairo tās atpazīstamību.",7950,3975,0,14,"www.gadabalva.lv"
,8,"SAF Tehnika","Ganību dambis 24a, Rīga, LV-1005","AS ""SAF Tehnika"" dalība starptautiskās izstādēs Dienvidāfrikas Republikā, Vācijā un Krievijā","Rīga",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","1)SAF tehnika piedalīsies izstādē ""Africa Com 2009"", kas notiek Keiptaunā (Cape Town) Dienvidāfrikas Republikā 2009.gada 18. un 19.novembrī. Šī izstāde ir reģiona lielākais un prestižākais telekomunikāciju notikums, kas norisinās jau 12.reizi.
 2)SAF Tehnika dalība ikgadējā izstādē ""CeBIT 2010"", kas notiek Hannoverē, Vācijā 2010.gadā no 2.-6.martam. Jau daudzus gadus CeBIT izstāde ir sevi pierādījusi kā ekspertu jaunākajās tehnoloģijās, produktos un risinājumos. Galvenā mērķauditorija ir IT nozares pāerstāvji, bankas, pakalpojumu sniedzēji, valsts iestādes, kā arī visi, kas ieinteresēti jaunākajos atklājumos.
 3)SAF tehnika plāno piedalīties arī Austrumeiropas reģiona lielākajā izstādē - ""SVIAZ ExpoComm 2010"", kas norisinās Maskavā, Krievijā 2010.gadā laikā no 11.-14.maijam. Izstāde ir pierādījusi sevi kā spēcīgākā telekomunikāciju un informācijas tehnoloģiju izstāde Krievijā un NVS.",62730,31365,0,12,"www.saftehnika.com"
,9,"TOASTERS","Lambertu iela 34, Mārupes pagasts, Rīgas rajons, LV-2167","SIA ""TOASTERS"" ārējā mārketinga aktivitātes Dānijas tirgū","Mārupes pagasts ",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""TOASTERS"" ir dibināts 2006.gadā. 2007.gadā tika izveidota firmas zīme ""ZNAK"", kas darbojas dizaina tapešu ražošanas jomā. 2008.gadā uzsākts eksports uz Lielbritāniju, pateicoties dalībai starptautiskajā izstādē ""Surface designe Show"" Londonā.
 2009.gadā uzņēmums plāno piedalīties starptautiskajā interjera priekšmetu un izstrādājumu izstādē ''CODE 09'' Kopenhāgenā. Izstādes norise no 27.-30.augustam.. 
 Izstādes ietvaros plānojam prezentēt savu inovatīvo produktu ""Tears Off"" modulāro tapeti, kas radīta ar īpaši perforētu dizainu. Izplēšot no tapetēm raksta fragmentus, iespējams radīt savu unikālu sienas dizainu.
 Jaunais produkts ir inovācija tapešu jomā un ir augstu novērtēts jomas nozīmīgākajā dizaina izdevumā ''ID Magazine'' Ņujorkā, kā ''2008.gada Labākais jaunais produkts!'' Kā arī ieguvis pašmāju prestižo apbalvojumu ''ADWARDS'' Zelta godalgu, industriālā dizaina kategorijā.",10743.62,5371.81,0,3,"www.znak-life.com"
,10,"Rauko","Amālijas iela 2, Rīga, LV-1002","SIA ""RAUKO"" ārējā mārketinga aktivitātes","Rīga",30/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""Rauko"" ir dibināts 2007.gadā un tas darbojas mēbeļu ražošanas nozarē. Uzņēmums ražo dizaina mēbeles no augstvērtīgiem materiāliem, specializējoties viesnīcu, restorānu, veikalu un banku mēbeļu interjeru izstrādē. Uzņēmumam ir ieplānotas sekojošas mārketinga aktivitātes - tiešās vizītes pie potenciālajiem sadarbības partneriem:
 1)Norvēģija un Zviedrija 2009.gada 7.-13.jūnijs, izstādes ""NOR-SHIPPING International Shipping and Maritime Exhibition and Conference"" apmeklējuma ietvaros.
 2)Dānija 2009.gada 25.-28.augusts, izstādes ""CODE Copenhagen International Design"" apmeklējuma ietvaros.
 3)Vācija 2009.gada 7.-11.septembris.
 4)Norvēģija 2009.gada 20.-24.septembris, izstādes ""BYGG REIS DEG Nordic Building Exhibition"" apmeklējuma ietvaros.
 5)Monako 2009.gada 24.-27.septembris, izstādes ""MONACO YACHT SHOW"" apmeklējuma ietvaros.
 6)Zviedrija 2009.gada 12.-16.oktobris.
 7)Apvienotie Arābu Emirāti 2009.gada 13.-17.novembris, izstādes ""INDEX International Furniture and Interior Exhibition"" apmeklējuma ietvaros.
 8)Francija 2010.gada 24.-30.janvāris, izstādes ""MEUBLE PARIS 2010"" apmeklējuma ietvaros.
 9)Zviedrija 2010.gada 8.-13.februāris, izstādes ""Stockholm Furniture Fair International Swedish Furniture Trade Fair"" apmeklējuma ietvaros.
 10)Vācija 2010.gada 12.-17.marts, izstādes ""INTERNORGA International Trade Fair for the Hotel, Restaurant, Catering, baking and Confectionery Trades"" apmeklējuma ietvaros.
 11)Vācija 2010.gada maijs (datumu organizatori vēl nav noteikuši) (4 dienas), izstādes ""M.O.W. Your Furniture Fair in Germany"" apmeklējuma ietvaros.
 12)Francija 2010.gada novembris (datumu organizatori vēl nav noteikuši) (4 dienas), izstādes ""EQUIP'HOTEL World Trade Show for the Restaurant and Hotel Industry"" apmeklējuma ietvaros.
 13)Mārketinga materiālu izgatavošana. Lai no drošinātu uzņēmuma un tā produktu prezentāciju iepriekš minēto pasākumu laikā, SIA ""Rauko"" plāno izgatavot mārketinga materiālus attiecīgi angļu valodā.
 Vizīšu laikā ir plānots nodibināt kontaktus ar potenciālajiem sadarbības partneriem un panākt vienošanos par SIA ""RAUKO"" produkcijas eksportu uz attiecīgajiem mērķa tirgiem.",47733,23866.5,0,21,"www.rauko.lv"
