"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Dabas formu mēbeles","Jāņkalna iela 27, Alūksne, Alūksnes rajons, LV-4301","IK ""Dabas formu mēbeles"" ārējā mārketinga aktivitātes","Alūksne ",25/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","IK ''Dabas formu mēbeles'' reģistrēts Latvijas Valsts uzņēmumu reģistrā 2009.gadā. Sākot no 2004.gada bijis saimnieciskās darbības veicējs. IK ''Dabas formu mēbeles'' projektē un izgatavo unikālas mēbeles un dizaina elementus no dabiskiem materiāliem. Tiek izgatavoti kā  interjera, tā arī eksterjera priekšmeti. Starptautiskajā dizaina preču un izstrādājumu izstādē ''Tendence'', kas notiks Frankfurtē, Vācijā,  IK ''Dabas formu mēbeles''  plāno izstādīt un prezentēt DABAS FORMU GUĻAMISTABU, pievēršot izstādes apmeklētāju uzmanību Latvijas unikālajām iespējām radīt dziļi dabisku un neatkārtojamu produktu kopumu.","4,461.11","2,185.94",0,2,"www.dabasformumebeles.lv"
2,"MADARA Cosmetics","Rostokas iela 60-24, Rīga, LV-1029","SIA MADARA Cosmetics ārējo tirgu apgūšana","Rīga",23/07/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009. un 2010.gadā uzņēmums plāno realizēt vairākas ārējā mārketinga aktivitātes:
 1. Dalība starptautiskajā izstādē Natural Products Expo East 2009, kas notiks Bostonā (ASV) no 2009.gada 23.-26.septembrim. Paredzams, ka izstādē piedalīsies vairāk nekā 2100 dalībnieki. 
 2. Dalība 14.starptautiskajā izstādē Cosmoprof ASIA, kas notiks Honkongā no 2009.gada 11.-13.novembrim. Paredzams, ka izstādē piedalīsies vairāk nekā 1350 dalībnieki no 40 valstīm.
 3. Dalība 21.starptautiskajā izstādē Vivanes 2010, kas notiek izstādes BioFach 2010 ietvaros Nirnbergā (Vācijā) no 2010.gada 17. līdz 20.februārim.  Paredzams, ka izstādē piedalīsies 2744 dalībnieki no 50 valstīm.
 4.  Dalība starptautiskajā izstādē Cosmoprof Worldwide Bologna 2010, kas notiks Boloņā (Itālijā) no 2010.gada 16.-19.aprīlim. Paredzams, ka izstādē piedalīsies 2700 dalībnieki.","52,101.74","26,050.87",0,11,"www.madara-cosmetics.lv"
3,"Studija Naturals","Bruņinieku iela 47, Rīga, LV-1011","SIA ""Studija Naturals"" ārējā mārketinga aktivitātes (izstādes 2010.gadā Francijā un Itālijā)","Rīga",16/07/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""STUDIJA NATURALS"" 2010. gadā SIA ""STUDIJA NATURALS"" plāno sekojošas aktivitātes: 1) dalība starptautiskajā tekstilizstrādājumu izstādē ""MAISON&OBJET""no 2010. gada 22.līdz 26. janvārim Parīzē, Francijā;
 2)dalība starptautiskajā ekstilizstrādājumu izstādē ""MAISON&OBJET"" no 2010. gada 2..līdz 7. septembrim Parīzē, Francijā;
 3) dalība starptautiskjaā dizaina un tekstilizstrādājumu izstādē ""AMBITARE IL TEMPO""2010. gada 16. līdz 20 septembrim Veronā, Itālijā","31,252.00","15,626.00",0,15,
4,"Studija Naturals","Bruņinieku iela 47, Rīga, LV-1011","SIA ""Studija Naturals"" ārējā mārketinga aktivitātes (izstādes 2009.gadā Francijā un Itālijā)","Rīga",16/07/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā SIA ""STUDIJA NATURALS"" plāno sekojošas aktivitātes:
 1)dalība starptautiskajā tekstilizstrādājumu izstādē ""MAISON&OBJET"" no 2009.gada 4. līdz 8.septembrim Parīzē, Francijā;
 2)dalība starptautiskajā dizaina un tekstilizstrādājumu izstādē ""ABITARE IL TEMPO"" no 2009.gada 17. līdz 21.septembrim Veronā, Itālijā.","18,595.00","9,297.00",0,3,"www.studio-natural.lv"
5,"TOPDESIGN BALTIKUM","Dzelzavas iela 23-24, Rīga, LV-1084","Piedalīšanās 24.starptautiskajā vieglās rūpniecības izstādē ""КИЕВ ЭКСПО СТИЛЬ 2009""","Rīga",16/07/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""TOPDESIGN BALTIKUM"" jau sešus gadus nodarbojas ar virsdrēbju ražošanu. Uzņēmuma dizaineri ik sezonu izstrādā oriģinālus modeļus, kas nodrošina stabilu produkcijas noietu, tai skaitā nedaudz vairākpar 90% produkcijas tiek eksportēta. ""TOPDESIGN BALTIKUM"" ir jānodrošina esošā tirgus segmenta saglabāšana un jāapgūst ārējais tirgus ne tikai Eiropas Rietumos, bet arī Ukrainā un NVS valstīs.
 Tādēļ ir nepieciešama ārējā mārketinga aktivitāte - piedalīšanās 24.starptautiskajā vieglās rūpniecības izstādē ""КИЕВ ЭКСПО СТИЛЬ 2009"", kas notiks 17.gadskārtējā modes festivāla ""KYIV FASHION 2009"" ietvaros Kijevā no 2009.gada 23. līdz 26.septembrim.","5,268.42","2,634.21",0,3,"-"
6,"Metālists","Rūpniecības iela 14, Aizkraukle, Aizkraukles novads, Aizkraukles rajons, LV-5101","SIA ""Metālists"" ārējā mārketinga aktivitātes ","Aizkraukle",20/07/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā uzņēmums plāno veikt sekojošu mārketinga aktivitāti: dalība starptautiskā izstādē TRANSPORT&LOGISTIK 2009 (starptautiska transporta un loģistikas izstāde) - Baltkrievijā (Minskā).","8,340.30","4,003.34",0,3,"-"
7,"4 Plus","Abula iela 6b, Valmiera, Valmieras rajons, LV-4201","SIA ""4 PLUS"" ārējā mārketinga aktivitātes","Valmiera ",24/07/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā uzņēmums plāno piedalīties starptautiskajā mēbeļu komponenšu, pusfabrikātu un  aksesuāru izstādē ""ZOW ITALY 2009"", kas norisināsies no 21.oktobra līdz 24.oktobrim. SIA ""4 PLUS"" izstādē prezentēs savus apses zaru izstrādājumus mēbeļu komponentēm un pusfabrikātiem.","8,983.23","4,491.62",0,3,"www.4plus.lv"
8,"Severstaļlat","Braslas iela 24, Rīga, LV-1035","AS ""Severstaļlat"" ārējā mārketinga aktivitātes 2010.gadā","Ogre ",24/07/2009,"Ārējo tirgu apgūšana - ārējais mārketings","AS ""Severstaļlat"" 2010.gadā plāno īstenot ārvalstu tirgu apgūšanas startēģijas realizēšanu, īstenojot vairākas aktivitātes:
 1)piedalīties 5 metālapstrādes un būvniecības nozares starptautiskās izstādes - ""Resta 2010"" Lietuvā, ""Tubes 2010"" Vācijā, ""Finnbuild 2010"" Somijā, Alihankinta 2010"" Somijā, ""Elmia Subcontractor 2010"" Zviedrijā;
 2)piedalīties 13 biedrības ""Metāls un inovācijas"" organizētās kontaktbiržās - konferences ""Steel Market Focus"" ietvaros Šveicē, konferences ""CIS Metal Summit"" ietvarps Krievijā, konferences ""Eurometal General Assambly"" ietvaros Beļģijā, konferences ""CRU's World Steel Conference"" ietvaros Austrijā, konferences ""Турецкая металлургическая конференция"" ietvaros Turcijā, izstādes ""Wire/Tube Russia 2010"" ietvaros Krievijā, konferences ""EU Steel Forum"" ietvaros Spānijā, konferences ""Mеталл CHГ"" ietvaros Krievijā, konferences ""Steel Business Briefing Steel markets Europe 2010"" ietvaros Vācijā, konferences ""15th Galvanizing&Coil Coating Conference"" ietvaros Spānijā, konferences ""8-й ежеогодный семинар ""Прогноз цен на металлопрокат трубы и лом в 2011 году"" maskava ietvaros Krievijā, konferences ""Ринки металлургического сырья 2010"" ietvaros Ukrainā, konferences ""Steel success strategies"" ietvaros Francijā.
 Mārketinga aktivitātes ārvalstu tirgos sekmēs komercsabiedrības izaugsmi un produkcijas eksportspējas palielināšanos.","98,950.00","49,475.00",0,12,"www.ssl.lv"
9,"Horus Laboratory","Vīlandes 6-1, Rīga, LV-1010","SIA ""Horus Laboratory"" ārējā mārketinga aktivitātes","Rīga",24/07/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""Horus Laboratory"" ir dibināts 2007. gadā un lai veicinātu aerotermogrāfijas pakalpojumu eksportu uzņēmums plāno piedalīties izstādēs Eiropas Savienībā.","4,168.46","2,084.23",0,3,"www.horuslab.eu"
10,"TOPDESIGN BALTIKUM","Dzelzavas iela 23-24, Rīga, LV-1084","Piedalīšanās starptautiskajā izstādē ""ТЕКСТИЛЬЛЕГПРОМ"" Maskavā.","Rīga",16/07/2009,"Ārējo tirgu apgūšana - ārējais mārketings","""TOPDESIGN BALTIKUM"" ir jānodrošina esošā tirgus segmenta saglabāšana un jāapgūst Krievijas un citu valstu tirgus ne tikai Eiropas Rietumos. Tādēļ ir nepieciešama ārējā mārketinga aktivitāte - piedalīšanās starptautiskajā gadskārtējā izstādē ""ТЕКСТИЛЬЛЕГПРОМ"", kas jau sešpadsmito gadu ir viena no lielākajām un par labāko atzītākā izstāde. 2009.gada izstāde notiks laikā no 22. līdz 25.septembrim.","8,751.00","4,375.50",0,2,"-"
