"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Duglāzija","Mednieku iela 9, Koknese, Kokneses pagasts, Kokneses novads, LV-5113","Cirkulārās zāģēšanas līnijas iegāde","Krāslava",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „Duglāzija” ir kokapstrādes uzņēmums, kas nodarbojas ar koka izstrādājumu, t.sk.
 vagondēļu, grīdas dēļu, siju, koka taras utml. produktu, ražošanu no neapstrādātiem
 zāģmateriāliem. 2008. gada beigās tirgū izveidojās deficīts pēc Uzņēmuma izejmateriāla,
 tai pašā laikā palielinoties pieprasījumam pēc Uzņēmuma ražotās produkcijas. Rezultātā,
 šobrīd SIA „Duglāzija” nespēj laicīgi sagādāt nepieciešamā sortimenta izejmateriālus
 vajadzīgajos apjomos un līdz ar to izpildīt visu savu klientu pasūtījumus. Lai risinātu šo
 problēmu, Uzņēmums nolēma iegādāties jaunu cirkulāro zāģēšanas līniju, lai patstāvīgi
 nodrošinātu sevi ar izejvielām (uzsākt zāģmateriālu ražošanu no apaļkoksnes) un
 paplašinātu ražotās produkcijas sortimentu.
 Pēc projekta īstenošanas SIA „Duglāzija” ievērojami samazinās atkarību no esošajiem
 zāģmateriālu piegādātājiem, kā arī spēs savlaicīgi un pilnībā izpildīt savu klientu
 pasūtījumus, tādējādi saglabājot pašreizējo klientu loku un produkcijas noieta tirgu. Bez
 tam, Uzņēmums palielinās koka izstrādājumu ražošanas apjomus, kā arī uzsāks jaunu
 produktu – zāģmateriālu un šķeldas – ražošanu un realizāciju.
 ","134,938.37","74,216.10",0,5,"-"
2,"Pie Lietas","Čiekurkalna 1.līnija 1a, Rīga, LV-1026","Automatizēta kokmateriālu žāvēšanas kompleksa izveide","Audriņu pagasts",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros paredzēts uzņēmumā ""Pie Lietas"" ieviest jaunu ražošanas tehnoloģisko procesu koka palešu ražošanai, modernizējot SIA ""Pie Lietas"" piederošo tehnoloģisko bāzi un iegādājoties automatizētu kokmateriālu žāvēšanas kompleksu, kas ne tikai paaugstinās pievienoto vērtību esošajam produktam, bet arī nodrošinās reģiona attīstību un darba vietas apkārtnes iedzīvotājiem.","328,000.00","147,600.00",0,9,"-"
3,"Vidzemes karjers","Pilsētas bulvāris 6a-13, Alūksne, Alūksnes novads, LV-4301","Jaunu produkta - granīta šķembu ražošanas uzsākšana SIA ""Vidzemes karjers""","Ziemera pagasts",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Atbalsta pretendents SIA „Vidzemes karjers” dibināts 2009. gada martā, taču līdz projekta
 iesnieguma izstrādei aktīvu saimniecisko darbību nav uzsākusi. Izvērtējot tirgus iespējas un
 apzinot neizmantotās iespējas komercsabiedrības vadība nolēma attīstīt saimniecisko darbību
 uzsākot jauna produkta – granīta šėembu ražošanu.
 Lai nodrošinātu plānoto saimniecisko darbību, komercsabiedrība projekta ietvaros iegādāsies
 ražošanas iekārtu – smalcinātāju. Pārējais materiāli tehniskais nodrošinājums
 komercsabiedrībai ir pieejams.
 PamatlīdzekĜa iegāde tiks finansēta ar aizĦemto kapitālu, uzĦemoties kredītsaistības bankā
 344 850,00 LVL apmērā.","285,000.00","150,000.00",0,18,"-"
4,"Vēvers","'Jaunmuižarāji'', Padures pagasts, Kuldīgas novads, LV-3313","Koksnes žāvēšanas iekārtas iegāde SIA ""Vēvers""","Padures pagasts",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Eiropas Reģionālās attīstības fonda ietvaros paredzēts iegādāties koksnes žāvēšanas iekārtu ar ietilpību 100 m3. Tas uzņēmumam dos iespēju uzsākt jauna produkcijas veida (lapu koksnes izstrādājumu) ražošanu, samazināt saražotās produkcijas pašizmaksu un racionālāk izmantot uzņēmuma katlu mājas saražoto siltumenerģiju.","64,657.97","35,561.88",0,4,"www.vevers.lv"
5,"Valkas pilsētas SIA ""Prestižs""","Indrānu iela 4, Valka, Valkas novads, LV-4701","Valkas pilsētas SIA ""Prestižs"" kokgranulu ražošanas līniju ieviešana un ražošanas ēkas uzlabojums","Valka",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Valkas pilsētas SIA „Prestižs” projekta ietvaros plāno ievest jaunu kokgranulu ražošanas līniju un veikt procesam nepieciešamu ražošanas telpas rekonstrukciju un jaunas pieņemšanas, šķirošanas un izejviela sagatavošanas iecirkņa piebūvēšanu. Projekta rezultātā tiks pārstrādāti atkritumi (koka skaidas), kas rodas komersanta pamatdarbības rezultātā, un kas būs galvenā izejviela, lai ražotu jaunu produktu (kokgranulas). Pēc visām projektā ietvaros darbībām plānots samazinot atkritumu rašanas līdz minimumam, kā arī palielināt eksportējamo produkcijas klāstu. ","255,112.00","140,311.60",0,12,"www.logstar.lv"
6,"TOP DIVI","Vienības gatve 18a, Rīga, LV-1004","Neelektrisko sadzīves iekārtu ražotnes izveide","Viļāni",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""TOP DIVI"" 2008.gadā ir sākusi attīstīt jaunu nozari - neelektronisko sadzīves iekārtu ražošanu.
 Projekta ietvaros tiks izveidota neelektrisko sadzīves iekārtu ražotne īpaši atbalstāmajā teritorijā - Viļānos, tādējādi samazinot nelabvēlīgas atšķirības starp reģioniem, kā arī sekmējot līdzsvarotu valsts attīstību. Īstenojot projektu, tiks veikti ilgtermiņa ieguldījumi pamatlīdzekļos.","49,200.00","27,060.00",0,3,"-"
7,"JĒKABPILS DOLOMĪTS","Tvaika iela 7, Jēkabpils, LV-5205","Karjeru izstrādes tehnoloģijas pilnveidošana īpaši atbalstāmajā teritorijā","Viesītes lauku teritorija",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Uzņēmums nodarbojas ar dolomīta un smilts grants karjeru izstrādi, produkciju galvenokārt pārdodot ceļu būves uzņēmumiem. Uz šo brīdi uzņēmuma darbībā ir sekojošas problēmas:
 1) nav iespējas sagatavot produkciju betona, asfalta vai sauso maisījumu ražošanai (saistītajiem materiāliem), jo nav iekārtu māla un citu sīko daļiņu atdalīšanai;
 2) karjera resurss netiek pilnvērtīgi izmantots - frakcija zem 4mm netiek izmantota, kas veido apmēram 15% no kopējā karjera resursa;
 3) produkcijas pašizmaksa ir pārāk augsta, sevišķi laikā, kad cena ir būtiskākais faktors tirgū, jo tiek izmantotas ar dīzeļdegvielu darbināmas iekārtas;
 4) uzņēmums ir specializējies viena produkta tirgus segmentā - strādā ar ceļu būves uzņēmumiem.
 Realizējot projektu, uzņēmuma mērķis ir pilnveidot ražošanu un uzsākt jaunu produktu ražošanu teritorijā, kas ir īpaši atbalstāma, tādējādi veicinot tā ilgtspējīgu un līdzsvarotu attīstību, radīt nodarbinātību teritorijā. Uzņēmums, lai sasniegtu mērķi, īstenojot projektu, plāno veikt sekojošas darbības:
 1) pilnvērtīgāk izmantot dabas resursus un uzsākt jaunu produktu ražošanu, ieviešot ražošanas procesā jaunas iekārtas;
 2) samazināt produkcijas pašizmaksu un kļūt konkurētspējīgāks, izvirzot jaunajām iekārtām specifiskas darbības prasības;
 3) diversificēt savu darbību dažādos produkcijas tirgos, piedāvājot jaunus produktus.
 Uzņēmums mērķus sasniegs iegādājoties 3 jaunas iekārtas un nodrošinot to aktīvu izmantošanu ražošanas tehnoloģiskajā procesā. ","270,579.54","143,380.09",0,10,"-"
8,"Linda 1","Sabiles iela 2, Kandava, Kandavas novads, LV-3120","Uzņēmuma ""Linda 1"" darbības paplašināšana - jauna produkta ražotnes izveide Kandavas novadā","Kandavas pagasts",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros Kandavas novadā tiks izveidota jauna ražotne. Tas notiks uzņēmuma SIA „Linda 1” darbības paplašināšanas projekta ietvaros. Projekta mērķis ir ieveidot ražošanas līniju saimniecības iekārtām, iegādājoties un uzstādot jaunas tehnoloģiskās iekārtas.","49,308.00","27,119.40",0,3,"-"
9,"MASTER WORKS","Brīvības gatve 218-39, Rīga, LV-1039","Papīra ražotnes attīstība","Kaplavas pagasts",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Uzņēmums plāno iegādāties iekārtu ar to būtu iespējams apstrādāt papīru, kas bijis uzskatīts par nederīgu, nonācis atkritumos. Ražos divus produktus: papīra briketes, kas paredzētas papīra apstrādes uzņēmumiem un papīra briketes, kas izmantojamas, kā kurināmais, ja tām pievieno saistvielu.
 Tiks radītas trīs jaunas darba vietas. Palielināts eksports uz tuvējām valstīm.
 ","26,355.15","14,495.33",0,4,"www.masterworks.lv"
10,"ARMUS","Bauskas iela 33-202, Rīga, LV-1004","Konditorejas ceha izveide","Viļāni",30/06/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros SIA ""ARMUS"" plāno uzsākt uzņēmuma jauno darbības virzienu - izveidot konditorejas cehu Viļānos, Liepu ielā 2. Jauna ceha ražotie produkti būs plašs austrumu saldumu sortiments. Projekta ietvaros tiks iegādāta Austrumu saldumu ražošanas līnija, kas ļaus kvalitatīvi ražot austrumu saldumus un cepumus no pašu saražotās mīklas. Uzņēmums ražos 8 veida saldumus un cepumus dažādos iepakojumos un temperatūras režīmos. Pēc projekta realizācijas tiks tirgota jauna un eksportspējīga produkcija ar salīdzinoši augstu pievienoto vērtību, kā arī tiks nodrošināta reģiona attīstība un darba vietas apkārtnes iedzīvotājiem. Uzņēmums ir izvēlējies izveidot ražotni Viļānos, jo šeit ir pieejams kvalificēts un salīdzinoši lēts darbaspēks, kā arī tuvumā ir potenciālie eksporta tirgi - Krievija un Baltkrievija.","250,000.00","112,500.00",0,5,"-"
