"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Vibroakustikas laboratorija","Margrietas iela 7, Rīga, LV-1046","Autonomas stacijas ēku un būvju vibrācijas robežu automātiskai kontrolei izstrāde","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","SIA ""Vibroakustikas laboratorija"" dibināta 2006.gada janvārī. Uzņēmums nodarbojas ar ekspluatējamu sarežģītu iekārtu, mehānismu, un konstrukciju testēšanu pēc vibrācijas parametriem armērķi noteikt to atbilstību darbderīguma un drošības prasībām. Paralēli pārbaužu un izmēģinājumu veikšanai laboratorijās uzņēmums veic zinātniskos pētījumus un piedalās jaunas tehnikas izstrādē.
 Realizējamā projekta ietvaros tiks veikts rūpnieciskais pētījumsu un eksperimentālā izstrāe jaunam produktam - autonomas stacijas ēku un būvju vibrācijas robežu automātiskai kontrolei izstrāde. Projekta realizāciju nodrošinās uzņēmuma zinātniskais personāls, tiks nomātas nepieciešamās pētniecības iekārtas un iegādāti nepieciešamie materiāli, kā arī izmantoti Latvijas nacionālajā akreditācijas birojā reģistrētas institūcijas pakalpojumi. Projekta rezultāts būs ierīces ēku un būvju vibrācijas robežu automātiskai kontrolei prototips. ","98,450.00","42,092.29","7,428.06",4,"www.viblab.lv"
2,"Ferrums","""Ezerkalni"", Atašienes pagasts, Jēkabpils rajons, LV-5211","Rūpnieciskie pētījumi pulverkrāsošanas apsildīšanas sistēmas jaunas tehnoloģijas izstrādei","Atašienes pagasts ",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta mērķis ir izstrādāt jaunu tehnoloģiju vienam no pulverkrāsošanas tehnoloģiskajiem procesiem - pulverkrāsošanas apsildišanas sistēma.
 Projekta laikā tiks izstrādāta jauna tehnoloģija apsildīšanas sistēmai pulverkrāsošanas kamerai, kā arī tiks izstrādāta jauna apsildīšanas kamera. Tiks pētīti siltuma enerģijas iegūšanas paņēmieni un to efektivitāte. Siltuma enerģijas avots būs koks un tā izejmateriāli. Pētījuma rezultātā tiks iegūtas zināšanas un rezultāti, lai izstrādātu uzniversālu apsildīšanas sistēmu, kura vismazāk ietekmē ekoloģiju, vismazāk tiek patērēti dabas resursi, kurā tiek izmantoti maksimāli vairāk atjaunojamiem dabas resursi un kurš ir ekonomiski izdevīgākais.
 Lai varētu izgatavot un uzstādīt jauno tehnoloģiju, ir nepieciešams veikt rūpnieciskos pētījumus. Uzņēmums piesaistīs speciālistus no latvijas Universitātes Cietvielu un Fizikas iznstitūta. ","32,848.08","18,148.55","3,202.70",18,
3,"Fresho","Bruņinieku iela 28-8, Rīga, LV-1011","XML datubāžu pārvaldības platfomas izstrāde","Rīga",07/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks veikta rūpnieciskā izpēte ar mērķi iegūt jaunus algoritmus, kas būtiksi uzlabotu XML datu bāžu izmntojamību ( ātrums,. precizitāte) tiešsaites sludinājums portāla vajadzībām. Sekojoši tiks veitka jaunas tehnoloģijas eksperimentālā izstrāde XML datubāžu pārbaldības platforma. Projekta īstenošanai tiks algots vadošais pētnieks ar pieredzi šādu pētījumu veikšanai, kā arī programmētāji, kuri veiks tehnisko darbu pētījumu un izstrādes procesos.","77,040.00","41,222.28","7,274.52",14,"job.fresho.com"
4,"SAF Tehnika","Ganību dambis 24a, Rīga, LV-1005","Zinātnisko risinājumu izstrāde jaunas paaudzes bezvadu mikroviļņu radio produktu attīstībai","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Uzņēmums plāno uzsākt pasaulē jaunu tehnoloģiski inovatīvu bezvadu datu pārraides radio produktu izstrādi un vēlāko komercializāciju, kas tiks balstīta uz projekta ietvaros veiktajiem rūpnieciskajiem pētījumiem.","221,841.86","113,139.34","20,379.60",19,"www.saftehnika.lcom"
5,"D un D centrs","Margrietas iela 7, Rīga, LV-1046","Rūpnieciskais pētījums helikoptera dzinēja vibrāciju diagnostikas un monitoringa eksluatācijas apstākļos sistēmas izstādei","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","SIA ""D un D centrs"" ir dibināts 2004. gadā 21. aprīlī ar mērķi veikt pētījumus un eksperimetnālās izstādes tehnisajās zinātnēs, t.sk., vibrotehnoloģijās, instrumetnu, aparātu un tehnoloģiju izsta'dāšanās mašīnu un konstrukciju diagnosticēšanai. 
 Realizējamā projekta ietvaros tiks veikts rūpnieciskais pētījums, lai izpētītu helikoptera dzinēja stāvokļa pasliktināšanās vibrāciju deagnosticēšanas īpašības pie dažādiem mainīgiem apstākļiem uz konkrētiem helikopteru dzinējiem, reālajos aviācijas pārvadājumu industrijas apstākļos un veiktu to analīzi, kā arī lai radītu atsevišķas nepieciešamās kompleksās sistēmas komponentus - datu apstrādes  algoritmus, ar nolūku izstrādāt metodiku un tehniskās specifikācijas tehnisko līdzekļu kompleksam helikoptera dzinēja stāvokļa pasliktināšanās kontrolei uz vibrāciju pases pamata, kā rezultātā var tikt izstrādāts jauns produkts, kas ietver jaunu tehnoloģiju","334,105.00","195,952.58","34,579.87",13,"www.ddcentrs.lv"
6,"Fonons","Ropažu iela 104, Rīga, LV-1006","Rūpnieciskie pētījumi zemes - ūdens siltumsūkņa modeļa izstrādāšanai","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Rūpnieciskie pētījumi siltumsūkņa sistēmā jaunu zināšanu iegūšanai ar mērķi izstrādāt jaunu produktu: zeme - ūdens siltumsūkni.","119,191.84","41,538.35","7,330.31",24,"www.fonons.lv"
7,"ORVI","Brīvības iela 60-29, Rīga, LV-1011","Sīkkoku griešanas, smalcināšanas un savākšanas iekārtas biokurināmā iegūšanai tehnikās dokumentācijas izstāde","Salaspils ",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros paredzēts izstrādāt tehnisko deokumentāciju sīkkoku griešanas, smalcināšanas un savākšanas iekārtai, kas paredzēta biokurināmā iegūšanai. Projekta ietvaros tiks nodarbināti uzņēmuma inženiertehniskie darbinieki, kā arī izmantoti ārējo pētniecības institūtu pakalpojumi. Projekta rezultās būs tehniskās dokumentācija, kas paredzēta sīkkoku griešanais , smalcināšans un savākšanas iekārts izstrādei.","87,600.00","39,669.50","7,000.50",18,
8,"Lursoft","Matīsa iela 8, Rīga, LV-1001","SIA Lursoft rūpniecisks pētījums un eksperimentāla izstrāde jauna elektroniska grāmatvedības un biznesa vadības rīka izstrādei","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros SIA Lursoft veiks rūpniecisku pētījumu un eksperimentālu izstrādi. To rezultātā tiks izveidots inovatīvs IT risinājums ""E-Grāls"".","138,580.71","60,840.38","10,736.55",18,"http://www.grals.lv"
9,"Virtual Ceo","E.Birznieka-Upīša iela 7, Jūrmala, LV-2010","Uz mikrokapsulēto degšanas flegmatizatoru bāzes ugunsdzēšamo stikeru sērijveida ražošanas tehnoloģijas izstrāde","Jūrmala ",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Sadarbībā ar Rīgas Tehniskās universitātes pētniecības institūcijām tiek realizēta uz mikrokapsulēto degšanas flegmatizatoru bāzes ugunsdzēšamo stikeru sērijveida ražošanas tehnoloģijas izstrāde. Projekta realizācijas laikā tiks izveidota metodika liesmu apspiedošo aktīvo vielu uzglabāšanai stikera tvertnē un tās aktivizēšana paaugstinoties ārējai temperatūrai.","61,428.00","35,802.99","6,318.18",8,"www.virtualceo.eu"
10,"BurgerMetrics","Peldu iela 7, Jelgava, LV-3002","Reāllaika apstrādes iekārtas izveide hiperspektrālai ķīmiskai attēlveidošanai tiešsaistē","Jelgava ",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros plānots veikt reāllaika apstrādes sistēmas prototipa izveidi hiperspektrālai ķīmiskai attēlveidošanai tiešsaistē. projekta ietvaros tiks algoti pētnieki, nomātas nepieciešamās iekārtas un iegādāti materiāli, kā arī izmantoti sertificētas laboratorijas ārpakalpojumi. Projekta rezultāts būs prototips.","76,913.80","42,494.87","7,499.10",15,"www.burgermetrics.com"
11,"SIMPLEXS","Vienības gatve 18a, Rīga, LV-1004","Rūpnieciskais pētījums jauna produkta izstrādē","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","SIA ""SIMPLEX"" 2008.gadā ir sākusi attīstīt jaunu nozari - kokapstrādes iekārtu ražošanu, kas ietver koksnes žāvēšanas kaltes ar papildus alternatīvu enerģijas avotu ražošanu.
 Projekta mērķis ir veikt rūpniecisko pētījumu, kā rezultāt'tiks izstrādāts jauns produkts - kokmateriālu žāvēšanas iekārta ar papildu alternatīvo enerģijas avotu, kas sevī apvienos mūsdienīgas tehnoloģijas iespējas un energoefektīvu risinājumu. Projekta realizācijas īstenošanā tiks piesaistīti Zinātniskās iznstitūcijas pakalpojumi. Projekta rezultāts būs rūpnieciskais pētījums jauna produkta izstrādei.","60,800.00","33,592.00","5,928.00",6,
12,"Mind Art","Lāčplēša iela 116-4, Rīga, LV-1003","Pētījumi jaunu priežu sveķu pielietojamībai pārtikas un ārstnieciskos nolūkos","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros notiks rūpnieciskie pētījumi jaunu zināšanu ieguvei par skujkoku sveķu pielietojamību ārstniecībā un pārtikas rūpniecībā.","48,800.00","24,888.00","4,392.00",13,"www.mindart.lv"
13,"Roboteks","Miera iela 17-21, Rīga, LV-1001","Jaunas paaudzes transporta pārraudzības un koordinēšanas GSM sistēmas izstrāde","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks veikti pētījumi jaunu GSM/GPRS risinājumu izstrādei, lai nodrošinātu universālu transporta vienību pārraudzību videi draudzīgas politikas (mazāks degvielas patēriņš, mazāk CO2 izmešu, u.c.) ieviešanai loģistikas kompānijās, izmantojot projekta ietvaros jaunizstrādājamo iekārtu un tās lietojumprogrammu.","99,536.00","57,586.90","10,162.41",6,"www.rcn-conti.lv"
14,"Datorikas institūts DIVI","Alfrēda Kalniņa iela 2-7, Rīga, LV-1050","Programmatūras paštestēšanas tehnoloģija","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Paštestēšanas tehnoloģiju, kas iebūvējamas informācijas sistēmās to kvalitātes nodrošināšana, izstrāde.","180,158.00","91,880.58","16,214.22",18,"www.di.lv"
15,"Datorikas institūts DIVI","A. Kalniņa 2-7, Rīga, LV-1050","Automatizēta datorprasmju apmācību un pārbaudes vide","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Platformu neatkarīgas datorprasmju pārbaudes nosacījumu definēšanas un interpretācijas vides izveide","102,330.00","36,443.32","6,431.18",14,"www.di.lv"
16,"Amber Wood","Mežciems, ""Vārnas"", Jaunsvirlaukas pagasts, Jelgavas rajons, LV-3001","Ekoloģisku apdares klājumu rūpnieciskas izgatavošanas tehnoloģijas izstrāde oša (Fraxinus excelsior L.) un ozola (Quercus robur L.) grīdu segumiem","Jaunsvirlaukas pagasts ",06/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros SIA Amber wood veikts rūniecisku pētījumu, kura rezultātā izstrādās tehnoloģiju oša un ozola masīvkoka grīdu ar ekoloģisku apdares klājumu ražošanai. Pētījuma ietvaros tiks sagatavoti testēšanas paraugi, veikta to testēšaas laboratorijā, sagatavota rezultātā uzņēmums palielinās eksoprtētās produkcijas apjomu, apgūs jaunu produkcijas realizācijas tirgu.","75,986.69","29,064.90","5,129.11",6,"www.amberwood.lv"
17,"VIZORS","Hāpsalas iela 18, Rīga, LV-1005","Pētījums profesionālas tiešsaistes transportlīdzekļu uzraudzības sistēmas ""SUPERVIZOR 2"" izveidei","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros plānots veikt pētījumus ar mērķi iegūt nepieciešamo informāciju un sagatavotos jauna komercializējama produkta - transportlīdzekļu attālinātās novērošanas sistēmas SUPERVIZOR II izstrādei, kas ir tirgus pieprasīts produkts.","34,521.00","19,072.85","3,365.80",12,"www.vizors.lv"
18,"Plazma, Keramika, Tehnoloģija","Miera iela 34, Salaspils, Salaspils novads, Rīgas rajons, LV-2169","Nanopulveru suspensijas optiskiem elementiem","Salaspils ",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros plānots sintezēt optiski aktīvas nanodaļiņas ar izmēriem 50-100 nm un tās disperģēt stiklos vai organiskos polimeros. Ar optisko hologrāfiju nanodaļiņas tiek sakārtotas, izveidojot efektīvus difraktīvās optikas elementus optoelektronikas, saules enerģijas apguves, optisko sakaru un informācijas sistēmu vajadzībām.","46,833.04","31,846.46","5,619.97",24,"www.innovation.lv/pct"
19,"Algorego","Āmu iela 2, Rīga, LV-1030","Neinvazīva asins glikozes sensora prototipa izstrāde","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","SIA ""Algorego"" analītiņi un inženieri ir sagatavojuši neinvazīva asins glikozes sensora tehnisko risinājumu, ieskaitot darba shēmas. Projekta ietvaros ir jāveic sensora maketa paragua, kas ir tam sekojoš komerciālā parauga prototips, izstrāde, parauga testēšana, pārbaude un optimizācija ar turpmāku sensora eksperimentālās sērijas izgatavošanu un izmantošanu izmeklēšanā - kontroles grupai un diabēta slimnieku grupai. Atbilsotši iegūtajiem rezultātiem ir jāveic algoritma un programmatūras pilnveidošana, uzlabošana un sensora aptiska, elektronikas un mehāniskā dizaina pilnveidošana. Pēc datu statistisās analīzes, faktoru izpētes jāizstrādā specifikācias, apraksts. Rezultātā tiks izstrādāts oriģināls neinvazīva asins glikozes sensora modelis, ieskaitot visus tehniskos raksturojumus un optimizētas funkcijas. ","112,962.45","42,500.00","7,500.00",13,"www.algorego.com"
