"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Valpro","Linarda Laicena iela 2, Valmiera, Valmieras rajons, LV-4201","Universālā ugunsdzēsības aparāta korpusa ieviešana ražošanā","Valmiera ",06/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā SIA ""VALPRO"" izstrādāto universālo ugunsdzēsības aparāta korpusu, kas piemērots uzpildīšanai gan ar putām, gan ar pulveri. Projekta ietvaros SIA ""VALPRO"" iegādāsies jaunas ražošanas procesam nepieciešamās iekārtas. Pēc projekta realizācijas tiks ražota un tirgota produkcija ar augstu pievienoto vērtību.",170431.6,36216.72,6391.18,15,"www.valpro.lv"
2,"Polipaks","Rencēnu iela 6, Rīga, LV-1073","Jaunas 3-slāņu plēves ražošanas tehnoloģijas ieviešana SIA Polipaks","Rīga",06/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā jaunu 3-slānu plēves ražošanas tehnoloģiju, kas ļaus uzņēmumam piedāvāt saviem pašreizējiem un potenciāliem klientiem jaunu produktu - iepakojumu no 3-slāņu plēves.
 Pašreizējas iekārtas ļauj 1- un 2-slānu plēvi iepakojumam. 3-slāņu plēves ražošanai nepieciešamas iekārtas ar daudz augstāku tehnoloģisko līmeni, lai izpildītu pasūtītāju prasības pret tāda veida iepakojumu nodrošinātu pieprasītu katra slāņa biezumu un speciālo piedevu konkrētajā slānī.
 Iepakojums no 3-slāņu plēves pārsvarā tiek izmantojams pārtikas rūpniecībā, piem., piena produkcijas, majonēzes un līdzīgo produktu iepakošanai.
 Projekta ietvaros tiks iegādāta ekstrūzijas iekārta, kuras izmantošanai nepieciešamas licences, tajā pielietoto patentēto austākā līmeņa tehnoloģisko ražošanas metožu lietošanai. Šī iekārta un tajā pielietotie patentētie tehnoloģiskie risinājumi palīdz nodrošināt nepieciešamās precizitātes nodrošināšanai.",983925.6,292717.86,51656.1,13,
3,"KERKIRA","Bauskas iela 33-202, Rīga, LV-1004","Saldētu Yufka austrumu saldumu ieviešana ražošanā","Olaine ",06/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros ir plānots ieviest ražošanā SIA ""KERKIRA"" izstrādāto jauno austrumu saldumu produktu līniju (Yufka austrumu saldumi), kas tiks ražoti no specifiskas ar ekstrūzijas metodi ražotās mīklas (Yufka mīkla). Jauna produktu līnija papildinās uzņēmuma ražoto preču sortimentu. Uzņēmums ir piereģistrējis dizainparaugus 3 saldumu veidiem un formām, kas tiks ieviesti tirgū dažādos iepakojumos un temperatūras režīmos. Projekta ietvaros tiks iegādāta jauna ražošanas līnija. Pēc projekta realizācijas tiks tirgota jaun un eksportspējīga produkcija ar augstu pievienoto vērtību.",340000,95370,16830,5,"www.kerkira.lv"
4,"Izotorf","Mārstaļu iela 12, Rīga, LV-1050","Inovatīva ekoloģiska kūdras izolācijas materiāla ieviešana ražošanā","Rīga",06/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesnidzēja izstrādātu jaunu ekoloģisku tīru un nealerģisku siltuma un skaņas izolācijas materiālu, kas ražots no kūdras. Jaunajam materiālam ir plašs pielietojums būvniecībā. Salīdzinājumā ar citiem izolācijas materiāliem kopumā tam ir augstāki tehniskie rādītāji ( siltumvadītspēja, ugunsdrošība, mitruma absorbētspēja, ekoloģiskums u.c.).
 Projekta ietvaros SIA ""IZOTORF"" iegādāsies jaunā produkta ražošanas procesam nepieciešamo iekārtu, ar kuru pēc projekta īstenošanas tiks ražots jaunais izolācijas materiāls.",541992.92,152029.01,26828.65,7,"www.izotorf.lv"
5,"Avoti SWF","""Avoti"", Lizuma pagasts, Gulbenes rajons, LV-4425","Jauna produkta ieviešana ražošanā","Lizuma pagasts ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta rezultātā tiks ieviests ražošanā jauns produkts - koka kafijas galds bez metāla sasaistes detaļām un lai to izdarītu ir nepieciešams iegādāties 3 papildus ražošanas iekārtas.",816100,242789.75,42845.25,5,
6,"SAF Tehnika","Ganību dambis 24a, Rīga, LV-1005","Jaunas produktu līnijas CFIP ieviešana ražošanā","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","""AS """"SAF Tehnika"""", veicot valsts līdzfinansētu tirgus orientētā pētījuma izstrādi """"16QAM mikroviļņu radio ar Ethernet interfeisu"""", ir izstrādājusi jaunu un pasaulē unikālu mikroviļņu radio risinājumu, kas pazīstams ar nosaukumu CFIP.
 Ņemot vērā, ka pētnieciskie darbi beigušies nesen, uzņēmums plāno uzsākt jaunā produkta sērijveida ražošanu, kurai nepieciešama būtiski atšķirīga produktu testēšanas procedūra.
 Projekta ietvaros plānots iegādāties un aprīkot speciālu testēšanas darba līniju, kas nodrošinās produktu kvalitātes un atbilstības standartiem un sertifikācijai novērtēšanu.""
",30650,9118.37,1609.13,2,"www.saftehnika.com"
7,"Energoteh","Maskavas iela 22, Rēzekne, LV-4604","Elektroenerģijas uzskaites un sadales sadalņu ieviešana ražošana ","Rēzekne ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja izstrādātas elektroenerģijas sadalnes.",750000,223125,39375,24,
8,"ProMold","Maskavas iela 28b, Rēzekne, LV-4604","Gaismas atstarotāju ieviešana ražošanā","Rēzekne ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja izstrādāto gaismas atstarotāju, kurš ir paredzēts gaismas atstarošanai un izkliedēšanai telpās no dabīgiem (tādiem kā saule, mēness) vai/un mākslīgiem gaismas avotiem. Gaismas atstarotājus ",950000,282625,49875,12,"www.promold.lv"
9,"RIŠON INTER","Krišjāna Barona iela 130, Rīga, LV-1012","Sienas panelis","Salaspils ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros uzņēmums plāno ieviest ražošanā pašu izstrādātus jaunus SIANAS PANEĻUS, kuru izstrāde un ražošana ir balstīta uz jaunu Pultrūzijas tehnoloģiju, par kuru uzņēmumam ir Licences līgums.
 SIENAS PANELIS – moduļu sistēmas panelis, trīs bloķēš",1546168.8,297413.29,52484.7,8,"www.rishon-inter.lv"
10,"Spilva","Zvaigžņu iela 1, Babītes pagasts, Rīgas rajons, LV-2101","Pusšķidru pārtikas produktu iesaiņošanas un uzglābāšanas paņēmiena ieviešana SIA ""Spilva"" ražotnē","Babītes pagasts ",06/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projektā SIA ""Spilva"" plāno ieviest pašu patentēto tehnoloģisko procesu ""Pusšķidru pārtikas produktu iesaiņošanas un uzglabāšanas paņemiens"". Projekta ietvaros SIA ""Spilva"" veiks LR likumdošanā atbilstošu iepirkuma procedūru, tehnoloģiskā procesa nodrošin",184696.89,37678.16,6649.09,14,"www.spilva.lv"
11,"Poligrāfijas Aģentūra","Daugavgrīvas iela 31, K. 3., Rīga, LV-1007","Reprezentācijas kastes ieviešana ražošanā","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros ir plānots ieviest ražošanā SIA ""Poligrāfijas aģentūra"" izstrādāto reprezentācijas kasti, kas ir piemērojama daudzu nozaru uzņēmumiem. Kur izmantošanas mēķis ir speciāla mārketinga un informācijas sniegšana. Projekta laikā SIA ""Poligrāfi",49979.42,14868.87,2623.92,24,
12,"Grindeks","Krustpils iela 53, Rīga, LV-1057","Jaunā produkta Mildrogel (meldonium saturošo ziežu formulācija) ieviešana ražošanā","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekts ""Jaunā produkta Mildrogel (meldronium saturošo ziežu formulācija) ieviešana ražošanā"" paredz ieviest ražošanā akciju sabiedrībā ""Grindeks"" jaunus produktus, kas tiks izstrādāti saskaņā ar uzņēmuma īpašumā esošo patentu ""Jauni meldroniuma pielieto",1415711.98,297500,52500,24,"www.grindeks.lv"
13,"Applied Electronics Labs","Akmeņu iela 47, Ogre, Ogres novads, Ogres rajons, LV-5001","Pulsa formēšanas iekārtas FORMAC FS ieviešana ražošanā","Ogre ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projektā tiks iegādātas iekārtas, lai uzsāktu akumulātoru formēšanas iekārtu FORMAC FS sērijveida ražošanu",477575.69,142078.76,25072.73,8,"www.batteryformation.com"
14,"Plastic technologies","Dzelzavas iela 25-119, Rīga, LV-1084","SIA ""Plastic tehnologies"" jaunas tehnoloģijas ieviešana ražošanā","Aizkraukle",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja iecerēto jauno produktu - termoplastmasas granulas ar minerālu piejaukumu. Šis produkts būtiski atšķiras no uzņēmumā pašlaik ražotajiem produktiem ar to, ka tām būs uzlabotas mehāniskās īpa",1057348,297500,52500,10,
15,"Eko Osta","Tvaika iela 39, Rīga, LV-1034","Naftas produktu saturošā piesārņojuma noārdošo baktēriju biomasas pavairošanas tehnoloģiskās iekārtas uzstādīšana esošā bioremedācijas kompleksā","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros SIA ""Eko Osta"" plāno iegādāties un uzstādīt specializētu bioreaktoru - tehnoloģisko iekārtu, kurā kultivēs mikroorganismus (baktēriju biomasu), kas veicina naftas produktu saturošā piesārņojuma likvidāciju. Ražotā baktēriju biomasa (mikr",296310,88152.23,15556.27,9,
16,"Bronto compozit","Krišjāņa Valdemāra iela 57/59, Rīga, LV-1010","SIA ""Bronto compozit"" jaunas tehnoloģijas ieviešana ražošanā","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja iecerēto jauno produktu –termoplastu granulas. Lai ieviestu ražošanā minēto produktu, ir nepieciešams iegādāties tehnoloģiju, kas nodrošina vairāku komponentu sajaukšanu un gala produktu fo",1023271,297500,52500,7,
17,"BALTIJAS GUMIJAS FABRIKA","Maskavas iela 322f, Rīga, LV-1063","Jauna produkta - gumijas zemsliežu starplika - ieviešana ražošanā","Jelgava ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros ir paredzēts ieviest ražošanā projekta iesniedzēja izstrādātu un Iekšējā tirgus saskaņošanas biroja (Preču zīmes un dizainparaugi) reģistrētu dizainparaugu gumijas zemsliežu starplikai. Jaunās gumijas zemsliežu starplikas būs vieglāk mon",229416,68251.26,12044.34,14,"www.bgfrubber.com"
18,"KRF","Granīta iela 33/4, Acone, Salaspils lauku teritorija, Salaspils novads, Rīgas rajons, LV-2119","Jauna produkta - betona gulšņu ieviešana ražošanā","Salaspils lauku teritorija",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta mērķis - sekmēt komercsabiedrības izaugsmi un konkurētspējas pieaugumu ieviešot ražošanā jaunu produktu.
 Projekta ietvaros tiks veikti ieguldījumi ražošanas procesa nodrošināšanai nepieciešamo pamatlīdzekļu - ražošanas līnijas iegādei, kas spēj ",1450000,297500,52500,23,"-"
19,"Severstaļlat","Braslas iela 24, Rīga, LV-1035","Augstas precizitātes daudzfunkciju metālgriešanas iekārtas iegāde","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā unikālu augstas precizitātes daudzfunkciju metālgriešanas iekārtu, kas spēj vienlaicīgi veikt vairākas darbības - garen un šķērsgriešanu, iegriezumu veikšana, kā arī automātisku apstrādātās produkcijas sapakoša",1400000,297500,52500,7,"www.ssl.lv"
20,"EKO OSTA","Tvaika iela 39, Rīga, LV-1034","Ar ogļūdeņražiem un pārtikas eļļu piesārņoto šķidro atkritumu attīrīšanas tehnoloģijas ieviešana ražošanā produkta ar augstu energoietilpību iegūšanai","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja izstrādātu jaunu ar ogļūdeņražiem un pārtikas eļļu piesārņoto šķidro atkritumu attīrīšanas tehnoloģiju produkta ar augstu energoietilpību iegūšanai.
 Projekta ietvaros SIA ""EKO OSTA"" iegādā",610000,181475,32025,14,"www.ekoosta.lv"
21,"GroGlass","Katlakalna iela 4b, Rīga, LV-1073","Siltumvadības ""gudro"" pārklājumu izstrāde","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Eiropas Reģionālās attīstības fonda projekta ietvaros plānots ražošanā ieviest jaunu produktu - siltumvadības ""gudro""pārklājumu, kas ļautu selektīvi palielināt un samazināt starojuma caurlaidību dažādos spektra apgabalos. Produkta ražošana tiks nodrošināt",1003360,297500,52500,15,"www.groglass.lv"
22,"Kautoss","Dārzu iela 5, Baloži, Rīgas rajons, LV-2112","Jauna produkta ieviešana ražošanā","Baloži ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā jaunu dizaina paraugu, pārnesumkārbas slēdzēja disku, kas uzlabos pārnesumkārbas kvalitatīvu, ātru, ekonomisku un saudzīgu darbību.
 Projekta ietvaros SIA Kautoss ir paredzējis iegādāties jaunu CNC ražošanas pr",85000,25287.5,4462.5,16,
23,"Protein Hair Coating Factory","Rūpnīcu iela 4, Olaine, Rīgas rajons, LV-2114","Uzlabotu mākslīgo matu ieviešanu ražošanā","Olaine ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja izgudrotos uzlabotos mākslīgos matus - dabīgo matu augstas kvalitātes imitāciju, kas izskatās un funkcionē tāpat kā dabīgie mati (tos var ieveidot, krāsot, cirtot, utt.).
 Projekta ietvaros",351400,83633.2,14758.8,12,
24,"Volburg","Ganību dambis 24a, Rīga, LV-1005","Multifunkcionālās elektronikas testēšanas sistēmas (M.E.T.S) ieviešana ražošanā","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja izstrādāto jaunu augsti tehnoloģisku produktu - Multifunkcionālo elektronikas testēšanas sistēmu (M.E.T.S.), kas ir piemērota iekšshēmu funkcionālai, digitālai testēšanai. Projekta ietvaros",129500,38526.25,6798.75,7,"www.volburg.lv"
25,"FIBREX","Leona Paegles iela 3A-33, Sigulda, Siguldas novads, Rīgas rajons, LV-2150","SIA ""FIBREX"" jaunas metāla fibru ražošanas tehnoloģijas ieviešana","Jersikas pagasts",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros, balstoties uz iegādāto patenta licenci, paredzēts ieviest ražošanā jaunu metāla šķiedru(fibru) ražošanas tehnoloģiju, kas ar būtiski uzlabotu ražošanas procesu un ražošanas metodēm nodrošinās uzņēmumā jaunu produktu-fibru-ražošanu. Fibr",682420,203019.95,35827.05,15,
26,"GLĀZERI BT","Jelgavas iela 74, Rīga, LV-1004","Jaunu produktu un tehnoloģiju ieviešana stikla izstrādājumu ražošanā","Babītes pagasts ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest razošanā jaunu produktu – stikla papīrgrozs no rūdīta stikla, kuram ir reģistrēts dizaina paraugs uz uzņēmuma vārda, modernizējot SIA „Glāzeri BT” piederošo tehnoloģisko bāzi un iegādājoties stikla un stikla rūdīšanas t",983925.6,292717.87,51656.09,13,"www.glazeri.lv"
27,"PHARMIDEA","Rūpnīcu iela 4, 2.korpuss, Olaine, Rīgas rajons, LV-2114","Leakadīna injekciju un ziedes formu ieviešana ražošanā","Olaine ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts
 1) iegādāties jaunas Leakadīna injekciju un ziedes zāļu formas ražošanas procesam nepieciešamās iekārtas.
 2) Licences (Reģistrācijas dokumentācijas komplekts, kas atbilst Eiropas Savienības standartam ""Common Technical Techni",411963.57,98047.32,17302.47,13,"www.pharmidea.lv"
28,"AdSys Network GmbH","Dzelzavas iela 25-119, Rīga, LV-1084","Jauna dizainparauga un tehnoloģijas žoga izstrādājumu ieviešana ražošanā","Ozolnieku pagasts ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projektā uzņēmums plāno uzsākt sava jaunā dizainpatentētā produkta - ""žoga no organiskās stikla šķiedras saturošiem kompozītiem"" ieviešanu ražošanā un iegādāties žoga ražošanai atbilstošu ražošanas tehnoloģisko līniju. Jaunajam produktam ir tādas īpašības",927701.28,275991.12,48704.32,10,
29,"Baltijas biopolimēru plastmasas pārstrāde","""Kalnāji"", Beļavas pagasts, Gulbenes rajons, LV-4410","SIA ""Baltijas biopolimēru plastmasas pārstrāde"" jaunas tehnoloģijas ieviešana ražošanā","Beļavas pagasts ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja iecerēto jauno produktu - plastmasas būvniecības profilus. Lai ieviestu ražošanā minēto produktu, ir nepieciešams iegādāties tehnoloģiju, kas nodrošina profilu izpūšanu no sasmalcinātām izl",992375,295231.56,52099.69,14,
