"Aizdevuma saņēmējs","Juridiskā adrese","Aizdevuma mērķis","Projekta īstenošanas vieta","Projekta īstenošanas nozare/ NACE kods","Piešķirtā aizdevuma apmērs (EUR)","Aizdevuma izsniegšanas termiņš"
"SIA „ENMAR”","Jūras iela 62a, Engure, Engures pagasts, Tukuma rajons, LV-3113","Apgrozāmie līdzekļi "," Engure, Engures pagasts, Tukuma rajons","Atpūtas un sporta laivu būve/ 30.12","250,000",01/09/2009
"AS ""S&G""","Priekuļu iela 7, Mārupes pagasts, Rīgas rajons, LV-2167","Apgrozāmie līdzekļi ","Mārupes pagasts, Rīgas rajons","Cita veida izdevumu iespiešana/ 18.12","500,000",30/01/2010
"SIA ""Aqua Latgale""","""Bašķi"", Rušonas pagasts, Riebiņu novads, Preiļu rajons,           LV-5329","Apgrozāmie līdzekļi ","Rušonas pagasts, Riebiņu novads, Preiļu rajons","Plastmasas iepakojuma ražošana/ 22.22","50,000",15/08/2009
"SIA ""Nordic Metalplast""","Aviācijas iela 18, Jelgava, LV-3001","Ražošanas iekārtu iegāde","Jelgava","Citu gatavo metālizstrādājumu ražošana/ 25.99","1,060,000",15/10/2009
"SIA ""ETB""","Celtnieku 25/27 NT3, Liepāja","Vēja elektrostacijas iegāde un uzstādīšana","Vērgales pagasts, Liepājas rajons","Elektroenerģijas ražošana/ 35.11","600,000",25/05/2010
"SIA ""Carnikavas nami""","Stapriņi, ""Lauki"",  Ādažu novads, Rīgas rajons,  LV-2164","Paneļu ražošanas tehnoloģiskā līnijas iegāde","Ādažu novads, Rīgas rajons","Zāģēšana, ēvelēšana, impregnēšana/ 16.10","1,050,000",31/08/2009
"A/s ""Ruks Cēsu gaļas kombināts""","Miera iela 19, Cēsis","Apgrozāmie līdzekļi ","Cēsis","Gaļas pārstrāde/ 10.11","427,000",24/11/2009
"SIA ""Dendrolight Latvija""","Kustes dambis 32, Ventspils","Investīcijas ražotnes izveidei","Ventspils","Kokmateriālu ražošana/ 16.29","7,114,000",30/09/2010
"SIA ""Bioenerģija-08""","Krūmiņi, Sarkaņu pagasts, Madonas rajons","Biogāzes koģenerācijas stacijas izveide","Sarkaņu pagasts, Madonas rajons","Elektroenerģijas ražošana/ 35.11","3,155,000",25/01/2010
"AS ""Dzintars""","Mālu iela 30, Rīga","Apgrozāmie līdzekļi ","Rīga","Parfimērijas ražošana/ 20.42","2,000,000",10/09/2010
"SIA ""Kilbe""","Līvzemes iela 23a, Salaspils, Rīgas rajons, LV-2169","Apgrozāmie līdzekļi ","Salaspils, Rīgas rajons","Pārējo koka izstrādājumu ražošana/ 16.29","185,000",25/10/2009
"SIA ""MC bio""","""Mežacīruļi"", Zaļenieku pagasts, Jelgavas rajons","Biogāzes koģenerācijas stacijas izveide","Zaļenieku pagasts, Jelgavas rajons","Elektroenerģijas ražošana/ 35.11","2,600,000",25/03/2010
"SIA Zaļās enerģijas aģentūra","Brīvības iela 29, Dagda, Krāslavas rajons, LV-5674","Koģenerācijas elektrostacijas iegāde","Dagda, Krāslavas rajons","Elektroenerģijas ražošana/ 35.11","1,345,655",25/02/2010
"SIA ""Konto""","Brīvības iela 87, Gulbene, LV-4401","Apgrozāmie līdzekļi ","Gulbene","Pārējo koka izstrādājumu ražošana/ 16.29 ","200,000",19/10/2009
"SIA ""Paeglīši un partneri""","Paeglīši, Salas pagasts, Salas novads, Jēkabpils rajons, LV-5230","Apgrozāmie līdzekļi ","Salas pagasts, Salas novads, Jēkabpils rajons","Zāģēšana, ēvelēšana, impregnēšana/ 16.10","100,000",30/11/2009
"SIA ""Ra 5""","Lielā iela 37-12, Mārupe, Mārupes novads, LV-2167","Kafijas dzēriena ražošanas iekārtu iegēde","Neretas novads, Aizkraukles rajons","Citu pārtikas produktu ražošana/ 10.80","11,500",05/01/2010
"SIA ""Larmet""","Parka iela 4, Rauna, Cēsu rajons","Apgrozāmie līdzekļi ","Rauna, Cēsu rajons","Cita veida darbagaldu ražošana/ 28.49","150,000",14/02/2010
"SIA ""Maksveli Internation""","Slokas iela 161, Rīga, LV-1069","Apgrozāmie līdzekļi ","Rīga","Tējas un kafijas pārstrāde/ 10.83","100,000",01/05/2010
"SIA''Jaunzvārde''","Akmentiņi, Zvārdes pagasts, Saldus novads, Saldus rajons","Apgrozāmie līdzekļi ","Saldus novads, Saldus rajons","Mežizstrāde/ 02.20","242,250",10/01/2010
"SIA ""Glāzeri BT""","Jelgavas iela 74, Rīga, LV-1004","Stikla apstrādes, rūdīšanas un krāsošanas līnijas iegāde","Rīga","Lokšņu stikla formēšana un apstrāde/ 23.12","1,193,000",23/07/2010
"SIA ""Glāzeri BT""","Jelgavas iela 74, Rīga, LV-1004","Apgrozāmie līdzekļi ","Rīga","Lokšņu stikla formēšana un apstrāde/ 23.12","214,000",23/09/2010
"SIA ""Bona Dea""","Višķu iela 21b, Daugavpils, LV-5410","Produkcijas iepakošanas iekārtas, zefīra un šokolādes glazūra ražošanas iekārtu iegāde","Daugavpils","Konditorijas un miltu izstrādājumu ražošana/ 10.71","103,500",01/07/2010
"SIA ""Talsu Palete""","Kalnu iela 2, Talsi, LV-3201","Skaidu brikešu ražošanas iekārtu iegāde","Valdgales pagasts, Talsu novads, Talsu rajons","Pārējo koka izstrādājumu ražošana/ 16.29","423,000",30/08/2010
"SIA ""Dendrolight Latvija""","Kustes dambis 32, Ventspils","Apgrozāmie līdzekļi ","Ventspils","Kokmateriālu ražošana/ 16.29","1,422,000",24/04/2011
