"N.p.k.","Pašvaldība","Juridiskā adrese","Projekta nosaukums","Īstenošanas vieta (reģions)","Projekta apstiprināšanas datums","Projekta ietvaros veicamās darbības","Kopējās attiecināmās izmaksas","ERAF","Valsts budžeta dotācija","Pašvaldības finansējums","Projekta īstenošanas laiks(mēneši)"
1,"Skrīveru pagasta padome","Daugavas iela 59 , Skrīveri, Skrīveru pag., Aizkraukles raj. LV-5125","""EJAM DROŠI!(Apvienotā gājēju un veloceliņa izbūve gar Jāņa Purapuķes ielu Skrīveros""","Zemgale",31/03/2009,"Projekta ietvaros tiks izbūvēts apvienotais gājēju un veloceliņš, izveidotas apgaismotas gājēju pārejas, uzstādītas ceļazīmes un aizsargbarjeras.","211,219.15","95,048.62","6,336.57","109,833.96",7
2,"Līgatnes pilsētas dome","Līgatnes pilsētas dome Sprinģu iela 4, Līgatne, Cēsu raj., LV - 4110","„Gaujas ielas renovācija satiksmes drošības uzlabošanai Līgatnē”","Vidzeme",31/03/2009,"Projekts paredz esošās brauktuves renovāciju, gājēju ietves, autobusu pieturvietu izbūvi, apgaismojuma rekonstrukciju un atbilstošu satiksmes organizācijas līdzekļu izvietošanu.","112,441.02","71,962.25","10,119.69","30,359.08",12
3,"Kūku pagasta dome","Laukezera iela 5, Zīlāni, Kūku pag., Jēkabpils raj., LV - 5222","""Avienotā gājēju un veloceliņu izbūve Kūku pagastā""","Zemgale",31/03/2009,"Projekts paredz izbūvēt apgaismotu gājēju un velosipēdistu celiņu ar atbilstošu satiksmes organizācijas līdzekļu izvietošanu.","346,658.31","145,596.49","25,999.37","175,062.45",24
4,"Ogres novada dome","Brīvības iela 48, Ogre, Ogres nov., Ogres raj., LV-5001","""Satiksmes drošības uzlabojumi Ogres pilsētā, rekonstruējot Mednieku ielu""","Rīga",31/03/2009,"Projekts paredz gājēju ietves un veloceliņa izbūvi, brauktuves asfaltbetona seguma izbūvi, ielas apgaismojuma un ātrumvaļņu ierīkošana.","565,292.55","300,000.00","16,958.58","248,333.97",12
5,"Ogres novada dome","Brīvības iela 48, Ogre, Ogres nov., Ogres raj., LV-5001","""Satiksmes drošības uzlabojumi Ogresgalā, rekonstruējot ietvju un veloceliņu posmu"".","Rīga",31/03/2009,"Tiks veikta gājēju ietves un veloceliņa izbūve, ielas apgaismojuma ierīkošana.","161,039.96","100,000.00","4,831.20","56,208.76",7
6,"Aizkraukles novada dome","Lāčplēša iela 1A, Aizkraukle, Aizkraukles nov., Aizkraukles raj., LV-5101","Satiksmes drošības uzlabojumi Sprīdīša ielā Aizkrauklē","Zemgale",31/03/2009,"Tiks veikta ielas paplašināšana, gājēju ietves izbūve, tiks pārbūvētas lietus, ūdensvada un kanalizācijas komunikācijas un uzstādīts apgaismojums.","132,015.43","85,796.83","3,960.46","42,258.14",12
7,"Rēzeknes pilsētas dome ","Rēzeknes pilsētas dome Atbrīvošanas aleja 93, Rēzekne LV - 4601","""Satiksmes drošības uzlabošana Rēzeknes pilsētā , izveidojot gājēju pāreju Latgales ielā""","Latgale",31/03/2009,"Projekta ietvaros tiks izbūvēta gājēju pāreja, kura tiks aprīkota ar skaņas indikācijas luksoforiem.","36,124.00","30,344.16","2,167.44","3,612.40",3
8,"Gulbenes pilsētas dome","Ābeļu iela 2 , Gulbene, Gulbenes raj., LV-4401","""Satiksmes drošības uzlabojumi Gulbenes pilsētā""","Vidzeme",31/03/2009,"Projekta ietvaros 4 krustojumos ir paredzēts uzstādīt luksofora objektus un 1 objektā – regulējamu luksofora pāreju. Visos objektos (izņemot regulējamo luksofora pārēju Blaumaņa ielā pie veikala „Supernetto”) ir paredzēts uzstādīt gājēju barjeras, lai nodrošinātu kontrolētu gājēju plūsmu krustojumos. Visos objektos gājēju zaļajam signālam ir paredzēts pieslēgt skaņas signālu un objektu izbūves laikā ir plānota ielu borta līniju korekcija veidojot ratiņu nobrauktuves ar pazemināto borta līniju.","171,701.72","111,201.72","10,302.10","50,197.90",5
9,"Balvu pilsētas dome","Balvu pilsētas dome Sporta iela 1, Balvi, Balvu raj., LV - 4501","Satiksmes drošības uzlabojumi Balvos, Ezera un Dārzu ielu krustojumā","Latgale",31/03/2009,"Projekta ietvaros tiks ierīkotas 2 gājēju pārējas, uzstādītas ātrumu ierobežojošās zīmes, izveidota nogriešanās josla un uzstādītas atbilstošas zīmes, ierīkots ātrumu ierobežojošais valnis, nomainīts sabrukušo ietvju segums, renovētas nobrauktuves un pielāgotas invalīdu vajadzībām, sakārtotas brauktuves daļas lietus ūdens atvades sistēmas, atjaunots ielas horizontālais marķējums.","266,659.00","159,995.00","15,999.00","90,665.00",9
10,"Meņģeles pagasta padome ","Meņģeles pagasta padome ""Pagastmāja"", Meņģele, Meņģeles pag., Ogres raj., LV - 5047","""Satiksmes drošības infrastruktūras uzlabošana Meņģeles pagastā""","Rīga",31/03/2009,"Paredzēts izbūvēt gājēju/veloceliņu, uzstādīt divas brīdinājuma zīmes „Bērni”, rekonstruēta gājēju pāreju, uzstādīts apgaismojums, uzstādīta ceļazīme ar fluorescentu apmali „Gājēju pāreja”, atjaunots „zebras” krāsojumu, vairākās vietās uzstādīt gājēju/veloceliņu norobežojošās barjeras, ceļa malā rekonstruēts esošais apgaismojumu- nomainīti apgaismes laternu stabi un uzstādīts papildus apgaismojums","80,213.32","67,379.19","3,609.60","9,224.53",5
11,"Saldus pilsētas dome","Striķu iela 3, Saldus , Saldus raj., LV-3801","Satiksmes drošības uzlabojumi Saldū, rekonstruējot trotuārus Veidenbauma, Kalna un Pasaciņas ielās”","Kurzeme",31/03/2009,"Projekta ietvaros plānots: rekonstruēt esošos trotuārus un izveidot jaunus Veidenbauma, Kalna un Pasaciņas ielās, uzstādīt gājēju aizsargbarjeras un ierīkot apgaismojumu Pasaciņas ielā, izveidot autobusu pieturu un ierīkot slēgta tipa lietus ūdens novades sistēmu.","250,000.00","197,500.00","11,250.00","41,250.00",8
