"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ERAF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
1,"Liepājas pilsētas pašvaldība","Rožu iela 6, Liepāja, LV-3401",,"Liepājas Speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana","Kurzeme, ",11/12/2009,"  Liepājas pilsētas Attīstības stratēģijas 2008. – 2014.gadam plānā (LD Lēmums Nr. 563, 25.10.2007.) tiek izvirzīts mērķis – nodrošināt iespējas iegūt daudzveidīgu un visu līmeņu izglītību, kas atbilst ilgtermiņa tirgus prasībām. 
Lai veicinātu ilgtspējīgu attīstību un nodrošinātu vienlīdzīgas iespējas kvalitatīvas izglītības iegūšanai Liepājā un vides pieejamību izglītojamiem ar speciālām vajadzībām,  projekta ”Liepājas Speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana” ietvaros ir plānots veikt:
1. Skiču un tehniskā projekta izstrādi.
2. Kustību terapijas laukuma izveidi.
3. Telpu renovāciju Ūliha ielā 56 un Klaipēdas ielā 96.
4. Aprīkojuma un mēbeļu iegādi.
Projekta īstenošanas vieta –Liepājas Speciālās internātpamatskolas ēkas Klaipēdas ielā 94  un Ūliha ielā 56, Liepāja, LV – 3401.
Tiešie ieguvēji: 216 skolēnu ar speciālām vajadzībām, tai skaitā 76 skolēni ar garīgās attīstības traucējumiem( C līmenis) un  5 skolēni ar kustību traucējumiem, 60 pedagogi.
Plānotās projekta kopējās izmaksas Ls 102 859, kur paredzēts piesaistīt ERAF finansējumu Ls 83 633 jeb (81,3%) un Liepājas pilsētas pašvaldības līdzfinansējums Ls 19 226 jeb (18,7%).",98392,83633,0,9
2,"Priekules novada dome","Saules iela 1, Priekule, Priekules novads, LV-3434",,"Purmsātu speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana","Kurzeme, ",07/12/2009,"Valsts Nacionālais attīstības plāns 2007.-2013.gadam (04.07.2006.) uzliek par pienākumu sabiedrībai: ""nodrošināt mācību iestāžu fizisko pieejamību bērniem un jauniešiem ar kustību traucējumiem un uzlabot speciālās izglītības infrastruktūru"" (17.lpp).
Liepājas rajona Virgas pagasta Attīstības programmā laika periodam no 2006. - 2018.gadam (Virgas pagasta padomes Lēmums Nr.1.&18.09.08.2006.) tiek izvirzīts uzdevums - Purmsātu speciālās internātpamatskolas attīstības atbalstīšana (10.Pielikums).
Lai veicinātu ilgtspējīgu attīstību un nodrošinātu vienlīdzīgas iespējas kvalitatīvas izglītības iegūšanai Purmsātu speciālajā internātpamatskolā un vides pieejamību izglītojamiem ar speciālām vajadzībām, projekta ""Purmsātu speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana"" ietvaros ir plānots veikt:
1. Jumta nomaiņu;
2. Ieejas pandusa personām  personām ar kustību traucējumiem izveidošanu;
3. Terapiju zāles izveidošanu.
Projektu īstenošanas vieta - Purmsātu speciālā internātpamatskola - Purmsāti, Virgas pagasts, Liepājas rajons, LV - 3485.

Tiešie ieguvēji: 119 skolēnu ar funkcionāliem traucējumiem, tai skaitā 45 skolēni ar smagu garīgo atpalicību (C līmenis) un 17 skolēni ar kustību traucējumiem.

Plānotās projekta kopējās izmaksas Ls 98 392, kur paredzēts piesaistīt ERAF finansējumu Ls 83 633 jeb (85%) un Priekules novada pašvaldības līdzfinansējums Ls 8856 jeb 9%, tai skaitā plānotā valsts budžeta dotācija Ls 5903 jeb 6%.",98392,83633,0,12
3,"Rēzeknes novada pašvaldība","Atbrīvošanas aleja 95, Rēzekne, LV-4601",,"Rēzeknes novada speciālās izglītības iestāžu infrastruktūras uzlabošana","Latgale, ",02/02/2010,"Projekta mērķis: uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām Rēzeknes novadā. 
Projekta aktivitātes:
1. Maltas speciālās sanatorijas internātpamatskolas bērniem ar garīgās attīstības traucējumiem katlu mājas rekonstrukcija, lifta iebūve skolas ēkā. 
2. Tiskādu sanatorijas internātpamatskolas bērniem ar psihoneiroloģiskām saslimšanām internāta ēkas un ēdināšanas bloka siltumsistēmas rekonstrukcija, fizioterapijas un rehabilitācijas telpu rekonstrukcija. 
3. Adamovas sanatorijas internātpamatskolas bērniem ar psihoneiroloģiskām saslimšanām ēdināšanas bloka, fizioterapijas un rehabilitācijas telpu rekonstrukcija.
Projekta rezultāti:
1) Maltas speciālās sanatorijas internātpamatskolā bērniem ar garīgās attīstības traucējumiem veikta esošo 4 katlu ar palīgierīcēm demontāža, 2 jaunu kaltu montāža,  katlu mājas ēkas remonts, lifta iebūve skolas 3 stāvu ēkā;
2) Tiskādu sanatorijas internātpamatskolā bērniem ar psihoneiroloģiskām saslimšanām veikta internāta ēkas un ēdināšanas bloka siltumsistēmas, fizioterapijas un rehabilitācijas telpu rekonstrukcija;
3) Adamovas sanatorijas internātpamatskolā bērniem ar psihoneiroloģiskām saslimšanām veikta ēdināšanas bloka telpu, fizioterapijas un rehabilitācijas telpu rekonstrukcija.
Projekta iesniedzējs: Rēzeknes rajona padome, kuras saistības pēc 01.07.2009. pārņēma Rēzeknes novads. Projekts tiks īstenots Rēzeknes novada Maltas, Silmalas, Verēmu pagastos – katrā no 3 internātpamatskolu atrašanās vietām. Projekta īstenošanas periods ir 12 mēneši: no 01.01.2010.-31.12.2010. Projekta budžets ir 295 170,00 LVL, tai skaitā, ERAF līdzfinansējums 85% jeb 250 894,00 LVL, Rēzeknes novada pašvaldības līdzfinansējums 15% jeb 44 276,00 LVL.
",295170,250894,0,12
4,"Apes novada dome","Stacijas iela 2 , Ape, Apes novads, LV-4337",,"Gaujienas speciālās internātpamatskolas sporta zāles un tai piesaistīto telpu infrastruktūras un aprīkojuma vienkāršota renovācija","Vidzeme, ",11/12/2009,"Gaujienas speciālās internātpamatskolas celtniecība uzsākta 1959.gadā un nodota ekspluatācijā 1961.gada 18.oktobrī. Tā izvietota uz diviem zemes gabaliem ar kopējo platību 10.28 ha un kadastra Nr.36480050181 un Nr.36480050244. Īpašums reģistrēts Alūksnes zemesgrāmatas nodaļā  12.03.2008., Gaujienas pagasta zemes grāmatā, nodalījuma Nr.3000023930673.
Skolas sporta zāle ir celta 1961.gadā. Pie zāles atrodas arī dušas telpas, tualetes, ģērbtuves, sporta inventāra noliktava, sporta skolotāju metodiskais kabinets un mazāka zāle ārstnieciskajai vingrošanai.Tualešu, dušu un ģerbtuvju telpas ir izbūvētas un aprīkotas 50 gadus atpakaļ. Tās ir pilnībā nolietojušās un jau desmit gadus tās ir avārijas stāvoklī - slēgtas.Skolniekiem tās ir pilnībā neizmantojamas. Skolēni sporta stundām pārģerbjas uz zāles skatuves vai arī skolas internātā, kas nereti kavē stundu sākumu un tālāko stundu ritējumu. Rezultātā nav iespējams nodrošināt minimālās higiēnas prasības.
Telpas nav piemērotas bērniem ar īpašām vajadzībām. Durvis nav piemērotas, lai  pa tām brīvi varētu pārvietoties skolēni ar stumjamajiem ratiņiem vai arī ratiņkrēsliem. Neatbilst durvju platumi, durvīm ir sliekšņi.
Līdzekļu trūkuma dēļ vairākus gadus nebija salabots sporta zāles jumts. Tā rezultātā ir bojāti zāles griesti un sienas. Lobās nost apmetums un krīt zemē, kā rezultātā ir apdraudēta bērnu veselība.
Zālēs nav atbilstoši aprīkojuma bērnu ar īpašām vajadzībām rehabilitācijai.
Skolā mācās:
- 83 internātpamatskolas skolēni.
- 67 skolēni ar garīgās attīstības traucējumiem.
- 5 skolēni ar kustību traucējumiem.
Skolā strādā:
- 49 ir pedagoģiskie darbinieki, no tiem 45 pedagogiem ir speciālā pedagoga kvalifikācija, kas nodrošina skolēnu vispusīgu attīstīšanu ne tikai mācību stundās, bet arī ārpus tām internāta skolotāju vadībā.
- 38 tehniskie darbinieki.
Problēma - infrastruktūras un aprīkojuma neatbilstība kā rezultātā nav iespējams nodrošināt kvalitatīvu:
- skolēnu mācību procesu,
- higiēnas prasības,
- ārstnieciskās vingrošanas un kustību terapijas nodarbības,
- ritmikas nodarbības,
- brīvā laika pavadīšanas iespējas (jo internātskolā visi bērni dzīvo uz vietas skolā).
Lai šīs problēmas atrisinātu, ir sagatavots projekts ""Gaujienas speciālās internātpamatskolas sporta zāles un tai piesaistīto telpu infrastruktūras un aprīkojuma vienkāršota renovācija"". Kopējās projekta izmaksas 98 392 Ls no tām 83 634 jeb 85% ERAF finansējums, 14 758 Ls jeb 15% nacionālais līdzfinansējums, ko pilnībā nodrošina Apes novada domes finansējums. Projekta ilgums 9 mēneši, iesniedzējs - Apes novada dome, realizētājs - Apes novada Gaujienas speciālā internātpamatskola.",98392,83634,0,9
5,"Talsu novada dome","Kareivju iela 7, Talsi, Talsu novads, LV-3201",,"Upesgrīvas speciālās sākumskolas infrastruktūras uzlabošana","Kurzeme, ",07/12/2009,"Projekta nosaukums ir „Upesgrīvas speciālās sākumskolas infrastruktūras uzlabošana”. Projekta mērķis ir nodrošināt bērnu ar īpašām un speciālām vajadzībām optimālus sadzīves apstākļus, aprūpi un rehabilitāciju, pilnveidojot esošo un izveidojot jaunu infrastruktūru. Projekta mērķa grupa ir izglītojamie un pedagogi. Projekta rezultātā tiks rekonstruētas 3. stāva 1;4;5;6;7;8 telpas, otrā stāva telpas 1;2;8;9 un 1 stāva koridora elektrotīklu rekonstrukcija, kā arī citi remontdarbi.
Projekta kopējās attiecināmās izmaksas ir 98392 lati, no tiem ERAF finansējums 83633 lati jeb 85 %. Talsu novada pašvaldība ir pieņēmusi lēmumu par līdzfinansēju 15 % no projekta kopējām attiecināmajām izmaksām, kas sastāda 14759 latus.
Projekta „Upesgrīvas speciālās sākumskolas infrastruktūras uzlabošana” būvdarbi tiks veikti Upesgrīvas speciālajā sākumskolā, adrese Talsu novads, Vandzenes pagasts, Upesgrīva, LV - 3248, kadastra Nr. 88940050324.
 Projekts ir plānots īstenot 2011. gadā un plānotais kopējais projekta īstenošanas ilgums ir 12 mēneši.
",98392,83633,0,12
6,"Lielvārdes novada pašvaldība","Raiņa iela 11a, Lielvārde, Lielvārdes novads, LV-5070",,"Jumpravas speciālās internātpamatskolas rekonstrukcija un aprīkojuma uzlabošana","Rīgas reģions, ",11/12/2009,"Projekta „Jumpravas speciālās internātpamatskolas rekonstrukcija un aprīkojuma uzlabošana” projekta iesniedzējs ir Lielvārdes novada dome, kas saskaņā ar LR Ogres rajona pašvaldības 25.03.2009. sēdes lēmuma Nr.3. 1. § „Par Ogres rajona pašvaldības reorganizācijas plāna precizēšanu” ir Jumpravas speciālās internātpamatskolas dibinātāja – Jumpravas pagasta padomes - saistību pārņēmējs no 2009.gada 31.jūlija. Projekta mērķis ir Jumpravas speciālajā internātpamatskolā laikā no 15.03.2010. līdz 15.09.2010. uzlabot mācību vidi un attīstīt rehabilitācijas iespējas, kā arī iegādāties elektroniskās programmatūras un tehnoloģijas skolēnu ar funkcionāliem traucējumiem sadzīves un darba prasmju attīstībai, kopumā veltot tam 98 392 Ls (t.sk. ERAF līdzfinansējums - 83 633 LVL, Lielvārdes novada domes līdzfinansējums – 14 759 LVL)
Projekta ietvaros skolā plānots veikt apkures sistēmas rekonstrukciju, tādējādi ļaujot gan skolēniem, gan personālam uzturēsies optimāli siltās telpās, mazinot viņu saslimšanas risku, nodrošinot drošības noteikumu ievērošanu un novēršot ugunsgrēka rašanās iespējamību.
Ieviešot projektu plānots pilnveidot vides pieejamību, atvieglojot pārvietošanos skolā visiem esošajiem skolēniem, kā arī nākotnē tiktu nodrošinātas mācīšanās iespējas tiem skolēniem ar garīgās attīstības traucējumiem, kam papildus ir arī kustību, redzes un dzirdes traucējumi.
Tāpat projekta ietvaros plānots iegādāties aprīkojumu ārstnieciskās vingrošanas nodarbību rezultativitātes paaugstināšanai un datorus kopā ar programmatūru, kas paredzēta personu ar garīgās attīstības traucējumiem vajadzībām, tādējādi veicinot skolēnu reakcijas ātruma attīstību un stimulējot domāšanu.
Savukārt informācijas un publicitātes pasākumu ietvaros projektā tiks tipogrāfiski iespiestas uzlīmes (līmēšanai uz aprīkojuma un datortehnikas) un informatīvā plāksne (novietošanai pie sienas) ar norādi par ES līdzfinansējumu, kā arī informācija par projekta aktivitātēm tiks nodrošināta masu medijos.
",98392,83633,0,6
7,"Stopiņu novada dome","Institūta iela 1a Ulbroka, Stopiņu novads, LV-2130",,"Juglas sanatorijas internātpamatskolas korpusa renovācija","Rīgas reģions, ",07/12/2009,"Projekta mērķis ir veikt Juglas sanatorijas internātpamatskolas 6.korpusa renovāciju, lai uzlabotu mācību vidi audzēkņiem ar speciālām vajadzībām. 
Projektā plānota viena galvenā aktivitāte – Juglas sanatorijas internātpamatskolas 6.korpusa renovācija. Aktivitātē ietilpst gan sagatavošanās darbi renovācijas veikšanai, gan tādu uzdevumu veikšana, kā esošo korpusa elementu demontāža, sienu apdare, logu un durvju nomaiņa, kāpņu renovācija, korpusa ārējā apdare un apkures sistēmas renovācija. 
Projekta rezultātā tiks renovēts Juglas sanatorijas internātpamatskolas 6.korpuss, tajā skaitā divas mācību klases un internāta telpas, tādējādi uzlabojot mācību un sadzīves apstākļus skolēniem ar speciālām vajadzībām.
Projekta iesniedzējs: Izglītības un zinātnes ministrija. Projekta īstenošanas vieta: Juglas sanatorijas internātpamatskola, Stopiņu novads, Upeslejas.
Projekta īstenošanas laiks: 9 mēneši, no 2010.gada janvāra līdz 2010.gada septembrim.
Plānotais projekta finansējums: 97 884 LVL, tajā skaitā ERAF līdzfinansējums 85% apmērā 83 201 LVL un valsts budžeta līdzfinansējums 15% apmērā 14 683 LVL.
",97884,83201,0,9
8,"Ventspils novada pašvaldība","Skolas iela 4, Ventspils, LV-3601",,"Stiklu speciālās internātpamatskolas ēkas renovācija","Kurzeme, ",07/12/2009,"Lai nodrošinātu vispārējās speciālās pamatizglītības iestādes izglītojamo iespējas mācīties, sevi pilnveidot mūsdienīgā skolā, projekta ietvaros plānots īstenot aktivitāti: Stiklu speciālās internātpamatskolas renovācija. Aktivitātes ietvaros paredzēts: visām skolas telpām- klasēm, kabinetiem, koridoriem, palīgtelpām nomainīt logus, durvis un veikt būvdarbus skolas ēkas bēniņu siltināšanā, kā arī izremontēt 7 klašu telpas..
Projekta vispārīgais mērķis ir uzlabot mācību vidi izglītojamiem ar garīgās attīstības traucējumiem, veicināt darba un sadzīves prasmju attīstīšanu speciālajā izglītības iestādē.
Projekta specifiskais mērķis ir uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām Stiklu speciālajā internātpamatskolā.
Projekta ietvaros tiks īstenota Stiklu speciālās internātpamatskolas infrastruktūras uzlabošana izglītojamiem ar garīgās attīstības traucējumiem.
Projekta īstenošanas vieta- Ventspils novads, Puzes pagasts, „Stikli”, LV-3613
Kopējais projekta īstenošanas ilgums: 12 mēneši
Projekta plānotās attiecināmās izmaksas Ls 98392, tai skaitā ERAF finansējums  Ls 83633
",98392,83633,0,12
9,"Carnikavas novada dome","Stacijas iela 5, Carnikavas novads, LV-2163",,"Carnikavas speciālās internātpamatskolas infrastruktūras un aprīkojuma uzlabošana","Rīgas reģions, ",07/12/2009,"Projekta mērķi:
Virsmērķis:
Uzlabot mācību vidi izglītojamiem ar speciālām vajadzībām, kā arī veicināt darba un sadzīves prasmju attīstīšanu izglītojamiem Carnikavas speciālajā internātpamatskolā.
Apakšmērķi:
1.  Panākt kvalitatīvu vispārējo zināšanu un prasmju apguvi, tostarp dabas zinātņu, vides zinātņu un matemātikas mācību priekšmetos, pilnveidojot mācību saturu, metodiku un skolēnu mācību sasniegumu vērtēšanas sistēmu pamatizglītības un vidējās izglītības pakāpēs;
2. Panākt obligātu pamata izglītības iegūšanu un pakāpeniski pāriet uz obligātu vidējo izglītību (vidējā vispārējā, vidējā profesionālā). Veikt preventīvu darbu ar nesekmīgiem skolēniem un viņu vecākiem pamatizglītības un vidējās izglītības apguves līmenī.
3. Visu līmeņu valsts un pašvaldību izglītības iestāžu ēku renovācija, iekārtu un aprīkojuma atjaunināšana, materiāli tehniskā nodrošinājuma modernizācija, pieejas nodrošināšana personām ar funkcionāliem traucējumiem;
4. Nodrošināt mācību iestāžu fizisko pieejamību bērniem un jauniešiem ar speciālām vajadzībām un uzlabot speciālās izglītības infrastruktūru.
Galvenās aktivitātes:
1. Rekonstruēt Carnikavas speciālās internātpamatskolas pamatēku 1gab :
 1) nosiltinātpamatēkas ārsienas 680 m2,
 2) nomainīt logus pamatēkā 156 m2 un durvis 2 m2,
 3) nosiltināt pamatēkas pamatus 100 m2,
 4) uzstādīt pamatēkas kāpņu telpās 2.tipa ugunsdrošās durvis 7 m2
 5) izbūvēt pamatēkas avārijas dūmu novadīšanas sistēmu 1gab.
2. Izbūvēt jaunas siltumnīcas – 2 gab:
 6) izbūvēt 2 jaunas siltumnīcas ar kopējo platību 150 m2.
Projekta rezultāti:
Uzlabota infrastruktūra un mācību vide izglītojamiem ar speciālām vajadzībām vienā speciālā izglītības iestādē.
 Projekta realizācija:
- radīs audzēkņiem  pilnvērtīgāku  mācību un brīvā laika lietderīgas pavadīšanas iespēju,
- veicinās audzēkņiem  veselīgu dzīvesveidu,
- nodrošinās dzimumlīdztiesību izglītības iestādē,
- nodrošinās cilvēkiem ar speciālām vajadzībām  iespēju izglītoties, nodarboties ar sportu, apgūt profesionālās iemaņas darbam lauksaimniecībā,  atbilstoši viņu vēlmēm un spējām,
- veicinās enerģijas racionālāku izmantošanu, drošas darba vides un veselības saglabāšanas nodrošināšanu,
- samazinās izglītības iestādes budžeta izdevumus ēku uzturēšanai, kas veicinās nodokļu maksātāju naudas lietderīgu izmantošanu.  
Projekta norises vieta un laiks: 
Carnikavas speciālā internātpamatskola, (adrese - ""Carnikavas speciālā internātskola"" Carnikavas novads)  projekta uzsākšana 2009.gada oktobris pabeigšana 2011.gada marts.
 Plānotais projekta finansējums un tā sadalījums:
Attiecināmās izmaksas : 98 000,00 LVL
ERAF līdzfinansējums 85% : 83 300,00 LVL
Nacionālais līdzfinansējums 15% : 14 700,00 LVL (Carnikavas novada domes līdzfinansējums).
",98000,83300,0,18
10,"Valmieras novada dome","Alejas iela 8, Kocēni, Kocēnu pagasts, Valmieras novads, LV-4220",,"Dauguļu speciālās internātpamatskolas mācību vides un sociālo prasmju uzlabošana izglītojamiem ar speciālām vajadzībām","Vidzeme, ",07/12/2009,"Projekta mērķis ir uzlabot mācību vidi un pilnveidot sadzīves prasmes izglītojamiem ar speciālām vajadzībām, veicinot skolēnu integrēšanos sabiedrībā, veicinot skolēnu integrēšanos sabiedrībā.  Īstenojot projekta pieteikumā paredzētās aktivitātes, ir nodrošināta skolēnu ar funkcionāliem traucējumiem integrācija sabiedrībā, kā arī nodrošināta šo skolēnu sociālā atstumtības riska mazināšanās. Projektaīstenošanas gaitā Dauguļu speciālās internātpamatskolas skolēni ieguvuši labiekārtotu zāli, kā rezultātā turpmāk ir iespējams nodrošināt kvalitatīvu sporta nodarbību norises vietu un ērtu, estētisku vidi dažādu kultūras pasākumu realizācijai. Vitrīnu skapjos visu apskatei regulāri tiks izvietoti skolēnu darinājumi un pašu spēkiem izcīnītas balvas. Renovētas telpas ir aprīkotas ar apziņošanas sistēmu, atbilstoši ES ugunsdrošibas noteikumiem sabiedriski aktīvās telpās-skolā. Projekta iesniedzējs ir Valmieras novada dome; projekta norises vieta - Dauguļu speciālā internātpamatskola, adrese ""Dauguļu speciālā internātpamatskola"", Dauguļi, Dikļu pagasts, Valmieras novads, LV-4223. Projekta īstenošanas laiks līdz 2010.gada 30.decembrim. Kopējās projekta izmaksas 70 280 lati, no kurām ERAF finansējums sastāda 59 738 Ls, Valmieras novada domes līdzfinansējums 10 542 lati.",70280,59738,0,13
