"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ESF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
1,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586",,"Atomāro un nepārtrauktās vides tehnoloģisko fizikālo procesu modelēšana, matemātisko metožu pilnveide un kvalitatīvā izpēte","Rīga, ",21/10/2009,"Izveidot jaunu starpdisciplināru jauno zinātnieku pētniecisko grupu pētījumiem atomāro un nepārtrauktas vides tehnoloģisko fizikālo procesu matemātiskās modelēšanas virzienā, kurā ietilps Latvijas Universitātes Fizikas un Matemātikas fakultātes Fizikas un Matemātikas nodaļu jaunie zinātnieki, doktorandi un studenti, kopskaitā ne mazāk kā 30, veicinot to straujāku izaugsmi un pētījumu kvalitāti, apvienojot arī līdzšinējo atsevišķo pētnieku grupu jaunos pētniekus.
 
 Nodrošināt jaunās pētnieku grupas vadību, zinātnisko tematiku un zinātnisko skolu attīstību (pārmantojamību), konsolidējot Fizikas un Matemātikas nodaļu profesoru, pasniedzēju un pieredzējušu projektu vadītāju darbu, kā arī sadarbojoties ar vietējiem un ārvalstu uzņēmumiem, kas strādā augsto tehnoloģiju jomā.
 
 Veikt pētījumus, t.sk. izstrādāt disertācijas, maģistru un bakalaura darbus, kuru rezultāti – matemātiskie modeļi, to eksperimentālā verifikācija, algoritmi un programmatūŗa cels pētniecības un zinātņu ietilpīgu pakalpojumu eksporta spēju un konkurētspēju projektu piesaistē.
 
 Projektam noslēdzoties, izveidot ne mazāk kā 20 jaunu zinātnieku darba vietu, kas tiks finansētas no industriālu pētījumu projektu (t.sk. ārvalstu uzņēmumu pasūtītu) un Eiropas zinātnisko ietvarprogrammu konkursos iegūto projektu līdzekļiem.
 ",1402890,1192456,210434,36
2,"Daugavpils Universitāte","Vienības iela 13, Daugavpils, LV-5400",,"Bioirizācijas starpnozaru pētījumu grupa","Latgale, ",21/10/2009,"Projekta mērķis ir izveidot starpnozaru pētnieku grupu bioirizācijas procesu pētīšanai un to pielietošanai biosistemātikā un hologrāfijā.
 
 Projekts tiks realizēts kā starpnozaru pētījums bioloģijas nozares zooloģijas apakšnozarē un fizikas nozares materiālfizikas, optikas un lāzeru fizikas, un spektroskopijas apakšnozarēs. Projekta ietvaros tiks izveidota starpnozaru pētījuma zinātniskā grupa, kas pētīs vaboļu ķermeņa virsmas irizācijas procesus, izmantojot optiskās, lāzerskenējošās un elektronmikroskopijas metodes, ar mērķi tos tālāk pielietot biosistemātikā, kā arī hologrammu un atstarojošu materiālu izstrādē. Zinātniskajā grupā tiks iesaistīti 15 cilvēki (t.sk. Latvijas un ārvalstu jaunie zinātnieki, doktoranti, maģistranti). Pētījumu rezultāti tiks pielietoti biosistemātikā, kā arī hologrammu u.c. atstarojošu materiālu izstrādē. Tiks publicēts 21 raksts starptautiski citējamos žurnālos, nolasīti 16 ziņojumi starptautiskās konferencēs, aizstāvēti 5 promocijas un 4 maģistra darbi. 
 
 Projekta norises vieta:  Daugavpils Universitāte 
 
 Norises laiks: 01.09.2009. - 31.08.2012. ",690490,586916,103574,36
3,"Latvijas Organiskās sintēzes institūts","Aizkraukles iela 21, Rīga, LV-1006"," Latvijas Biomedicīnas pētījumu un studiju centrs, ","Jaunu farmakomodulatoru dizains un to nanoasociātu kā transporta formu pētījumi","Rīga, ",21/10/2009,"Tiks veidota jauna starpdisciplināra zinātniska grupa jaunu bioloģiski aktīvu savienojumu un to veidoto kompleksu kā zāļu transporta formu izmantošanas pētījumiem un rezultātu publicitātei. Projekts apvieno pieredzējušus, kvalificētus speciālistus: ķīmiķus, biologus, farmaceitus, fiziķus, matemātiķus un datorspeciālistus. Projekta realizācija dos būtisku ieguldījumu, radot jaunas darba vietas zinātnē, veidojot konkurētspējīgu jaunu pētījumu grupu savienojumu struktūras - aktivitātes sakarību pētījumiem, problēmas būtības izpratnē, attīstot zinātnes, jaunu tehnoloģiju un inovāciju izaugsmi. Starpdisciplinārā projekta realizācija radīs iespēju nākotnē Latvijā veidot un attīstīt jaunus kompleksus starpnozaru pētījumu virzienus, jaunas pētniecības grupas, radot un nodrošinot jaunas darba vietas arī pēc projekta realizācijas. Pētījums tiks realizēts Latvijas Organiskās sintēzes institūtā (OSI) - iesniedzējs, un Biomedicīnas pētījumu centrā (BMC) - sadarbības partneris. Laika periodā no 2009.gada līdz 2012.gadam.",1405600,1194760,210840,36
4,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586"," Daugavpils Universitāte,  LU Matemātikas un informātikas institūts ,  Valsts zinātniskais institūts – atvasināta publiska persona
 „Latvijas Biomedicīnas pētījumu un studiju centrs”
 , ","Agrīnas audzēju diagnostikas un novēršanas starpdisciplināra izpētes grupa","Latgale, Rīga, ",21/10/2009,"Projekta mērķis ir izveidot Latvijā starptautiski atpazīstamu multidisciplināru zinātnieku grupu pētnieciskajam darbam ļaundabīgu slimību un pirmsvēža stāvokļu izpētes jomā. Mērķa sasniegšanai tiks apvienoti valsts augstskolu (Latvijas Universitāte, Daugavpils Universitāte), valsts zinātniskas institūcijas (LU Biomedicīnas Pētījumu un studiju centrs) un augstskolas institūta (LU aģentūra „Matemātikas un informātikas institūts”) resursi, paredzēts piesaistīt arī vadošo medicīnas institūciju (komersantu) resursus gan Rīgā, gan arī Latgales reģionā.  Paredzēts, ka zinātnieku grupai, kuras sastāvā būs medicīnas, bioloģijas, matemātikas, informācijas tehnoloģiju speciālisti, tāpat arī sociologi un ekonomikas speciālisti jānodrošina ilgtspējīga zinātnisko aktivitāšu attīstība projekta pieteikuma jomā.  Projekta zinātniskās aktivitātes vērstas skrīninga programmu kompleksa izvērtējuma un optimizācijas iespēju izpētes, kā arī biomarķieru diagnostikas attīstības virzienā ļaundabīgo slimību un pirmsvēža stāvokļu savlaicīgai noteikšanai. Tiks pētīta arī ģenētisko faktoru lomu atsevišķu ļaundabīgu slimību gadījumā. Tiks izveidots biobankas modelis un atbilstošā programmatūra, kas nodrošinās gan pētījumu veikšanu, gan projekta rezultātu ilgtspēju arī pēc tā realizācijas beigām. Būtiski jauni pētījumu dati (t.sk. par skrīningu) tiks iegūti, veicot socioloģisko un ekonomisko izpēti un analīzi. Projekta realizācija paredzēta 36 mēnešu periodā, norises vietas – Rīga, Daugavpils, taču projektā tiks izmantota materiāls un informācija par pacientiem no visas Latvijas.
 ",1400300,1190255,210045,36
5,"Elektronikas un datorzinātņu institūts","Dzērbenes iela 14, Rīga, LV-1006",,"Viedo sensoru un tīklotu iegulto sistēmu pētījumu un attīstības centrs","Rīga, ",21/10/2009,"Projekta mērķis ir jauna zinātniskā centra izveide perspektīva starpdisciplināra viedo sensoru un tīklotu iegulto sistēmu virziena attīstībai. Grupā ir iesaistīti jaunie zinātnieki, maģistri, RTU un LU studējošie doktoranti un maģistranti – kopā 16 darbinieki. Zinātniskais vadītājs ir jaunais zinātnieks, kas atgriezies strādāt Latvijā no ASV. Projekta aktivitāšu ietvaros tiks:
 - izveidota grupas darba infrastruktūra, attīstīta sadarbība ar augstskolām, pētniecības centriem un komersantiem gan Latvijā, gan ārvalstīs; 
 - radītas papildus darba vietas, kas tiks saglabātas pēc projekta īstenošanas, iesaistoties starptautiskos un vietējos pētījumu un citos projektos;
 - veikti vispusīgi, starpdisciplināri pētījumi viedo sensoru un tīklotu iegulto sistēmu jomās, apvienojot atsevišķo projekta izpildītāju uzkrātās zināšanas un pieredzi datorzinātņu, informācijas tehnoloģiju un elektronikas un telekomunikācijas zinātnes nozarēs;
 - demonstrēta rezultātu pielietojamība tautsaimniecībā (medicīna, transports, energoefektivitāte u.c.) un dzīves kvalitātes uzlabošanā (atbalsts cilvēkiem ar īpašām vajadzībām, vides aizsardzība u.c.).
 ",844000,717400,126600,36
6,"Latvijas Organiskās sintēzes institūts","Aizkraukles iela 21, Rīga, LV-1006",,"Cinku saturošo enzīmu inhibitoru izveide un pretvēža aktivitātes pētījumi","Rīga, ",21/10/2009,"""Projekta mērķis ir radīt jaunu starpdisciplināru zinātnisko grupu un izstrādāt inovatīvu pieeju jaunu, patentspējīgu pretvēža līdzekļu izstrādei, par farmakoloģisko mērķi izmantojot cinku saturošus enzīmus (CSE).  Pētījuma virziens ir CSE inhibitoru izstrāde, kas atzīta par vienu no perspektīvākajiem virzieniem jaunu pretvēža ķimioterapijas līdzekļu radīšanā. Lai samazinātu jaunu zāļu radīšanas izmaksas un nodrošinātu taupīgāku dabas resursu izmantošanu, inovatīvās pieejas ietvaros plānots izstrādāt videi draudzīgas CSE inhibitoru sintēzes un bioloģiskās aktivitātes noteikšanas alternatīvas metodes. Inovatīvās pieejas pamatā ir dažādu zinātnes nozaru (matemātiskās modelēšanas (27.7), fizikālo metožu un instrumentu (13.6), farmaceitiskās farmakoloģijas (11.4) un organiskās ķīmijas (20.2)) metodoloģiju un atziņu kompleksa pielietošana. Mērķa sasniegšanai paredzētas sekojošas aktivitātes: • jaunas zinātniskās grupas izveide, nodrošinot darba vietas 30 darbiniekiem, no kuriem 17 pilna laika ekvivalenti (PLE) ir papildus piesaistīti zinātnei; • enzīmu-liganda mijiedarbības matemātiskā un fizikālķīmiskā modelēšana; • potenciālo CSE inhibitoru sintēze; • videi draudzīgu sintēzes metožu izstrāde; • bioloģiskās aktivitātes pārbaude. Aktivitāšu izpilde ļaus sasniegt sekojošus rezultātus: • medicīnas ķīmijas pētījumu grupas izveide; • 17 publikāciju manuskripti, 1 patents; • divas datu bāzes. Plānotais projekta ieviešanas periods ir no 2009. līdz 2012. gadam. Projekta ieviešanas vieta – Rīga. Projekta iesniedzējs – Latvijas Organiskās sintēzes institūts.  Sadarbības partneris projektā nav paredzēts. ""
 ",1392159,1183335,208824,36
7,"Fizikālās enerģētikas institūts","Aizkraukles iela 21, Rīga, LV-1006"," Rīgas Tehniskā universitāte, ","Eiropas energotehnoloģiju stratēģiskā plāna Latvijas aktivitāšu atbalsta zinātniskā grupa","Rīga, ",21/10/2009,"""Projekta uzdevums veicināt papildu cilvēkresursu piesaisti zinātnei, veicot šādas darbības: – starpdisciplināras zinātniskās grupas izveidošana, piesaistot jaunos zinātniekus, maģistrantus, doktorantus un ārvalstu zinātniekus starpdisciplinārā zinātniskās pētniecības projekta prioritāro Eiropas zinātnisko virzienu pētniecības aktivitātēs; – veikt starpdisciplinārus pētījumus, iekļaujot enerģētikas, ķīmijas un ķīmijas inženierzinātnes pētījumu virzienus; – īstenot kompleksu pētījumu kopumu inteliģento Eiropas elektrotīklu izveides un pilnvērtīgākas biodegvielu izejvielu izmantošanas veicināšanai; – ar starpdisciplināru pētījumu aktivitātēm veicināt energoefektivitātes celšanu, enerģijas zudumu un siltumnīcefekta gāzu emisijas samazināšanu. ""
 ",1403513,1192986,210527,36
8,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586"," Latvijas Organiskās sintēzes institūts,  Daugavpils Universitāte, ","Neiroimūnās regulācijas iespējas neirodeģeneratīvo slimību ārstēšanā ar jauna tipa priviliģētām struktūrām","Latgale, Rīga, ",21/10/2009,"Projekts paredz izveidot jaunu zinātnisko grupu, rekrutējot četru zinātņu nozaru - medicīnas, farmācijas, bioloģijas un ķīmijas - speciālistus no Latvijas Universitātes (projekta iesniedzējs), Daugavpils Universitātes un Latvijas Organiskās sintēzes institūta. Grupu veidos 22 zinātniskie darbinieki: jaunie zinātnieki, doktoranti, maģistri, maģistranti, ārvalstu zinātnieks, profesori, LZA akadēmiķi. Projekta (36 mēneši) zinātniskais mērķis ir neirodeģeneratīvo slimību (Alcheimera, Parkinsona, u.c.) jaunas farmakoterapijas stratēģijas radīšana, kas vērsta uz neiroiekaisuma un smadzeņu neiroimunās sistēmas procesu regulāciju. Projekta aktivitātes paredz jauna tipa priviliģētu struktūru (kofermenta NAD(P)H analogu) sintēzi, farmakoloģiskus un imūnhistoķīmiskus pētījumus. Pētījuma datus atspoguļos zinātniskās publikācijās un ziņojumos, par projekta gaitu informēs sabiedrību. Iespējamā farmācijas industrijas iesaistīšana jauna tipa antineirodeģeneratīvu preparātu ražošanā, cilvēku dzīves kvalitātes uzlabošana ir šī projekta rezultātu paredzamais ieguldījums Latvijas tautsaimniecībā, medicīnā un farmācijā. ",1302000,1106700,195300,36
9,"Latvijas Valsts augļkopības institūts
 ","Graudu iela 1, Dobele, Dobeles rajons, LV-3701"," Latvijas Valsts Mežzinātnes institūts „Silava”,  Rīgas Tehniskā universitāte, ","""Zinātniskās kapacitātes stiprināšana augļkopības, mežu un informācijas tehnoloģijas nozarēs, nodrošinot videi draudzīgu audzēšanas risinājumu, produktu izstrādes un ieviešanas izpēti ar datortehnoloģiju atbalstu""","Rīga, Rīgas reģions, Zemgale, ",21/10/2009,"""Projekta mērķis ir zinātniskās kapacitātes stiprināšana augļkopības, mežu un informācijas tehnoloģijas nozarēs, lai nodrošinātu ilgtspējīgu, videi draudzīgu audzēšanas risinājumu, produktu izstrādes un ieviešanas izpēti ar datortehnoloģiju atbalstu. Projekts tiks īstenots 36 mēnešu laikā LR Dobelē, Salaspilī un Rīgā, sadarbojoties LV Augļkopības institūtam (projekta iesniedzējs) ar LV Mežzinātnes institūtu “Silava” un Rīgas Tehnisko universitāti (sadarbības partneri). Projektā paredzēts veikt starpdisciplināru zinātnisku pētījumu, kurš aptver dārzkopības, mežzinātnes, pārtikas un informācijas tehnoloģijas nozares. Paredzētās aktivitātes: 1) projekta vadība; 2) jaunas starpdisciplināras zinātniskās grupas izveide; 3) zinātniskā pētījuma īstenošana 4 virzienos - augu patogēnu populāciju ģenētikas un augu rezistences mehānismu izpēte, šķirņu izvērtēšana un jaunu produktu izstrāde, bioloģisko resursu pētnieciskās informācijas sistēmas izveide; 4) sadarbības veicināšana ar pētniecības institūtiem, augstskolām un komersantiem; 5) publicitātes pasākumu īstenošana; 6) jaunu darba vietu izveide projektā iesaistītajās institūcijās. Projekta īstenošanas rezultātā papildus zinātnei uz vienlīdzīgiem pamatiem tiks piesaistīti un sagatavoti augsti kvalificēti zinātniskie darbinieki un izveidotas jaunas darba vietas, veikts nozarēm svarīgs zinātnisks pētījums un veicināta izglītības, pētniecības iestāžu un komersantu sadarbība.""
 ",1268100,1077884,190216,36
10,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586",,"Datorzinātnes pielietojumi un tās saiknes ar kvantu fiziku","Rīga, ",21/10/2009,"""LU Fizikas un Matemātikas Fakultātē tiks izveidota jauna, starpdisciplināra zinātniska grupa datorzinātnēs un fizikā. Grupā tiks iesaistīti 4 zinātnieki, kas atgriezušies Latvijā no ārzemēm un vismaz 7 jaunie zinātnieki, 8 doktoranti un 3 maģistranti. Grupu vadīs zinātnieki, kas atgriezušies Latvijā no ārzemēm un jaunie zinātnieki, kas ieguvuši doktora grādu pēdējo 10 gadu laikā. Grupas pētījumā tiks risināts plašs datorzinātņu problēmu loks: no ļoti praktiskiem pētījumiem, kas būs lietderīgi Latvijas IT industrijai līdz pētījumiem, kas orientēti uz nozares attīstību tālākā nākotnē.  Īpašs uzsvars tiks likts uz pētījumiem kvantu skaitļošanā un kvantu fizikā, apvienojot labākos Latvijas jaunās paaudzes zinātniekus no datorzinātnēm un teorētiskās fizikas. Tas ļaus izmantot datorzinātņu metodes fizikas problēmu risināšanai un fizikas metodes datorzinātnēs, risinot pasaules mērogā svarīgas zinātniskas problēmas.  Projekta norises laiks – no 2009. g. septembra līdz 2012.g. augustam. 
 ",1242000,1055700,186300,36
