"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas","ESF finansējums","Valsts budžeta finansējums","Projekta īstenošanas laiks mēnešos"
1,"Rēzeknes Augstskola","Atbrīvošanas aleja 90, Rēzekne, LV-4601","SIA ""SIA Latgales Lauksaimniecības zinātnes centrs""","Atbalsts maģistra studiju programmu īstenošanai Rēzeknes Augstskolā","Rēzekne","08.05.2009. ","
Projekta „Atbalsts maģistra studiju programmu īstenošanai Rēzeknes Augstskolā” mērķis ir piešķirt mērķstipendijas Rēzeknes Augstskolas maģistra studiju programmu „Vides aizsardzība” un „Datorsistēmas” maģistrantiem, tādā veidā palielinot to speciālistu skaitu, kas ieguvuši augstāko kvalifikāciju (maģistra grādu) un spējīgi plānot, radīt un ieviest augstas tehnoloģijas produktus, kā arī produktus un pakalpojumus ar augstu pievienoto vērtību, veicinot tautsaimniecības attīstību uz inovāciju pamata vienā no Latvijas ekonomiski vājākajiem reģioniem – Latgalē.
Projekta ietvaros tiek plānots piešķirt 50 mērķstipendijas maģistrantiem, kuras tiks asignētas atbilstoši nolikumam „Par mērķstipendiju piešķiršanu maģistrantiem Rēzeknes Augstskolā”. Mērķstipendijas veicinās maģistra studiju procesa norisi un nepieciešamo rezultātu sasniegšanu, aizstāvot maģistra darbu un iegūstot profesionālā maģistra grādu attiecīgajā nozarē.
Projekta pieteicēj ir Rēzeknes Augstskola, projekta sadarbības partneris SIA Latgales Lauksaimniecības zinātnes centrs.
Projektu plānots realizēt Rēzeknes rajonā laikā no 2009. gada septembra līdz 2013.gada janvārim un tā kopējās izmaksas ir 157 140 Ls. Projekta 85% līdzfinansējums no Eiropas sociālā fonda, 15% Latvijas valsts finansējums.
","157,140.00","133,567.00","23,573.00",46
2,"Daugavpils Universitāte","Vienības iela 13, Daugavpils, LV-5401","Latvijas Universitāte","Atbalsts Daugavpils Universitātes maģistra studiju īstenošanai","Daugavpils","15.05.2009.","Projekta mērķis ir palielināt augsti kvalificētu - Daugavpils Universitātē maģistra grādu ieguvušo speciālistu skaitu, īpaši dabaszinātņu, matemātikas, informācijas tehnoloģiju, vides zinātņu un mākslas nozarēs, kas spējīgi plānot, radīt un ieviest ražošanā augstas tehnoloģijas produktus, produktus un pakalpojumus ar augstu pievienoto vērtību, tādējādi veicinot tautsaimniecības, radošo industriju un izglītības attīstību uz inovāciju pamata.
Galvenās aktivitātes: mērķstipendiātu atlase un mēķstipendiju izmaksas nodrošināšana.
Sagaidāmie rezultāti:
Izmaksātas 52 gada mērķstipendijas; vismaz 80 % Eiropas Sociālā fonda atbalstu saņēmušo maģistrantu līdz 2015. gada 31. augustam ir ieguvuši maģistra zinātnisko grādu; Eiropas Sociālā fonda atbalstu studijām maģistrantūrā pirms iestāšanās doktorantūrā būs saņēmuši vismaz 50 procentu doktoru no kopējā Daugavpils Universitātē prioritārajos virzienos studējošo doktorantūras studentu skaita.
Sadarbības partneri: Latvijas Universitāte, 
Īstenošanas laiks: 2009. gada 1. septembris - 2013. gada 31. augusts. 
Projekta finansējums: 
Kopējais finansējums                                              LVL   170 100, no kura:  
    Eiropas Sociālā fonda finansējums                      LVL   144 585
    Valsts budžeta finansējums                                 LVL    25 515
","170,100.00","144,585.00","25,515.00",48
3,"Latvijas Mākslas akadēmija","Kalpaka bulv.13, Rīga, LV-1867","Jāzepa Vītola Latvijas Mūzikas akadēmija;Latvijas Kultūras akadēmija","Atbalsts Latvijas Mākslas akadēmijas maģistra studiju programmu īstenošanai","Rīga","08.05.2009. ","Projekts „Atbalsts Latvijas Mākslas akadēmijas maģistra studiju programmu īstenošanai” ir paredzēts Latvijas Mākslas akadēmijas Maģistratūrā studējošo atbalstam.
Tā mērķis ir sekmēt studiju norisi un palielināt augsti kvalificētu maģistra grāda ieguvušo speciālistu skaitu. 
Projekta tiešās mērķa grupas Latvijas Mākslas akadēmijas maģistra programmā studējošie un maģistra grāda pretendenti.
Projekta aktivitāte:
1.Maģistrantu finansiālā atbalsta pasākumi 
Projekta sagaidāmie rezultāti – 74 LMA maģistra programmā studējošie saņems ESF mērķstipendijas un 60  no mērķstipendijas saņēmušajiem iegūs maģistra grādu.
Projekta īstenos Latvijas Mākslas akadēmija un tās sadarbības partneri - Jāzepa Vītola Latvijas Mūzikas akadēmija, Latvijas Kultūras akadēmija.
Projekts tiks realizēts no 2009. līdz 2015 gadam Latvijas Mākslas Akadēmijā.
Projekta plānotais finansējums ir 285 120 lati, no kuriem ESF  finansējums – 242 352lati un valsts budžeta līdzfinansējums – 42 768  lati.
","285,120.00","242,352.00","42,768.00",72
4,"Liepājas Universitāte","Lielā iela 14, Liepāja, LV-3401","Rīgas Tehniskās universitātes Tālmācības studiju centrs","Maģistra studiju attīstība Liepājas Universitātē","Liepāja","15.05.2009.","Projekta tiešais mērķis ir attīstīt maģistra studiju programmu pievadājumu un palielināt maģistra grāda ieguvušo speciālistu skaitu informācijas tehnoloģiju jomā.
Projekta aktivitātes: sagatavošanās mērķstipendijas piešķiršanai, mērķstipendijas piešķiršanas konkursa norise, mērķstipendijas piešķiršana, sadarbības īstenošana, publicitātes pasākumi un projekta vadība. 
Projekta rezultāti: palielināsies maģistrantūrā studējošo skaits un maģistra grādu ieguvušo skaits informācijas tehnoloģiju jomā, palielināsies izstrādāto maģistra darbu kvalitāte un to rezultātu izmantošana.
Projekta iesniedzējs – Liepājas Universitāte, sadarbības partneris Rīgas Tehniskās universitātes Tālmācības studiju centrs.
Norises vieta – Liepājas Universitāte, Lielā iela 14, Liepāja. 
Projekta ieviešanas laiks: 2009.gada 1.jūnijs - 2012.gada 31.jūlijs (38 mēneši). 
Projekta budžets: LVL 73 069, t.sk. LVL 62 108 ESF finansējums un LVL 10 961 valsts līdzfinansējums.
","73,069.00","62,108.00","10,961.00",38
5,"Transporta un sakaru institūts","Lomonosova iela 1, Rīga, LV-1019","Biedrība ""Fraunhofer Institute for Factory Operation and Automation"";VPI ""Viļņas Gedeminas Tehniskā universitāte""","Atbalsts TSI maģistra studiju programmas „Dabaszinātņu maģistrs datorzinātnēs” īstenošanai","Rīga, Daugavpils","03.04.2009.","Projekta mērķis ir: paaugstināt nacionālās ekonomikas konkurētspēju, palielinot Transporta un sakaru institūta augsti kvalificētu – dabaszinātņu maģistra grādu datorzinātnēs ieguvušo - speciālistu skaitu, kā arī palielināt maģistrantu starptautiskās mobilitātes ierobežotas iespējas pētniecības darba veikšanai.
Projekta galvenā aktivitāte ir ESF mērķstipendiju nodrošināšana Transporta un sakaru institūta maģistrantiem maģistra studiju programmas „Dabaszinātņu maģistrs datorzinātnēs” apguvei un maģistra grāda ieguvei.  
Sagaidāmie projekta rezultāti – ESF atbalstu ir saņēmis 51 maģistrants, ir izmaksātas 510 mērķstipendijas, 98% ESF atbalstu saņēmušo maģistrantu līdz 2015.gada 31.augustam ir ieguvuši maģistra grādu.
Projekta iesniedzējs ir Transporta un sakaru institūts, projekta sadarbības partneri: Fraunhofer Institute for Factory Operation and Automation, Magdeburga, Vācija, Viļņas Gedeminas Tehniskā universitāte, Lietuva.
Projekta norises vieta un laiks: Rīga, 01.11.2009. – 31.10.2012.
Plānotais projekta finansējums: 140 454 Ls (ESF daļa) un 24 786 Ls (valsts budžeta līdzfinansējuma daļa).
","165,240.00","140,454.00","24,786.00",36
6,"Rīgas Stradiņa universitāte","Dzirciema iela 16, Rīga, LV-1007","Latvijas Universitāte;Latvijas Lauksaimniecības universitāte;Rīgas Austrumu klīniskā universitātes slimnīca;Rīgas Stradiņa universitātes Stomatoloģijas institūts","Atbalsts dabaszinātnēs un  veselības aprūpē studējošiem maģistrantiem Rīgas Stradiņa universitātē","Rīga","03.04.2009.","Projekta „Atbalsts dabaszinātnēs un  veselības aprūpē studējošiem maģistrantiem Rīgas Stradiņa universitātē” mērķis ir sekmēt dabaszinātņu un veselības aprūpes jomu attīstību Latvijā, veicinot uz zinātnisko pētniecību orientētu speciālistu apmācību, un sagatavot augsti kvalificētus speciālistus šajās jomās. Projekts nodrošinās studentu piesaistīšanu augstākā līmeņa studijām dabaszinātnēs un veselības aprūpē, kas savukārt veicinās jaunas zinātnieku paaudzes veidošanos. Šī projekta ietvaros tiks izmaksātas stipendijas maģistrantiem, kuri studē dabaszinātnes izglītības tematiskajā grupā un veselības aprūpes izglītības tematiskajā jomā.  Lai nodrošinātu vispusīgu, pilnīgu un kvalitatīvu pētniecības un klīnisko darbu izpildi, projekta ietvaros tiks organizēta sadarbība ar Latvijas augstskolām un ārstniecības iestādēm.
Projekta laikā paredzēts atbalstīt 96 maģistrantus. Rezultātā paredzēts, ka maģistra studiju programmu pabeigs un maģistra grādu iegūs 80 maģistranti. Projekts Rīgas Stradiņa  universitātē tiks uzsākts 2009. gada augustā un tiks īstenots līdz 2013. gada jūnijam.  Projekta finansējumu sastāda- Eiropas Sociālā fonda finansējums - 323 509  lati un valsts budžeta līdzfinansējuma daļa – 57 091 lati.  
","380,600.00","323,509.00","57,091.00",47
7,"J.Vītola Latvijas Mūzikas akadēmija","Kr.Barona iela 1, Rīga, LV-1050","Latvijas Kultūras akadēmija;Latvijas Mākslas akadēmija","Atbalsts Jāzepa Vītola Latvijas Mūzikas akadēmijas maģistra studiju programmām radošo industriju jomā","Rīga","08.05.2009.","Jāzepa Vītola Latvijas Mūzikas akadēmija (turpmāk – JVLMA) sadarbībā ar Latvijas Mākslas akadēmiju un Latvijas Kultūras akadēmiju ir izstrādājusi un īstenos projektu „Atbalsts Jāzepa Vītola Latvijas Mūzikas akadēmijas maģistratūras studiju programmām radošo industriju jomā”. Projekta ietvaros ir plānots nodrošināt mērķstipendijas 60 Jāzepa Vītola Mūzikas akadēmijā studējošo maģistrantu radošo industriju nozarēs 3 akadēmisko gadu periodā. Plānots, ka vismaz 80 % no tiem maģistra grādu būs saņēmuši līdz projekta noslēgumam - 2012. gadam.
JVLMA projekta vispārējais mērķis ir veicināt mūzikas nozares izglītības kvalitātes un efektivitātes uzlabošanos visos līmeņos, īpaši attīstot radošo industriju attīstību, tādējādi sekmējot Latvijas tautsaimniecības attīstību kopumā. Projekta aktivitātes (projekta vadība, publicitāte un mērķstipendiju piešķiršana maģistrantiem) ir tieši vērstas uz sekojošu mērķu sasniegšanu: profesionālu un spējīgu maģistrantu piesaiste radošo industriju studijām, veicināt JVLMA maģistra grāda ieguvušo skaita pieaugumu un nodrošināt augsta līmeņa speciālistu sagatavotību doktorantūras studijām.
Projekta budžets – 269904 LVL, no tiem 85% ESF finansējums 229417 LVL apmērā un valsts budžeta finansējums 15% - 40487 LVL apmērā.
","269,904.00","229,417.00","40,487.00",37
8,"Vidzemes Augstskola","Cēsu iela 4, Valmiera, LV-4201","Vidzemes augstskolas Sociotehnisko sistēmu inženierijas institūts","Atbalsts maģistra studiju programmas ""Sociotehnisku sistēmu modelēšana"" īstensšanai Vidzemes  Augstskolā","Valmiera","15.05.2009. ","Latvijā aizvien pieaug pieprasījums pēc kvalificētiem komunikācijas un informācijas tehnoloģiju un elektronikas speciālistiem, kuri spēj plānot un radīt, kā arī ieviest ražošanā produktus un pakalpojumus ar augstu pievienoto vērtību. Līdz ar to augstākās izglītības iestādes Latvijā attīsta tādus studiju virzienus un programmas, kas sekmē augsti kvalificētu speciālistu sagatavošanu. Projekta „Atbalsts maģistra studiju programmas „Sociotehnisku sistēmu inženierija” īstenošanai Vidzemes Augstskolā” tiešais mērķis ir sniegt iespēju saņemt mērķstipendiju studijām maģistrantūrā un maģistra grāda ieguvei Vidzemes Augstskolas pilna laika profesionālā maģistra studiju programmas „Sociotehnisku sistēmu modelēšana” studentiem. Stipendiju izmaksa notiks astoņu akadēmisko semestru garumā, sākot no 2009.gada rudens. Projekts tiks finansēts, piesaistot 85% Eiropas Sociālā fonda un 15% valsts budžeta līdzekļu. Projekta rezultātā Latvijā pieaugs augsti kvalificētu inženierzinātnēs izglītotu speciālistu ar starpdisciplinārām zināšanām un prasmēm, kas sekmēs produktu un pakalpojumu ar augstu pievienoto vērtību radīšanu un attīstīšanu.","69,600.00","59,160.00","10,440.00",48
9,"Rīgas Tehniskā universitāte","Kaļķu iela 1, Rīga, LV-1658","Latvijas Universitāte","Atbalsts RTU maģistra studiju programmu īstenošanai","Rīga","08.05.2009.","Projekta vispārējais mērķis ir palielināt valstiski svarīgākajās jomās augsti kvalificētu speciālistu skaitu, kuri būtu spējīgi ieviest jaunākās tehnoloģijas ražošanā, attīstīt Latvijas tautsaimniecību, realizējot inovācijas, un risināt valstiski svarīgus industrijas uzlabošanas pasākumus. Šis projekts dod ieguldījumu vispārējā mērķa sasniegšanā, sniedzot papildus finansējumu (mērķstipendijas) maģistrantūrā studējošajiem, kas veicinātu inženierzinātņu, ražošanas un būvniecības, dabaszinātņu, matemātikas un informācijas tehnoloģiju, kā arī vides zinātņu un transporta pakalpojumu jomās maģistrantūrā studējošo un absolvējušo skaita palielināšanos. Projekta tiešā mērķa grupa ir šī projekta prioritārajās izglītības tematiskajās jomās un grupās RTU maģistrantūrā studējošie 33 maģistra akadēmiskajās un profesionālajās studiju programmās. Projektā paredzēta mērķstipendiju konkursa norise un stipendiju piešķiršana, kā rezultātā plānotais maģistra grādu ieguvušo skaits ir 520 absolventi. Projekta kopējās izmaksas ir 2 515 800 LVL, kuras veido ESF līdzfinansējums 85% un valsts budžeta līdzfinansējums 15% un to plānots ieviest 75 mēnešus no 2009.- 2015. gadam Rīgas Tehniskajā universitātē. Projekta ietvaros paredzēta sadarbība ar Latvijas Universitāti.","2,515,800.00","2,138,430.00","377,370.00",74
10,"Latvijas Lauksaimniecības universitāte","Lielā iela 2, Jelgava, LV-3001","Latvijas Universitāte;Rīgas Stradiņa Universitāte;VSIA Latvijas Augu aizsardzības pētniecības centrs;APP Valsts Stendes graudaugu selekcijas institūts;SIA Pūres Dārzkopības pētījumu centrs.","Atbalsts LLU maģistra studiju īstenošanai","Kurzeme,Rīga, Zemgale","03.04.2009.","Projekta ietvaros Latvijas Lauksaimniecības universitātē (LLU) paredzēts izveidot sistēmu mērķstipendiju piešķiršanai un apsaimniekošanai LLU maģistrantiem prioritārajos izglītības virzienos, veicinot kvalificētu speciālistu sagatavošanu. Konkursa kārtībā atbalsts (mērķstipendijas veidā) maģistra studiju apguvē tiks nodrošināts kopumā 76 pilna laika maģistrantiem. Projekta ietvaros paredzēts aizstāvēt 61 maģistra darbu un iegūt maģistra grādu.
Kopējais projekta finansējumu veido 403 380 LVL, t.sk. 60 507 LVL valsts budžeta finansējums un 342 873 LVL Eiropas Sociālā fonda līdzfinansējums. Projektu paredzēts īstenot laika periodā no 2009.gada līdz 2013.gadam.
Projekta ietvaros paredzētas sekojošas aktivitātes - Konkursa organizēšana potenciālajiem mērķstipendiju saņēmējiem, Mērķstipendiju apsaimniekošanas līgumu īstenošana, Publicitātes pasākumi un Projekta administrēšana.
Projekta īstenošanā tiks piesaistīti sadarbības partneri – Rīgas Stradiņa Universitāte, Latvijas Universitāte, Latvijas Augu aizsardzības pētniecības centrs, Valsts Stendes Graudu selekcijas institūts un Pūres Dārzkopības pētījumu centrs.
","403,380.00","342,873.00","60,507.00",50
