"Nr.p.k.","Finansējuma saņēmējs",,"Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Rihards 2","SIA","Audupes iela 15/17, Rīga, LV-1030","SIA ""Rihards 2"" darbinieku kvalifikācijas celšana","Baloži ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu tehnoloģiju ienākšana tirgū, esošā konkurence uzņēmumu vidū SIA „Rihards 2” rada nepieciešamību uzlabot esošo darbinieku zināšanas. 20 darbinieku projekta ietvaros paredzēts apmācīt programmā „Darba drošība” (60 akadēmiskās stundas). Apmācības plānots veikt grupās pa 3-4 darbiniekiem katrā (pavisam 6 grupas). 3 darbiniekus projekta ietvaros paredzēts apmācīt programmā „Kvalitātes sistēmas ieviešana uzņēmumā” (60 akad.st.). 3 darbiniekus paredzēts apmācīt programmā „Darba tiesiskās attiecības” (30 akad.st.). 3 darbiniekus paredzēts apmācīt programmā „Lietvedības pamatprincipi” (30 akad.st.). 3 darbiniekus paredzēts apmācīt programmā „Darbs ar informācijas un komunikāciju tehnoloģijām” (60 akad.st.). Pasniedzēju izvēle visās programmās ir veikta pamatojoties uz apmācību sniedzēju piedāvājumiem un citu komersantu atsauksmēm.","39,600.00","29,680.20",0,3,"www.rihards2.lv/torni.php"
2,"Adam auto","SIA","Krasta iela 66, Rīga, LV-1019","SIA Adam auto darbinieku kvalifikācijas celšana","Liepāja ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projektā plānots apmācīt 111 darbiniekus šādās programmās:
1.Darbs ar klientu- efektīva pārdošana;
2.MS Office;
3.Laika un stresa vadīšana;
4.AutoMaster iemaņu uzlabošana.","42,163.55","27,406.30",0,5,"www.adamauto.lv"
3,"ISP Optics Latvia","SIA","Ganību dambis 24a, k.13, Rīga, LV-1005","SIA ""ISP Optics Latvia"" darbinieku apmācība aptikā un datorzinātnēs. 2. kārta","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „ISP Optics Latvia” ir uzņēmums, kas darbojas jau no 1991. gada. Uzņēmums visu savu saražoto produkciju realizē ārpus Latvijas. Uzņēmumus ir izvēlējies darbinieku darba efektivitātes celšanu, kā vienu no savas attīstības veicinātājiem. Darbinieku efektivitāte tiks celta padziļinot darbinieku zināšanas par procesu.
 Projekta ietvaros paredzēts apmācīt 37 darbiniekus šādās programmās: 
1.Optisko materiālu apstrādes tehnoloģiskie pamati;
2.Darbagaldi ar ciparu – programmējamo vadību;
3.Noslīpinājuma ielikšana uz detaļām;
4.Mikrolēcu roku pulēšanas tehniskā procesu apguve no optiskajiem kristāliem;
5.Lielgabarīta detaļu izgatavošanas tehniskā procesa apguve;
6.MS Excel apmācību kurss.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","15,302.13","11,475.07",0,8,
4,"ISP Optics Latvia","SIA","Ganību dambis 24a, k.13, Rīga, LV-1005","SIA ""ISP Optics Latvia"" darbinieku apmācība optikā un datorzinātnēs. 1. kārta","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „ISP Optics Latvia” ir uzņēmums, kas darbojas jau no 1991. gada. Uzņēmums visu savu saražoto produkciju realizē ārpus Latvijas. Uzņēmumus ir izvēlējies darbinieku darba efektivitātes celšanu, kā vienu no savas attīstības veicinātājiem. Darbinieku efektivitāte tiks celta padziļinot darbinieku zināšanas par procesu.
 Projekta ietvaros paredzēts apmācīt 37 darbiniekus šādās programmās:
1.Optisko detaļu parametru kontrole;
2.Optisko materiālu apstrādes tehnoloģiskie pamati;
3.Sagatavošanas operāciju tehnoloģijas pamati;
4.Lēcu izgatavošana;
5.ZnSe pulēšana ar virsmas tīrību;
6.Lēcu izgatavošanas tehniskā procesa apguve no stikla;
7.Plakano detaļu ar paaugstināto plakanumu pulēšana;
8.Dimantu slīpēšanas tehnoloģijas apguve asfērisko virsmu izgatavošanai
9.MS Excel apmācību kurss.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","39,648.32","29,732.28",0,14,
5,"Meļņi-3","SIA","Jaunatnes iela 13, Varakļāni, Madonas rajons, LV-4838","SIA ""Meļņi - 3"" darbinieku kvalifikācijas paaugstināšana un jaunu zināšanu, prasmju apgūšana","Varakļāni ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķi ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju, iemaņu apguve. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 5. Projektā paredzētās aktivitātes ir: Autoservisa vadības sistēma; Automobiļu remonta sistēmu testēšana, automobiļu remonts; Projektu vadība; Grāmatvedība; Uzņēmuma un pakalpojumu drošība.","12,035.00","9,628.00",0,4,
6,"Ventamonjaks serviss","SIA","Dzintaru iela 66, Ventspils, LV-3602","SIA ""Ventamonjaks serviss"" darbinieku apmācība jaunas informācijas tehnoloģiju stratēģijas ieviešanai","Ventspils ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Mācību mērķis ir darbinieku apmācība, lai SIA ""Ventamonjaks serviss"" varētu nodrošināt savām un citu saistīto uzņēmumu vajadzībām augstas kvalitātes IT pakalpojumus, ieviešot jaunu IT attīstības statēģiju. Tas ļautu visiem saistītajiem uzņēmumiem (SIA ""VK-Tranzīts"", SIA ""VK-Ekspedīcija"" un SIA ""Ventall termināls"", SIA ""Bio-Venta"") celt to darbības kvalitāti, drošību un efektivitāti. Projektā plānots apmācīt 5 darbiniekus. Apmācību sniedzējs ir SIA ""Baltijas datoru Akadēmija"". Kopumā plānoti 12 mācību kursi (384 akadēmiskās stundas). ","11,781.87","7,069.12",0,20,"www.ventamonjaks.lv"
7,"Ltd KAROGI","SIA","Zemitānu 2b, Rīga, LV-1012","SIA ""Ltd KAROGI"" darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Esošā konkurence uzņēmuma vidū SIA ""Ltd Karogi"" rada nepieciešamību uzlabot esošo darbinieku zināšanas gan par mākslu pārdot klientam konkrētu pakalpojumu, gan par darba organizāciju IT. Projekta mērķis ir darbinieku kvalifikācijas celšana. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 4. Projektā paredzēto aktivitāšu nosaukumi ir MS Excel programmas izmantošana pārdošanas plānošanā un analīzē; Finanšu analīze, nodokļu optimizācija un metodes; Pārdošanas māksla.","7,540.00","5,599.96",0,3,"www.ltdkarogi.lv"
8,"Bezdelīgas-1","SIA","Daugavas iela 72, Pļaviņas, Aizkraukles rajons, LV-5120","SIA ""Bezdelīgas - 1"" strādājošo apmācība uzņēmuma konkurētspējas palielināšanai","Pļaviņas ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Konkurence tirdzniecības un sabiedriskās ēdināšanas uzņēmumu vidū šobrīd ir ļoti sīva, paaugstinājušās klientu prasības ne tikai pret produkcijas, bet arī pret apkalpošanas kvalitāti. Lai nodrošinātu uzņēmuma konkurētspēju nepietiek tikai ar modernu tehnoloģiju pielietošanu ražošanā. Aktuāls kļuvis jautājums par pietiekoši kvaloficētu, izglītotu un lojālu darbinieku piesaisti un noturēšanu, gan SIA „Bezdelīgas – 1” pamatdarbības sfērā – sabiedriskajā ēdināšanā un tirdzniecībā, gan organizatoriskā darba nodrošināšanā. Lai paaugstinātu darbinieku kvalifikāciju, kā arī veidotu kolektīvu kā motivētu un lojālu komandu, projekta ietvaros plānots apmācīt 67 darbiniekus.
Apmācības ietver: 1.pavāru, konditoru, bārmeņu/viesmīļu, pārdevēju kvalifikācijas paaugstināšanu, lai nodrošinātu teorētisko un praktisko zināšanu kompleksu pielietojumu ikdienas darbā; 2. kursus par uzņēmuma darbības organizācijas un produkcijas kvalitātes uzlabošanu.
Kopējais mācību stundu skaits ir 1935 akadēmiskās h. Lai izvēlētos apmācību sniedzēju, tiks organizēts publiskais iepirkums, atbilstoši LR normatīvo aktu prasībām.","130,577.53","102,301.72",0,14,
9,"PVC MĀRUPE","SIA","""Zirnīši"", Mārupes pagasts, Rīgas rajons, LV-2167","SIA ""PVC MĀRUPE"" darbinieku kvalifikācijas celšana","Mārupes pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu tehnoloģiju ienākšana tirgū, esošā konkurence uzņēmumu vidū SIA „PVC Mārupe” rada nepieciešamību uzlabot esošo darbinieku zināšanas. drošību metāla izstrādājumu ražošanas etapos, gan administrācijas darbiniekiem par nodokļu optimizācijas metodēm un finanšu rādītāju analīzi izvērtējot ieguvumus vai zaudējumus, gan IT sistēmas pielietošanu ikdienas darbā, kā arī celt uzņēmuma darbinieku kvalifikāciju mārketingā un pārdošanā.
Projekta ietvaros paredzēts apmācīt 5 darbiniekus šādās programmās:
1.Darba drošība;
2.Darbs ar informācijas un komunikāciju tehnoloģijām;
3.Finanšu analīze, nodokļu optimizācija un metodes;
4.Mārketings- teorija un prakse;
5.Pārdot prasme.
Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.","14,940.00","11,203.50",0,3,
10,"REMERSHOF","SIA","Meliorācijas iela 25-2, Ozolnieku pagasts, Ozolnieku novads, Jelgavas rajons, LV-3018","SIA ""REMERSHOF"" darbinieku kvalifikācijas celšana","Ozolnieku pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „REMERSHOF” pamatdarbība ir transporta pakalpojumi – kravu pārvadājumi. Darbiniekiem smags un nogurdinošs darbs, tāpēc uzņēmumam īpaši jāpievērš uzmanība darbinieku labklājībai un jārada darbiniekos vēlme strādāt uzņēmuma labā.
Esošā konkurence uzņēmumu vidū SIA „REMERSHOF” rada nepieciešamību uzlabot darbinieku zināšanas. Projekta ietvaros plānots apmācīt 6 darbiniekus šādās programmās: „Darba drošība”, „Darba drošības sistēmas organizēšana, kārtošana un uzlabošana”, „Darbs ar informācijas un komunikāciju tehnoloģijām”, „Autotransporta līdzekļu vadītāju un apkalpes locekļu darba un atpūtas organizācija”, „Darba tiesiskās attiecības”, „Finanšu analīze, nodokļu optimizācija un metodes”. ","24,630.00","18,470.04",0,3,"www.remershof.lv"
