"DARBĪBAS PROGRAMMAS APAKŠAKTIVITĀTE, KURAS IETVAROS PIEŠĶIRTS ESF FINANSĒJUMS","PROJEKTA ĪSTENOTĀJS","PROJEKTA ĪSTENOŠNAS VIETA","PROJEKTA APSTIPRINĀŠANAS DATUMS","ĪSTENOŠANAS PERIODS","SADARBĪBAS PARTNERI","PROJEKTA MĒRĶIS","PROJEKTA AKTIVITĀTES","PROJEKTA MĒRĶGRUPAS","Projekta kopējās attiecināmās izmaksas (LVL)","Projekta attiecināmais ESF līdzfinansējums (LVL)","Projekta attiecināmais nacionālais līdzfinansējums (LVL)","SAGAIDĀMIE REZULTĀTI","Kontaktpersona:"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.3.1.4. apakšaktivitāte „Kapacitātes stiprināšana darba tirgus institūcijām”","Nodarbinātības valsts aģentūra
K.Valdemāra iela 38 k-1, Rīga, LV-1010
","Visa Latvija
","06.06.2008.","65 mēneši 
01.08.2008.-31.12.2013.
",,"Izveidot modernu, uz klientiem vērstu darba tirgus institūciju, kas operatīvi reaģē uz klientu pieprasījumu un sniedz atbilstošas un kompetentas konsultācijas, nodrošina informatīvo atbalstu. Īstenojot sociālo partneru informējošus un izglītojošus pasākumus tiks attīstīta un stiprināta sociālā partnerība, pieaugs sabiedrības informētības līmenis par Eiropas Sociālā fonda projektiem un Nodarbinātības valsts aģentūras piedāvātajiem pakalpojumiem.","Lai sasniegtu Nodarbinātības valsts aģentūras izvirzīto mērķi – dinamiska un profesionāla institūcija, kurā strādā kvalificēti darbinieki, kas savu kompetenci realizē NVA darbības pilnveidei un operatīvi reaģē uz klientu pieprasījumu, sniedzot atbilstošas kompetences konsultācijas, projekta ietvaros NVA pārvaldē un filiālēs visā Latvijā notiks personāla mācības, tiks izstrādātas un aprobētas jaunas karjeras speciālistu darba metodikas, kā arī notiks sabiedrības informēšana, tai skaitā sociālā mārketinga pasākumi.","Nodarbinātības valsts aģentūras darbinieki un sadarbības – sociālo partneru u.c. darba tirgus administrēšanā iesaistīto institūciju darbinieki.","2 376 750,00","2 020 238,00","356 512,00","Iznākuma rādītāji:
Apmācīto darbinieku skaits vidēji gadā – 200
Ieviestas jaunas metodikas karjeras konsultēšanas pakalpojumu sniegšanai – 10
Īstenoti mārketinga komunikācijas pasākumi vidēji gadā – 1
Īstenoti sadarbības partnerību ar pašvaldībām un darba devējiem stiprināšanas pasākumi vidēji gadā - 35
","Andra Osīte
Nodarbinātības valsts aģentūra
Projekta vadītāja
tālr. 67021802
Andra.Osite@nva.gov.lv 
"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.4.1.1.2. apakšaktivitāte „Atbalstītās nodarbinātības pasākumi mērķgrupu bezdarbniekiem”
","Nodarbinātības valsts aģentūra
K.Valdemāra iela 38 k-1, Rīga, LV-1010
","Visa Latvija","22.07.2008.","64 mēneši
01.09.2008.-31.12.2013. 
",,"Veicināt mērķa grupu bezdarbnieku iekļaušanos sabiedrībā, konkurētspēju un iekārtošanos pastāvīgā darbā pie darba devējiem, valsts, pašvaldību un privātajā sektorā. 
Projekta laikā tiks līdzfinansēta mērķa grupu bezdarbnieku nodarbināšana, nodrošinot darba tirgus prasībām atbilstošu darba prasmju apguvi vai pilnveidi.
"," Pasākuma noteiktām personu grupām ietvaros bezdarbnieku nodarbināšana projekta ietvaros līdzfinansētās darba vietās.
 Specifisku pakalpojumu sniegšana bezdarbniekiem – invalīdiem (ergoterapeita, surdotulka pakalpojumu nodrošināšana).
 Pasākuma metodiskā pārraudzība un pārbaudes veikšana.
 Sabiedrības informēšanas pasākumi.
","Projekta tiešā mērķa grupa ir nelabvēlīgā situācijā esoši darba ņēmēji, kuri atbilst Komisijas 2008.gada 6.augusta Regulas (EK) Nr.800/2008 2.panta 18. un 19.punktā noteiktajam un personas, kurām noteikta invaliditāte.","2 977 667,00","2 531 016,00","446 651,00","Iznākuma rādītājs:
Mērķgrupu bezdarbnieku skaits, kuri pabeiguši aktīvos nodarbinātības pasākumus noteiktām personu grupām – 480 bezdarbnieki.
    Rezultāta rādītājs:
Bezdarbnieku skaits, kuri sešu mēnešu laikā pēc dalības projektā iekārtojas darbā – 192 bezdarbnieki.
","Agnese Gelžina
Nodarbinātības valsts aģentūras
Nodarbinātības pakalpojumu un attīstības departamenta
Nodarbinātības pakalpojumu nodaļas eksperte - 
projekta ""Pasākumi noteiktām personu grupām"" vadītāja
Tālrunis: 67021772
Fakss: 67021806
E-pasts: Agnese.Gelzina@nva.gov.lv
"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.3.1.3.2. apakšaktivitāte „Darba attiecību un darba drošības normatīvo aktu praktiska piemērošana nozarēs un uzņēmumos”
","Latvijas Brīvo arodbiedrību savienība
Bruņinieku iela 29/31, Rīga, LV-1001
","Visa Latvija","14.07.2008.","64 mēneši
01.09.2008.-31.12.2013.
",,"Projekta mērķis ir uzlabot strādājošo darba apstākļus un sekmēt, lai tiktu ievērotas strādājošo darba tiesības katrā darba vietā, tādā veidā mazinot darba tiesisko attiecību pārkāpumu un nelaimes gadījumu skaitu.","Konsultāciju sniegšana un apmācību programmu veidošana un organizēšana.
Informatīvo un metodisko materiālu izdošana.
Sabiedrības informēšanas un izglītošanas pasākumi.
","Strādājošie Rīgā un Latvijas reģionos, bezdarbnieki, darba devēji, skolēni, studenti un darba tirgū iesaistīto institūciju pārstāvji.","2 732 925,00","2 322 986,39","409 938,61","Iznākuma rādītāji:
Izveidoti konsultatīvie centri nodarbināto personu informēšanai par darba tiesisko attiecību un darba aizsardzības normatīvo aktu piemērošanas jautājumiem – 5
Īstenoti sabiedrības informēšanas un izglītošanas pasākumi par darba tiesību un darba aizsardzības jautājumiem – 165
Izstrādāti un ieviesti darba aizsardzības apmācību moduļi profesionālajās izglītības iestādēs– 20
 Izveidota un bez maksas pieejama datu bāze par darba koplīgumiem un ģenerālvienošanos nozarēs – 1
Celta kvalifikācija 500 arodorganizāciju vadītājiem un speciālistiem.

Rezultāta rādītājs:
Atklāto darba attiecību un darba tirgus likumdošanas pārkāpumu skaita samazinājums Valsts darba inspekcijas apsekotajos uzņēmumos par 15%, salīdzinot ar 2004.gada
","Linda Romele
Latvijas Brīvo arodbiedrību savienība
Mācību centra vadītāja
tālr. 67035906
Linda.Romele@lbas.lv 
"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.4.1.1.1. apakšaktivitāte „Kompleksi atbalsta pasākumi iedzīvotāju integrēšanai darba tirgū”
","Nodarbinātības valsts aģentūra
K.Valdemāra iela 38 k-1, Rīga, LV-1010
","Visa Latvija","26.03.2009.","26 mēneši
01.05.2009.-30.06.2011.
",,"Veicināt mērķa grupu bezdarbnieku adaptēšanos un iekļaušanos sabiedrībā, to konkurētspējas paaugstināšanos, pastāvīgu darba gaitu uzsākšanu. Projektā tiks līdzfinansēta mērķa grupu bezdarbnieku nodarbināšana, nodrošinot darba tirgus prasībām atbilstošu prasmju apguvi vai pilnveidi, sociālo problēmu identifikāciju un risināšanu.","Bezdarbnieku sociālās situācijas un individuālo vajadzību noteikšana un krīzes situācijas izvērtēšana, karjeras plānošanas konsultācijas, speciālistu pakalpojumi personības problēmu risināšanai, grupu nodarbības motivācijas paaugstināšanai, lai integrētos darba tirgū un tās nostiprināšana, ārstu konsultācijas un ārstēšana personām ar atkarības u.c. problēmām, transporta izmaksu kompensācijas u.c.
Pasākumi darba spēju atjaunošanai, bezdarbnieku apmācība pie darba devējiem darba prasmju apguvei un atjaunošanai (tiks subsidēta obligātās veselības pārbaude, darba samaksa, atlīdzība darba vadītājam).
Invalīdu – bezdarbnieku darba vietu pielāgošana. 
","Personas 15-24 gadu vecumā, personas, kurām ir invaliditāte, personas pēc bērnu kopšanas atvaļinājuma, pirmspensijas vecuma personas, ilgstošie bezdarbnieki, personas pēc soda izciešanas, personas ar atkarību, ekonomiski neaktīvas personas, personas, kuras atgriezušās no ārzemēm.","6 850 773,00","5 823 157,05","1 027 615,95","Iznākuma rādītājs - kompleksos atbalsta projektos iesaistīto personu skaits: 7655
Rezultāta rādītājs – atbalstīto personu skaits, kuras kļūst ekonomiski aktīvas 6 mēnešu laikā pēc atbalsta saņemšanas: 2679
","Andra Osīte
Nodarbinātības valsts aģentūra 
Administratīvais departaments
Projekta vadītāja
tālr. 67021835
Andra.Osite@nva.gov.lv 
"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.4.1.2.2. apakšaktivitāte „Sociālās rehabilitācijas pakalpojumu attīstība personām ar redzes traucējumiem”
","Latvijas Nedzirdīgo savienība
Elvīras iela 19, Rīga, LV-1083
","Visa Latvija","07.04.2009.","56 mēneši 
01.05.2009. – 31.12.2013.
","Latvijas Nedzirdīgo savienības laikraksts „Kopsolī”
SIA „LNS Zīmju valodas centrs”
","Projekta vispārējais mērķis ir veicināt dzirdes invalīdu un smagi vājdzirdīgu cilvēku integrāciju sabiedrības dzīvē.
Projekta tiešais mērķis ir pilnveidot atbalsta sistēmu dzirdes invalīdiem un personām ar dzirdes traucējumiem, mazināt nedzirdīgo un smagi vājdzirdīgo personu sociālās atstumtības  risku, ieviest jaunus sociālā atbalsta pasākumus nedzirdīgajiem, inkorporēt labās prakses un paraugus un veicināt mērķauditorijas sociālās iekļaušanas procesus.
","Speciālistu sagatavošanas un kvalifikācijas celšanas pasākumi darbam ar personām ar dzirdes traucējumiem.
Motivācijas programmu izstrāde un ieviešana.
Sociālās iekļaušanas programmu izstrāde un ieviešana.
Informācija kā nedzirdīgo sociālās iekļaušanas un rehabilitācijas pamatnosacījums.
Zīmju valodas attīstība.
","Personas ar dzirdes traucējumiem – dzirdes invalīdi un personas ar smagām dzirdes problēmām.","1 418 877,00","1 206 045,45","212 831,55","Iznākuma rādītājs:
Pilnveidotos sociālās rehabilitācijas pakalpojumus saņēmušo personu ar dzirdes traucējumiem skaits – 468
Rezultāta rādītājs:
Eiropas Sociālā fonda finansēto sociālās rehabilitācijas pakalpojumus saņēmušo personu skaits, kas iesaistās izglītības apguvē, profesionālajā rehabilitācijā vai nodarbinātībā sešu mēnešu laikā pēc projekta noslēguma - 94
","Arnolds Pavlins
Latvijas Nedzirdīgo savienība 
prezidents
Tār.:67470595
Fakss:67470444
e-pasts: vip@lns.lv 
"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.3.1.1.3. apakšaktivitāte „Bezdarbnieku un darba meklētāju apmācība”
","Nodarbinātības valsts aģentūra
K.Valdemāra iela 38 k-1, Rīga, LV-1010
","Visa Latvija","13.05.2008.","24 mēneši
01.07.2008. - 30.06.2010. 
",,"Nodrošināt ne mazāk kā 18 000 bezdarbnieku un darba meklētāju iespēju, atbilstoši darba tirgus pieprasījumam, paaugstināt savas profesionālās kvalifikācijas līmeni, apgūt vai atjaunot darba prasmes un iemaņas teorētiskās un praktiskās nodarbībās izglītības iestādēs un pie darba devējiem, paaugstinot konkurētspēju, spēju pielāgoties mainīgajam darba tirgus pieprasījumam un palielinot iespēju integrēties darba tirgū. ","Profesionālās apmācības, pārkvalifikācijas, kvalifikācijas paaugstināšanas un profesionālās kvalifikācijas eksāmena kārtošanas, apmācības pie darba devēja īstenošana. Neformālās izglītības ieguves īstenošana. 
Specifisku pakalpojumu sniegšana mērķgrupu bezdarbniekiem apmācības laikā (surdotulka pakalpojumi).
Projekta vadība.
Sabiedrības informēšanas pasākumi.
","Projekta tiešā mērķa grupa ir jaunieši (15 – 24), pieaugušie (25-54) un pirmspensijas vecuma (55+) bezdarbnieki un darba meklētāji, kuri nav ieguvuši profesionālo izglītību (izglītība zemāka par pamatizglītību, pamatizglītība, vispārējā vidējā izglītība), kuru iegūtā profesionālā izglītība zaudējusi aktualitāti vai kuriem pietrūkst mainīgajām darba tirgus prasībām atbilstošu sociālo un profesionālo pamata prasmju un iemaņu, t.sk. invalīdi (atbilstoši invalīda vajadzībām, nodrošinot surdotulka pakalpojumu), personas sešu mēnešu laikā pēc bērna kopšanas atvaļinājuma (bērnu kopšanas perioda) beigām, ilgstošie bezdarbnieki, imigranti, citi bezdarbnieki un darba meklētāji atbilstoši vietējā darba tirgus situācijai.","11 596 266,00","9 856 826,00","1 739 440,00","Iznākuma rādītājs: Apmācības un Neformālās izglītības pasākumos atbalstu saņēmušie bezdarbnieki un darba meklētāji – 18 000
Rezultāta rādītājs: Bezdarbnieku un darba meklētāju īpatsvars, kas iekārtojas darbā 6 mēnešu laikā pēc Apmācības vai Neformālās izglītības – 40%
","Maija Zariņa
Nodarbinātības valsts aģentūras
Nodarbinātības pakalpojumu un attīstības departamenta vecākā eksperte – projekta vadītāja
Tālrunis: 67021791 Fakss: 67021806   
E-pasts: maija.zarina@nva.gov.lv
"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.4.1.2.2. apakšaktivitāte „Sociālās rehabilitācijas pakalpojumu attīstība personām ar redzes un dzirdes traucējumiem”
","Labklājības ministrija
Skolas iela 28, Rīga, LV-1331
","Visa Latvija","20.05.2009.","50 mēneši
18.08.2009.-30.09.2013.
",,"Projekta mērķi ir:
Mazināt sociālās atstumtības riska grupas – cilvēku ar redzes traucējumiem - sociālo izolētību, sekmēt šīs mērķgrupas izglītības un nodarbinātības līmeņa paaugstināšanos nākotnē.
Veicināt cilvēku ar redzes traucējumiem dzīves kvalitātes celšanos un iekļaušanos sabiedrībā,
izstrādājot un īstenojot sociālās rehabilitācijas kompleksas programmas, kuras sekmēs jaunu prasmju, iemaņu un zināšanu apguvi personām ar invaliditāti.
Aktīvas un līdzatbildīgas sabiedrības veidošana, mazināt sociālo atstumtību un netieši veicināt cilvēku ar redzes traucējumiem iekļaušanos darba tirgū.
","Speciālistu izglītošana.
Motivācijas un sociālās rehabilitācijas programmu izstrāde un ieviešana.
Palīglīdzekļu nodrošinājums projekta aktivitāšu īstenošanai.
Suņu-pavadoņu apmācība un klienta sagatavošana pakalpojuma izmantošanai.
Informācijas un publicitātes pasākumi.
","Projekta tiešā mērķa grupa – personas ar redzes traucējumiem, pilnīgi neredzīgi un vājredzīgi cilvēki, arī tā¬di, kam redzes traucējumi ir viena no vairākām nopietnām veselības problēmām. Projekts pa¬redz mērķauditorijas aktīvu līdzdalību. ","1 983 574,56","1 686 038,38","297 536,18","Iznākuma rādītājs: Pilnveidoto sociālās rehabilitācijas pakalpojumu saņēmušo personu ar redzes traucējumiem skaits – 1002
Rezultāta rādītājs: Eiropas Sociālā fonda finansēto sociālās rehabilitācijas pakalpojumus saņēmušo personu skaits, kas iesaistās izglītības apguvē, profesionālajā rehabilitācijā vai nodarbinātībā sešu mēnešu laikā pēc dalības projektā – 200
","Ieva Plūme
Labklājības ministrija
Projekta vadītāja
tālr. 67021673
fakss: 67276445
Ieva.Plume@lm.gov.lv
"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.3.1.1.3. apakšaktivitāte „Bezdarbnieku un darba meklētāju apmācība”","Nodarbinātības valsts aģentūra
K.Valdemāra iela 38 k-1, Rīga, LV-1010

","Visa Latvija","14.08.2009.","43 mēneši
01.09.2009. - 31.03.2013. 
",,"Nodrošināt bezdarbniekiem un darba meklētājiem iespēju paaugstināt to konkurētspēju, spēju pielāgoties mainīgajam darba tirgus pieprasījumam un palielināt to iespēju integrēties darba tirgū.","Profesionālās apmācības, pārkvalifikācijas, kvalifikācijas paaugstināšanas, kas ietver profesionālās tālākizglītības un profesionālās pilnveides programmu apguvi pirmā un otrā līmeņa profesionālās augstākās izglītības programmu apguvi, un profesionālās kvalifikācijas eksāmena kārtošanas, apmācības pie darba devēja īstenošana. 
Konkurētspējas paaugstināšanas pasākumu – neformālās izglītības apguves un darba tirgum nepieciešamo pamatprasmju un iemaņu apguves īstenošana.Apmācības īstenošanas organizēšana, novērtēšana, koordinēšana, bezdarbnieku konsultēšana un motivēšana.
Specifisku pakalpojumu sniegšana mērķgrupu bezdarbniekiem apmācības laikā - asistenta, surdotulka pakalpojumi, specializētā transporta nodrošināšana bezdarbniekiem invalīdiem.
Projekta vadība.
Sabiedrības informēšanas pasākumi.
","Projekta tiešā mērķa grupa ir jaunieši (15 – 24), pieaugušie (25-54) un pirmspensijas vecuma (55+) bezdarbnieki un darba meklētāji, kuri nav ieguvuši profesionālo izglītību (izglītība zemāka par pamatizglītību, pamatizglītība, vispārējā vidējā izglītība), kuru iegūtā profesionālā izglītība zaudējusi aktualitāti vai kuriem pietrūkst mainīgajām darba tirgus prasībām atbilstošu sociālo un profesionālo pamata prasmju un iemaņu, t.sk. invalīdi, personas sešu mēnešu laikā pēc bērna kopšanas atvaļinājuma (bērnu kopšanas perioda) beigām, ilgstošie bezdarbnieki, imigranti, citi bezdarbnieki un darba meklētāji atbilstoši vietējā darba tirgus situācijai.","19 883 723,00","16 901 165 ,00","2 982 558,00","Iznākuma rādītājs: Neformālās izglītības, pārkvalifikācijas un tālākizglītības pasākumos atbalstu saņēmušo bezdarbnieku un darba meklētāju skaits – 28 370
Rezultāta rādītājs: Atbalstu saņēmušo bezdarbnieku un darba meklētāju īpatsvars, kas iekārtojas darbā 6 mēnešu laikā pēc saņemtajām apmācībām – 40%
","Rita Rimša
Nodarbinātības valsts aģentūras
Nodarbinātības pakalpojumu un attīstības departamenta vecākā eksperte
Tālrunis: 67021778
Fakss: 67021806
E-pasts: Rita.Rimsa@nva.gov.lv
"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.4.1.2.4. apakšaktivitāte „Sociālās rehabilitācijas un institūcijām alternatīvu sociālās aprūpes pakalpojumu attīstība reģionos.”
","Latgales plānošanas reģions
Atbrīvošanas aleja 95, Rēzeknē, LV-4600
","Visa Latvija","14.05.2009.","10 mēneši
01.09.2009. - 30.06.2010. 
",,"Projekta vispārējais mērķis ir attīstīt alternatīvās sociālās aprūpes un sociālās rehabilitācijas pakalpojumus, lai pilnveidotu sociālās un funkcionālās prasmes personām ar funkcionāliem traucējumiem, viņu ģimenes locekļiem, bezpajumtniekiem un citām sociālās atstumtības riskam pakļautajām iedzīvotāju grupām, kā arī palielinātu viņu nodarbinātību un integrāciju sabiedrībā.
Projekta tiešais mērķis ir izstrādāt Latgales plānošanas reģiona sociālo pakalpojumu attīstības programmu 2010. – 2017. gadam. 
","Latgales plānošanas reģiona sociālo pakalpojumu attīstības programmas 2010. – 2017. gadam izstrāde;
Sabiedriskās apspriešanas pasākumi – semināri, darba grupas, diskusijas, sēdes.
Sistēmas izveide programmas aktualizācijai un ieviešanas uzraudzībai.
","Visas sociālās atstumtības riskam pakļautās Latgales reģiona iedzīvotāju grupas.","153 000,00","130 050,00","22 950,00","Izstrādāta reģiona sociālo programmu attīstības programma „Latgales plānošanas reģiona sociālo pakalpojumu attīstības programma 2010. – 2017. gadam”","Guna Smelcere
Latgales plānošanas reģiona
Projektu plānošanas un ieviešanas nodaļas
Projekta vadītāja
tālr. 65428111
guna.smelcere@latgale.lv
"
"Darbības programma „Cilvēkresursi un nodarbinātība”
1.3.1.3.1. apakšaktivitāte „Darba attiecību un darba drošības normatīvo aktu uzraudzības pilnveidošana”
","Valsts darba inspekcija
K.Valdemāra iela 38k-1, Rīga, LV – 1010
","Visa Latvija","16.06.2008.","16 mēneši
01.09.2008.-31.12.2009.
",,"Uzlabot Valsts darba inspekcijas sniegto pakalpojumu kvalitāti, realizējot cilvēkresursu attīstības pasākumus, panākt pilnīgāku darba devēju, darbinieku un sabiedrības informētību un veicināt darba tiesību subjektu izpratni par darba, darba drošības un arodveselības prasībām.","Komunikācijas audita un sabiedrības informēšanas stratēģijas izstrāde darba tiesisko attiecību un darba aizsardzības jomā.
Preventīvās darba kultūras ieviešanas un sabiedrības informēšanas pasākumi par darba tiesisko attiecību un darba aizsardzības jautājumiem, t.sk. sabiedrības informēšanas kampaņas, informatīvie semināri, informatīvu un izglītojošu materiālu izstrāde un izdošana.
VDI cilvēkresursu attīstība un ar to saistītie pasākumi.
",,"803 022,00","682 569,00","120 453,00","Rezultāta rādītājs:
Atklāto darba tiesisko attiecību un darba aizsardzības pārkāpumu skaita samazinājums Valsts darba inspekcijas apsekotajos uzņēmumos – 15%
","Liene Maurīte
Valsts darba inspekcijas
Attīstības projektu nodaļas vadītāja
tālr. 67021748; 67021703
Liene.Maurite@vdi.gov.lv 
"
