"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas (LVL)","ESF finansējums (LVL)","Valsts budžeta dotācija pašvaldībām (LVL)","Projekta īstenošanas laiks mēnešos"
1,"Bauskas novada dome","Uzvaras iela 1, Bauska, Bauskas novads, LV-3901"," Bauskas pilsētas Kristīgā pamatskola,  Bauskas pilsētas pamatskola,  Mežgaļu pamatskola,  Vecsaules pamatskola,  Bauskas pilsētas 2. vidusskola ,  Pamūšas speciālā internātpamatskola,  Bauskas rajona Dāviņu pagasta padome, ","Sociālās atstumtības riskam pakļauto bērnu un jauniešu mācību atbalsta sistēmas izveide Bauskas novadā 

","Zemgale, ",09/11/2009," Projekta „Sociālās atstumtības riskam pakļauto bērnu un jauniešu mācību atbalsta sistēmas izveide Bauskas novadā” vispārīgais mērķis - ar izveidotās mācību atbalsta sistēmas palīdzību mazināt sociālo atstumtību, nodrošinot pamatizglītību kā sociālās atstumtības mazināšanas garantu jauniešiem ar attīstības un/ vai socializācijas problēmām.  
Projekta tiešais mērķis - ar mācību atbalsta sistēmas palīdzību mazināt sociālo atstumtību 710 Bauskas novada skolu jauniešiem. Projektā iesaistās 5 Bauskas novada vispārizglītojošās skolas (Bauskas pilsētas kristīgā pamatskola, Bauskas pilsētas pamatskola, Bauskas pilsētas 2. vidusskola, Mežgaļu pamatskola, Vecsaules pamatskola) kā pilotskolas, kas īsteno speciālās korekcijas programmas vai pasākumus. 
Projekta partneri ir Bauskas rajona Dāviņu pagasta padome, un Pamūšas speciālā internātpamatskola. Pamūšas speciālā internātpamatskola iesaistās kā zināšanu un resursu centrs. Projekta aktivitātes ietver efektīvu vadību, izveidojot atbalsta sistēmu – pagarinātās dienas grupas, sociālās atstumtības riska grupas bērnu un jauniešu iekļaušanu vasaras nometnēs un mācību ekskursijās, personāla nodrošināšanu (5 sociālie pedagogi, 5 psihologi, 5.5 slodzes - skolotāju palīgi un 3.5 slodzes - logopēdi Bauskas novada 5 pilotskolās), seminārus pedagogiem par mācīšanās traucējumu veidiem; seminārus vecākiem par sociālās atstumtības mazināšanu, E-klases moduļa ieviešanu, publicitātes nodrošināšanu. Projekta aktivitātes notiek izglītojamo apdzīvoto vietu teritorijā. 
Projekta ieviešanas rezultātā uzlabojas 710 izglītojamo prasmes un mācību rezultāti, samazinās bērnu un jauniešu sociālā atstumtība. Projekts ir vērsts uz informācijas tehnoloģiju satura paplašināšanu, ieviešot projektu tiks izveidota datu bāze, aktualizēta esošā situāciju un iekļauta vienotā darba sistēmā topošajā novadā.
Projekta norise - 24 mēneši no 2010. gada janvāra līdz 2011. gada decembrim.   
",272440,231574,0,24
2,"Zemgales vidusskola","Zemgales vidusskola, Slampes pagasts, Tukuma novads, LV-3119"," Tukuma Speciālā internātpamatskola,  Engures vidusskola,  Tukuma rajona  izglītības pārvalde,  Sociālās integrācijas valsts aģentūra , ","Sociālā atstumtības riska mazināšanas pasākumi Zemgales vidusskolā","Kurzeme, Rīga, Zemgale, ",09/11/2009,"Projekta vispārīgais mērķis ir nodrošināt mācību atbalstu bērniem un jauniešiem ar mācīšanās problēmām un funkcionāliem traucējumiem un veicināt viņiem piemērotu izglītības un tālākizglītības ceļu piedāvājumu. 

Projekta specifiskais mērķis ir bērnu un jauniešu no nabadzīgajām ģimenēm, ar speciālām vajadzībām un kuru vecāki devušies peļņā uz ārzemēm integrācija sociālajā vidē, mazinot viņu atstumtības risku, ceļot pašapziņu un sniedzot atbalstu jaunu iemaņu apguvei.

Projekta „Sociālā atstumtības riska mazināšanas pasākumi Zemgales vidusskolā” mērķa grupa ir bērni un jaunieši no nabadzīgajām ģimenēm, ar speciālām vajadzībām un kuru vecāki devušies peļņā uz ārzemēm. Projektā iesniedzējs ir Zemgales vidusskola un projektā plānotās aktivitātes īsteno ar sadarbības partneriem- Tukuma Speciālā internātpamatskolu, Engures vidusskolu, Sociālās integrācijas valsts aģentūru un Tukuma rajona padomes Izglītības pārvaldi. 

Projektā ir paredzētas sekojošas aktivitātes un to sagaidāmie rezultāti:
1. Sociālo korekciju programmu apguves iespēju nodrošināšana,
1.1. Metodisko materiālu bāzes pilnveide,
1.1.1. Metodisko materiālu bāzes pilnveide psiholoģijas un veselības uzlabošanas pasākumiem,
1.1.2. Vadlīniju izstrāde darba procesa organizēšanai,
1.1.3. Mūzikas terapijas moduļa izstrāde,
1.2. Atbalsta personāla iesaistīšana, 
1.2.1. Speciālā pedagoga amata ieviešana, 
1.2.2. Psihologa amata ieviešana,
1.2.3. Pagarināto dienas grupu skolotāja un viņa palīga amata ieviešana,
1.2.4. Sociālā pedagoga amata ieviešana,
2. Pagarināto dienas grupu izveide mērķa grupai no 5. līdz 9. Klasei,
3. Iekļaujošie izglītības un rehabilitācijas atbalsta pasākumi,
3.1. Izglītības un sadzīves prasmju apguves veicināšana,
3.2. Rekreatīvie pasākumi mērķa grupas integrēšanai sabiedrībā,
4. Arodorientācija pasākumi,
5. Izglītības procesa nodrošināšanas materiālu iegāde un pavairošana,
6. Projekta vadība

Projekts tiks īstenots 2010. un 2011.gadā Latvijas Republikā Rīgas, Tukuma un Engures rajonos.

Projekta kopējā attiecināmo izmaksu kopsummas sastāda 61858 LVL.
",61858,52579,0,24
3,"SIA Latvijas psihosomatikas, psihoterapijas un psihodinamiskās psihiatrijas centrs                                                                                                                         ","Brīvības 52-11, Rīga, LV-1011"," Rīgas sanatorijas internātpamatskola,  Adamovas sanatorijas internātpamatskola bērniem ar psihoneiroloģiskām saslimšanām, ","Emocionālo, sociālo un praktisko iemaņu atbalsta programma izglītojamiem ar garīgās veselības traucējumiem","Latgale, Rīga, Visa Latvija, ",03/12/2009,"Latvijas psihosomatikas, psihoterapijas un psihodinamiskās psihiatrijas centrs (turpmāk tekstā LPPPPC) sadarbībā ar Rīgas sanatorijas internātpamatskolu un Adamovas sanatorijas internātpamatskolu ir sagatavojis projektu, kura mērķis ir uzlabot dzīves kvalitāti un veicināt izglītojamo ar garīgās veselības traucējumiem integrāciju izglītībā un sabiedrībā. Lai sasniegtu mērķi, mērķa grupas bērniem un jauniešiem tiks sniegts daudznozaru atbalsts: emocionālais, sociālais un praktisko iemaņu attīstības atbalsts. 

Emocionālais atbalsts tiks sniegts ar psihoterapijas grupu un individuālās psihoterapijas palīdzību. Sociālais atbalsts tiks sniegts ar kultūrizglītojošu pasākumu palīdzību. Savukārt, praktisko un sadzīves iemaņu atbalsts tiks sniegts radošajās emocionālā atbalsta nometnēs.

Projekta ietvaros paredzēts sniegt atbalstu 267 izglītojamajiem. Projekta rezultātā celsies bērnu un jauniešu  pašapziņa, stabilizēsies viņu garastāvoklis, uzlabosies sekmes, palielināsies motivācija mācīties, mazināsies depresija un hiperaktivitāte. Mērķa grupas bērni un jaunieši iemācīsies atpazīt un kritiski izvērtēt savu uzvedības modeli, savas rīcības sekas un ietekmi uz līdzcilvēkiem. Lai realizētu projekta mērķi nepieciešams finansējums 225 943 latu apmērā, neieskaitot projekta administrēšanas izmaksas.

Lai nodrošinātu projekta ilgtspēju, tā ietvaros tiks izstrādāti 6  metodiskie materiāls, kura vadlīnijas kalpos par bāzi psihoterapijas ieviešanai speciālajās skolās. Projekts radīs empīrisku pamatu modernu un inovatīvu metožu ieviešanai pārējās šāda tipa speciālajās izglītības iestādēs.

Projekta norises vieta paredzēta Rīgas sanatorijas internātpamatskola un Adamovas sanatorijas pamatskola. Projekts ilgs 17 mēnešus. Tā uzsākšanas datums paredzēts 2010.gada 1.janvāris un beigu datums 2011.gada 31.maijs.

",225943,192050,0,17
4,"Biedrība „Izglītības iniciatīvu centrs” (IIC)","Rīgas iela 216b, Jēkabpils, LV-5202"," Jēkabpils pilsētas pašvaldības Sociālā pārvalde,  Vaidavas speciālā internātpamatskola,  Upesgrīvas speciālā sākumskola, ","SOCIĀLĀS INTEGRĀCIJAS ATBALSTA MEHĀNISMI
","Kurzeme, Vidzeme, Zemgale, Visa Latvija, ",24/11/2009,"Šī projekta mērķis ir veicināt bērnu un jauniešu ar funkcionāliem traucējumiem integrāciju vietējā sabiedrībā, uzlabot viņu izglītības kvalitāti un mazināt viņu atstumtību, radot atbalstošas un draudzīgas vides mehānismus. Lai to sasniegtu, galvenās projekta aktivitātes būs 12-15 iekļaujoši pasākumi un 3 vasaras nometnes mērķa grupas bērniem un jauniešiem kopā ar viņu vienaudžiem, kā arī metodiska mācību materiāla izstrāde darbam ar mērķa grupu. Projekta rezultātā būs palielinājusies bērnu un jauniešu ar funkcionāliem traucējumiem iesaiste skolas un vietējās sabiedrības pasākumos kopā ar citiem vienaudžiem un pieaugušajiem, kas labvēlīgi ietekmēs viņu mācību rezultātus. Projekta ilgtspējas nodrošināšanai būs izveidotas Atbalsta grupas katrā projekta partnerorganizācijā - Upesgrīvas speciālajā sākumskolā, Vaidavas speciālajā internātpamatskolā un Jēkabpils pilsētas pašvaldības Sociālajā pārvaldē. Projekta norises vietas ir partnerorganizācijās un to pašvaldībās, laiks: no 2010. gada janvāra līdz 2011. gada decembrim.

",92650,78752,0,24
5,"Andreja Upīša Skrīveru vidusskola","Stacijas laukums 1, Skrīveru novads, LV-5125"," Skrīveru pagasta pašvaldības sociālais dienests,  Kokneses speciālā internātpamatskola - attīstības centrs,  Aizkraukles pilsētas sākumskola,  Aizkraukles pagasta sākumskola, ","Atbalsta pasākumu īstenošana Andreja Upīša Skrīveru vidusskolas bērnu un jauniešu sociālās atstumtības riska grupu integrācijai izglītībā ","Zemgale, Visa Latvija, ",09/11/2009,"Projekta mērķis – nodrošināt Andreja Upīša Skrīveru vidusskolā mācību atbalstu bērniem un jauniešiem ar mācīšanās problēmām un veicināt piemērotu izglītības piedāvājumu bērniem un jauniešiem obligātā izglītības vecumā ar zemām pamatprasmēm un jauniešiem ar funkcionāliem traucējumiem.
Projekta mērķa grupa - projekta „Atbalsta pasākumu īstenošana Andreja Upīša Skrīveru vidusskolas bērnu un jauniešu sociālās atstumtības riska grupu integrācijai izglītībā” mērķa grupa ir 108 bērni un jaunieši no sociālās atstumtības riska grupām, no maznodrošinātām ģimenēm un ar speciālām vajadzībām vai funkcionāliem traucējumiem.
Projekta attiecināmās izmaksas – 73 146 LVL, t.sk., ESF finansējuma apmērs ir 62 174 LVL jeb 85% no projekta attiecināmajām izmaksām.   
Projekta īstenotājs – Andreja Upīša Skrīveru vidusskola.
Projektā iesaistītie sadarbības partneri – Kokneses speciālā internātpamatskola – attīstības centrs, Aizkraukles pagasta sākumskola, Aizkraukles pilsētas sākumskola, Skrīveru pagasta pašvaldības sociālais dienests.
Projekta īstenošanas vieta –   Stacijas laukums 1, Skrīveri, LV-5125.
Projekta īstenošanas ilgums un laiks – 24 mēneši.
Projekta galvenās aktivitātes – sociālo prasmju veidošanas un saskarsmes prasmju attīstības pasākumu izveidošana un darbība, skolotāja palīga amatu nodrošināšana, darba un sadzīves prasmju apguves veicināšana, nepieciešamo papildu apmācību nodrošināšana mācību priekšmetos un pagarināto dienas grupu darbība.
Projekta iznākuma rādītāji – projektā plānotajās aktivitātēs piedalīsies un pakalpojumus saņems 108 bērni un jaunieši (izglītojamie) no Zemgales reģiona.
Projekta rezultāta rādītāji – projektā plānotajās aktivitātēs piedalīsies un pakalpojumus saņems 100% bērni un jaunieši (izglītojamie) no Andreja Upīša Skrīveru vidusskolā esošajiem bērniem un jauniešiem no sociālās atstumtības riska grupām, no maznodrošinātām ģimenēm un ar speciālām vajadzībām vai funkcionāliem traucējumiem.
",73146,62174,0,24
6,"Neretas novada pašvaldība","Rīgas iela 1, Neretas pagasts, Aizkraukles rajons, LV-5118"," Neretas vidusskola,  Neretas pirmskolas izglītības iestāde „Ziediņš,  Kokneses speciālā internātpamatskola – attīstības centrs,  Pilskalnes pagasta padome,  Antūžu speciālā internātpamatskola, ","Pasākumu īstenošana jauniešu sociālās atstumtības riska mazināšanai Neretas pagastā","Zemgale, ",09/11/2009,"Projekta vispārīgais mērķis ir nodrošināt Neretas pagastā mācību atbalstu bērniem un jauniešiem ar mācīšanās problēmām un veicināt piemērotu izglītības piedāvājumu bērniem un jauniešiem obligātā izglītības vecumā ar zemām pamat prasmēm. Lai sasniegtu projekta vispārīgo mērķi, laika posmā no 2010. sākuma līdz 2011. gada beigām Neretas pagastā ir plānots realizēt sekojošas aktivitātes: (1) personāla nodrošināšana, (2) atbalsta pasākumu īstenošana, (3) pieredzas apmaiņa un labās prakses pārņemšana, (4) metodisko un mācību materiālu izstrāde un iegāde un (5) projektu vadība. Projekts notiks sadarbībā ar Neretas pagasta izglītības iestādēm: Neretas vidusskolu un pirmskolas izglītības iestādi „Ziediņš”, Pilskalnes pašvaldību, Kokneses speciālo internātpamatskolu – attīstības centru un Antūžu speciālo internātpamatskolu, kā rezultātā atbalsts tiks nodrošināts pavisam 116 bērniem un jauniešiem. Kopējās projekta izmaksas plānotas 224’293 LVL apmērā.",224293,190648,0,24
7,"Limbažu 2.vidusskola","Rīgas iela 30, Limbažu novads, LV-4001"," Limbažu pilsētas dome,  Sociālo pakalpojumu centrs „Limbaži”,  Bērnu un ģimenes atbalsta centrs „Limbaži”,  Ozolmuižas pamatskola,  Līvu pamatskola, ","Jauniešu sociālās atstumtības riska mazināšana Limbažu 2. vidusskolā","Rīga, Visa Latvija, ",09/11/2009,"Projekts iesniedzējs ir Limbažu 2. vidusskola, aktivitātes tiek realizētas Limbažos, Rīgas ielā 30 un skolai piederošās darbnīcās. Aktivitāšu ieviešanai piesaistīti sadarbības partneri- Limbažu pilsētas dome, Ozolmuižas pamatskola, Līvu pamatskola, sociālo pakalpojumu centrs „Limbaži”, bērnu un ģimenes atbalsta centrs „Limbaži”.
Projekta mērķis- Izstrādāt inovatīvu mācību pilotprogrammu interešu izglītības pedagoģiskajai korekcijai- jauniešiem ar mācību grūtībām, sociālās atstumtības riska grupai, tai skaitā bērniem un jauniešiem, kuru vecāki devušies peļņā uz ārzemēm, un skolniekiem no nabadzīgajām ģimenēm, kuru pēc projekta realizācijas, papildinot ar iegūto pieredzi un atziņām, varētu izmantot Latvijas izglītības iestādes, kurās tiek realizēta pedagoģiskā korekcija.
Mērķa grupas:
1. Bērni un jaunieši  ar zemām pamatzināšanām un prasmēm pedagoģiskās korekcijas klasēs vecumā no 12-18 gadiem-25;
2. Maznodrošinātie bērni un jaunieši vecumā no 12-18 gadiem- 12;
3. Bērni un jaunieši vecumā no 12- 18 gadiem, kuru vecāki devušies peļņā uz ārzemēm- 3.
Galvenās aktivitātes- interešu izglītības pilotprogrammu izstrāde pedagoģiskajai korekcijai, programmu īstenošana, informatīvi izglītojošie pasākumi, izbraukumi un ekskursijas, nometnes. 
Sagaidāmais rezultāts- interešu izglītības programmas pedagoģiskajai korekcijai, metodiskie materiāli un ieteikumi programmas realizēšanai.
Kopējās attiecināmās izmaksas- 47080 LVL, projekta realizācijas ilgums 24 mēneši no 04.01.2010.-30.12.2011.
",47080,40018,0,24
8,"Tukuma vakara un neklātienes vidusskola","Zemītes iela 5/1, Tukums, Tukuma novads, LV-3101"," Tukuma pilsētas Dome,  Tukuma Speciālā internātpamatskola,  Sabiles vidusskola, ","Mācību atbalsta nodrošināšana un darba un sadzīves prasmju apguves veicināšana sociālās atstumtības riskam pakļautajiem jauniešiem Tukuma vakara un neklātienes vidusskolā
","Kurzeme, Rīga, Zemgale, ",09/11/2009,"      Projekta „Mācību atbalsta nodrošināšana un darba un sadzīves prasmju apguves veicināšana sociālās atstumtības riskam pakļautajiem jauniešiem Tukuma vakara un neklātienes vidusskolā” mērķis ir nodrošināt mācību atbalstu bērniem un jauniešiem ar mācīšanās problēmām un veicināt piemērotu izglītības un tālākizglītības ceļu piedāvājumu jauniešiem obligātajā izglītības vecumā ar zemām pamatprasmēm Tukuma vakara un neklātienes vidusskolā (turpmāk – TVNV). 

      Atbilstoši projekta mērķim TVNV tiks īstenotas šādas aktivitātes:
- izstrādāti 9 mācību priekšmetu metodiskie materiāli un īstenota to ieviešana mācību atbalsta nodrošināšanai bērniem un jauniešiem ar mācīšanās problēmām pedagoģiskās korekcijas pamatizglītības programmās;
- nodrošināts psihologa un sociālā pedagoga atbalsts sociālās atstumtības riska bērniem un jauniešiem, viņu vecākiem un pedagogiem;
- nodrošināti atbalsta pasākumi sociālās atstumtības riska bērniem un jauniešiem;
- veicināta darba un sadzīves prasmju apguve bērniem un jauniešiem sociālās atstumtības riska grupās;
- nodrošināts piemērotu tālākizglītības ceļu piedāvājums jauniešiem obligātajā izglītības vecumā ar zemām pamatprasmēm;
- popularizēta TVNV pieredze papildu apmācību nodrošināšanā jauniešiem ar mācīšanās problēmām, darba un sadzīves prasmju apguves veicināšanā, piemērotu tālākizglītības ceļu piedāvājuma nodrošināšanā un atbalsta pasākumu nodrošināšanā sociālās atstumtības riska jauniešiem. 

      Projektā būs publikācijas masu medijos par projekta norisi, finansēšanas avotiem, plānotajiem un īstenotajiem pasākumiem.

Projekta mērķa grupa ir 80 obligātā izglītības vecuma bērni un jaunieši sociālās atstumtības riska grupās.

Projektu īstenos Tukuma vakara un neklātienes vidusskola 23 mēnešu laika periodā, iesaistot sadarbības partnerus – Tukuma Speciālā internātpamatskola, Sabiles vidusskola un Tukuma pilsētas Dome.
",60000,51000,0,23
9,"Vaiņodes vidusskola","Avotu iela 4,Vaiņode, Vaiņodes novads, LV-3435"," Pelču speciālā internātpamatskola - attīstības centrs,  Vaiņodes internātpamatskola,  Vaiņodes pagasta padome, ","Atbalsta pasākumu īstenošana Vaiņodes vidusskolai bērnu un jauniešu sociālās atstumtības riska grupu integrācijai izglītībā","Kurzeme, ",09/11/2009,"Projekta mērķis – nodrošināt Vaiņodes vidusskolā mācību atbalstu bērniem un jauniešiem ar mācīšanās problēmām un veicināt piemērotu izglītības piedāvājumu bērniem un jauniešiem obligātā izglītības vecumā ar zemām pamatprasmēm un jauniešiem ar funkcionāliem traucējumiem.
Projekta mērķa grupa - projekta „Atbalsta pasākumu īstenošana Vaiņodes vidusskolai bērnu un jauniešu sociālās atstumtības riska grupu integrācijai izglītībā” mērķa grupa ir 158 bērni un jaunieši no sociālās atstumtības riska grupām, no maznodrošinātām ģimenēm un ar speciālām vajadzībām vai funkcionāliem traucējumiem.
Projekta attiecināmās izmaksas – 91 142 LVL, t.sk., ESF finansējuma apmērs ir 77 470 LVL, jeb 85% no projekta attiecināmajām izmaksām.   
Projekta īstenotājs – Vaiņodes vidusskola.
Projektā iesaistītie sadarbības partneri – Pelču speciālā internātpamatskola – attīstības centrs, Vaiņodes internātpamatskola, Vaiņodes pagasta padome.
Projekta īstenošanas vieta –   Avotu iela 4, Vaiņode, Liepājas rajons, LV-3436
Projekta īstenošanas ilgums un laiks – 24 mēneši
Projekta galvenās aktivitātes – sociālo prasmju veidošanas un saskarsmes prasmju attīstības pasākumu izveidošana un darbība, skolotāja palīga amatu un atbalsta personāla nodrošināšana, nepieciešamo papildu apmācību nodrošināšana mācību priekšmetos un pagarināto dienas grupu darbība.
Projekta iznākuma rādītāji – projektā plānotajās aktivitātēs piedalīsies un pakalpojumus saņems 158 bērni un jaunieši (izglītojamie) no Kurzemes reģiona.
Projekta rezultāta rādītāji – projektā plānotajās aktivitātēs piedalīsies un pakalpojumus saņems 100% bērni un jaunieši (izglītojamie) no Vaiņodes vidusskolā esošajiem bērniem un jauniešiem no sociālās atstumtības riska grupām, no maznodrošinātām ģimenēm un ar speciālām vajadzībām vai funkcionāliem traucējumiem.
",91142,77470,0,24
10,"Valmieras Pārgaujas ģimnāzija","Zvaigžņu iela 4, Valmiera, LV-4201"," Valmieras pilsētas pašvaldība,  Valmieras rajona bērnu un jauniešu invalīdu biedrība „Saulīte”,  Valmieras pamatskola,  Dauguļu speciālā internātpamatskola,  Cēsu 2. pamatskola,  Rud vidusskola ,  Porkuni speciālā skola,  Sporta biedrība „ViVil”,  Valmieras pilsētas pašvaldība, Valmieras vājdzirdīgo bērnu internātpamatskola – attīstības centrs (VVIPS), ","Sociālās integrācijas programma jauniešiem dzīves, darba prasmju un karjeras attīstībai","Vidzeme, ",09/11/2009,"Projekta „Sociālās integrācijas programma jauniešiem dzīves, darba prasmju un karjeras attīstībai” mērķis ir nodrošināt atbalsta pasākumu programmu sociālās atstumtības riska grupas jauniešu un jauniešu ar funkcionālajiem traucējumiem dzīves prasmju, darba prasmju un karjeras attīstībai, kā arī integrācijai pārējā vienaudžu sabiedrībā.
Uz projekta sagatavošanas brīdi kā projekta tiešā mērķa auditorija ir izvirzīta un apzināti Valmieras Pārgaujas ģimnāzijas sekojoši skolēni:
-ar speciālām vajadzībām un funkcionāliem traucējumiem – 14;
-bāreņi vai aizbildniecībā esoši -8;
-bērni, kuriem viens vai abi vecāki ir devušies strādāt uz ārzemēm – 31;
-no nabadzīgām ģimenēm - 51.
Projektu plānots īstenot 24 mēnešu laikā un galvenokārt tā aktivitātes tiks īstenotas Valmierā. Projekta kopējās attiecināmās izmaksas ir LVL 42500. Projekta rezultātā vismaz 104 sociālās atstumtības riska grupu izglītojamo būs saņēmuši ESF atbalstu mācībām.
Projekta galvenās aktivitātes ir sekojošas:
1)izglītības iestādes darbinieku apmācība darbam ar sociālās atstumtības riska grupas jauniešiem un jauniešiem ar speciālām vajadzībām un funkcionāliem traucējumiem;
2)metodisko un mācību materiālu izstrāde, nepieciešamo mācību līdzekļu iegāde;
3)pasākumu kopuma īstenošana jauniešiem dzīves prasmju, darba prasmju un karjeras attīstībai;
4)projekta publicitātes aktivitātes;
5)projekta vadība.
Projektu īstenos Valmieras Pārgaujas ģimnāzija kopā ar sekojošiem sadarbības partneriem:
-Valmieras pilsētas pašvaldība
-Valmieras pamatskola
-Valmieras vājdzirdīgo bērnu internātpamatskola;
-Valmieras rajona bērnu un jauniešu invalīdu biedrība „Saulīte”
-Dauguļu speciālā internātpamatskola
-Rud vidusskola (Norvēģija)
-Porkuni speciālā skola (Igaunija)
-Sporta biedrība „ViVil” (Norvēģija)
",42500,36125,0,24
