"Finansējuma saņēmējs","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas papildinājuma aktivitātes nosaukums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas, t.sk.","ERAF finansējums. LVL","Valsts budžeta līdzfinansējums, LVL","Projekta īstenošanas laiks mēnešos","Region"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P121 Tukums - Kuldīga posma Rūpjkalni - Krogsētas (km 58,39 – 70,88) rekonstrukcija","Kabiles/Rumbas pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","7 576 271,19","6 439 830,51","1 136 440,68",24,"KURZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P121 Tukums - Kuldīga posma Krogsētas - Kuldīga (km 70,88 – 77,45) t. sk. tilta pār Veldzi rekonstrukcija","Rumbas pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","4 616 949,15","3 924 406,78","692 542,37",24,"KURZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P124 Ventspils – Kolka posma Sīkrags - Mazirbe (km 50,10 – 56,30) rekonstrukcija","Kolkas pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","2 364 406,78","2 009 745,76","354 661,02",24,"KURZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P121 Tukums - Kuldīga posma Vāne - Kabile (km 41,90 – 52,34) rekonstrukcija","Vānes/Kabiles pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","6 923 728,81","5 885 169,49","1 038 559,32",24,"KURZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P124 Ventspils – Kolka posma Lielirbe - Sīkrags (km 39,95 – 50,10) rekonstrukcija","Tārgales/Kolkas pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","3 737 288,13","3 176 694,91","560 593,22",24,"KURZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P124 Ventspils – Kolka posma Lūžņa - Lielirbe (km 27,80 - 39,79) rekonstrukcija","Tārgales pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","4 118 644,07","3 500 847,46","617 796,61",24,"KURZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P124 Ventspils – Kolka posma Mazirbe - Vaide (km 56,30 – 67,30) rekonstrukcija","Kolkas pagasts","16.07.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","2 519 505,44","2 141 579,63","377 925,81",24,"KURZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P45 Viļaka - Kārsava posma Semenova – Čilipīne (km 6,35 – 16,54) rekonstrukcija","Medņevas/Šķilbēnu pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","5 474 576,27","4 653 389,83","821 186,44",24,"LATGALES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P45 Viļaka - Kārsava posma Baltinava – Zubki (km 32,00 – 42,30) rekonstrukcija","Baltinavas pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","4 322 033,90","3 673 728,81","648 305,09",24,"LATGALES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P62 Krāslava – Preiļi - Madona posma Preiļi – Prīkuļi (km 62,20 – 70,70) t. sk. tilta pār Feimanku, rekonstrukcija","Preiļu/Saunas pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","4 313 559,32","3 666 525,42","647 033,90",24,"LATGALES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P36 Rēzekne - Gulbene posma Kapūne – pagrieziens uz Lubānu (km 56,47 – 65,60) t. sk. tiltu pār Vārnieni un Bolupi rekonstrukcija","Lazdukalna/Rugāju pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","5 076 271,19","4 314 830,51","761 440,68",24,"LATGALES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P69 Skrudaliena – Kaplava - Krāslava posma Saliena – Lielborne (km 10,93– 19,07) rekonstrukcija","Salienas pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","4 406 779,66","3 745 762,71","661 016,95",24,"LATGALES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P57 Malta – Sloboda posma Puša – Krāslavas rajona robeža (km 10,81 – 21,08) rekonstrukcija","Pušas pagasts","12.09.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","3 605 414,56","3 064 602,39","540 812,17",24,"LATGALES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P36 Rēzekne – Gulbene posma tilts pār Pededzi – Gulbene (km 76,30 – 86,12) t. sk. tilta pār Pededzi rekonstrukcija","Stradu pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","6 677 966,10","5 676 271,19","1 001 694,91",24,"VIDZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P32 Līgatne – Skrīveri posma Zaube – Ogres rajona robeža (km 28,91 – 36,44) rekonstrukcija","Zaubes pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","4 830 508,47","4 105 932,20","724 576,27",24,"VIDZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P33 Ērgļi – Vecpiebalga - Saliņkrogs posma Zariņi – Jaunpiebalga (km 35,16 – 41,20) rekonstrukcija","Jaunpiebalgas pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","3 635 593,22","3 090 254,24","545 338,98",24,"VIDZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P36 Rēzekne – Gulbene posma pagrieziens uz Lubānu – tilts pār Pededzi (km 65,60 – 76,30) rekonstrukcija","Rugāju/Stradu pagasts","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","5 457 627,12","4 638 983,05","818 644,07",24,"VIDZEMES PLĀNOŠANAS REĢIONS"
"Latvijas Republikas Satiksmes ministrija","Valsts 1.šķiras autoceļa P32 Līgatne – Skrīveri posma Cēsu rajona robeža - Nītaure (km 13,98 – 16,88) rekonstrukcija","Nītaures pagasts ","27.06.2008.","3.2.1.1.Valsts 1.šķiras autoceļu maršrutu sakārtošana","Valsts 1.šķiras autoceļa ar grants segumu asfaltēšana-rekonstrukcija un seguma tipa maiņa no grants vai šķembu uz melno (asfaltbetona) segumu","1 313 559,32","1 116 525,42","197 033,90",12,"VIDZEMES PLĀNOŠANAS REĢIONS"
