Country/Countries,Level,Region,Parsed data file,Program,Initial,"Sub-program
information",Agency (that oversees funding),Explanatory Notes,Currency,Excel/PDF,Priority,"Data
available
for
2007","Data
available
for
2008","Data
available
for
2009","Data
available
for
2010",Original file name,Currency Field,European Fund Name Field,Sub-region / County Field,Objective Field,Legal entity Field,Beneficiary Field,Intermediate Body Field,Project Title Field,District Field,Description Field,Subcontractor Field,Operational Program Name Field,Sub Program Name Field,Sub Sub Program Name Field,Category Field,Amount (unknown source) Field,Match-funded Field,Amount Allocated (EU Funds) Field,Amount Allocated (Public Funds) Field,Amount Allocated (Private Funds) Field,Public/private match funding,Amount Allocated (Voluntary Funds) Field,Amount Allocated (EU Funds and Public Funds Combined) Field,Amount Paid Field,Year Field,Date Field,Start Year Field,Final Payment Year Field,Approval period,Direct link to PDF,"Direct link to
Excel","Direct Link to 
HTML",Direct link to Doc,Last Updated,Next update ,Waiting for response,Contact,Uri to landing page,Action
GREECE,national,All regions,no data in file,"ERDF,ESF,CF",,Environment - Sustainable Development,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=313,,,,,,,,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//greece/index_en.htm
GREECE,national,All regions,no data in file,"ERDF,ESF,CF",,Enhancing Accessibility,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=314,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,no data in file,"ERDF,ESF,CF",,Entrepreneurship and Competitiveness,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=315,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,no data in file,"ERDF,ESF,CF",,Digital Convergence,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=316,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,gr_human_resources_development.csv,"ERDF,ESF,CF",,Human Resources Development,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,EUR,PDF,Tier 1,,,,,ep_anapt_anthrop_dunam_sep09.pdf,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,year_joined,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,gr_education_lifelong_learning.csv,"ERDF,ESF,CF",,Education and Lifelong Learning,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,EUR,PDF,Tier 1,,,,,Link no longer works,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,year_joined,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,gr_admin_reform.csv,"ERDF,ESF,CF",,Administrative Reform,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,EUR,PDF,Tier 1,,,,,ep_dioikitiki_metar_aug09.pdf,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,year_joined,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,,"ERDF,ESF,CF",,Technical Assistance,,no data in file All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=320,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,Macedonia - Thrace,gr_macedonia_thrace.csv,"ERDF,ESF,CF",,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,EUR,PDF,Tier 1,,,,,Link no longer works,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,year_joined,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=343,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,Western Greece - Peloponnesus - Ionian Islands,gr_western_greece.csv,"ERDF,ESF,CF",,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,EUR,PDF,Tier 1,,,,,Link no longer works,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,year_joined,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=361,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,Crete and the Aegean Islands,gr_crete_aegean_islands.csv,"ERDF,ESF,CF",,,,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,EUR,PDF,Tier 1,,,,,Link no longer works,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,year_joined,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=337,,,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
