"No of Agreements","Project Ref. No.","Name of Beneficiaries","Name of Operation","Year of Allocation","Amounts Committed","Co-financing Rate [European Social Fund]",,,,,,,,,,,
1,"TAF/ 001 ","Maltapost p.l.c. ","First Aid Course",2009,"€ 673.20",60.00%,,,,,,,,,,,
1,"TAF/ 002","Playmobil Malta LTD","Employment Law",2009,"€ 595.08",60.00%,,,,,,,,,,,
1,"TAF/ 003","Carlo Gavazzi","Employment Law",2009,"€ 168.00",80.00%,,,,,,,,,,,
1,"TAF/ 004","Abertax Quality Limited","Management skills for Supervisors",2009,"€ 1,789.60",80.00%,,,,,,,,,,,
1,"TAF/ 005","Simonds Farsons Cisk","Oracle Database 10g: Administration Workshop 1 Release 2",2009,"€ 1,937.77",60.00%,,,,,,,,,,,
1,"TAF/ 006","L'Amical Beauty Salon","Nail Application",2009,"€ 1,532.96",80.00%,,,,,,,,,,,
1,"TAF/ 007","Toly Products","Master in Business Administration",2009,"€ 9,197.53",60.00%,,,,,,,,,,,
1,"TAF/ 008","Alberta Fire & Security","IntensiveCourse on MS Excel",2009,"€ 420.00",70.00%,,,,,,,,,,,
1,"TAF/ 009","Baxter Limited","Ms Excel 2007 - Group 2",2009,"€ 356.17",60.00%,,,,,,,,,,,
1,"TAF/ 010","Baxter Limited","Ms Excel 2007 - Group 3",2009,"€ 203.86",60.00%,,,,,,,,,,,
1,"TAF/ 011","Baxter Limited","Ms Excel 2007 - Group 3",2009,"€ 296.20",60.00%,,,,,,,,,,,
1,"TAF/ 012","Baxter Trading Co Limited","Ms Word 2007 - Group 2",2009,"€ 45.29",60.00%,,,,,,,,,,,
1,"TAF/ 013","Baxter Trading Co Limited","Ms Word 2007 - Group 2",2009,"€ 96.58",60.00%,,,,,,,,,,,
1,"TAF/ 014","Baxter Trading Co Limited","Ms Excel 2007 - Group 2",2009,"€ 103.66",60.00%,,,,,,,,,,,
1,"TAF/ 015","Gutenberg Press Ltd","Master in Business Administration",2009,"€ 10,000.00",70.00%,,,,,,,,,,,
1,"TAF/ 016","Price Water House Coopers","Effective Writing Skills",2009,"€ 726.25",60.00%,,,,,,,,,,,
