Projectnummer,Naam aanvrager,Projectnaam,Jaar van verlening,verleend Subsidiebedrag,Percentage ESF
2009ESFN784,Sogeti Nederland B.V.,Duurzaam werken,2009,€ 120.00,75
2009ESFN902,TailorMade Media Group BV,Fleximaal,2009,€ 91.20,75
2009ESFN520,VTN Verkeers- en Besturingstechniek,De dag van morgen,2009,€ 112.13,75
2009ESFN522,Provincie Groningen,Samen Slimmer werken in de Jeugdzorgketen,2009,€ 119.70,75
2009ESFN586,SNS REAAL,Het Nieuwe Werken,2009,€ 119.80,75
2009ESFN785,politie Gelderland-Midden,Ontketende Procesgerichte&Proactieve Samenwerking,2009,€ 119.85,75
2009ESFN550,Capgemini Education BV,Flexibilisering arbeidsorganisatie,2009,€ 119.57,75
2009ESFN789,Sogeti Nederland B.V.,Het Wiel,2009,€ 114.20,75
2009ESFN574,Saffier,Saffier in Control,2009,€ 119.35,75
2009ESFN517,"Hogeschool Utrecht, Faculteit Natuur en Techniek",Sociale Innovatie bij Instituut Gebouwde Omgeving,2009,€ 119.96,75
2009ESFN816,De Vries Scheepsbouw Makkum,Pelorus Jack,2009,€ 118.69,75
2009ESFN541,Ubbink bv,4US (Ubbink Samen Sterk Slim en Sociaal),2009,€ 84.85,75
2009ESFN780,Acera Accountants & Raadgevers,"Anders werken, anders denken",2009,€ 117.33,75
2009ESFN858,TMC Group NV,Entrepreneurial Lab,2009,€ 106.50,75
2009ESFN526,Movares Nederland B.V.,Sociale Innovatie Movares - Duurzaam in beweging,2009,€ 91.46,75
2009ESFN570,Hutten Horeca Exploitatie B.V.,Samen werken aan sociale innovatie,2009,€ 114.54,75
2009ESFN502,Habe Afbouw B.V.,Front van de bouw,2009,€ 73.54,75
2009ESFN821,Stichting Mondriaan,Arbeidsorganisatie PsyCope,2009,€ 89.22,75
2009ESFN892,Kraamzorg Rotterdam,"ISK fase 2: integratie, borging en verbetering",2009,€ 104.65,75
2009ESFN536,MachineFabriek Eerbeek,werken aan de toekomst,2009,€ 103.95,75
2009ESFN880,RIBW Nijmegen & Rivierenland,Participeren 2.0,2009,€ 116.42,75
2009ESFN808,Politieacademie,"Slim Vakmanschap, beter blauw",2009,€ 117.91,75
2009ESFN855,W. Heemskerk BV,Kwaliteit in Uitvoering,2009,€ 94.72,75
2009ESFN801,Delicia B.V.,"Optimaal benutten Kennis, Talent & Capaciteit",2009,€ 109.52,75
2009ESFN499,Fabory Nederland bv,Verhogen arbeidsproductiviteit,2009,€ 90.71,75
2009ESFN790,Werkgeversvereniging Zorgsector Twente en Achterhoek,Invoering stages zomerperiode,2009,€ 118.33,75
2009ESFN829,Atos Origin Nederland B.V.,ITeams,2009,€ 119.88,75
2009ESFN554,FloraHolland,Flexibilisering Logistiek,2009,€ 82.48,75
2009ESFN812,InterPoule b.v.,Normeringsproces,2009,€ 120.00,75
2009ESFN581,Go-tan B.V.,Gerouleerd pauzeren en slimmer werken bij Go-Tan,2009,€ 119.87,75
2009ESFN896,K.M.W.E. Precisie Eindhoven B.V.,Creating Smart Solutions,2009,€ 120.00,75
2009ESFN898,WTH Vloerverwarming en Koeling,WTH-2010,2009,€ 119.93,75
2009ESFN510,J.A.M. Groenewegen bv,Procesverbetering productietuinbouw,2009,€ 119.89,75
2009ESFN515,MAASTRO clinic,FLEXPOOL BESTRALINGSPERSONEEL,2009,€ 106.29,75
2009ESFN782,Waterlandziekenhuis,Zelfroosteren als sociaal innovatief instrument,2009,€ 58.10,75
2009ESFN897,Alares,Alares 3.0,2009,€ 45.47,75
2009ESFN885,Uniq Sandwiches B.V.,Taakverrijking & Zelfsturing van operators,2009,€ 120.00,75
2009ESFN865,Linxx,Netwerk organiseren,2009,€ 46.72,75
2009ESFN514,H.S.F. Holding B.V. h.o.d.n. Kip Nederland,Kip Voorop!,2009,€ 89.40,75
2009ESFN781,Thomas & Betts Netherlands B.V.,Lean in the office,2009,€ 87.41,75
2009ESFN851,Capgemini N.V.,"Learning from Toyota, the Capgemini way",2009,€ 119.10,75
2009ESFN886,Wine Excel BV,Opt. competentiegebruik door Multi inzetbaar pers.,2009,€ 119.99,75
2009ESFN895,Agio Sigarenfabrieken NV,Naar flexibel personeel wat duurzaam inzetbaar is,2009,€ 110.40,75
2009ESFN971,Ucosan b.v.,Net-Werk,2009,€ 120.00,75
2009ESFN495,Schaaf beveiliging B.V.,Schaaf investeert in personeel,2009,€ 98.12,75
2009ESFN824,Lubrizol Advanced Materials Resin Bv,Flexibel roosteren,2009,€ 38.29,75
2009ESFN871,Metaalwerken Bergen op Zoom b.v.,Verhogen van arbeidsproductiviteit door slimmer we,2009,€ 114.98,75
2009ESFN596,Kingspan Insulation B.V.,Werkplezier door taakroulatie en taakverrijking,2009,€ 119.55,75
2009ESFN573,RET NV,Collectief geheugen CVL,2009,€ 92.72,75
2009ESFN508,Meilof Riks BV,BAOT,2009,€ 72.61,75
2009ESFN528,Amphiaziekehuis,"SLIM (snel, logisch, innovatief, meetbaar)",2009,€ 120.00,75
2009ESFN569,Careyn,Ge(s)laagd plannen in de Thuiszorg,2009,€ 120.00,75
2009ESFN825,Gunnebo Doetinchem B.V.,Poka yoke binnen de middelgrote metaalnijverheid,2009,€ 111.47,75
2009ESFN881,Randstad Nederland,Talentmanagement,2009,€ 100.20,75
2009ESFN888,DHL Supply Chain Rotterdam,Capaciteitsbenutting in zelfsturende teams,2009,€ 120.00,75
2009ESFN904,Natuursteen Produktie Asten BV,Efficiënter werken door Sociale Innovatie,2009,€ 119.97,75
2009ESFN589,Otto B.V.,Online-Only 2.0,2009,€ 118.71,75
2009ESFN791,Stichting Opleidingsfonds Levensmiddelenindustrie,SOL werkt slim aan haar toekomst,2009,€ 43.58,75
2009ESFN535,Brakel Aluminium bv,Pro4Vision,2009,€ 119.99,75
2009ESFN856,Essent Milieu Noord bv,Flexibele Schil,2009,€ 119.19,75
2009ESFN776,MagentaZorg,"Zorg, anders georganiseerd",2009,€ 119.46,75
2009ESFN580,Lely Industries N.V.,Continuous Improvement > Zelftransformerende Org.,2009,€ 120.00,75
2009ESFN870,Regionale Stichting Zorgcentra de Kempen,Zelfroosteren@RSZK,2009,€ 43.99,75
