Provincie Fryslân,Fryslân Fernijt ,2008 /,"€ 2.970.000,-",
Provincie Drenthe,IAD ,2008 /,"€ 3.000.000,-",
Provincie Groningen,IAG,2008 /,"€ 3.050.000,-",
"Gedeputeerde staten van de provincies Groningen, Friesland en Drenthe",IPR 2008,2008 /,"€ 4.500.000,-", 
Aqua Zoo Friesland,Investeringsprogramma Aqua Zoo,2008 /,"€ 1.750.000,-", 
"Gedeputeerde staten van de provincies Groningen, Friesland en Drenthe",NIOF 2008,2008 /,"€ 5.000.000,-", 
Stichting Kenniscentrum Duurzame Innovaties,Cartesius Institute,2008 /,"€ 3.044.100,-", 
Stichting Sensor Universe,Sensor Universe II,2008 /,"€ 946.904,-", 
Hanzehogeschool Groningen,Flexines,2008 /,"€ 448.221,-", 
Rijksuniversiteit Groningen,Grasp,2008 /,"€ 10.000.000,-", 
Stichting Energy Valley,Energy Valley III,2008 /,"€ 836.355,-", 
Wetsus,Wetsus Europese Waterhub,2008 /,"€ 1.775.007,-", 
Rijksuniversiteit Groningen,Carbohydrate Competence Center,2008 /,"€ 4.243.881,-", 
"Gedeputeerde staten van de provincies Groningen, Friesland en Drenthe",HRM 2009,2008 /,"€ 3.000.000,-", 
ROC Noorderpoort,Bedrijfsgerichte Actie Techniek en Scholing (BATS),2008 /,"€ 427.400,-", 
Stichting Delfsail,Delfsail 2009,2008 /,"€ 125.000,-", 
Stichting Expeditie Leeuwarden,Stadsmarketing Leeuwarden,2008 /,"€ 874.912,-", 
Ontwikkelingsbedrijf Westergo B.V.,Openbare havenkade Harlingen,2009 /,€ 1.819.640.-, 
Provincie Drenthe,STINAT,2009 /,"€ 3.000.000,-", 
Animal Sciences Group B.V.,Bio Energie Noord II,2009 /,"€ 213.935,-", 
"Gemeente Groningen, Afdeling Economische Zaken",Ondernemerstrefpunt,2009 /,"€ 460.000,-", 
Kamer van Koophandel Noord,WIN!,2008 /,"€ 1.244.050,-", 
NOM N.V.,Flinc,2008 /,"€ 817.726,-", 
Technologiecentrum Noord-Nederland (TCNN),Kennistransfer en kennisnetwerkprojecten,2008 /,"€ 1.201.000,-", 
Syntens Groningen,Innovatie door kenniscirculatie,2008 /,"€ 675.000,-", 
Gemeente Noordenveld,Kolonie in beeld,2009 /,"€ 2.389.934,-", 
Waterleidingsmaatschappij Drenthe N.V.,Watersense,2009 /,"€ 384.870,-", 
CrystalQ Group B.V.,Groei van Saffierkristallen voor de LED-industrie,2009 /,"€ 560.000,-", 
HZPC Holland B.V.,Sensorview,2009 /,"€ 620.959,-", 
Hoogland Gras- en Groenvoeders Marrum B.V.,Mobiele grasbioraffinage,2009 /,"€ 648.178,-", 
Stichting Keramiekmuseum Princessehof,Keramiek en publiek,2009 /,"€ 426.888,-", 
Stichting Cultureel Centrum De Harmonie,Opschaling Fries Straatfestival,2009 /,"€ 407.850,-", 
Wetterskip Fryslân,Demosite RWZI Leeuwarden,2009 /,"€ 159.071,-", 
Consortium Drug Delivery en Targeting Cluster,Drug delivery and targeting cluster,2009 /,"€ 1.454.320,-", 
Stichting IJkdijk,Macrostabiliteitsonderzoek (IJkdijk),2009 /,"€ 353.115,-", 
NOM N.V.,Acquisitie Ondersteunend Programma,2009 /,"€ 850.000,-", 
Hanzehogeschool Groningen,Versterking Ondernemerschap Toeristische Sector,2009 /,"€ 480.000,-", 
Gemeente Hoogeveen,Revitalisering bedrijventerrein de Wieken Hoogeveen,2009 /,"€ 2.500.000,-", 
Stichting Wetsus,Inner Circle Noord,2009 /,"€ 655.188,-", 
Paques B.V.,Van Piloot naar Prototype,2009 /,"€ 109.214,-", 
Stenden Hogeschool,Kenniscentrum Sociale Innovatie,2009 /,"€ 278.440,-", 
Gemeente Haren,Meerweg ontwikkelt Meer,2009 /,"€ 500.000,-", 
SNN uitvoeringsorganisatie,"IPR 2008, begrotingsjaren 2009-2010",2009 /,"€ 5.000.000,-", 
DeSah B.V.,De wijk Noorderhoek,2009 /,"€ 100.000,-", 
Paques B.V.,Bugs to the Rescue,2009 /,"€ 1.238.920,-", 
Stichting IJkdijk,Ontwikkelingstraject IJkdijk,2009 /,"€ 713.078,-", 
Koninklijke Metaalunie district Noord,OBM+ Friesland en OBM+ Drenthe / Groningen,2009 /,"€ 816.000,-", 
Stichting Fryslân Marketing,Fryslan Topattractie van Nederland,2009 /,"€ 1.360.000,-", 
Provincie Groningen,TRI Blauwe Stad fase 2,2009 /,"€ 100.000,-", 
 ,,,,
