GO EFRO 2007-2013,,,,,,,,,,,
Tabel 4 gecommitteerde projecten,,,,,, aod 11 march 2010 ,,,,,
Gecommitteerde projecten GO EFRO 2007 - 2013 ,,,,,,,,,,,
StatusVoor,8,,,,,,,,,,
PRIORITEIT,Provincie,Zaaknummer,Projectnaam, Som van TSKcom , Som van EFROcom , Som van EZcom , Som van OVRIJKcom , Som van PROV_GLDcom , Som van PROV_OVcom , Som van GEMEENTEcom , Som van OVERIGcom 
1,GLD,2008-005272,Het ACT op weg naar …," € 670,350 "," € 294,675 ", € - , € - ," € 300,675 ", € - , € - ," € 60,000 "
,,2008-006909,"Inspiratie, initiatie, innovatie, Food Valley"," € 4,941,296 "," € 2,230,045 "," € 951,092 ", € - ," € 951,092 ", € - , € - , € - 
,,2008-007445,Health Valley," € 3,722,904 "," € 1,675,306 "," € 951,299 ", € - ," € 951,299 ", € - , € - ," € 145,000 "
,,2008-010644,WPM: Werkingsprincipe van de droge sortering," € 811,940 "," € 405,970 ", € - , € - , € - , € - , € - , € - 
,,2008-015473,GELDerland voor Innovaties," € 4,196,575 "," € 2,098,275 ", € - , € - ," € 1,049,150 ", € - , € - , € - 
,,2008-016318,EMT Innovatiemotor," € 2,498,640 "," € 1,120,000 "," € 100,000 ", € - ," € 300,000 ", € - ," € 175,000 "," € 280,000 "
,,2008-017586,Veluws Centrum voor Technologie," € 758,765 "," € 367,188 ", € - , € - ," € 315,000 ", € - , € - , € - 
,,2008-020752,Innovatiefonds Oost Nederland," € 13,636,364 "," € 6,136,364 "," € 2,500,000 ", € - ," € 2,500,000 "," € 2,500,000 ", € - , € - 
,,2008-021097,"Lusaro, innovatie in aanhangers"," € 454,228 "," € 152,484 ", € - , € - ," € 152,484 ", € - , € - , € - 
,,2009-002042,Innovatiebevordering Stedendriehoek," € 685,000 "," € 308,250 "," € 176,750 ", € - ," € 100,000 "," € 100,000 ", € - , € - 
,,2009-007782,Mondzorg," € 325,736 "," € 146,581 "," € 37,189 ", € - , € - , € - , € - , € - 
,,2009-010034,Ultragas," € 4,312,201 "," € 1,596,400 ", € - , € - ," € 1,078,050 ", € - , € - , € - 
,,2009-010906,TSP," € 5,199,472 "," € 2,246,079 ", € - , € - ," € 962,606 ", € - , € - , € - 
,,2009-013010,Ontwikkeling vluchtige metabolietentest voor koemelk," € 1,003,220 "," € 315,100 ", € - , € - ," € 315,100 ", € - , € - , € - 
,,2009-013419,RCT De Vallei," € 779,020 "," € 350,559 ", € - , € - ," € 350,559 ", € - , € - , € - 
,Totaal GLD,,," € 43,995,711 "," € 19,443,276 "," € 4,716,330 ", € - ," € 9,326,015 "," € 2,600,000 "," € 175,000 "," € 485,000 "
,OV,2008-003916,Iseti Kennisontwikkelingsprogramma," € 11,942,900 "," € 2,985,725 "," € 1,492,863 ", € - , € - , € - , € - ," € 1,492,863 "
,,2008-005846,Gezonde Klassen," € 1,133,799 "," € 243,889 "," € 121,945 ", € - , € - ," € 121,945 ", € - , € - 
,,2008-009102,Central Filling in combinatie met geautomatiseerde medicijnuitgifte," € 1,717,692 "," € 772,961 ", € - , € - , € - ," € 85,884 ", € - , € - 
,,2008-009258,Integraal Praktijk Centrum (IPC) Hart van Zuid," € 6,346,700 "," € 1,821,345 ", € - ," € 400,000 ", € - , € - , € - , € - 
,,2008-009805,"Main Manufacturing Excellence Project, deel 1"," € 11,337,966 "," € 5,102,085 ", € - , € - , € - ," € 683,941 ", € - ," € 683,940 "
,,2008-017219,Internationale Innovatie MKB Oost Nederland," € 987,836 "," € 444,526 ", € - , € - ," € 166,329 "," € 166,329 ", € - , € - 
,,2008-018186,N-GAP," € 4,180,049 "," € 1,045,012 "," € 348,337 ", € - , € - ," € 348,337 ", € - ," € 348,338 "
,,2008-019761,Safe Tyres and Save Energy (STSE)," € 2,687,186 "," € 1,209,234 "," € 258,782 ", € - , € - , € - , € - , € - 
,,2009-002025,Nirion," € 2,681,437 "," € 913,107 "," € 913,107 ", € - , € - , € - , € - , € - 
,,2009-002510,X750; Nieuwe generatie geavanceerde testapparatuur," € 2,362,690 "," € 597,432 "," € 298,716 ", € - , € - ," € 298,716 ", € - , € - 
,,2009-004733,IPC Hart van Zuid Exploitatie," € 5,536,672 "," € 1,382,918 "," € 460,972 ", € - , € - ," € 460,973 ", € - ," € 460,973 "
,,2009-008754,SCOOP," € 2,144,150 "," € 543,257 "," € 271,629 ", € - , € - ," € 271,629 ", € - , € - 
,,2009-011552,Venture Lab Twente opleiding & trainingen," € 4,168,474 "," € 1,166,667 "," € 1,166,667 ", € - , € - , € - , € - ," € 1,805,140 "
,,2009-014663,Triple Green Data Centers," € 16,894,670 "," € 2,000,000 "," € 1,000,000 ", € - , € - ," € 1,000,000 ", € - , € - 
,,2009-016835,Bedrijfsgerichte Innovatieregeling 'Overijssel Innoveert'," € 15,960,000 "," € 3,500,000 "," € 3,955,000 ", € - , € - ," € 800,000 ", € - , € - 
,,2009-018829,GO Kinderbakfiets," € 410,100 "," € 115,100 ", € - , € - ," € 65,000 "," € 50,000 ", € - , € - 
,,2009-019212,Implementatieplan TPRC," € 8,200,000 "," € 1,465,727 "," € 1,009,273 ", € - , € - ," € 1,625,000 ", € - ," € 500,000 "
,Totaal OV,,," € 98,692,321 "," € 25,308,985 "," € 11,297,291 "," € 400,000 "," € 231,329 "," € 5,912,754 ", € - ," € 5,291,254 "
Totaal 1,,,," € 142,688,032 "," € 44,752,261 "," € 16,013,621 "," € 400,000 "," € 9,557,344 "," € 8,512,754 "," € 175,000 "," € 5,776,254 "
2,GLD,2008-004779,Ringstraten Nijmegen Economisch offensief: Opwaardering verblijfs- en vestigingsklimaat," € 4,609,189 "," € 2,074,135 ", € - , € - , € - , € - ," € 2,535,054 ", € - 
,,2008-009173,Revitalisering Harselaar West," € 7,616,987 "," € 1,000,000 "," € 1,300,000 ", € - ," € 2,200,000 ", € - ," € 3,116,987 ", € - 
,,2008-019908,Berg en Bos 'Stadspark met allure'," € 3,528,792 "," € 1,764,396 ", € - , € - , € - , € - ," € 1,454,678 ", € - 
,,2008-020001,Duurzaam Bedrijventerrein Schuttersveld-Zuid," € 955,640 "," € 430,038 ", € - , € - ," € 250,000 ", € - ," € 275,602 ", € - 
,,2008-021809,Spoorallee," € 4,777,261 "," € 2,000,000 ", € - , € - , € - , € - ," € 2,777,261 ", € - 
,,2009-002700,Arnhem Nijmegen Cool Region: samen de regionale concurrentiekracht versterken!," € 997,326 "," € 500,000 ", € - , € - , € - , € - ," € 5,000 "," € 476,326 "
,,2009-003215,Revitalisering Maldense Bedrijventerreinen," € 1,527,546 "," € 339,005 ", € - , € - ," € 763,773 ", € - ," € 424,768 ", € - 
,,2009-009973,QW-projecten Rijnhaven," € 7,562,000 "," € 1,281,726 ", € - ," € 3,156,000 "," € 1,000,000 ", € - ," € 2,124,274 ", € - 
,Totaal GLD,,," € 31,574,741 "," € 9,389,300 "," € 1,300,000 "," € 3,156,000 "," € 4,213,773 ", € - ," € 12,713,624 "," € 476,326 "
,OV,2008-014616,C&R vouchers prioriteit 2," € 518,094 "," € 233,142 ", € - , € - , € - ," € 284,952 ", € - , € - 
,,2008-016422,Nieuwe afmeervoorziening voor de riviercruisevaart," € 4,309,578 "," € 959,578 ", € - ," € 1,000,000 ", € - ," € 700,000 "," € 1,650,000 ", € - 
,,2008-016531,Opwaardering Lage Wellekade," € 1,853,833 "," € 115,422 ", € - , € - , € - ," € 400,000 "," € 1,338,411 ", € - 
,,2008-016657,Aanlichting Waterfront," € 1,019,693 "," € 225,000 ", € - , € - , € - ," € 200,000 "," € 594,693 ", € - 
,,2008-017146,Internationaal Indoor Sportcentrum Almelo (IISPA)," € 15,524,400 "," € 1,250,000 ", € - , € - , € - ," € 1,000,000 "," € 12,666,200 ", € - 
,,2008-019796,Het Geheim van Graaf Sassendonk," € 543,000 "," € 244,350 ", € - , € - , € - ," € 80,650 "," € 110,000 "," € 100,000 "
,,2009-000871,Theater en cultuur Hertme in de Groene Poort," € 461,000 "," € 207,000 ", € - , € - , € - ," € 154,000 "," € 50,000 ", € - 
,,2009-008717,HOV-Midden Fase 3 en 4," € 3,459,764 "," € 1,700,000 ", € - , € - , € - , € - ," € 759,764 "," € 1,000,000 "
,,2009-019103,Crypte Geert Groote - Lamme van Dieseplein," € 1,360,000 "," € 500,000 ", € - , € - , € - ," € 600,000 "," € 135,000 ", € - 
,,2009-021075,"Herstructurering Bedrijventerrein Twentekanaal Middengebied, fase 1"," € 3,671,000 "," € 750,000 ", € - ," € 750,000 ", € - ," € 500,000 "," € 1,171,000 "," € 500,000 "
,,2009-023636,Verbetering bereikbaarheid bedrijventerrein Zwolle," € 6,475,000 "," € 1,500,000 ", € - , € - , € - ," € 1,575,000 "," € 3,400,000 ", € - 
,Totaal OV,,," € 39,195,362 "," € 7,684,492 ", € - ," € 1,750,000 ", € - ," € 5,494,602 "," € 21,875,068 "," € 1,600,000 "
Totaal 2,,,," € 70,770,103 "," € 17,073,792 "," € 1,300,000 "," € 4,906,000 "," € 4,213,773 "," € 5,494,602 "," € 34,588,692 "," € 2,076,326 "
3,GLD,2008-004801,Ringstraten Nijmegen Economisch offensief: Investeringsregeling Ringstraten," € 464,990 "," € 232,495 ", € - , € - , € - , € - ," € 232,495 ", € - 
,,2008-012120,Multifunctioneel Centrum DOK Zuid," € 5,763,000 "," € 1,000,000 ", € - , € - ," € 300,000 ", € - ," € 4,463,000 ", € - 
,,2009-001945,Revitalisatie Klarendalseweg en omgeving," € 2,249,000 "," € 1,000,000 ", € - , € - , € - , € - ," € 849,000 "," € 400,000 "
,,2009-015826,Voorzieningenhart Willemskwartier," € 2,694,231 "," € 200,000 ", € - ," € 2,000,000 ", € - , € - ," € 494,231 ", € - 
,,2009-006641,"Wonen, leren en werken: voor een leefbaar Malburgen"," € 892,502 "," € 195,977 ", € - , € - , € - , € - , € - , € - 
,Totaal GLD,,," € 12,063,723 "," € 2,628,472 ", € - ," € 2,000,000 "," € 300,000 ", € - ," € 6,038,726 "," € 400,000 "
,OV,2009-023631,Ondernemershuis Deventer," € 910,000 "," € 260,000 ", € - , € - , € - , € - ," € 100,000 ", € - 
,Totaal OV,,," € 910,000 "," € 260,000 ", € - , € - , € - , € - ," € 100,000 ", € - 
Totaal 3,,,," € 12,973,723 "," € 2,888,472 ", € - ," € 2,000,000 "," € 300,000 ", € - ," € 6,138,726 "," € 400,000 "
4,GLD,2008-010703,Technische Bijstand (86)," € 3,265,817 "," € 1,632,909 ", € - , € - ," € 1,061,391 "," € 571,518 ", € - , € - 
,,2008-014853,Technische Bijstand (85)," € 9,862,184 "," € 4,931,092 ", € - , € - ," € 3,205,210 "," € 1,725,882 ", € - , € - 
,Totaal GLD,,," € 13,128,001 "," € 6,564,001 ", € - , € - ," € 4,266,600 "," € 2,297,400 ", € - , € - 
Totaal 4,,,," € 13,128,001 "," € 6,564,001 ", € - , € - ," € 4,266,600 "," € 2,297,400 ", € - , € - 
Eindtotaal,,,," € 239,559,859 "," € 71,278,526 "," € 17,313,621 "," € 7,306,000 "," € 18,337,717 "," € 16,304,756 "," € 40,902,418 "," € 8,252,580 "
