Project Title,Beneficiary,Region,ERDF funding,Private Financing,Public Financing,Date,Total,Html
Transformatie Meerenakkerweg,Gemeente Eindhoven,Eindhoven,3.040.310,0,"12,737,520",31-10-2008 tot 01-04-2011,"15,777,830",http://www.op-zuid.nl/index.php?option=com_content&view=article&id=68:project-transformatie-meerenakkerweg&catid=11:prioriteit-2&Itemid=21
"Programmabureau World Class Maintenance
",Brabantse Ontwikkelings Maatschappij NV,provincie Noord-Brabant,NA,0,NA,01-06-2008 t/m 31-07-2010,NA,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=69:project-programmabureau-world-class-maintenance&catid=11:prioriteit-2&Itemid=21
Het onderwaterleven van Breskens,Gemeente Sluis, Breskens,963690,0,1.527.135,01-04-2008 t/m 31-03-2010,2.503.500,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=70:project-het-onderwaterleven-van-breskens&catid=11:prioriteit-2&Itemid=21
Additional multi-year acquisition campaign and image BrabantStad,Brabantse Ontwikkelingsmaatschappij NV,Tilburg,639400,0,1.000.000,17-12-2007 t/m 31-12-2010,1.639.400,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=71:project-additionele-meerjarige-imago-en-acquisitiecampagne-brabantstad&catid=11:prioriteit-2&Itemid=21
Revitalisering Emer-Noord - Hintelaken,Gemeente Breda,Breda,1.272.641,0,2357489,14-11-2008 t/m 15-05-2011,3.630.130,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=72:project-revitalisering-emer-noord-hintelaken&catid=11:prioriteit-2&Itemid=21
"Internationale School Zuidwest-Nederland
",Stichting tot bevordering van internationaal onderwijs,Breda,240600,110000,78400,10-04-2009 t/m 12-01-2010,308700,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=73:project-internationale-school-zuidwest-nederland&catid=11:prioriteit-2&Itemid=21
"Ontsluiting Floriadeterrein en Venlo Greenpark
",Regio Venlo en provincie Limburg,Venlo,5200000,0,33113556,01-09-2009 t/m 31-12-2012,38313556,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=93:project-ontsluiting-floriadeterrein-en-venlo-greenpark-&catid=11:prioriteit-2&Itemid=21
"Regiobranding Zuid-Limburg
",Stichting Regiobranding Zuid-Limburg,Limburg,1.297.336,773.068,2.461.528,05-11-2008 t/m 28-02-2010,4.700.000,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=100:project-regiobranding-zuid-limburg&catid=11:prioriteit-2&Itemid=21
Restauratie en transformatie Brabanthallen,NV MEI,'s-Hertogenbosch,3.532.341,4.230.475,5.319.930,24-12-2008 t/m 28-02-2010,13.082.746,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=152:transformatie-en-restauratie-brabanthallen&catid=11:prioriteit-2&Itemid=21
"Veghelse bedrijventerreinen futureproof
",Gemeente Veghel,Veghel,2500000,0,7804733,01-11-2008 t/m 30-06-2013,10.304.733,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=161:veghelse-bedrijventerreinen-futureproof&catid=11:prioriteit-2&Itemid=21
"Zeeland aantrekkelijk voor Aziatische bedrijven
",NV Economische Impuls Zeeland,Zeeland,125.679,0,196576,01-06-2009 t/m 01-04-2011,322.255,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=163:zeeland-aantrekkelijk-voor-aziatische-bedrijven&catid=11:prioriteit-2&Itemid=21
"Online fietsrouteplanner Zuid-Nederland
","Prov. Limburg, Zeeland en Noord-Brabant",Zuid-Nederland,120000,0,240000,26-09-2008 t/m 31-12-2013,360000,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=165:online-fietsrouteplanner-zuid-nederland&catid=11:prioriteit-2&Itemid=21
Het muziekgebouw van de toekomst,Muziekcentrum Frits Philips NV,Eindhoven,2835000,0,1165000,30-09-2008 t/m 01-12-2010,4000000,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=166:het-muziekgebouw-van-de-toekomst&catid=11:prioriteit-2&Itemid=21
Onthaal naar het Deltawater,Gemeente Schouwen Duiveland,Bruinisse,963690,0,987310,01-09-2008 t/m 01-09-2011,1951000,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=169:onthaal-naar-het-deltawater&catid=11:prioriteit-2&Itemid=21
Opwaardering De Gender,Gemeente Veldhoven,Veldhoven,1325000,0,3054000,02-06-2009 t/m 31-12-2013,4379000,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=195:opwaardering-de-gender&catid=11:prioriteit-2&Itemid=21
Portaal van Vlaanderen,Gemeente Terneuzen,Terneuzen,235755,0,368745,01-06-2009 t/m 31-12-2011,604500,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=200:portaal-van-vlaanderen&catid=11:prioriteit-2&Itemid=21
Entree Brouwersdam Zuid,Natuur- en Recreatieschap De Grevelingen,Bruinisse,250185,0,391315,16-03-2009 t/m 01-12-2010,641500,http://www.op-zuid.nl/index.php?option=com_content&view=article&id=203:entree-brouwersdam-zuid&catid=11:prioriteit-2&Itemid=21
