beneficiary,normalized_beneficiary
IBM Global Services Delivery Centre Polska Sp. z o.o.,IBM
A4E Ltd,A4E Ltd
A4E MANAGEMENT LTD,A4E Ltd
A4E LTD 105987,A4E Ltd
A4E Ltd.,A4E Ltd
A4E Ltd. Sp. z o.o.,A4E Ltd
ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS(ADIF),Administrador de infraestructuras Ferroviarias
JUNTA DE ANDALUCIA,Junta de Andalucia
AGUAS DE LAS CUENCAS MEDITERRANEAS(ACUAMED),Aguas de las Cuencas Mediterraneas
Fiat Powertrain Technologies Poland Spółka z ograniczoną odpowiedzialnością,Fiat Powertrain Technologies
Krajowy Fundusz Kapitałowy S.A.,Krajowy Fundusz Kapitałowy S.A.
IBM Global Services Delivery Centre Polska Sp. z o.o.
Vattenfall Heat Poland S.A.,Vattenfall Heat Poland S.A.
Vattenfall Europe DistributionBerlin GmbH,Vattenfall Europe DistributionBerlin GmbH
Working LInks,Working Links
Working Links (Employment) Ltd,Working Links
WORKING LINKS (EMPLOYMENT) LIMITED,Working Links
Working Links Notts/Derby,Working Links
"Working Links (Employment) Ltd
Subcontractors: Chinese Centre, Inspired Sisters, Faith Regen, Northwest Network, Groundwork, NHS Academy NW, Places for People, Inside Track, Parkhouse",Working Links
"Working Links (Employment) Ltd
Subcontractors: The Bridge, Liverpool Lighthouse, Onteca, Bulky Bobs, Princes Trust, Mersey Refugee Support (Merseyside Network for Change), GOALS UK, Wild Women, Making Space, East Liverpool Economic & Community Trust, Rethink, MNT (Neurosupport), Henshaws, RNID, Action 4 Blind, Pinnacle Housing, Citizens Advice Bureau, Helena Housing, VCS Network for Europe, Parkhouse Services ",Working Links
Sądeckie Wodociągi Sp. z o.o.,Sadeckie Wodociagi Sp. z o.o.
Sadeckie Wodociagi Sp. z o.o.,Sadeckie Wodociagi Sp. z o.o.
AGUAS DEL DUERO (MARM),AGUAS DEL DUERO
Shaw Trust Ltd.,Shaw Trust
SHAW TRUST LIMITED(THE),Shaw Trust
Shaw Trust,Shaw Trust
"Shaw Trust
Subcontractors: Mill Race IT Black Water Task Force ",Shaw Trust
"Shaw TrustShaw Trust
Subcontractors: None - Direct Delivery ",Shaw Trust
AGUAS DE LAS CUENCAS MEDITERRANEAS(ACUAMED),AGUAS DE LAS CUENCAS MEDITERRANEAS
"Reed in Partnership
Subcontractors: Exemplas Holdings Ltd UFI Ltd Regency Security ",Reed in Partnership
"Reed in Partnership
Subcontractors: NA ",Reed in Partnership
Reed in Partnership,Reed in Partnership
TNG LIMITED 107656,TNG Ltd
TNG Ltd,TNG Ltd
Avanta TNG Ltd,TNG Ltd
Pécsi Tudományegyetem 1. Számú Gyakorló Általános Iskola,Pécsi Tudományegyetem
Pécsi Tudományegyetem Deák Ferenc Gyakorló Gimnázium és Általános Iskola ,Pécsi Tudományegyetem
