Województwo,Numer i nazwa Priorytetu,Numer i nazwa Dzia_ania,Nazwa beneficjenta,Tytu_ projektu,Data rozpocz_cia realizacji projektu,Data zako_czenia realizacji projektu,Data podpisania umowy,Warto_ci ogó_em projektu
Ca_y kraj,I. Zatrudnienie i integracja spo_eczna,1.1. Wsparcie systemowe instytucji rynku pracy,Centrum Rozwoju Zasobów Ludzkich,"Oferta szkole_ w technologii e-learning dla pracowników instytucji rynku pracy, bazuj_ca na programach modu_owych opracowanych w ramach SPO RZL",2-Dec-12,1-Jul-14,1-May-13,4302520
,,,,Aktywizacja spo_eczno-ekonomiczna kobiet na poziomie lokalnym i regionalnym.,2-Feb-12,1-May-15,10-Dec-12,18605006.24
,,,,Implementacja i rozwój systemu informacyjnego publicznych s_u_b zatrudnienia.,2-Jul-12,31-Dec-15,25-Oct-12,193000000
,,,,Zaprojektowanie i stworzenie bazy danych na temat projektów realizowanych w ramach Dzia_ania 1.1 oraz Dzia_ania 1.5 i 1.6 SPO RZL 2004-2006,2-Oct-12,1-Jan-15,27-Aug-12,2604000
,,,,Analiza procesów zachodz_cych na polskim rynku pracy i w obszarze integracji spo_ecznej w kontek_cie prowadzonej polityki gospodarczej,2-Jan-13,1-Aug-18,17-Feb-13,15392050
,,,,"Szkolenia modu_owe pracowników instytucji rynku pracy, realizuj_cych us_ugi rynku pracy 
i programy aktywizacji zawodowej
",2-Jun-12,1-Jan-15,22-Oct-12,21131200
,,,,Zarz_dzanie informacj_ wykorzystywan_ w us_ugach rynku pracy,2-Oct-12,2-Dec-16,24-Mar-13,16743520
,,,,Kwestionariusz Zainteresowa_ Zawodowych - narz_dzie pracy doradcy zawodowego,2-Jan-13,1-Jan-14,24-Mar-13,1066008.8
,,,,Analiza dzia_alno_ci rad zatrudnienia i ich wp_ywu na kszta_towanie polityki rynku pracy w okresie 2004-2008,2-Jul-12,1-Jan-14,27-Aug-12,300000
,,,,Opracowanie nowych zalece_ metodycznych prowadzenia monitoringu zawodów deficytowych i nadwy_kowych na lokalnym rynku pracy,2-Nov-12,1-Jan-14,30-Jan-13,625000
,,,,Godzenie ról zawodowych i rodzinnych kobiet i m__czyzn,2-Nov-12,1-May-15,3-Jan-13,6548300
,,,,Diagnozowanie zapotrzebowania na kwalifikacje i umiej_tno_ci na regionalnym i lokalnym rynku pracy - wspó_praca urz_dów pracy z pracodawcami i innymi partnerami rynku pracy.,2-Jul-12,1-Jan-14,27-Aug-12,900000
,,,,Szkolenia dla kadry publicznych s_u_b zatrudnienia.,2-Sep-12,1-Oct-14,3-Oct-12,2300000
,,,,Modernizacja bazy danych standardów kwalifikacji zawodowych i modu_owych programów szkolenia,2-Aug-12,1-Jan-15,27-Aug-12,400000
,,,,Zielona linia. Centrum Informacyjno - Konsultacyjne S_u_b Zatrudnienia,2-Oct-12,1-Jan-16,25-Sep-12,24050000
,,,,Projekt badawczy dotycz_cy systemów migracji wybranych grup migranckich oraz dopuszczania ich do polskiego rynku pracy.,2-Aug-12,1-Jan-15,26-Sep-12,1110004
,,,,"B2.1 Opracowanie wdro_enia ""Matrycu Kurcmana"" oraz opracowanie za_o_e_ dla opracowania i wdro_enia Matrycy Kompetencji i Motywacji",2-Mar-13,31-Aug-14,6-Mar-14,539640
,,1.2. Wsparcie systemowe instytucji pomocy i integracji spo_ecznej,Centrum Rozwoju Zasobów Ludzkich,Koordynacja na rzecz aktywnej integracji,2-Sep-12,1-Jan-18,8-Oct-12,54935452
,,,,Podnoszenie kwalifikacji zawodowych pracowników pomocy i integracji spo_ecznej,2-Jun-12,1-Jan-16,8-Oct-12,62739150
,,,,Rewitalizacja spo_eczna,2-Jun-12,1-Jan-18,3-Oct-12,59970000
,,,,Partnerstwo na rzecz instytucjonalizacji ekonomii spo_ecznej,2-Oct-12,1-Jan-16,3-Jan-13,1999760
,,,,Kompleksowe formy reintegracji spo_eczno-zawodowej w _rodowisku lokalnym,2-Aug-13,1-Jan-17,10-Oct-13,10395400
,,,,Diagnoza spo_eczna 2009-2013,2-Mar-13,1-Feb-18,19-May-13,5494680
,,,,Kszta_cenie kadry zarz_dzaj_cej instytucji pomocy i integracji spo_ecznej w formie studiów podyplomowych.,2-Jun-13,1-Oct-14,23-Jun-13,38831270
,,1.3. Ogólnopolskie programy integracji i aktywizacji zawodowej,Agencja Mawex Maria _migielska Sp.j,Aktywnia zawodowo i spe_nieni rodzice - pracownicy Agencji Mawex,2-Aug-13,1-Jul-15,15-Jul-13,991615.18
,,,Centralny Zarz_d S_u_by Wi_ziennej,Aktywizacja spo_eczno zawodowa skazanych niepe_nosprawnych oraz osób skazanych na kar_ pozbawienia wolno_ci na podstawie art. 209 par. 1 Kodeksu karnego,2-Aug-12,30-Nov-17,26-Jul-12,7450882.5
,,,,Penitencjarny doradca zawodowy,2-Aug-12,30-Nov-17,26-Jul-12,4676452.5
,,,,Cykl szkoleniowo-aktywizacyjny s_u__cy podniesieniu kwalifikacji zawodowych osób pozbawionych wolno_ci oraz przygotowaniu ich do powrotu na rynek pracy po zako_czeniu odbywania kary pozbawienia wolno_ci,2-Aug-12,1-Dec-16,26-Jul-12,109061849
,,,,"Podniesienie kwalifikacji zawodowych funkcjonariuszy i pracowników S_u_by Wi_ziennej rezlizuj_cych zadania zwi_zane z przywi_ziennymi ""Klubami Pracy""",2-Aug-12,30-Nov-17,26-Jul-12,6956732.5
,,,Centrum Doradztwa i Informacji dla Romów w Polsce,Romska droga,2-Aug-13,1-Jun-15,1-Aug-13,747245
,,,Centrum Euroedukacji Sp. z o.o.,Romska Fiesta - warsztaty dla instytucji. ,2-Apr-13,1-Aug-13,28-Mar-13,252936
,,,Centrum Rozwoju Zasobów Ludzkich,"Dzia_ania ukierunkowane na osoby migruj_ce z i do Polski, w zakresie szkole_, doradztwa, kampanii informacyjno - promocyjnej",2-Aug-12,1-Jan-14,27-Aug-12,2507390
,,,Chrze_cija_skie Stowarzyszenie Dobroczynne,Rodzic pracuj_cy nie mniej kochaj_cy - Przyzak_adowe Centrum Zabawy,2-Sep-13,1-Sep-15,20-Aug-13,694422.41
,,,"Fundacja Dzieciom ""Zd__y_ z Pomoc_""","""Pokoloruj dzieci_cy _wiat""",2-Apr-14,1-Apr-16,20-Oct-13,1805540
,,,Fundacja Edukacji Przedszkolnej,Alternatywna forma opieki nad dzie_mi Alternatywka,2-Aug-13,1-Jul-15,15-Jul-13,410850
,,,"Fundacja ""Razem""",Romowie w _yciu spo_ecznym i zawodowym,5-Jan-14,1-Jan-15,8-Jan-14,515789.76
,,,Fundacja Rozwoju Nauki i Przedsi_biorczo_ci,Romska szko_a umiej_tno_ci.,2-Apr-13,1-Feb-14,31-Mar-13,445525.73
,,,Gmina _obez,Dziecko w przedszkolu - rodzic w pracy,2-Sep-13,1-Sep-15,3-Oct-13,2855223.03
,,,Gmina Nowe Brzesko,Gmina Nowe Brzesko Przyjazna dla Rodziców i Dzieci,2-Aug-13,1-Aug-15,15-Jul-13,659121.5
,,,Instytut Laudator,Poznajemy _wiat w przedszkolu,2-Jul-13,1-Jul-15,15-Aug-13,1136135
,,,,Bli_ej siebie,2-Jul-13,1-Jul-15,9-Jul-13,1242785
,,,Komenda G_ówna Ochotniczych Hufców Pracy,OHP jako realizator us_ug rynku pracy,2-May-13,1-Jan-18,16-May-13,99538000
,,,,Szkolenie kadry Ochotniczych Hufców Pracy.,2-Jul-12,1-Jan-13,30-Jul-12,1000000
,,,,Identyfikacja potrzeb i oczekiwa_ m_odzie_y na rynku pracy,2-Jun-13,1-Jun-14,4-Jul-13,1064000
,,,,Nasza przysz_o__,2-May-13,1-Dec-13,20-Jun-13,3166095
,,,,Szkolenie - Praktyka - Zatrudnienie - Rozwój II Edycja,2-May-13,1-Jan-14,16-May-13,18000000
,,,,Szkolenie - Praktyka - Zatrudnienie - Rozwój,2-May-12,1-Mar-13,2-Sep-12,22093237
,,,Miasto Bia_ogard,Aktywni Romowie - kompleksowy program aktywizacji zawodowej i integracji spo_ecznej Romów z terenu miasta Bia_ogardu.,2-Nov-13,1-May-15,17-Sep-13,402160
,,,Miasto Nowy S_cz - Miejski O_rodek Pomocy Spo_ecznej w Nowym S_czu,Nowos_deckie Romki zdobywaj_ zawód,2-Jan-14,1-Sep-14,22-Dec-13,229178.68
,,,Miasto Pozna_,Alternatywne formy opieki dla dzieci pracowników Urz_du Miasta Poznania,2-Oct-13,1-Oct-15,15-Aug-13,955011.22
,,,Miasto Sto_eczne Warszawa/O_rodek Pomocy Spo_ecznej Dzielnicy Praga Po_udnie m. st. Warszawy,Odnajdziemy wspólne drogi - po_udniowopraski program integracji spo_eczno - zawodowej Romów,2-Sep-13,1-Jan-15,1-Sep-13,486588
,,,Miejski O_rodek Kultury w Kowarach,Zwyk_e szanse dla niezwyk_ych ludzi.,2-Oct-13,1-Oct-15,23-Sep-13,956120
,,,Miejski O_rodek Pomocy Rodzinie,ROMA - aktywizacja spo_eczna i zawodowa lubelskich Romów,4-Aug-13,31-Jul-14,1-Aug-13,256853.84
,,,Miejski O_rodek Pomocy Spo_ecznej w Zawierciu,Zawiercia_scy Romowie wczoraj i dzi_ - promocja integracji spo_eczno_ci romskiej w Zawierciu,2-Apr-13,1-Feb-14,2-Apr-13,261241.84
,,,Ministerstwo Sprawiedliwo_ci,Kszta_cenie zawodowe nieletnich przebywaj_cych w zak_adach poprawczych i schroniskach dla nieletnich,2-Apr-12,1-Jan-18,5-Aug-12,31702087.28
,,,,Przygotowanie osób przebywaj_cych w zak_adach poprawczych i schroniskach dla nieletnich do kontaktów z instytucjami rynku pracy i pomocy spo_ecznej,2-Apr-12,1-Jan-14,5-Aug-12,750000
,,,,Podnoszenie kwalifikacji zawodowych kluczowych pracowników pedagogicznych i niepedagogicznych zak_adów poprawczych i schronisk dla nieletnich,2-Apr-12,1-Jan-18,5-Aug-12,16336170
,,,,"Konferencja przedstawicieli zak_adów dla nieletnich, instytucji rynku pracy, pomocy spo_ecznej i partnerów spo_eczno-gospodarczych nt. przygotowania nieletnich do integracji zawodowej i spo_ecznej",2-Apr-12,1-Jan-14,5-Aug-12,150000
,,,,Rozwój kompetencji spo_ecznych osób przygotowuj_cych si_ do opuszczenia zak_adów poprawczych,2-Apr-12,1-Jan-18,3-Sep-12,29238230
,,,Pa_stwowy Fundusz Rehabilitacji Osób Niepe_nosprawnych,"Ogólnopolskie badanie sytuacji, potrzeb i mo_liwo_ci osób niepe_nosprawnych",2-Dec-12,1-Mar-14,1-Jan-13,8742619.79
,,,,Wsparcie osób niewidomych na rynku pracy,2-Dec-12,1-Jan-14,24-Dec-12,3980280
,,,Pa_stwowy Fundusz Rehabilitacji Osób Niepe_nosprawnych ,Wsparcie osób z zaburzeniami psychicznymi na rynku pracy,30-Dec-12,1-Mar-14,21-Feb-13,2999585.21
,,,,Wsparcie osób niepe_nosprawnych ruchowo na rynku pracy,30-Dec-12,1-Jan-14,29-Jan-13,11514912.61
,,,,Wsparcie osób nies_ysz_cych na rynku pracy,2-Nov-12,1-Jan-14,14-Jan-13,2999977.26
,,,,Wsparcie osób z autyzmem,3-Jan-13,1-Mar-14,21-Feb-13,1995432.21
,,,,Wsparcie osób g_uchoniewidomych na rynku pracy,2-Nov-12,1-Jan-14,24-Dec-12,3000000
,,,,Wsparcie osób z niepe_nosprawno_ci_ intelektualn_ (os. z zespo_em Downa oraz z upo_ledzeniem w stopniu g__bokim),30-Dec-12,1-Mar-14,29-Jan-13,4991233.49
,,,"Polskie Radio RR ""Radio dla Ciebie""S.A.",Romowie - z nami czy obok nas.,2-Jan-14,1-Jan-15,12-Feb-14,381196.8
,,,Polskie Towarzystwo Dysleksji Oddzia_ Terenowy nr 49,"Romano drom pe fedyr dzipen - Projekt na rzecz integracji spo_ecznej i aktywizacji zawodowej spo_eczno_ci romskich w Kamiennej Górze, Legnicy i Przemkowie",2-Jan-14,1-Sep-14,2-Mar-14,949978.7
,,,Polskie Towarzystwo Dysleksji Oddzia_ Terenowy nr 49 w _widnicy,"Romano drom pe fedyr dzipen - Projekt na rzecz integracji spo_ecznej i aktywizacji zawodowej spo_eczno_ci romskich w Wa_brzychu, K_odzku i Wroc_awiu.",2-Aug-13,1-Apr-14,31-Jul-13,999666
,,,Powiat k_odzki / Powiatowe Centrum Pomocy Rodzinie w K_odzku,Romowie - s_siedzi,2-Nov-13,1-Nov-14,13-Jan-14,1111328.38
,,,"Radomskie Stowarzyszenie Romów ""Romano Wa_t"" (Pomocna D_o_)",Romowie w_ród innych - popularyzowanie pozytywnego wizerunku Romów w Radomiu,16-Aug-13,16-Sep-14,15-Aug-13,471020
,,,S_DECKA AGENCJA ROZWOJU REGIONALNEGO S.A.,Wzajemna wspó_praca - szkolenia i warsztaty dla pracowników instytucji publicznych realizuj_cych zadania na rzecz spo_eczno_ci romskich,2-Oct-13,1-Jun-14,25-Aug-13,362379.64
,,,Stowarzyszenie Integracja,Romowie - przysz_o__ bez uprzedze_,2-Aug-13,1-Jan-15,28-Jul-13,533108
,,,Stowarzyszenie Romów we Wroc_awiu Romani Bacht,Program kompleksowego wsparcia Romów z Brochowa we Wroc_awiu,2-Oct-13,1-Dec-14,1-Oct-13,268293
,,,Towarzystwo Przyjació_ I Spo_ecznego Liceum Ogólnokszta_c_cego,"Wiem, czytam, rozumiem - metoda nauki czytania dzieci romskich",2-Aug-13,1-Aug-14,1-Aug-13,565810
,,,Uniwersytet Ekonomiczny w Krakowie dzia_aj_cy przez Ma_opolsk_ Szko__ Administracji Publicznej (MSAP),Edukacja - Przedsi_biorczo__ - Wzorce postaw. Trzy filary awansu ekonomicznego i spo_ecznego Romów w Polsce,16-Apr-13,15-Aug-14,15-Apr-13,886132
,,,Uniwersytet _ódzki,"""Romska droga do pracy - program aktywizacji zawodowej Romów z Ma_opolski i Podkarpacia""",17-Mar-13,16-Nov-14,14-Mar-13,1921933.81
,,,Weldon Sp. z o.o.,Weldon Kids,2-Jul-14,1-Jul-16,23-Sep-13,3558447.88
,,,Wy_sza Szko_a Ekonomiczna w Bia_ymstoku,Elastyczne Przedszkole przy WSE w Bia_ymstoku ,2-Jun-13,1-Jun-15,9-Jul-13,3243792.14
,,,Zwi_zek Romów Polskich,Innowacyjni Romowie na rynku pracy.,2-May-13,1-Nov-14,29-Apr-13,953523.46
