Nazwa beneficjenta,Tytul projektu,Program Operacyjny,Dzialanie,Poddzialanie,Wartosc ogolem,Dofinansowanie publiczne,Rok przyznania dofinansowania,Rok wyplacenia ostatniej raty
"""ABACUS"" s. c. M. Horzelska, M. Śledź",Profesjonalne kadry.,Program Operacyjny Kapitał Ludzki,8.1. Rozwój pracowników i przedsiębiorstw w regionie,8.1.1 Wspieranie rozwoju kwalifikacji zawodowych i doradztwo dla przedsiębiorstw,"163,017.50","162,291.49",2008,2010
"""ABSOLWENT"" Teresa Gębarska","Rozwój przedsiębiorstwa ""ABSOLWENT"" Teresa Gębarska w Kolnie poprzez otworzenie serwisu klimatyzacji, wulkanizacji i diagnostyki samochodowej",Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.1 Mikroprzedsiębiorstwa,"144,244.26","58,391.50",2009,2010
"""ADVENTURE IN POLAND"" Spółka z ograniczoną odpowiedzialnością","Wzrost konkurencyjności ADVENTURE IN POLAND  sp. z o.o. poprzez inwestycję w innowacyjne SEGWAY'e
",Regionalny Program Operacyjny Województwa Podlaskiego,1.4 Wsparcie inwestycyjne przedsiębiorstw,1.4.1 Mikroprzedsiębiorstwa,"884,560.00","408,408.00",2008,2010
"""AFLOFARM Farmacja Polska""  Sp. z o.o.",Wprowadzenie innowacji procesowej i produktowej oraz wzrost konkurencyjności firmy AFLOFARM  poprzez zakup nowoczesnego i innowacyjnego próżnioszczelnego mieszalnika homogenizującego.,Regionalny Program Operacyjny Województwa Łódzkiego,III.2. Podnoszenie innowacyjności i konkurencyjności przedsiębiorstw,,"2,196,000.00","1,080,000.00",2008,2010
"""AGREMO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Zakup innowacyjnej linii technologicznej do obróbki blach.,Regionalny Program Operacyjny Województwa Opolskiego,"1.3 Innowacje, badania, rozwój technologiczny",1.3.2 Inwestycje w innowacje w przedsiębiorstwach,"1,701,900.00","610,189.34",2008,2010
"""AKO"" S.A.","""Udział w targach Ryga-Food w dniach 9-12 września 2009 w Rydze (Łotwa).""",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"67,859.19","28,860.75",2008,2010
"""AKO"" S.A.",Udział w targach IBA w dniach 3 - 9 października 2009 roku w Dusseldorf (Niemcy),Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"73,031.21","27,760.27",2008,2010
"""ALFA"" Kancelaria Podatkowa, Biuro Rachunkowe Magdalena Borkowska",Wykwalifikowany pracownik w dziale kadr i płac,Program Operacyjny Kapitał Ludzki,6.1. Poprawa dostępu do zatrudnienia oraz wspieranie aktywności zawodowej w regionie,6.1.1 Wsparcie osób pozostających bez zatrudnienia na regionalnym rynku pracy,"333,088.00","330,591.65",2008,2010
"""ALFA"" Kancelaria Podatkowa, Biuro Rachunkowe Magdalena Borkowska",Profesjonalny pracownik działu kadr i płac,Program Operacyjny Kapitał Ludzki,7.2. Przeciwdziałanie wykluczeniu i wzmocnienie sektora ekonomii społecznej,7.2.1 Aktywizacja zawodowa i społeczna osób zagrożonych wykluczeniem społecznym,"401,020.00","397,573.71",2008,2010
"""ANEMON"" Anna Łoś",Rozbudowa Frmy wiatrowej w miejscowości Zosin.,Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.2. Wsparcie inwestycji przedsiębiorstw,5.2.1. Wsparcie inwestycji mikroprzedsiębiorstw,"610,000.00","349,000.00",2008,2010
"""Anotis"" Ślusarstwo Produkcyjno-Usługowe Lakiernia Proszkowa Marek Pałdyna",Zakup myjni tunelowej celem wdrożenia innowacyjnej technologii mycia metali oraz innowacyjnej usługi malowania,Regionalny Program Operacyjny Województwa Dolnośląskiego,1.1. Inwestycje dla przedsiębiorstw,,"610,000.00","275,000.00",2008,2010
"""APATOR"" Spółka Akcyjna","Zwiększenie rozpoznawalności firmy ""APATOR"" SA dzięki uczestnictwu jako wystawca w ""Międzynarodowych Energetycznych Targach Bielskich ENERGETAB 2009"" w Bielsko-Białej (Polska) w dniach 15-17 września 2009 roku",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"162,938.92","64,678.00",2009,2010
"""APATOR"" Spółka Akcyjna","Udział firmy ""APATOR"" SA w międzynarodowej wystawie ""Metering, Biling/CRM Europe 2009"" jako wystawca w Barcelonie (Hiszpania) w dniach 6-8.10.2009 roku",Regionalny Program Operacyjny Województwa Kujawsko-Pomorskiego,5.5. Promocja i rozwój markowych produktów,,"121,848.69","55,885.61",2009,2010
"""ARBOS"" Irena Słabolepsza",Rozwój firmy ARBOS poprzez zakup rębaka do drewna,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.1. Rozwój mikroprzedsiębiorstw,Schemat I: Projekty inwestycyjne,"48,800.00","21,000.00",2009,2009
"""ARBOS"" Irena Słabolepsza",Rozwój firmy ARBOS poprzez budowę kotłowni do ogrzewania suszarni drewna oraz stanowiska do przecierania surowca tartacznego,Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013,Działanie 1.1. Rozwój mikroprzedsiębiorstw,Schemat I: Projekty inwestycyjne,"88,474.40","34,809.00",2008,2009
"""Arkusz"" Dariusz Religa","Poprawa jakości oraz wzrost konkurencyjności firmy „Arkusz” Dariusz Religa, poprzez zakup nowoczesnej maszyny offsetowej, która pozwoli na poszerzenie oferty o nowe produkty i usługi.",Regionalny Program Operacyjny Województwa Zachodniopomorskiego,1.1. Wzrost konkurencyjności przedsiębiorstw poprzez innowacyjne inwestycje,1.1.1. Inwestycje w mikroprzedsiębiorstwa,"146,400.00","72,000.00",2008,2010
