"nr_crt","titlu_proiect","nume_beneficiar","nume_operatiune","fonduri_ue","buget_national","contributie_beneficiar","cheltuieli_neeligibile","total_valoare_proiect","currency","uri"
"2","Dezvoltarea capacităţii de evaluare a unităţilor de evaluare din cadrul Autorităţilor de Management şi ACIS","Unitatea Centrală de Evaluare/ACIS","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","2.236.000","0","559.000","531.050","3.326.050","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"3","Îmbunătăţirea sistemului de indicatori utilizaţi în monitorizarea şi evaluarea Programelor Operaţionale şi Cadrului Strategic Naţional de Referinţă","Unitatea Centrală de Evaluare/ ACIS","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","1.680.000","0","420.000","399.000","2.499.000","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"4","Sprijin oferit personalului ACP pentru eficientizarea implementării Instrumentelor Structurale prin încurajarea schimbului de experienţă","Autoritatea de Certificare şi Plată","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","1.284.710","0","321.177","82.325","1.688.212","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"5","Sprijin pentru finanţarea parţială a cheltuielilor de personal efectuate de MFP pentru personalul implicat în coordonarea, managementul şi controlul IS","Ministerul Finanţelor Publice","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","7.109.057","0","0","0","7.109.057","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"6","Sprijin pentru coordonarea implementării Planului Integrat de Dezvoltare al polului de creştere Braşov","Agenţia pentru Dezvoltare Regională Centru","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","1.947.351","486.838","0","232.455","2.666.644","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"7","Sprijin pentru coordonarea implementării Planului Integrat de Dezvoltare al Polului de Creştere Iaşi","Agenţia pentru Dezvoltare Regională Nord- Est","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","1.918.358","479.589","0","312.919","2.710.866","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"8","Sprijin pentru coordonarea implementării Planului Integrat de Dezvoltare al Polului de Creştere Ploieşti","Agenţia pentru Dezvoltare Regională Sud- Muntenia","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","2.617.423","654.356","0","373.523","3.645.302","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"9","Sprijin pentru coordonarea implementării Planului Integrat de Dezvoltare al Polului de Creştere Craiova","Agenţia pentru Dezvoltare Regională Sud Vest Oltenia","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","1.287.621","321.905","0","112.618","1.722.144","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"1","Facilitatea de Asistenţă Tehnică","Direcţia Asistenţă Tehnică/ ACIS","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","21.640.261","0","5.410.066","5.139.563","32.189.890","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"10","Sprijin pentru finanţarea parţială a cheltuielilor de personal efectuate de OI POS DRU Nord Est pentru personalul implicat în gestionarea IS","OI POS DRU Nord Est","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","2.000.519","0","0","0","2.000.519","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"11","Sprijin pentru coordonarea implementării Planului Integrat de Dezvoltare al Polului de Creştere Constanţa","Agenţia pentru Dezvoltare Regională Sud Est","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","2.506.714","626.679","0","351.911","3.485.304","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"12","Sprijin pentru finanţarea parţială a cheltuielilor de personal efectuate de CNDIPT - OIR POS DRU pentru personalul implicat în gestionarea IS","Centrul Naţional de Dezvoltare a Învăţământului Profesional Tehnic","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","2.639.006","0","0","0","2.639.006","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"13","Sprijin pentru finanţarea parţială a cheltuielilor de personal efectuate de ANCS pentru personalul implicat în gestionarea IS","Autoritatea Naţională pentru Cercetare Ştiinţifică","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","3.324.184","0","0","0","3.324.184","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"14","Sprijin pentru finanţarea parţială a cheltuielilor de personal efectuate de ANOFM pentru personalul implicat în gestionarea IS","Agenţia Naţională pentru Ocupare a Forţei de Muncă","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","1.485.110","0","0","0","1.485.110","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"15","Sprijin pentru coordonarea implementării Planului Integrat de Dezvoltare al polului de Creştere Timişoara","Agenţia de Dezvoltare Regională Vest","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","1.320.393","330.098","0","95.339","1.745.830","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"16","Sprijin pentru finanţarea parţială a cheltuielilor de personal efectuate de OIR POS DRU Centru pentru personalul implicat în gestionarea IS","OIR POS DRU Centru","Axa Prioritară 1/ DMI 1.1. Sprijin pentru managementul şi implementarea instrumentelor structurale","1.972.105","0","0","0","1.972.105","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"17","Studiu privind identificarea direcţiilor prioritare de reformă a Politicii de Coeziune post 2013 din perspectiva României","Direcţia Analiză şi Programare/ ACIS","Axa Prioritară 1/ DMI 1.2. Evaluare","111.784","0","27.946","26.549","166.279","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"18","Realizări de evaluări pentru perioada 2009-2010","Unitatea Centrală de Evaluare/ ACIS","Axa Prioritară 1/ DMI 1.2. Evaluare","1.920.000","0","480.000","456.000","2.856.000","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"19","Dezvoltarea cadrului metodologic pentru analiza cost beneficiu","Unitatea Centrală de Evaluare/ ACIS","Axa Prioritară 1/ DMI 1.2. Evaluare","4.080.000","0","1.020.000","969.000","6.069.000","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"20","Formarea continuă a personalului ACP în vederea gestionării eficiente a FSC","Autoritatea de Certificare şi Plată","Axa Prioritară 1/ DMI 1.3. Formare orizontală în domeniul gestionării programelor/proiectelor","2.894.581","0","723.645","579.250","4.197.476","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"21","Formarea beneficiarilor şi potenţialilor beneficiari în domeniul implementării proiectelor finanţate din IS","Autoritatea de Management pentru POAT","Axa Prioritară 1/ DMI 1.3. Formare orizontală în domeniul gestionării programelor/proiectelor","3.539.360","0","884.840","840.598","5.264.798","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"22","Formare continuă în gestionarea Fondurilor Structurale şi de Coeziune în România","Direcţia Asistenţă Tehnică/ACIS","Axa Prioritară 1/ DMI 1.3. Formare orizontală în domeniul gestionării programelor/proiectelor","8.917.236","0","2.229.309","2.132.991","13.279.536","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"23","Sprijin pentru funcţionarea ACIS, inclusiv a AM POAT","Autoritatea pentru Coordonarea Instrumentelor Structurale","Axa Prioritară 1/ DMI 1.4. Funcţionarea Autorităţii de Management pentru POAT, a ACIS, a Autorităţii de Certificare şi Plată şi a Autorităţii de Audit","10.121.460","0","2.530.365","8.325.918","20.977.743","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"24","Dezvoltarea capacităţii ACP în vederea gestionării eficiente a Instrumentelor Structurale şi de Coeziune","Autoritatea de Certificare şi Plată","Axa Prioritară 1/ DMI 1.4. Funcţionarea Autorităţii de Management pentru POAT, a ACIS, a Autorităţii de Certificare şi Plată şi a Autorităţii de Audit","7.109.547","0","1.777.387","1.991.598","10.878.532","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"25","Sprijinirea funcţionării ACP în procesul de verificare la faţa locului, efectuată în scopul certificării cheltuielilor declarate","Autoritatea de Certificare şi Plată","Axa Prioritară 1/ DMI 1.4. Funcţionarea Autorităţii de Management pentru POAT, a ACIS, a Autorităţii de Certificare şi Plată şi a Autorităţii de Audit","2.853.760","0","713.440","671.274","4.238.474","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"26","Dezvoltarea unei comunităţi eficiente şi profesioniste de utilizatori SMIS- CNSR","Direcţia Coordonare de Sistem/ ACIS","Axa Prioritară 2/ DMI 2.3. Formarea utilizatorilor, distribuirea ghidurilor de proceduri şi a manualelor de utilizator, precum şi activităţi de informare","5.782.571","0","1.445.643","1.373.362","8.601.576","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"27","Suport pentru funcţionarea SMIS în cadrul AM PO DCA","Autoritatea de Management pentru Programul Operaţional Dezvoltarea Capacităţii Administrative /Ministerul Administraţiei şi Internelor","Axa Prioritară 2/ DMI 2.4. Achiziţia de echipamente şi servicii TI&C","55.640","0","13.910","13.214","82.764","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
"28","Achiziţie echipamente TI&C pentru funcţionarea SMIS la nivelul ADR Bucureşti-Ilfov","Agenţia pentru Dezvoltare Regională Bucureşti-Ilfov","Axa Prioritară 2/ DMI 2.4. Achiziţia de echipamente şi servicii TI&C","28.908","7.227","0","6.865","43.000","LEI","http://localhost:9999/Lista_contractate_PO_AT_30_aprilie_2010.pdf"
